"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"
"2:31:00::"	"by"	"the"	"compute"	"cylinder"	"compute_by"	"by_the"	"the_cylinder"	"is_compute_by"	"compute_by_the"	"by_the_cylinder"	"the_cylinder_'s"	"VBZ"	"VB"	"IN"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"cylinder"	"compression"	"is"	"compute"	"by"	"compare"	"the"	"cylinder"	"volume"	"or"	"its"	"displacement"	"with"	"the"	"total"	"volume"	"of"	"the"	"cylinder"	"and"	"its"	"combustion"	"chamber"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"with"	"interest"	"a"	"interest_,"	",_with"	"with_a"	"without_interest_,"	"interest_,_with"	",_with_a"	"with_a_valuation"	"IN"	"NN"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"award"	"interest"	"compare"	"with"	"a"	"valuation"	"of"	"place"	"on"	"the"	"property"	"by"	"the"	"property_owners"	"real_estate"	"expert"	"and"	"a"	"valuation"	"of"	"place"	"on_it"	"by"	"the"	"state"	"expert"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"the"	"labor"	"amount"	"labor_,"	",_the"	"the_amount"	"family_labor_,"	"labor_,_the"	",_the_amount"	"the_amount_of"	"NN"	"NN"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"on"	"the"	"enterprise"	"be"	"manage"	"by"	"family"	"labor"	"compare"	"the"	"amount"	"of"	"labor"	"that"	"can"	"be"	"supply"	"by"	"the"	"family"	"with"	"the"	"labor"	"need"	"of"	"various"	"enterprise"	"list"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"last"	"your"	"you"	"present"	"you_last"	"last_your"	"your_present"	"did_you_last"	"you_last_your"	"last_your_present"	"your_present_premium"	"VBD"	"PRP"	"RB"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"you"	"last"	"compare"	"your"	"present"	"premium"	"cost"	"with"	"the"	"cost"	"of"	"insurance"	"from"	"source"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"as"	"with"	"process"	"standard"	"process_as"	"as_with"	"with_standard"	"water_process_as"	"process_as_with"	"as_with_standard"	"with_standard_method"	"NN"	"NN"	"IN"	"VB"	"IN"	"JJ"	"NN"	"for"	"the"	"recovery"	"and"	"marketing"	"of"	"commercially"	"valuable"	"by-product"	"result"	"from"	"the"	"conversion"	"of"	"saline"	"water"	"and"	"undertake"	"economic"	"study"	"and"	"survey"	"to"	"determine"	"present"	"and"	"prospective"	"cost"	"of"	"produce"	"water"	"for"	"beneficial"	"consumptive"	"purpose"	"in"	"various"	"part"	"of"	"the"	"united_states"	"by"	"the"	"leading"	"saline"	"water"	"process"	"with"	"standard"	"method"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"which"	"8"	","	"mon-khmer"	",_which"	"which_8"	"8_mon-khmer"	")_,_which"	",_which_8"	"which_8_mon-khmer"	"8_mon-khmer_language"	"ε"	"ε"	"WDT"	"VB"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"publish"	"basic"	"vocabulary"	"in"	"some"	"mon-khmer"	"language"	"al"	"no."	"which"	"compare"	"mon-khmer"	"language"	"with"	"the"	"i-e"	"language"	"data"	"on"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"ijal_21_:_121_-_137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"when"	"to"	"difficulty"	"those"	"difficulty_when"	"when_to"	"to_those"	"have_difficulty_when"	"difficulty_when_to"	"when_to_those"	"to_those_in"	"VB"	"NN"	"WRB"	"VB"	"TO"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"we"	"had"	"expect"	"that"	"compulsive"	"child"	"the"	"unstructured"	"school"	"setting"	"would"	"have"	"difficulty"	"when"	"compare"	"to"	"those"	"in"	"the"	"structured"	"we"	"were"	"surprise"	"to"	"find"	"that"	"the"	"achievement"	"of"	"the"	"high"	"compulsive"	"within"	"the"	"school"	"where"	"the"	"whole-word_method"	"is"	"use"	"in"	"beginning"	"reading"	"compare"	"favorably"	"with"	"that"	"of"	"the"	"low"	"compulsive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"reading"	"favorably"	"beginning"	"with"	"beginning_reading"	"reading_favorably"	"favorably_with"	"in_beginning_reading"	"beginning_reading_favorably"	"reading_favorably_with"	"favorably_with_that"	"IN"	"JJ"	"NN"	"VB"	"RB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"we"	"had"	"expect"	"that"	"compulsive"	"child"	"in"	"the"	"unstructured"	"school"	"setting"	"would"	"have"	"difficulty"	"when"	"compare"	"to"	"those"	"in"	"the"	"structured"	"we"	"were"	"surprise"	"to"	"find"	"that"	"the"	"achievement"	"of"	"the"	"high"	"compulsive"	"within"	"the"	"school"	"where"	"the"	"whole-word_method"	"use"	"in"	"beginning"	"reading"	"compare"	"favorably"	"with"	"that"	"of"	"the"	"low"	"compulsive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"few"	"with"	"but"	"person"	"but_few"	"few_with"	"with_person"	",_but_few"	"but_few_with"	"few_with_person"	"with_person_'s"	"ε"	"CC"	"JJ"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ever"	"since"	"bambi"	"and"	"more"	"recently"	"born_free"	"there"	"have"	"be"	"of"	"book"	"about"	"animal"	"but"	"few"	"compare"	"with"	"person"	"wry"	"understate"	"charming"	"and"	"immensely"	"readable"	"my_friend_,"	"the"	"quizzical_salamander"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"to"	"may"	"that"	"may_be"	"be_to"	"to_that"	"soil_may_be"	"may_be_to"	"be_to_that"	"to_that_of"	"NN"	"MD"	"VB"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"crude"	"picture"	"of"	"the"	"detergency"	"process"	"thus_far"	"develop"	"can"	"be"	"represent"	"as"	"f"	"influence"	"of"	"mechanical"	"action"	"on"	"the"	"particle"	"of"	"free"	"soil"	"may"	"be"	"compare"	"to"	"that"	"of"	"kinetic_energy"	"on"	"a"	"molecular"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"directly"	"and"	"be"	"classify"	"be_directly"	"directly_and"	"and_classify"	"may_be_directly"	"be_directly_and"	"directly_and_classify"	"and_classify_,"	"MD"	"VB"	"RB"	"VB"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"onset"	"completion"	"and"	"skeletal"	"age"	"hand"	"of"	"boy"	"and"	"may"	"be"	"directly"	"compare"	"and"	"classify"	"use"	"only"	"those"	"skeletal"	"age"	"which"	"appear"	"immediately"	"below"	"the"	"onset"	"profile"	"and"	"the"	"completion"	"profile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
