"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"
"1:15:00::"	"light"	"."	"the"	"∅"	"the_light"	"light_."	"._∅"	"of_the_light"	"the_light_."	"light_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"possible"	"make"	"estimate"	"of"	"the"	"quantum"	"yield"	"by"	"observe"	"the"	"extent"	"of"	"reduction"	"of"	"a"	"uranyl_oxalate"	"actinometer"	"solution"	"illuminate"	"for"	"a"	"known"	"time"	"in"	"a"	"typical"	"reaction"	"cell"	"and"	"make"	"appropriate"	"conversion"	"base"	"on"	"the"	"difference"	"in"	"the"	"absorption_spectrum"	"of"	"uranyl_oxalate"	"and"	"of"	"chlorine"	"and"	"consider"	"the"	"spectral"	"distribution"	"of"	"the"	"light"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"another"	"of"	"∅"	"group"	"∅_another"	"another_of"	"of_group"	"∅_∅_another"	"∅_another_of"	"another_of_group"	"of_group_pride"	"ε"	"ε"	"DT"	"NN"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"source"	"of"	"group"	"pride"	"be"	"its"	"rare"	"film_clip"	"of"	"person"	"but"	"this"	"view"	"of"	"the"	"great"	"trumpeter"	"fly_by"	"so"	"fast"	"that"	"a"	"prolonged"	"wink"	"would"	"have"	"blot_out"	"the"	"entire"	"glimpse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"major"	"of"	"the"	"impression"	"the_major"	"major_of"	"of_impression"	"``_the_major"	"the_major_of"	"major_of_impression"	"of_impression_about"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"many"	"corner"	"of"	"the"	"globe"	"he"	"the"	"major"	"source"	"of"	"impression"	"about"	"this"	"country"	"be"	"in"	"the"	"movie"	"they"	"meet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"a"	"of"	"it"	"pure"	"it_a"	"a_of"	"of_pure"	"make_it_a"	"it_a_of"	"a_of_pure"	"of_pure_pleasure"	"VB"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lyric"	"beauty"	"of"	"person"	"trout_quintet"	"its"	"elemental"	"and"	"infectious"	"melody"	"make"	"it"	"a"	"source"	"of"	"pure"	"pleasure"	"for"	"almost"	"all"	"music"	"listener"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"on"	"of"	"advice"	"technical"	"advice_on"	"on_of"	"of_technical"	"and_advice_on"	"advice_on_of"	"on_of_technical"	"of_technical_information"	"CC"	"NN"	"IN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"sba"	"provide"	"and"	"advice"	"on"	"source"	"of"	"technical"	"information"	"relate"	"to"	"small"	"business"	"management"	"and"	"research"	"and"	"development"	"of"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"lending"	"on"	"private"	"reasonable"	"private_lending"	"lending_on"	"on_reasonable"	"through_private_lending"	"private_lending_on"	"lending_on_reasonable"	"on_reasonable_term"	"IN"	"JJ"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sba"	"makes"	"loan"	"to"	"individual"	"small"	"business_firm"	"provide"	"them"	"financing"	"when"	"it"	"be"	"not"	"available"	"through"	"private"	"lending"	"source"	"on"	"reasonable"	"term"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"of"	"as"	"investment"	"as_a"	"a_of"	"of_investment"	"∅_as_a"	"as_a_of"	"a_of_investment"	"of_investment_capital"	"ε"	"IN"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"source"	"of"	"investment"	"capital"	"the"	"system"	"be"	"beneficial"	"to"	"local"	"community"	"and"	"encourage"	"the"	"development"	"of"	"industry"	"in"	"rural_area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"domestic"	"of"	"for"	"mineral"	"for_domestic"	"domestic_of"	"of_mineral"	"exploration_for_domestic"	"for_domestic_of"	"domestic_of_mineral"	"of_mineral_,"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"encourage"	"for"	"domestic"	"source"	"of"	"mineral"	"the"	"group"	"ome"	"of"	"the"	"group"	"offer"	"financial"	"assistance"	"to"	"firm"	"and"	"individual"	"who"	"desire"	"to"	"explore"	"their"	"property"	"or"	"claim"	"for"	"or"	"more"	"of"	"the"	"mineral"	"commodity"	"list"	"in"	"the"	"ome"	"regulation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"commercial"	"on"	"from"	"reasonable"	"from_commercial"	"commercial_on"	"on_reasonable"	"funds_from_commercial"	"from_commercial_on"	"commercial_on_reasonable"	"on_reasonable_term"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"help"	"is"	"offer"	"to"	"applicant"	"who"	"ordinarily"	"would"	"not"	"undertake"	"the"	"exploration"	"under"	"present"	"or"	"circumstance"	"at"	"their"	"sole"	"expense"	"and"	"who"	"be"	"unable"	"to"	"obtain"	"funds"	"from"	"commercial"	"source"	"on"	"reasonable"	"term"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"group"	"say"	"a"	"there"	"a_group"	"group_say"	"say_there"	"∅_a_group"	"a_group_say"	"group_say_there"	"say_there_also"	"ε"	"DT"	"NNP"	"NN"	"VB"	"EX"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"source"	"say"	"there"	"also"	"be"	"a"	"plan"	"there"	"to"	"issue"	"some"	"million"	"to"	"million"	"worth"	"of"	"group"	"bond"	"for"	"rural"	"road"	"construction"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
