"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"
"4:02:05::"	"sputtered"	"to"	"he"	"his"	"he_sputtered"	"sputtered_to"	"to_his"	"∅_he_sputtered"	"he_sputtered_to"	"sputtered_to_his"	"to_his_foot"	"ε"	"PRP"	"VBD"	"RB"	"TO"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sputtered"	"back"	"to"	"his"	"foot"	"and"	"scramble"	"madly"	"to"	"pull"	"his"	"bag"	"of"	"seed_grain"	"forward"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"call"	","	"person"	"and"	"person_call"	"call_,"	",_and"	",_person_call"	"person_call_,"	"call_,_and"	",_and_pull"	"ε"	"NNP"	"VB"	"RB"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"roger"	"person"	"person"	"back"	"and"	"pull"	"his"	"four"	"in"	"and"	"slightly"	"above"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"haul"	"on"	"he"	"the"	"he_haul"	"haul_on"	"on_the"	"∅_he_haul"	"he_haul_on"	"haul_on_the"	"on_the_stick"	"ε"	"PRP"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"haul"	"back"	"on"	"the"	"stick"	"and"	"feel"	"his"	"cheek"	"sag"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	","	"by"	"merchandising"	"pre"	"merchandising_,"	",_by"	"by_pre"	"display_merchandising_,"	"merchandising_,_by"	",_by_pre"	"by_pre_selling"	"NN"	"NN"	"ε"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"display"	"back"	"by"	"pre"	"selling"	"through"	"advertising"	"and"	"promotion"	"will"	"continue"	"to"	"make"	"stride"	"in"	"the"	"sixties"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"yell"	"."	"pitcher"	"∅"	"pitcher_yell"	"yell_."	"._∅"	"the_pitcher_yell"	"pitcher_yell_."	"yell_._∅"	"._∅_∅"	"DT"	"NN"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"wait"	"the"	"yell"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"or"	"to"	"monday"	"friday"	"monday_or"	"or_to"	"to_friday"	"to_monday_or"	"monday_or_to"	"or_to_friday"	"to_friday_in_order"	"TO"	"NN"	"CC"	"RB"	"TO"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"investigate"	"the"	"possibility"	"midweek"	"holiday"	"forward"	"to"	"monday"	"or"	"back"	"to"	"friday"	"in_order"	"to"	"have"	"an"	"uninterrupted"	"work"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"count"	"the"	"and"	"change"	"and_count"	"count_the"	"the_change"	"day_and_count"	"and_count_the"	"count_the_change"	"the_change_."	"NN"	"CC"	"VB"	"RB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"who"	"would"	"be"	"person"	"so"	"very"	"soon"	"now"	"her"	"first"	"sale"	"of"	"the"	"day"	"and"	"count"	"back"	"the"	"change"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"walk"	"to"	"we"	"the"	"we_walk"	"walk_to"	"to_the"	"and_we_walk"	"we_walk_to"	"walk_to_the"	"to_the_hotel"	"CC"	"PRP"	"VB"	"RB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lunch"	"be"	"over"	"we"	"walk"	"back"	"to"	"the"	"hotel"	"with"	"the"	"light"	"and"	"dark"	"of"	"paris"	"scream"	"at"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"marriage"	"where"	"a"	"it"	"a_marriage"	"marriage_where"	"where_it"	"get_a_marriage"	"a_marriage_where"	"marriage_where_it"	"where_it_belong"	"VB"	"DT"	"NN"	"RB"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"get"	"marriage"	"back"	"where"	"it"	"belong"	"comment"	"person"	"of"	"the"	"group"	"the"	"husband"	"must"	"take"	"some"	"very"	"basic"	"step"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"and"	"on"	"watch"	"on_his"	"his_and"	"and_watch"	"lie_on_his"	"on_his_and"	"his_and_watch"	"and_watch_the"	"VB"	"VB"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"then_again"	"perhaps"	"the"	"reason"	"why"	"could"	"n't"	"find"	"time"	"to"	"do"	"any"	"of"	"the"	"thing"	"he"	"had"	"plan"	"do"	"after"	"retirement"	"read"	"roam"	"garden"	"lie"	"on"	"his"	"back"	"and"	"watch"	"the"	"cloud"	"go_by"	"be"	"because"	"he"	"did"	"n't"	"want"	"to"	"do"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"while"	"cite"	"a"	"a"	"a_while"	"while_cite"	"cite_a"	"judge_a_while"	"a_while_cite"	"while_cite_a"	"cite_a_roman"	"NN"	"DT"	"IN"	"RB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"virginia"	"a"	"while"	"back"	"cite"	"a"	"roman"	"jurist"	"to"	"the"	"effect"	"that"	"ten"	"year"	"might"	"be"	"a"	"reasonable"	"length"	"of"	"time"	"for"	"such"	"a"	"change"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"him"	"to"	"take"	"the"	"take_him"	"him_to"	"to_the"	"taxi_take_him"	"take_him_to"	"him_to_the"	"to_the_bar"	"NN"	"VB"	"PRP"	"RB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"take"	"him"	"back"	"to"	"the"	"bar"	"and"	"grill"	"where"	"he"	"had"	"leave"	"his"	"car"	"and"	"a_few"	"minute"	"later"	"he"	"find"	"a"	"parking_space"	"across"	"the"	"street"	"from"	"his"	"apartment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"be"	"in"	"would"	"an"	"would_be"	"be_in"	"in_an"	"he_would_be"	"would_be_in"	"be_in_an"	"in_an_hour"	"PRP"	"MD"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"go_out"	"he"	"would"	"be"	"back"	"in"	"an"	"hour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"in"	"of"	"open"	"the"	"open_in"	"in_of"	"of_the"	"hall_open_in"	"open_in_of"	"in_of_the"	"of_the_bar"	"NN"	"VB"	"IN"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"open"	"in"	"back"	"of"	"the"	"bar"	"run"	"toward"	"an"	"ell"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"door"	"to"	"."	"to_the"	"the_door"	"door_."	"turn_to_the"	"to_the_door"	"the_door_."	"door_._∅"	"VB"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"resignedly"	"person"	"to"	"the"	"back"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"envelope"	"in"	"the"	"the"	"the_envelope"	"envelope_in"	"in_the"	"thrust_the_envelope"	"the_envelope_in"	"envelope_in_the"	"in_the_bag"	"VB"	"DT"	"NN"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"the"	"envelope"	"back"	"in"	"the"	"bag"	"there"	"be"	"no"	"point"	"in"	"lock_up"	"it"	"up"	"in"	"the"	"armoire"	"now"	"it"	"be"	"like"	"lock"	"the"	"barn"	"after"	"the"	"horse"	"was"	"steal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
