"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"2:38:00::"	"has"	"back"	"kretchmer"	"at"	"kretchmer_has"	"has_back"	"back_at"	"escort_kretchmer_has"	"kretchmer_has_back"	"has_back_at"	"back_at_newport"	"NN"	"NNP"	"VBZ"	"VB"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"newport-based"	"destroyer"	"escort"	"kretchmer"	"has"	"arrive"	"back"	"at"	"newport"	"after"	"three"	"months"	"patrol"	"in"	"north_atlantic"	"waters"	"mark"	"by"	"mercy"	"jobs"	"afloat"	"and"	"ashore"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"might"	"here"	"test"	"next"	"test_might"	"might_here"	"here_next"	"the_test_might"	"test_might_here"	"might_here_next"	"here_next_week"	"DT"	"NN"	"MD"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"weather_bureau"	"has"	"estimate"	"that"	"fallout"	"from"	"the"	"test"	"might"	"arrive"	"here"	"next"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"here"	","	"a"	",_he"	"he_here"	"here_a"	"person_,_he"	",_he_here"	"he_here_a"	"here_a_couple"	"NNP"	"ε"	"PRP"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"according"	"to"	"he"	"arrive"	"here"	"a"	"couple"	"minute"	"before"	"nine"	"and"	"spot"	"person"	"in"	"the"	"water"	"get"	"a"	"hooked"	"pole"	"from"	"the"	"pool"	"equipment"	"locker"	"and"	"start"	"haul"	"him"	"out"	
"2:38:00::"	"he"	"before"	","	"the"	",_he"	"he_before"	"before_the"	"person_,_he"	",_he_before"	"he_before_the"	"before_the_hour"	"NNP"	"ε"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"like"	"he"	"arrive"	"before"	"the"	"hour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"in"	"at"	"deduct"	"adjusted_gross_income"	"deduct_in"	"in_at"	"at_adjusted_gross_income"	"is_deduct_in"	"deduct_in_at"	"in_at_adjusted_gross_income"	"at_adjusted_gross_income_."	"VBZ"	"VB"	"IN"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sick_pay"	"if"	"include"	"in"	"your"	"income"	"is"	"deduct"	"in"	"arrive"	"at"	"adjusted_gross_income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"first"	"at"	"had"	"this"	"had_first"	"first_at"	"at_this"	"she_had_first"	"had_first_at"	"first_at_this"	"at_this_conclusion"	"PRP"	"VBD"	"RB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"could"	"n't"	"when"	"she"	"had"	"first"	"arrive"	"at"	"this"	"conclusion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"had"	"there"	","	"long"	",_had"	"had_there"	"there_long"	"person_,_had"	",_had_there"	"had_there_long"	"there_long_before"	"NNP"	"ε"	"VBD"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cook"	"had"	"arrive"	"there"	"long"	"before"	"the"	"herd"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"vice_president"	"."	"the"	"∅"	"the_vice_president"	"vice_president_."	"._∅"	"later_the_vice_president"	"the_vice_president_."	"vice_president_._∅"	"._∅_∅"	"RB"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"half-hour"	"the"	"vice_president"	"arrive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"model"	"at"	"first"	"dusk"	"first_model"	"model_at"	"at_dusk"	"his_first_model"	"first_model_at"	"model_at_dusk"	"at_dusk_."	"PRP$"	"JJ"	"NN"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"model"	"arrive"	"at"	"dusk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"would"	"by"	"that"	"next"	"that_would"	"would_by"	"by_next"	"party_that_would"	"that_would_by"	"would_by_next"	"by_next_ship"	"NN"	"WDT"	"MD"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"mars"	"human"	"were"	"build"	"pressure_dome"	"the"	"male"	"and"	"female"	"party"	"that"	"would"	"arrive"	"by"	"next"	"ship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"just"	"∅"	"before"	"∅_person"	"person_just"	"just_before"	"∅_∅_person"	"∅_person_just"	"person_just_before"	"just_before_nightfall"	"ε"	"ε"	"NNP"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arrive"	"just"	"before"	"nightfall"	"two"	"hour"	"late"	"in"	"company"	"with"	"person"	"person"	"chairman"	"of"	"the"	"group"	"board_of_directors"	"and"	"person"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
