"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:35:00::"	"and"	"the"	"seek_out"	"enemy"	"seek_out_and"	"and_the"	"the_enemy"	"to_seek_out_and"	"seek_out_and_the"	"and_the_enemy"	"the_enemy_'s"	"TO"	"VB"	"CC"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"would"	"have"	"means"	"to"	"seek_out"	"and"	"destroy"	"the"	"enemy"	"force"	"whether"	"it"	"be"	"fixed"	"or"	"mobile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"immediately"	"any"	"could"	"targets"	"could_immediately"	"immediately_any"	"any_targets"	"aircraft_could_immediately"	"could_immediately_any"	"immediately_any_targets"	"any_targets_it"	"NN"	"MD"	"RB"	"VB"	"DT"	"NNS"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"would"	"be"	"even"	"more"	"because"	"that"	"same"	"aircraft"	"could"	"immediately"	"destroy"	"any"	"targets"	"it"	"discover"	"no"	"need"	"to"	"wait"	"for"	"a"	"missile"	"to"	"come"	"all_the_way"	"from"	"the"	"united_states"	"with"	"the"	"chance"	"that"	"the"	"target"	"if"	"it"	"be"	"mobile"	"would"	"be"	"gone"	
"2:35:00::"	"and"	"the"	"hunt_down"	"enemy"	"hunt_down_and"	"and_the"	"the_enemy"	"to_hunt_down_and"	"hunt_down_and_the"	"and_the_enemy"	"the_enemy_'s"	"TO"	"VB"	"CC"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"fail"	"to"	"the"	"means"	"to"	"hunt_down"	"and"	"destroy"	"the"	"enemy"	"military_force"	"with"	"extreme"	"care"	"and"	"precision"	"and"	"if"	"war"	"come"	"in"	"spite"	"of"	"our"	"most"	"ardent"	"desires"	"for"	"peace"	"our"	"choice"	"of"	"alternatives"	"will"	"be"	"truly"	"frightening"	"0"	"0"	
"2:36:00::"	"and"	"them"	"gear"	"with"	"gear_and"	"and_them"	"them_with"	"advance_gear_and"	"gear_and_them"	"and_them_with"	"them_with_torpedoes"	"NN"	"NN"	"CC"	"VB"	"PRP"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"of"	"the"	"hunter-killer"	"type"	"design"	"to"	"seek_out"	"and"	"submarines"	"with"	"its"	"most"	"advance"	"gear"	"and"	"destroy"	"them"	"with"	"torpedoes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"its"	"fail"	"target"	"fail_to"	"to_its"	"its_target"	"louisiana_fail_to"	"fail_to_its"	"to_its_target"	"its_target_,"	"NNP"	"VB"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"buchheister"	"tell"	"delegates"	"to"	"the"	"west_coast_audubon_convention"	"aerial"	"spraying"	"in"	"louisiana"	"fail"	"to"	"destroy"	"its"	"target"	"the"	"fire_ant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"did"	"the"	"it"	"natural"	"it_did"	"did_the"	"the_natural"	"but_it_did"	"it_did_the"	"did_the_natural"	"the_natural_controls"	"CC"	"PRP"	"VBD"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"did"	"destroy"	"the"	"natural"	"controls"	"of"	"a"	"borer"	"and"	"release"	"a"	"new"	"plague"	"that"	"wreck"	"a"	"sugar_cane"	"crop"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"in"	"that"	"and"	"of"	"and_in"	"in_that"	"that_of"	"power_and_in"	"and_in_that"	"in_that_of"	"that_of_rival"	"NN"	"CC"	"IN"	"VB"	"IN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nor"	"did"	"the"	"trial"	"devote"	"much"	"attention"	"to"	"expose"	"the"	"usefulness"	"of"	"to"	"the"	"nazi"	"both"	"in"	"build"	"their"	"own"	"power"	"and"	"in"	"destroy"	"that"	"of"	"rival"	"organization"	"and"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	","	"person"	"world"	"."	"world_,"	",_person"	"person_."	"the_world_,"	"world_,_person"	",_person_."	"person_._∅"	"DT"	"NN"	"ε"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"strategy"	"bold"	"and"	"tough"	"was"	"also"	"attract"	"notice"	"in"	"washington"	"a"	"naval"	"air"	"blockade"	"to"	"cut_off"	"cuba"	"off"	"from"	"the"	"world"	"destroy"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"you"	"confidence"	"if"	"in"	"if_you"	"you_confidence"	"confidence_in"	"``_if_you"	"if_you_confidence"	"you_confidence_in"	"confidence_in_bank"	"ε"	"IN"	"PRP"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"destroy"	"confidence"	"in"	"bank"	"you"	"do"	"something"	"to"	"the"	"economy"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"of"	"or"	"purpose"	"reduce"	"purpose_of"	"of_or"	"or_reduce"	"the_purpose_of"	"purpose_of_or"	"of_or_reduce"	"or_reduce_the"	"RB"	"NN"	"RB"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"biological_warfare"	"be"	"the"	"intentional"	"use"	"of"	"living"	"or"	"their"	"toxic"	"product"	"for"	"the"	"purpose"	"of"	"destroy"	"or"	"reduce"	"the"	"military"	"effectiveness"	"of"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
