"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"1:08:01::"	"her"	"when"	"stamp"	"i"	"stamp_her"	"her_when"	"when_i"	"and_stamp_her"	"stamp_her_when"	"her_when_i"	"when_i_come_back"	"CC"	"VB"	"PRP$"	"NN"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"could"	"scratch"	"her"	"eye"	"out"	"cry"	"and"	"stamp"	"her"	"foot"	"when"	"i"	"come_back"	"from"	"the"	"phone_booth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"3"	"6"	"about"	"inch"	"about_3"	"3_6"	"6_inch"	"of_about_3"	"about_3_6"	"3_6_inch"	"6_inch_per_year"	"IN"	"IN"	"JJ"	"NN"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"it"	"come_to"	"rate"	"of"	"early"	"growth"	"the"	"lead"	"with"	"a"	"figure"	"of"	"about"	"foot"	"inch"	"per_year"	"for"	"the"	"first"	"two"	"year"	"more_or_less"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"rather_than"	"."	"inch"	"∅"	"inch_rather_than"	"rather_than_."	"._∅"	"of_inch_rather_than"	"inch_rather_than_."	"rather_than_._∅"	"._∅_∅"	"IN"	"NN"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"cannot"	"sense"	"out"	"of"	"the"	"figure"	"for"	"maturity"	"growth"	"at_best"	"the"	"increase"	"appear"	"to"	"be"	"a"	"matter"	"of"	"inch"	"rather_than"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"-"	"maximum"	"10"	")"	"10_-"	"-_maximum"	"maximum_)"	"a_10_-"	"10_-_maximum"	"-_maximum_)"	"maximum_)_show"	"DT"	"JJ"	"ε"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"following"	"information"	"on"	"snake"	"vary"	"greatly"	"in"	"but"	"all"	"with"	"less_than"	"a"	"foot"	"maximum"	"show"	"when"	"consider"	"with"	"the"	"foregoing"	"that"	"there"	"be"	"probably"	"no"	"correlation"	"between"	"the"	"length"	"of"	"a"	"snake"	"and"	"the"	"time"	"require"	"for"	"it"	"to"	"mature"	
"1:05:01::"	"her"	","	"to"	"person"	"to_her"	"her_,"	",_person"	"scramble_to_her"	"to_her_,"	"her_,_person"	",_person_agilely"	"VB"	"TO"	"PRP$"	"NN"	"ε"	"NNP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"katie"	"to"	"her"	"foot"	"person"	"agilely"	"retain"	"his"	"seat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"a_million"	"high"	"church"	"."	"church_a_million"	"a_million_high"	"high_."	"the_church_a_million"	"church_a_million_high"	"a_million_high_."	"high_._∅"	"DT"	"NN"	"JJ"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"tower"	"and"	"steeple"	"on"	"the"	"church"	"a_million"	"foot"	"high"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"-"	"-"	"6"	"3"	"6_-"	"-_-"	"-_3"	"a_6_-"	"6_-_-"	"-_-_3"	"-_3_-"	"DT"	"JJ"	"ε"	"NN"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"inch"	"pounder"	"give_up"	"the"	"group"	"last"	"two"	"safety"	"over"	"the"	"final"	"three"	"frame"	"escape"	"a"	"load"	"of"	"trouble"	"in"	"the"	"ninth"	"when"	"the"	"group"	"threaten"	"but"	"fail"	"to"	"tally"	"0"	"0"	"0"	"0"	
"1:23:00::"	"375"	"deep"	"fence"	"into"	"fence_375"	"375_deep"	"deep_into"	"the_fence_375"	"fence_375_deep"	"375_deep_into"	"deep_into_left"	"DT"	"NN"	"CD"	"NN"	"JJ"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"ninth"	"person"	"lead"	"off"	"with"	"his"	"second"	"double"	"the"	"night"	"a"	"blast"	"off"	"the"	"fence"	"foot"	"deep"	"into"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"415"	"over"	"toss"	"the"	"toss_415"	"415_over"	"over_the"	"next_toss_415"	"toss_415_over"	"415_over_the"	"over_the_scoreboard"	"JJ"	"NN"	"CD"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"work"	"a"	"walk"	"as"	"the"	"first"	"batter"	"to"	"face"	"and"	"romp"	"around"	"as"	"person"	"blast"	"person"	"next"	"toss"	"foot"	"over"	"the"	"scoreboard"	"in"	"right"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"-"	"3"	"6"	"inch"	"6_-"	"-_3"	"3_inch"	"the_6_-"	"6_-_3"	"-_3_inch"	"3_inch_person"	"DT"	"JJ"	"ε"	"NN"	"JJ"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"inch"	"person"	"check_in"	"close_to"	"pound"	"pound"	"light"	"than"	"his"	"reporting_weight"	"last"	"spring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"the"	"."	"to"	"∅"	"to_the"	"the_."	"._∅"	"kind_to_the"	"to_the_."	"the_._∅"	"._∅_∅"	"JJ"	"TO"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sizzling"	"temperature"	"and"	"hot"	"summer"	"be"	"anything"	"but"	"kind"	"to"	"the"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"your"	"forward"	"extend"	"and"	"extend_your"	"your_forward"	"forward_and"	";_extend_your"	"extend_your_forward"	"your_forward_and"	"forward_and_backward"	"ε"	"VB"	"PRP$"	"NN"	"RB"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"place"	"a"	"suitably"	"loaded"	"barbell"	"across"	"them"	"grasp"	"the"	"bar"	"which"	"will"	"rest"	"against"	"the"	"of"	"your"	"neck"	"extend"	"your"	"foot"	"forward"	"and"	"backward"	"until"	"you"	"be"	"in"	"a"	"deep"	"leg"	"split"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"your"	"."	"move"	"∅"	"move_your"	"your_."	"._∅"	"without_move_your"	"move_your_."	"your_._∅"	"._∅_∅"	"IN"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"raise"	"the"	"weight"	"by"	"straighten"	"front"	"leg"	"without"	"move"	"your"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"and"	","	"hand"	"but"	"hand_and"	"and_,"	",_but"	"the_hand_and"	"hand_and_,"	"and_,_but"	",_but_more"	"DT"	"NN"	"CC"	"NN"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"time"	"a"	"detailed"	"neuromuscular"	"examination"	"reveal"	"muscle"	"atrophy"	"that"	"be"	"moderate"	"in"	"the"	"hand"	"and"	"foot"	"but"	"more"	"marked"	"in"	"the"	"shoulder"	"hip"	"and"	"pelvic_girdle"	"with"	"hypoactive"	"deep"	"tendon"	"reflex"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"-"	"1"	"6"	"-"	"6_-"	"-_1"	"1_-"	",_6_-"	"6_-_1"	"-_1_-"	"1_-_inch"	"ε"	"JJ"	"ε"	"NN"	"JJ"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"pound"	"foot"	"senior"	"from"	"location"	"person"	"practice"	"nothing"	"but"	"place-kicking"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"-"	"reflector"	"84"	"at"	"84_-"	"-_reflector"	"reflector_at"	"the_84_-"	"84_-_reflector"	"-_reflector_at"	"reflector_at_the"	"DT"	"CD"	"ε"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cm"	"observation"	"of"	"person"	"was"	"make"	"on"	"may"	"the"	"foot"	"reflector"	"at"	"the"	"group"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
