"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"
"2:32:01::"	"∅"	"into"	"∅"	"the"	"∅_∅"	"∅_into"	"into_the"	"∅_∅_∅"	"∅_∅_into"	"∅_into_the"	"into_the_phone"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"into"	"the"	"phone"	"again"	"and"	"recognize"	"the"	"caller"	"i"	"resume"	"my"	"everyday"	"voice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"gabriel"	"."	"at_last"	"∅"	"at_last_gabriel"	"gabriel_."	"._∅"	"∅_at_last_gabriel"	"at_last_gabriel_."	"gabriel_._∅"	"._∅_∅"	"ε"	"RB"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gabriel"	"speak"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"well"	"seem"	"of"	"seem_to"	"to_well"	"well_of"	"versions_seem_to"	"seem_to_well"	"to_well_of"	"well_of_the"	"NNS"	"VB"	"TO"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"an"	"initial"	"perusal"	"and"	"comparison"	"of"	"some"	"of"	"the"	"passages"	"with"	"the"	"same"	"parts"	"of"	"versions"	"seem"	"to"	"speak"	"well"	"of"	"the"	"efforts"	"of"	"the_british"	"biblical"	"scholars"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"in"	"of"	"history"	"``"	"history_in"	"in_of"	"of_``"	"recent_history_in"	"history_in_of"	"in_of_``"	"of_``_dollarette"	"JJ"	"NN"	"IN"	"VB"	"IN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"former"	"president"	"ignore"	"recent"	"history"	"in"	"speak"	"of"	"dollarette"	"dollars"	"under"	"kennedy_administration"	"fiscal"	"policies"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	","	"with"	"government"	"rich"	"government_,"	",_with"	"with_rich"	"in_government_,"	"government_,_with"	",_with_rich"	"with_rich_background"	"IN"	"NN"	"ε"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gov._john_m._dalton"	"himself"	"a"	"lawyer"	"and"	"a"	"of"	"long"	"service"	"in"	"government"	"speak"	"with"	"rich"	"background"	"and"	"experience"	"when"	"he"	"say"	"in"	"an"	"address"	"here"	"that"	"lawyers"	"ought"	"to"	"quit"	"sit"	"in"	"the"	"missouri"	"general_assembly"	"or"	"quit"	"accept"	"fees"	"from"	"individuals"	"and"	"corporations"	"who"	"have"	"controversies"	"with"	"or"	"axes_to_grind"	"with"	"the"	"government"	"and"	"who"	"are"	"retain"	"not"	"because"	"of"	"their"	"legal"	"talents"	"but"	"because"	"of"	"their"	"government"	"influence"	
"2:32:00::"	"may"	"of"	"others"	"speaker_rayburn"	"others_may"	"may_of"	"of_speaker_rayburn"	"∅_others_may"	"others_may_of"	"may_of_speaker_rayburn"	"of_speaker_rayburn_'"	"ε"	"NNS"	"MD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"may"	"speak"	"of"	"speaker_rayburn"	"s"	"uniquely"	"long"	"and"	"devoted"	"service"	"of"	"his"	"championship"	"of"	"many_of"	"the"	"progressive"	"social"	"measures"	"which"	"adorn"	"our"	"statute_books"	"today"	"and"	"of"	"his"	"cooperation"	"in"	"times"	"of"	"adversity"	"with"	"presidents"	"of"	"both"	"of"	"our"	"major"	"parties"	"in"	"help"	"to"	"pilot"	"the"	"ship"	"of"	"state"	"through"	"the"	"shoals"	"of"	"today"	"stormy"	"international"	"seas"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	","	"prefer"	"however"	"prefer_to"	"to_,"	",_however"	"i_prefer_to"	"prefer_to_,"	"to_,_however"	",_however_,"	"PRP"	"VB"	"TO"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"to"	"speak"	"however"	"of"	"sam_rayburn"	"the"	"person"	"rather_than"	"sam_rayburn"	"the"	"american"	"institution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"tribes"	"400"	"innumerable"	"dialects"	"innumerable_tribes"	"tribes_400"	"400_dialects"	"and_innumerable_tribes"	"innumerable_tribes_400"	"tribes_400_dialects"	"400_dialects_."	"CC"	"JJ"	"NNS"	"VB"	"CD"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"population"	"of"	"the"	"congo"	"be"	"million"	"divide"	"into"	"at_least"	"major"	"culture"	"clusters"	"and"	"innumerable"	"tribes"	"speak"	"dialects"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"pascal"	"of_this"	"writings"	"mania"	"writings_pascal"	"pascal_of_this"	"of_this_mania"	"his_writings_pascal"	"writings_pascal_of_this"	"pascal_of_this_mania"	"of_this_mania_for"	"PRP$"	"NNS"	"NNP"	"VB"	"RB"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"one"	"his"	"writings"	"pascal"	"speak"	"of_this"	"mania"	"for"	"diversion"	"as"	"be"	"a"	"sign"	"of"	"misery"	"and"	"fear"	"which"	"man"	"cannot"	"endure"	"without"	"such"	"opiates"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"he"	"briefly"	"∅"	","	"∅_he"	"he_briefly"	"briefly_,"	"∅_∅_he"	"∅_he_briefly"	"he_briefly_,"	"briefly_,_sensibly"	"ε"	"ε"	"PRP"	"VB"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"speak"	"briefly"	"sensibly"	"to_the_point"	"and"	"without"	"oratorical"	"flourishes"	"he"	"make_sense"	"good"	"plain"	"american"	"common_sense"	"and"	"the"	"house"	"usually"	"recognize"	"it"	"and"	"act"	"upon"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"mayor"	"yesterday"	"the"	"at"	"the_mayor"	"mayor_yesterday"	"yesterday_at"	"∅_the_mayor"	"the_mayor_yesterday"	"mayor_yesterday_at"	"yesterday_at_the"	"ε"	"DT"	"NNP"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mayor"	"speak"	"yesterday"	"at"	"the"	"united"	"irish"	"counties"	"feis"	"on"	"the"	"hunter_college_campus"	"in"	"the_bronx"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"who"	"through"	"''"	"an"	"''_who"	"who_through"	"through_an"	"control_''_who"	"''_who_through"	"who_through_an"	"through_an_entranced"	"NN"	"ε"	"WP"	"VB"	"IN"	"DT"	"JJ"	"with"	"whom"	"the"	"parapsychology_foundation"	"is"	"work"	"in_this"	"experiment"	"be"	"in"	"a"	"waking"	"or"	"only"	"slightly"	"dissociated"	"state"	"so_that"	"the"	"sitter"	"can"	"make"	"comments"	"ask"	"and"	"answer"	"questions"	"instead"	"of"	"talk"	"with"	"a"	"control"	"who"	"speak"	"an"	"entranced"	"sensitive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"∅"	"recently"	"∅"	"in"	"∅_∅"	"∅_recently"	"recently_in"	"∅_∅_∅"	"∅_∅_recently"	"∅_recently_in"	"recently_in_miami"	"ε"	"ε"	"ε"	"VB"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recently"	"in"	"miami"	"governor_rockefeller"	"say"	"that"	"to"	"assure"	"the"	"sufficiency"	"of"	"our"	"own"	"weapons"	"in"	"the"	"face"	"of"	"the"	"recent"	"soviet"	"tests"	"we"	"are"	"now"	"clearly"	"compel"	"to"	"conduct"	"our"	"own"	"nuclear"	"tests"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"lord"	"when"	"the"	"he"	"the_lord"	"lord_when"	"when_he"	"of_which_the_lord"	"the_lord_when"	"lord_when_he"	"when_he_say"	"RB"	"DT"	"NNP"	"VB"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"his"	"heart"	"he"	"that"	"peace"	"of_which"	"the"	"lord"	"speak"	"when"	"he"	"say"	"peace"	"i"	"leave"	"with"	"you"	"my"	"peace"	"i"	"give"	"unto"	"you"	"not"	"as"	"the"	"world"	"giveth"	"give"	"i"	"unto"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
