"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"4:02:00::"	"year"	"in"	"a_few"	"the"	"a_few_year"	"year_in"	"in_the"	"write_a_few_year"	"a_few_year_in"	"year_in_the"	"in_the_yale_review"	"VB"	"JJ"	"NN"	"RB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"yale"	"historian"	"a_few"	"year"	"ago"	"in"	"the"	"yale_review"	"say"	"we"	"in"	"new_england"	"have"	"long_since"	"segregate"	"our"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"headline"	"several"	"were"	"several_year"	"year_headline"	"headline_were"	"∅_several_year"	"several_year_headline"	"year_headline_were"	"headline_were_make"	"ε"	"JJ"	"NN"	"RB"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"year"	"ago"	"headline"	"were"	"make"	"by"	"a"	"small"	"radio_transmitter"	"capsule"	"which"	"could"	"be"	"swallow"	"by"	"the"	"patient"	"and"	"which"	"would"	"then"	"radio"	"internal"	"pressure"	"data"	"to"	"external"	"receiver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"when"	"two"	"he"	"two_year"	"year_when"	"when_he"	"until_two_year"	"two_year_when"	"year_when_he"	"when_he_and"	"IN"	"JJ"	"NN"	"RB"	"WRB"	"PRP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"artist"	"be_born"	"in"	"location"	"new_york"	"in"	"until"	"two"	"year"	"ago"	"when"	"he"	"and"	"his"	"wife"	"move"	"to"	"california"	"he"	"live"	"in"	"western"	"new_york"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"minute"	","	"twenty"	"person"	"twenty_minute"	"minute_,"	",_person"	"office_twenty_minute"	"twenty_minute_,"	"minute_,_person"	",_person_."	"NN"	"JJ"	"NN"	"RB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"you"	"were"	"expect"	"to"	"to"	"my"	"office"	"twenty"	"minute"	"ago"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"."	"seventeen"	"∅"	"seventeen_year"	"year_."	"._∅"	"group_seventeen_year"	"seventeen_year_."	"year_._∅"	"._∅_∅"	"NNP"	"JJ"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"purchase"	"group"	"seventeen"	"year"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"there"	"one_hundred"	"exist"	"one_hundred_year"	"year_there"	"there_exist"	"∅_one_hundred_year"	"one_hundred_year_there"	"year_there_exist"	"there_exist_in"	"ε"	"JJ"	"NN"	"RB"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"year"	"ago"	"there"	"exist"	"in"	"england"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"be"	"one_hundred"	"a"	"one_hundred_year"	"year_be"	"be_a"	"england_one_hundred_year"	"one_hundred_year_be"	"year_be_a"	"be_a_very"	"NN"	"JJ"	"NN"	"RB"	"VB"	"DT"	"RB"	"increase"	"in"	"number"	"and"	"prestige"	"bring_about"	"by"	"the"	"conversion"	"of"	"person"	"and"	"tractarian"	"of"	"the"	"and"	"the"	"catholic"	"segment"	"of"	"england"	"one_hundred"	"year"	"be"	"a"	"very"	"small"	"one"	"four"	"percent"	"or"	"which"	"did"	"not"	"enjoy"	"a"	"gracious"	"hearing"	"from"	"the"	"general"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"this"	"10"	"month"	"10_year"	"year_this"	"this_month"	"location_10_year"	"10_year_this"	"year_this_month"	"this_month_,"	"NNP"	"JJ"	"NN"	"RB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"next"	"to"	"person"	"person"	"teach"	"person"	"the"	"most"	"when"	"he"	"be"	"a"	"grass"	"rookie"	"rush"	"up_to"	"the"	"location"	"year"	"ago"	"this"	"month"	"to"	"help"	"the"	"group"	"win"	"a"	"dramatic"	"pennant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	","	"dozen"	"the"	"dozen_year"	"year_,"	",_the"	"some_dozen_year"	"dozen_year_,"	"year_,_the"	",_the_claim"	"DT"	"NN"	"NN"	"RB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"concept"	"of"	"become"	"important"	"some"	"dozen"	"year"	"ago"	"the"	"claim"	"of"	"technical"	"improvement"	"have"	"multiply"	"tenfold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"and"	"several"	"report"	"several_year"	"year_and"	"and_report"	"come_back_several_year"	"several_year_and"	"year_and_report"	"and_report_&"	"VB"	"JJ"	"NN"	"RB"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"third"	"come_back"	"several"	"year"	"ago"	"and"	"report"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"week"	","	"a_few"	"however"	"a_few_week"	"week_,"	",_however"	"until_a_few_week"	"a_few_week_,"	"week_,_however"	",_however_,"	"IN"	"JJ"	"NN"	"RB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"until"	"week"	"ago"	"however"	"person"	"be"	"some"	"godlike"	"creature"	"who"	"have"	"nothing"	"in_common"	"with"	"the"	"duffer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"you"	"ten"	"give"	"ten_year"	"year_you"	"you_give"	"interview_ten_year"	"ten_year_you"	"year_you_give"	"you_give_humor"	"NN"	"JJ"	"NN"	"RB"	"PRP"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"seem"	"to"	"remember"	"he"	"say"	"that"	"in"	"interview"	"ten"	"year"	"ago"	"you"	"give"	"humor"	"and"	"comedy"	"five"	"year"	"to"	"live"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	"a"	"a_few"	"midwestern"	"a_few_year"	"year_a"	"a_midwestern"	"only_a_few_year"	"a_few_year_a"	"year_a_midwestern"	"a_midwestern_college"	"RB"	"JJ"	"NN"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"year"	"ago"	"a"	"midwestern"	"college"	"circulate"	"a"	"request"	"for"	"a"	"teacher"	"of"	"interior_design"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	","	"ten"	"he"	"ten_year"	"year_,"	",_he"	"∅_ten_year"	"ten_year_,"	"year_,_he"	",_he_had"	"ε"	"JJ"	"NN"	"RB"	"ε"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"year"	"ago"	"he"	"had"	"come"	"to"	"the"	"house"	"to"	"be"	"interview"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"month"	"as"	"several"	"a"	"several_month"	"month_as"	"as_a"	",_several_month"	"several_month_as"	"month_as_a"	"as_a_prospective"	"ε"	"JJ"	"NN"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"prove"	"a"	"man"	"of"	"prompt"	"action"	"when"	"person"	"accompany"	"a"	"friend"	"visit"	"him"	"in"	"location"	"several"	"month"	"ago"	"as"	"a"	"prospective"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"time"	","	"some"	"person"	"some_time"	"time_,"	",_person"	",_some_time"	"some_time_,"	"time_,_person"	",_person_,"	"ε"	"JJ"	"NN"	"RB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"location"	"time"	"ago"	"person"	"age"	"a"	"diabetic"	"since"	"he"	"be"	"six"	"stop"	"use"	"insulin"	"because"	"he"	"had"	"buy"	"a"	"magic"	"spike"	"a"	"glass"	"tube"	"about"	"the"	"size"	"of"	"a"	"pencil"	"fill"	"with"	"barium"	"chloride"	"worth"	"a"	"small"	"fraction"	"of"	"a"	"cent"	"sell"	"by"	"the"	"group"	"of"	"location"	"for"	"as"	"a"	"cure-all"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"year"	","	"a_few"	"a"	"a_few_year"	"year_,"	",_a"	",_a_few_year"	"a_few_year_,"	"year_,_a"	",_a_ghoul"	"ε"	"JJ"	"NN"	"RB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"location"	"year"	"ago"	"a"	"ghoul"	"by"	"the"	"name"	"of"	"person"	"sell"	"electric"	"blanket"	"as"	"a"	"cure"	"for"	"cancer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"century"	"."	"three"	"∅"	"three_century"	"century_."	"._∅"	"take_place_three_century"	"three_century_."	"century_._∅"	"._∅_∅"	"VB"	"JJ"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"achievement"	"which"	"dispel"	"our"	"of"	"the"	"cosmos"	"take_place"	"three"	"century"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"week"	"after"	"one"	"complete"	"one_week"	"week_after"	"after_complete"	"club_one_week"	"one_week_after"	"week_after_complete"	"after_complete_his"	"NN"	"JJ"	"NN"	"RB"	"IN"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pitcher"	"person"	"join"	"club"	"one"	"week"	"ago"	"after"	"complete"	"his"	"hitch"	"under"	"the"	"group"	"accelerated"	"wintertime"	"military"	"course"	"also"	"at"	"location"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
