"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"1:14:00::"	"in"	"1"	"data"	"and"	"data_in"	"in_1"	"1_and"	"the_data_in"	"data_in_1"	"in_1_and"	"1_and_2"	"DT"	"NN"	"IN"	"NN"	"JJ"	"CC"	"JJ"	"state"	"earlier"	"that"	"one"	"purpose"	"of"	"this"	"study"	"be"	"to"	"extend"	"the"	"analysis"	"of"	"variability"	"of"	"onset"	"and"	"completion"	"in"	"each"	"of"	"the"	"growth"	"center"	"somewhat"	"beyond"	"that"	"provide"	"by"	"the"	"data"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"."	"on"	"∅"	"on_the"	"the_."	"._∅"	"straw_hat_on_the"	"on_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"man"	"jacket"	"on"	"chair"	"and"	"a"	"straw_hat"	"on"	"the"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"2"	"give"	"must"	"give_in"	"in_2"	"2_must"	"figure_give_in"	"give_in_2"	"in_2_must"	"2_must_be"	"NN"	"VB"	"VB"	"NN"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"registration"	"give"	"in"	"table"	"must"	"be"	"interpret"	"with"	"caution"	"since"	"the"	"estimate"	"for"	"eligible"	"elector"	"were"	"make"	"without"	"the"	"benefit"	"of"	"a"	"reliable"	"census"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"their"	"to"	"to"	"talk_shop"	"to_their"	"their_to"	"to_talk_shop"	"come_to_their"	"to_their_to"	"their_to_talk_shop"	"to_talk_shop_and"	"VB"	"VB"	"PRP$"	"NN"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"teacher"	"man"	"who"	"wear"	"brown"	"suit"	"and"	"have"	"hair"	"and"	"pleasant"	"smile"	"come"	"to"	"their"	"table"	"to"	"talk_shop"	"and"	"to"	"be"	"introduce"	"to"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:02::"	"appointed"	"by"	"perfectly"	"the"	"perfectly_appointed"	"appointed_by"	"by_the"	",_perfectly_appointed"	"perfectly_appointed_by"	"appointed_by_the"	"by_the_window"	"ε"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"alone"	"at"	"small"	"perfectly"	"appointed"	"table"	"by"	"the"	"window"	"look_out_over"	"the"	"river"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"my"	"than"	"on"	"without"	"on_my"	"my_than"	"than_without"	"flower_on_my"	"on_my_than"	"my_than_without"	"than_without_serviette"	"NN"	"IN"	"PRP$"	"NN"	"IN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"colossal"	"campaign"	"open"	"to"	"sell"	"more"	"sexual"	"organ"	"plant"	"and"	"person"	"was"	"quote"	"as"	"say"	"i"	"no_more"	"sit_down"	"without"	"flower"	"on"	"my"	"table"	"than"	"without"	"serviette"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"hall"	"for"	"the"	"person"	"the_hall"	"hall_for"	"for_person"	"on_the_hall"	"the_hall_for"	"hall_for_person"	"for_person_to"	"IN"	"DT"	"NN"	"NN"	"IN"	"NNP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"sign"	"the"	"letter"	"quickly"	"stamp"	"them"	"place"	"them"	"on"	"the"	"hall"	"table"	"for"	"person"	"to"	"mail"	"in"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"and"	"on"	"with"	"on_the"	"the_and"	"and_with"	"tray_on_the"	"on_the_and"	"the_and_with"	"and_with_a"	"NN"	"IN"	"DT"	"NN"	"CC"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"place"	"tray"	"on"	"the"	"table"	"and"	"with"	"a"	"flick"	"of"	"dark"	"wrist"	"draw_off"	"the"	"cloth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"1"	"show"	","	"show_in"	"in_1"	"1_,"	"as_show_in"	"show_in_1"	"in_1_,"	"1_,_."	"IN"	"VB"	"IN"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"flow_rate"	"remain"	"relatively"	"constant"	"the"	"winter"	"month"	"as"	"show"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"1"	"summarize"	"."	"summarize_in"	"in_1"	"1_."	"are_summarize_in"	"summarize_in_1"	"in_1_."	"1_._∅"	"VBP"	"VB"	"IN"	"NN"	"CD"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"radio_observation"	"of"	"the"	"moon"	"have"	"been"	"made"	"over"	"the"	"range"	"of"	"wavelength"	"from"	"mm"	"cm"	"and"	"the"	"result"	"are"	"summarize"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
