"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"
"2:41:12::;2:42:12::"	"directly"	"to"	"and"	"a"	"and_directly"	"directly_to"	"to_a"	"immediately_and_directly"	"and_directly_to"	"directly_to_a"	"to_a_further"	"RB"	"CC"	"RB"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"approach"	"that"	"has"	"appeal"	"to"	"some"	"choreographers"	"be"	"reminiscent_of"	"charles_olson"	"statement"	"of"	"process"	"of"	"projective"	"verse"	"one"	"perception"	"must"	"immediately"	"and"	"directly"	"lead"	"to"	"a"	"further"	"perception"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"we"	"the"	","	"world"	",_we"	"we_the"	"the_world"	"shame_,_we"	",_we_the"	"we_the_world"	"the_world_in_this"	"NN"	"ε"	"PRP"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"our"	"shame"	"we"	"lead"	"the"	"world"	"in_this"	"nuclear"	"arms_race"	"sixteen"	"years"	"ago"	"when"	"we"	"drop"	"the"	"first"	"bombs"	"on"	"hiroshima"	"and"	"nagasaki"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"having"	"the"	"∅"	"world"	"∅_having"	"having_the"	"the_world"	"∅_∅_having"	"∅_having_the"	"having_the_world"	"the_world_in_this"	"ε"	"ε"	"VBG"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lead"	"the"	"world"	"in_this"	"mad"	"race"	"i"	"pray"	"that"	"we"	"may"	"have"	"the"	"wisdom"	"and"	"courage"	"to"	"lead"	"it"	"out"	"of"	"the"	"race"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"it"	"courage"	"out"	"courage_to"	"to_it"	"it_out"	"and_courage_to"	"courage_to_it"	"to_it_out"	"it_out_of"	"CC"	"NN"	"TO"	"VB"	"PRP"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"having"	"lead"	"the"	"world"	"in_this"	"mad"	"race"	"i"	"that"	"we"	"may"	"have"	"the"	"wisdom"	"and"	"courage"	"to"	"lead"	"it"	"out"	"of"	"the"	"race"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"that"	"up"	"road"	"to"	"road_that"	"that_up"	"up_to"	"dirt_road_that"	"road_that_up"	"that_up_to"	"up_to_the"	"NN"	"NN"	"IN"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"station_wagon"	"draw"	"the"	"dusty"	"dirt"	"road"	"that"	"lead"	"up"	"to"	"the"	"porch"	"of"	"the"	"culver"	"house"	"pamela"	"turn"	"the"	"wheel"	"guide"	"the"	"car"	"to"	"its"	"familiar"	"parking"	"spot"	"close_to"	"the"	"house"	"and"	"stop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:08::"	"to"	"relatively"	"grow_up"	"normal"	"grow_up_to"	"to_relatively"	"relatively_normal"	"children_grow_up_to"	"grow_up_to_relatively"	"to_relatively_normal"	"relatively_normal_lives"	"NNS"	"VB"	"TO"	"VB"	"RB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"autistic"	"grow_up"	"to"	"lead"	"relatively"	"normal"	"lives"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"which"	"him"	"congratulations"	"to"	"congratulations_which"	"which_him"	"him_to"	"of_congratulations_which"	"congratulations_which_him"	"which_him_to"	"him_to_the"	"IN"	"NNS"	"WDT"	"VB"	"PRP"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"he"	"say"	"he"	"has"	"answer"	"messages"	"of"	"congratulations"	"which"	"lead"	"him"	"to"	"the"	"comment"	"that"	"he"	"himself"	"had"	"decide"	"he"	"would"	"n't"	"send"	"another"	"congratulatory"	"message"	"for"	"the"	"rest"	"of"	"his"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"will"	"all_of"	"who"	"the"	"who_will"	"will_all_of"	"all_of_the"	",_who_will"	"who_will_all_of"	"will_all_of_the"	"all_of_the_concerts"	"ε"	"WP"	"MD"	"VB"	"JJ"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._wallenstein"	"will"	"lead"	"all_of"	"the"	"concerts"	"in"	"the"	"cycle"	"also"	"conduct"	"the"	"leonore"	"overture"	"no."	"and"	"the"	"fourth_symphony"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"might"	"one"	"show"	"to"	"show_might"	"might_one"	"one_to"	"the_show_might"	"show_might_one"	"might_one_to"	"one_to_expect"	"DT"	"NN"	"MD"	"VB"	"CD"	"TO"	"VB"	"provide"	"them"	"with"	"extremely"	"effective"	"orchestral"	"accompaniment"	"turn_to"	"the"	"current"	"musical"	"season"	"on"	"broadway"	"the_most"	"widely"	"acclaimed"	"of"	"the"	"new"	"arrivals"	"how_to_succeed_in_business_without_really_trying"	"has"	"been"	"transfer"	"to"	"an"	"original"	"cast"	"album"	"r._c._a._victor_loc"	"stereo"	"lso"	"that"	"have"	"some"	"entertaining"	"moments"	"although"	"it"	"be"	"scarcely"	"as"	"inventive"	"as"	"the"	"praise"	"elicit"	"by"	"the"	"show"	"might"	"one"	"to"	"expect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:12::"	"that"	"to"	"pressures"	"the"	"pressures_that"	"that_to"	"to_the"	"the_pressures_that"	"pressures_that_to"	"that_to_the"	"to_the_big"	"DT"	"NNS"	"IN"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"those"	"watch"	"the"	"growing"	"rivalry"	"between"	"craft_unions"	"industrial_unions"	"may"	"recognize"	"all"	"the"	"pressures"	"that"	"lead"	"to"	"the"	"big"	"labor"	"split"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"sometimes"	"them"	"and"	","	"and_sometimes"	"sometimes_them"	"them_,"	",_and_sometimes"	"and_sometimes_them"	"sometimes_them_,"	"them_,_in"	"ε"	"CC"	"RB"	"VB"	"PRP"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hustler"	"knight_dream-torkin"	"be"	"a"	"playful"	"bay"	"rascal"	"of"	"a"	"colt"	"not"	"the"	"best"	"gaited"	"but"	"surely"	"can"	"pace"	"and"	"be"	"right_there"	"with"	"them"	"and"	"sometimes"	"lead"	"them"	"in"	"the"	"best"	"miles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:12::"	"will"	"to"	"fear"	"accidental"	"fear_will"	"will_to"	"to_accidental"	"mutual_fear_will"	"fear_will_to"	"will_to_accidental"	"to_accidental_war"	"JJ"	"NN"	"MD"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._philip_toynbee"	"write"	"for_example"	"that"	"in_terms_of"	"probability"	"it"	"be"	"surely"	"likely"	"as"	"not"	"that"	"mutual"	"fear"	"will"	"lead"	"to"	"accidental"	"war"	"in"	"the"	"near"	"future"	"if"	"the"	"present"	"situation"	"continue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
