"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:38:01::"	"quit"	"in"	"to"	"the"	"to_quit"	"quit_in"	"in_the"	"ought_to_quit"	"to_quit_in"	"quit_in_the"	"in_the_missouri"	"VB"	"VB"	"VB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gov._john_m._dalton"	"himself"	"lawyer"	"and"	"a"	"man"	"of"	"long"	"service"	"in"	"government"	"speak"	"with"	"rich"	"background"	"and"	"when"	"he"	"say"	"in"	"an"	"address"	"here"	"that"	"lawyers"	"ought"	"to"	"quit"	"sit"	"in"	"the"	"missouri"	"general_assembly"	"or"	"quit"	"accept"	"fees"	"from"	"individuals"	"and"	"corporations"	"who"	"have"	"controversies"	"with"	"or"	"axes_to_grind"	"with"	"the"	"government"	"and"	"who"	"are"	"retain"	"not"	"because"	"of"	"their"	"legal"	"talents"	"but"	"because"	"of"	"their"	"government"	"influence"	
"2:42:00::"	"was"	"up"	","	"front"	",_was"	"was_up"	"up_front"	"calif._,_was"	",_was_up"	"was_up_front"	"up_front_and"	"NNP"	"ε"	"VBD"	"VB"	"RB"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"john_salvador"	"a"	"farmer"	"from"	"calif."	"was"	"sit"	"up"	"front"	"and"	"could"	"see"	"through"	"the"	"door"	"as"	"the"	"trio"	"enter"	"the"	"cockpit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"recording_machine"	"in_front"	"a"	"of"	"a_recording_machine"	"recording_machine_in_front"	"in_front_of"	"with_a_recording_machine"	"a_recording_machine_in_front"	"recording_machine_in_front_of"	"in_front_of_him"	"IN"	"DT"	"NN"	"VB"	"RB"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"about"	"that"	"time"	"a"	"board_member"	"say"	"later"	"that"	"dr._thomas_g._pullen"	"jr."	"state"	"superintendent"	"of"	"schools"	"tell"	"dr._jenkins"	"and"	"a_number_of"	"education"	"officials"	"that"	"he"	"not"	"talk"	"to"	"them"	"with"	"a"	"recording_machine"	"sit"	"in_front"	"of"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"room"	"the"	"the"	"teacher"	"the_room"	"room_the"	"the_teacher"	"of_the_room"	"the_room_the"	"room_the_teacher"	"the_teacher_."	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"little"	"boys"	"crowd_together"	"on"	"long"	"wooden"	"and"	"in_the_center"	"of"	"the"	"room"	"sit"	"the"	"teacher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"secure"	"him"	"while"	"him_to"	"to_secure"	"secure_while"	"for_him_to"	"him_to_secure"	"to_secure_while"	"secure_while_his"	"IN"	"PRP"	"TO"	"VB"	"JJ"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sir"	"i"	"read"	"of"	"a"	"man"	"who"	"feel"	"he"	"should"	"not"	"build"	"a"	"shelter"	"in"	"his"	"home"	"because"	"it"	"would"	"be"	"selfish"	"for"	"him"	"to"	"sit"	"secure"	"while"	"his"	"neighbors"	"have"	"no"	"shelters"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"lawyers"	"and"	"two"	"stare"	"two_lawyers"	"lawyers_and"	"and_stare"	"the_two_lawyers"	"two_lawyers_and"	"lawyers_and_stare"	"and_stare_silently"	"DT"	"CD"	"NNS"	"VB"	"CC"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"police"	"arrive"	"they"	"mcclellan"	"and"	"the"	"two"	"lawyers"	"sit"	"and"	"stare"	"silently"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"scouts"	"around"	"qualified"	"collect"	"qualified_scouts"	"scouts_around"	"around_collect"	"nine_qualified_scouts"	"qualified_scouts_around"	"scouts_around_collect"	"around_collect_base"	"CD"	"JJ"	"NNS"	"VB"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"qualified"	"scouts"	"sit"	"around"	"collect"	"base"	"pay"	"the"	"day"	"helva"	"was"	"commission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"on"	"lonely"	"the"	"lonely_,"	",_on"	"on_the"	"be_lonely_,"	"lonely_,_on"	",_on_the"	"on_the_darkened"	"VB"	"JJ"	"ε"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"to"	"herself"	"helva"	"sound"	"a_little"	"self-pitying"	"the"	"truth"	"be"	"she"	"be"	"lonely"	"sit"	"on"	"the"	"darkened"	"field"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"men"	"at"	"three"	"three"	"three_men"	"men_at"	"at_three"	"of_three_men"	"three_men_at"	"men_at_three"	"at_three_stations"	"IN"	"CD"	"NNS"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after_that"	"it"	"require"	"several"	"minutes"	"of"	"concentrated"	"work"	"include"	"six"	"deliberate"	"actions"	"by"	"a"	"minimum"	"of"	"three"	"men"	"sit"	"at"	"three"	"stations"	"in"	"a"	"bomber"	"each"	"with"	"another"	"man"	"beside"	"him"	"to"	"help"	"for"	"an"	"armed"	"bomb"	"to"	"be_released"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"against"	"old_man"	"the"	"old_man_,"	",_against"	"against_the"	"an_old_man_,"	"old_man_,_against"	",_against_the"	"against_the_wall"	"DT"	"NN"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"sit"	"against"	"the"	"wall"	"of"	"a"	"cottage"	"and"	"wait"	"for"	"the"	"sun"	"to"	"find"	"him"	"give"	"her"	"a"	"more_than"	"reflective"	"look"	"as"	"she"	"pass"	"the"	"sap"	"still"	"plainly"	"rise"	"in"	"his"	"branches"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"area"	"enthralled"	"the"	"at"	"the_area"	"area_enthralled"	"enthralled_at"	"of_the_area"	"the_area_enthralled"	"area_enthralled_at"	"enthralled_at_the"	"IN"	"DT"	"NN"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"the"	"christian_youth_crusade"	"against"	"communisn"	"develop"	"and"	"more_than"	"top"	"and"	"adult"	"advisers"	"from"	"presbyterian_churches"	"of"	"the"	"area"	"sit"	"enthralled"	"at"	"the"	"four-hour"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"he"	"in"	"∅"	"his"	"∅_he"	"he_in"	"in_his"	"∅_∅_he"	"∅_he_in"	"he_in_his"	"in_his_office"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sit"	"in"	"his"	"office"	"yesterday"	"and"	"recall"	"that"	"historic"	"flight"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"viola"	"there"	"as"	","	"as_viola"	"viola_there"	"there_,"	"∅_as_viola"	"as_viola_there"	"viola_there_,"	"there_,_a"	"ε"	"IN"	"NNP"	"VB"	"EX"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"viola"	"sit"	"there"	"a"	"playful"	"impulse"	"overcome"	"her"	"to"	"remove"	"the"	"shoes"	"and"	"socks"	"from"	"the"	"unidentified"	"feet"	"and"	"as"	"a"	"prank"	"insert"	"rosebuds"	"between"	"the"	"toes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"i"	"and"	"∅"	"watch"	"∅_i"	"i_and"	"and_watch"	"∅_∅_i"	"∅_i_and"	"i_and_watch"	"and_watch_proceedings"	"ε"	"ε"	"PRP"	"VB"	"CC"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sit"	"and"	"watch"	"proceedings"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"we"	"on"	"and"	"split"	"and_we"	"we_on"	"on_split"	",_and_we"	"and_we_on"	"we_on_split"	"on_split_bamboo"	"ε"	"CC"	"PRP"	"VB"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"candle"	"be"	"and"	"we"	"sit"	"on"	"split"	"bamboo"	"mat"	"among"	"the"	"village"	"notable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"she"	"on"	"but"	"in"	"but_she"	"she_on"	"on_in"	"∅_but_she"	"but_she_on"	"she_on_in"	"on_in_stubborn"	"ε"	"CC"	"PRP"	"VB"	"IN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"sit"	"on"	"in"	"stubborn"	"silence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
