"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"5:00:01:taxable:00"	"be"	"to"	"minor"	"tax"	"minor_be"	"be_to"	"to_tax"	"a_minor_be"	"minor_be_to"	"be_to_tax"	"to_tax_on"	"DT"	"NN"	"VB"	"JJ"	"JJ"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"be"	"subject"	"to"	"tax"	"on"	"his"	"own"	"earnings"	"even"	"though"	"his"	"parent"	"may"	"under"	"local"	"law"	"have"	"the"	"right"	"to"	"them"	"and"	"might"	"actually"	"have"	"receive"	"the"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"of_this"	"has"	"discussion"	"been"	"discussion_of_this"	"of_this_has"	"has_been"	"following_discussion_of_this"	"discussion_of_this_has"	"of_this_has_been"	"has_been_adapt"	"JJ"	"NN"	"RB"	"NN"	"VBZ"	"VBN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"discussion"	"of_this"	"subject"	"has"	"been"	"adapt"	"from"	"the"	"book"	"causes_of_catastrophe"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"being"	"to"	"their"	"stress"	"their_being"	"being_to"	"to_stress"	"prior_to_their_being"	"their_being_to"	"being_to_stress"	"to_stress_condition"	"TO"	"PRP$"	"VB"	"VB"	"VB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"tranquilizer"	"feed"	"to"	"cattle"	"dairy_cow"	"prior_to"	"their"	"being"	"subject"	"to"	"stress"	"condition"	"such"	"as"	"vaccinating"	"shipping"	"weaning"	"calf"	"and"	"excessive"	"handling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"be"	"to"	"not"	"such"	"not_be"	"be_to"	"to_such"	"should_not_be"	"not_be_to"	"be_to_such"	"to_such_a"	"MD"	"RB"	"VB"	"VB"	"VB"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"not"	"a"	"medieval"	"mental"	"quirk"	"or"	"an"	"attitude"	"unnourished"	"sense"	"to"	"believe"	"that"	"husband"	"and"	"wife"	"should"	"not"	"be"	"subject"	"to"	"such"	"a"	"risk"	"or"	"that"	"such"	"a"	"possibility"	"not"	"be"	"permit"	"to"	"endanger"	"the"	"confidentiality"	"of"	"the"	"marriage"	"relationship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"they"	"in"	"are"	"in_the"	"the_they"	"they_are"	"credit_in_the"	"in_the_they"	"the_they_are"	"they_are_teach"	"NN"	"IN"	"DT"	"NN"	"PRP"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"would"	"require"	"junior_high"	"senior_high"	"teacher"	"have"	"at_least"	"semester_hour"	"credit"	"in"	"the"	"subject"	"they"	"are"	"teach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"group"	"re-emerge"	"the"	"."	"the_group"	"group_re-emerge"	"re-emerge_."	",_the_group"	"the_group_re-emerge"	"group_re-emerge_."	"re-emerge_._∅"	"ε"	"DT"	"NNP"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"out"	"of_this"	"re-created"	"the"	"group"	"subject"	"re-emerge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"."	"treat"	"∅"	"treat_the"	"the_."	"._∅"	"to_treat_the"	"treat_the_."	"the_._∅"	"._∅_∅"	"TO"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"three"	"level"	"which"	"to"	"treat"	"the"	"subject"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"of"	"upon"	"slavery"	"upon_the"	"the_of"	"of_slavery"	"view_upon_the"	"upon_the_of"	"the_of_slavery"	"of_slavery_,"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"opposition"	"of"	"the"	"city"	"newspaper"	"the"	"location"	"meeting"	"bring_together"	"very"	"respectable"	"audience"	"compose"	"in"	"part"	"of"	"those"	"who"	"had"	"been"	"for"	"year"	"for"	"their"	"radical"	"view"	"upon"	"the"	"subject"	"of"	"slavery"	"of"	"many_of"	"our"	"colored"	"citizen"	"and"	"of"	"those"	"who"	"were"	"attract"	"to"	"the"	"place"	"by"	"the"	"novelty"	"of"	"such"	"a"	"gathering"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"this"	"will"	"on"	"recognize"	"on_this"	"this_will"	"will_recognize"	"-_on_this"	"on_this_will"	"this_will_recognize"	"will_recognize_that"	"ε"	"IN"	"DT"	"NN"	"VB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"ordinary"	"politeness"	"may"	"have"	"militate"	"against"	"this"	"opinion"	"being"	"state"	"so"	"badly"	"but"	"anyone"	"with"	"a"	"wide"	"acquaintance"	"in"	"both"	"group"	"and"	"who"	"has"	"sit"	"through"	"the"	"many"	"round_table"	"workshop"	"or"	"panel_discussion"	"whatever"	"they"	"be"	"called"	"this"	"subject"	"will"	"recognize"	"that"	"the"	"final"	"boiled-down"	"crux_of_the_matter"	"be"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"."	"on"	"∅"	"on_the"	"the_."	"._∅"	"bearing_on_the"	"on_the_."	"the_._∅"	"._∅_∅"	"NN"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"may"	"then"	"dismiss"	"the"	"time"	"difference"	"between"	"these"	"course"	"and"	"the"	"usual"	"year"	"course"	"of"	"the"	"interior_design"	"student"	"as"	"not"	"have"	"serious"	"bearing"	"on"	"the"	"subject"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"."	"teach"	"∅"	"teach_the"	"the_."	"._∅"	"to_teach_the"	"teach_the_."	"the_._∅"	"._∅_∅"	"TO"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"every"	"educator"	"above"	"the"	"rank"	"of"	"instructor"	"be"	"expect"	"to"	"be"	"a"	"member"	"of"	"one"	"of"	"the"	"professional"	"organization"	"but"	"his"	"first"	"qualification"	"for"	"membership"	"as"	"an"	"educator"	"should"	"be"	"so"	"sharply"	"scrutinize"	"that"	"membership"	"would"	"be"	"equivalent_to"	"certification"	"to"	"teach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"to"	"must"	"approach"	"be"	"approach_to"	"to_must"	"must_be"	"and_approach_to"	"approach_to_must"	"to_must_be"	"must_be_the"	"CC"	"NN"	"TO"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"any"	"question"	"curriculum"	"and"	"approach"	"to"	"subject"	"must"	"be"	"the"	"quality"	"of"	"the"	"teacher"	"themselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"teaching"	"such_as"	"in"	"architecture"	"in_teaching"	"teaching_such_as"	"such_as_architecture"	"specialization_in_teaching"	"in_teaching_such_as"	"teaching_such_as_architecture"	"such_as_architecture_,"	"NN"	"IN"	"NN"	"NN"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"considerable"	"in"	"teaching"	"subject"	"such_as"	"architecture"	"furniture"	"design"	"textile"	"and"	"color"	"be"	"also"	"desirable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
