"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"1:09:01::"	"particular"	"?"	"this"	"∅"	"this_particular"	"particular_?"	"?_∅"	"on_this_particular"	"this_particular_?"	"particular_?_∅"	"?_∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"may"	"i"	"add"	"caution"	"on"	"this"	"particular"	"point"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	"upward"	"∅"	"."	"∅_person"	"person_upward"	"upward_."	"∅_∅_person"	"∅_person_upward"	"person_upward_."	"upward_._∅"	"ε"	"ε"	"NNP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"point"	"upward"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"no"	"in"	"be"	"lock_up"	"be_no"	"no_in"	"in_lock_up"	"there_be_no"	"be_no_in"	"no_in_lock_up"	"in_lock_up_it"	"EX"	"VB"	"JJ"	"NN"	"IN"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"thrust"	"the"	"envelope"	"back"	"the"	"bag"	"there"	"be"	"no"	"point"	"in"	"lock_up"	"it"	"up"	"in"	"the"	"armoire"	"now"	"it"	"be"	"like"	"lock"	"the"	"barn"	"after"	"the"	"horse"	"was"	"steal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:05::"	"person"	"the"	"∅"	"discovery"	"∅_person"	"person_the"	"the_discovery"	"∅_∅_person"	"∅_person_the"	"person_the_discovery"	"the_discovery_down"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NNP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"point"	"the"	"discovery"	"down"	"the"	"east"	"coast"	"of"	"the"	"newly"	"discovered"	"sea"	"now"	"called"	"hudson_bay"	"confident"	"he"	"be"	"on_the_way"	"to"	"the"	"warm"	"water"	"of"	"the"	"pacific"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"this"	"stress"	"to"	"has"	"to_this"	"this_stress"	"stress_has"	"up_to_this"	"to_this_stress"	"this_stress_has"	"stress_has_been"	"RB"	"RB"	"RB"	"NN"	"NN"	"VBZ"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"up"	"this"	"point"	"stress"	"has"	"been"	"place"	"on"	"roleplaying"	"in_terms_of"	"individual"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"this"	"a"	"at"	"working"	"at_this"	"this_a"	"a_working"	"∅_at_this"	"at_this_a"	"this_a_working"	"a_working_definition"	"ε"	"IN"	"DT"	"NN"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"point"	"a"	"working"	"definition"	"of"	"idea"	"be"	"in_order"	"although"	"our"	"first"	"definition"	"will"	"have"	"to"	"be"	"qualify"	"somewhat"	"as"	"we"	"proceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"the"	"''"	"miss"	","	"miss_the"	"the_''"	"''_,"	"'re_miss_the"	"miss_the_''"	"the_''_,"	"''_,_he"	"VBP"	"VB"	"DT"	"NN"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"miss"	"point"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"connective"	"and"	"fixed"	"the"	"fixed_connective"	"connective_and"	"and_the"	"be_fixed_connective"	"fixed_connective_and"	"connective_and_the"	"and_the_drifting"	"VB"	"JJ"	"JJ"	"NN"	"CC"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"occasion"	"on"	"which"	"everyone"	"already"	"know"	"everyone"	"else"	"and"	"the"	"host"	"wish"	"them"	"to"	"meet"	"one"	"or"	"a_few"	"honored"	"newcomer"	"the"	"open_house"	"system"	"be"	"advantageous"	"because"	"the"	"guest"	"be"	"fixed"	"connective"	"point"	"and"	"the"	"drifting"	"guest"	"make"	"and"	"break"	"connection"	"at"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"this"	"in"	"at"	"his"	"at_this"	"this_in"	"in_his"	"is_at_this"	"at_this_in"	"this_in_his"	"in_his_life"	"VB"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"at"	"this"	"point"	"in"	"his"	"life"	"that"	"the"	"mature"	"person"	"emerge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"second"	"require"	"a"	"more"	"a_second"	"second_require"	"require_more"	"∅_a_second"	"a_second_require"	"second_require_more"	"require_more_extended"	"ε"	"DT"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"point"	"require"	"more"	"extended"	"comment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"count"	"in"	"by"	"a"	"by_count"	"count_in"	"in_a"	"usually_by_count"	"by_count_in"	"count_in_a"	"in_a_sample"	"RB"	"RB"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"chapter"	"and"	"we"	"answer"	"question"	"like"	"those"	"the"	"example"	"usually"	"by"	"count"	"point"	"in"	"a"	"sample"	"space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"crucial"	"of"	"a"	"his"	"a_crucial"	"crucial_of"	"of_his"	"at_a_crucial"	"a_crucial_of"	"crucial_of_his"	"of_his_life"	"IN"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"feel"	"himself"	"now"	"as"	"he"	"himself"	"in"	"his"	"confessions"	"at"	"a"	"crucial"	"point"	"of"	"his"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"byronic"	"to"	"the"	"keep"	"the_byronic"	"byronic_to"	"to_keep"	"to_the_byronic"	"the_byronic_to"	"byronic_to_keep"	"to_keep_it"	"TO"	"DT"	"NN"	"NN"	"VB"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"concert"	"open"	"with"	"another"	"big"	"romantic"	"score"	"person"	"overture_to_manfred"	"which"	"fate"	"this"	"time"	"with"	"orchestral"	"thrust"	"to"	"the"	"byronic"	"point"	"to"	"keep"	"it"	"afloat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"this"	","	"to"	"it"	"to_this"	"this_,"	",_it"	"up_to_this"	"to_this_,"	"this_,_it"	",_it_remain"	"RB"	"JJ"	"DT"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"argument"	"is"	"accept"	"essentially"	"sound"	"up"	"to"	"this"	"point"	"it"	"remain"	"for"	"us"	"to"	"consider"	"whether"	"the"	"patient"	"difficulty"	"in"	"orient"	"himself"	"spatially"	"and"	"in"	"locate"	"object"	"in"	"space"	"with"	"the"	"sense_of_touch"	"can"	"be"	"explain"	"by"	"his"	"defective"	"visual"	"condition"	
"2:38:05::"	"gabriel"	"towards"	"the"	"her"	"the_gabriel"	"gabriel_towards"	"towards_her"	"∅_the_gabriel"	"the_gabriel_towards"	"gabriel_towards_her"	"towards_her_destination"	"ε"	"DT"	"NNP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gabriel"	"point"	"towards"	"her"	"destination"	"and"	"under"	"one"	"gee"	"acceleration"	"begin"	"to"	"build_up"	"towards"	"her"	"ultimate"	"velocity"	"percent"	"of"	"the"	"speed_of_light"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"where"	"to"	"he"	"to_the"	"the_where"	"where_he"	"sober_up_to_the"	"to_the_where"	"the_where_he"	"where_he_could"	"VB"	"JJ"	"JJ"	"NN"	"WRB"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"wait"	"to"	"report"	"person"	"had"	"been"	"sober_up"	"to"	"the"	"point"	"where"	"he"	"could"	"function"	"efficiently"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"novel"	"of"	"six"	"information"	"six_novel"	"novel_of"	"of_information"	"him_six_novel"	"six_novel_of"	"novel_of_information"	"of_information_about"	"PRP"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"professor"	"of"	"assyrian"	"at"	"the"	"group"	"dream"	"that"	"a"	"babylonian"	"priest"	"associated"	"with"	"the"	"king"	"person"	"bc"	"escort"	"him"	"the"	"treasure"	"chamber"	"of"	"the"	"temple"	"of"	"location"	"give"	"him"	"novel"	"point"	"of"	"information"	"about"	"a"	"certain"	"broken"	"relic"	"and"	"correct"	"an"	"error"	"in"	"its"	"identification"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"six"	"of"	"all"	"information"	"all_six"	"six_of"	"of_information"	"that_all_six"	"all_six_of"	"six_of_information"	"of_information_,"	"IN"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"may"	"that"	"all"	"six"	"point"	"of"	"information"	"ostensibly"	"give"	"by"	"the"	"dream"	"priest"	"could"	"have"	"been"	"furnish"	"by"	"person"	"subconscious"	"reasoning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"important"	"emerge"	"an"	"concern"	"an_important"	"important_emerge"	"emerge_concern"	"morocco_an_important"	"an_important_emerge"	"important_emerge_concern"	"emerge_concern_the"	"NN"	"DT"	"JJ"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"rather"	"tortuous"	"history"	"electoral"	"planning"	"in"	"morocco"	"an"	"important"	"point"	"emerge"	"concern"	"the"	"first"	"election"	"in"	"a"	"developing"	"country"	"and"	"evaluate"	"their"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"major"	"of"	"second"	"this"	"second_major"	"major_of"	"of_this"	"a_second_major"	"second_major_of"	"major_of_this"	"of_this_essay"	"DT"	"JJ"	"JJ"	"NN"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"major"	"point"	"of"	"this"	"essay"	"be"	"to"	"examine"	"the"	"formal"	"arrangement"	"for"	"the"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
