"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"2:35:00::"	"person"	"down"	","	"the"	",_person"	"person_down"	"down_the"	"corner_,_person"	",_person_down"	"person_down_the"	"down_the_rightfield"	"NN"	"ε"	"NNP"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"add"	"two"	"more"	"in"	"the"	"fifth"	"when"	"drop"	"a"	"double"	"into"	"the"	"leftfield"	"corner"	"person"	"double"	"down"	"the"	"rightfield"	"line"	"and"	"person"	"single"	"off"	"person"	"glove"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"'s"	"and"	"person"	"outfield"	"person_'s"	"'s_and"	"and_outfield"	"on_person_'s"	"person_'s_and"	"'s_and_outfield"	"and_outfield_fly"	"IN"	"NNP"	"POS"	"NN"	"CC"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"add"	"their"	"last"	"in"	"the"	"sixth"	"on"	"person"	"double"	"and"	"outfield"	"fly"	"by"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"'s"	"to"	"person"	"left"	"person_'s"	"'s_to"	"to_left"	"on_person_'s"	"person_'s_to"	"'s_to_left"	"to_left_."	"IN"	"NNP"	"POS"	"NN"	"TO"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"tie"	"the"	"score"	"in"	"the"	"sixth"	"inning"	"when"	"person"	"beat_out"	"a"	"chopper"	"to"	"third_base"	"and"	"score"	"on"	"person"	"double"	"to"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"by"	"∅"	"person"	"∅_a"	"a_by"	"by_person"	"∅_∅_a"	"∅_a_by"	"a_by_person"	"by_person_,"	"ε"	"ε"	"DT"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"double"	"by"	"person"	"person"	"run"	"score"	"two-baser"	"an"	"infield"	"single"	"by"	"person"	"and"	"person"	"solid"	"single"	"to"	"center"	"put"	"the"	"group"	"back"	"in_front"	"in"	"the"	"last"	"of"	"the"	"fifth"	
"5:00:01:multiple:00"	"either"	"valued"	"be"	"or"	"be_either"	"either_valued"	"valued_or"	"**f_be_either"	"be_either_valued"	"either_valued_or"	"valued_or_have"	"NN"	"VB"	"DT"	"JJ"	"JJ"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"some"	"neighborhood"	"of"	"an"	"isolated"	"tangent"	"point"	"in"	"f-plane"	"say"	"the"	"function"	"be"	"either"	"double"	"valued"	"or"	"have"	"no"	"value"	"define"	"except"	"at"	"the"	"tangent"	"point"	"itself"	"where"	"it"	"be"	"single"	"valued"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"second"	"of"	"his"	"the"	"his_second"	"second_of"	"of_the"	"with_his_second"	"his_second_of"	"second_of_the"	"of_the_night"	"IN"	"PRP$"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"ninth"	"person"	"off"	"with"	"his"	"second"	"double"	"of"	"the"	"night"	"a"	"blast"	"off"	"the"	"fence"	"foot"	"deep"	"into"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"to"	"hit"	"right"	"hit_,"	",_to"	"to_right"	"of_hit_,"	"hit_,_to"	",_to_right"	"to_right_center"	"IN"	"NN"	"ε"	"VB"	"TO"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"get"	"a"	"run"	"in"	"the"	"first"	"inning"	"when"	"person"	"along"	"with"	"person"	"the"	"two"	"group"	"who"	"get"	"pair"	"of"	"hit"	"double"	"to"	"right"	"center"	"move"	"to"	"third"	"on"	"person"	"single"	"to"	"right"	"and"	"cross"	"on"	"person"	"wild_pitch"	"into"	"the"	"dirt"	"in_front"	"of"	"the"	"plate"	"0"	"0"	
"1:04:00::"	"long"	"to"	"a"	"left"	"a_long"	"long_to"	"to_left"	"slam_a_long"	"a_long_to"	"long_to_left"	"to_left_center"	"VB"	"DT"	"JJ"	"NN"	"TO"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"person"	"a"	"long"	"double"	"to"	"left"	"center"	"to"	"score"	"both"	"runner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"run"	"off"	"two"	"the"	"two_run"	"run_off"	"off_the"	"inning_two_run"	"two_run_off"	"run_off_the"	"off_the_left"	"NN"	"JJ"	"NN"	"NN"	"IN"	"DT"	"JJ"	"ride"	"on"	"this"	"one"	"person"	"greet"	"person"	"as"	"the"	"group"	"third_sacker"	"grab"	"a"	"bat"	"head"	"for"	"the"	"plate"	"and"	"bounce"	"a"	"third"	"inning"	"two"	"run"	"off"	"the"	"left"	"centerfield"	"wall"	"tonight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"two"	"by"	"of"	"person"	"of_two"	"two_by"	"by_person"	"first_of_two"	"of_two_by"	"two_by_person"	"by_person_,"	"JJ"	"IN"	"JJ"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"first"	"of"	"two"	"double"	"by"	"person"	"who"	"be"	"in"	"a"	"mood"	"to"	"celebrate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:multiple:00"	"the"	"meaning"	"∅"	"in"	"∅_the"	"the_meaning"	"meaning_in"	"∅_∅_the"	"∅_the_meaning"	"the_meaning_in"	"meaning_in_the"	"ε"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"double"	"meaning"	"in"	"the"	"anatomical"	"make"	"it"	"a"	"familiar"	"vaudeville"	"device"	"as"	"in"	"the"	"gag"	"of"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:multiple:00"	"carry"	"meaning"	"also"	"where"	"also_carry"	"carry_meaning"	"meaning_where"	"reference_also_carry"	"also_carry_meaning"	"carry_meaning_where"	"meaning_where_an"	"NN"	"RB"	"VB"	"JJ"	"NN"	"WRB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"indefinite"	"also"	"carry"	"double"	"meaning"	"where"	"an"	"allusion"	"to"	"one"	"person"	"or"	"thing"	"seem"	"to"	"refer"	"to"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:multiple:00"	"the"	"verb"	"of"	"."	"of_the"	"the_verb"	"verb_."	"use_of_the"	"of_the_verb"	"the_verb_."	"verb_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"brand"	"of"	"indefinite"	"reference"	"out"	"of"	"the"	"use"	"of"	"the"	"double"	"verb"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
