"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"
"1:28:00::"	"the"	"with"	"of"	"live"	"of_the"	"the_with"	"with_live"	"music_of_the"	"of_the_with"	"the_with_live"	"with_live_performance"	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"script"	"big"	"problem"	"be"	"how"	"to"	"picture"	"and"	"music"	"of"	"the"	"past"	"with"	"live"	"performance"	"by"	"musician"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"'s"	"."	"person"	"∅"	"person_'s"	"'s_."	"._∅"	"about_person_'s"	"person_'s_."	"'s_._∅"	"._∅_∅"	"IN"	"NNP"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"never"	"been"	"able"	"find_out"	"much"	"about"	"person"	"past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"twelve"	"over"	"month"	"over_the"	"the_twelve"	"twelve_month"	"golf_over_the"	"over_the_twelve"	"the_twelve_month"	"twelve_month_."	"NN"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"be"	"a"	"figure"	"in"	"golf"	"over"	"the"	"past"	"twelve"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"oppose_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"VB"	"RB"	"RB"	"NN"	"ε"	"ε"	"ε"	"location"	"legislator"	"will"	"ask"	"the"	"group"	"monday"	"to"	"back"	"federal"	"aid"	"to"	"education"	"something"	"it"	"has"	"consistently"	"oppose"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"i"	"``"	"leave"	"``_the"	"the_i"	"i_leave"	"∅_``_the"	"``_the_i"	"the_i_leave"	"i_leave_to"	"ε"	"ε"	"DT"	"NN"	"PRP"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"past"	"i"	"leave"	"to"	"historian"	"person"	"intone"	"demonstrate"	"that"	"he"	"could"	"be"	"pompous"	"as_well_as"	"happy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"quarter-century"	"in"	","	"in_the"	"the_quarter-century"	"quarter-century_,"	"time_in_the"	"in_the_quarter-century"	"the_quarter-century_,"	"quarter-century_,_i"	"NN"	"RB"	"RB"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"have"	"visit"	"england"	"time"	"in"	"the"	"past"	"quarter-century"	"i"	"believe"	"my"	"host"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"fifteen"	"during"	"year"	"during_the"	"the_fifteen"	"fifteen_year"	"intensively_during_the"	"during_the_fifteen"	"the_fifteen_year"	"fifteen_year_."	"RB"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"biological"	"and"	"physical_property"	"of"	"infectious"	"have"	"been"	"study"	"intensively"	"during"	"the"	"past"	"fifteen"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"ten"	"seven"	"already"	","	"already_ten"	"ten_seven"	"seven_,"	"be_already_ten"	"already_ten_seven"	"ten_seven_,"	"seven_,_i"	"VB"	"RB"	"JJ"	"JJ"	"JJ"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"when"	"i"	"see"	"it"	"be"	"already"	"ten"	"past"	"seven"	"i"	"begin"	"to"	"wonder"	"if"	"something"	"had"	"go_wrong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"the"	"location"	"group"	"location_,"	",_the"	"the_group"	"down_location_,"	"location_,_the"	",_the_group"	"the_group_with"	"RB"	"NNP"	"ε"	"RB"	"DT"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"meander"	"location"	"past"	"the"	"group"	"with"	"its"	"green"	"window_shade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"as"	"into"	"he"	"into_the"	"the_as"	"as_he"	"painfully_into_the"	"into_the_as"	"the_as_he"	"as_he_read"	"RB"	"RB"	"RB"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"thought"	"race"	"into"	"the"	"past"	"as"	"he"	"read"	"the"	"letter"	"he"	"had"	"just"	"receive"	"from"	"his"	"sister"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
