"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"
"2:36:01::"	"be"	"a"	"to"	"well"	"to_be"	"be_a"	"a_well"	"seem_to_be"	"to_be_a"	"be_a_well"	"a_well_deserved"	"VB"	"TO"	"VB"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"opera"	"in"	"the"	"grand_tradition"	"along"	"mah-jongg"	"seem"	"to"	"be"	"stage"	"a"	"well"	"deserved"	"comeback"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"pubescent"	"."	"the"	"∅"	"the_pubescent"	"pubescent_."	"._∅"	"of_the_pubescent"	"the_pubescent_."	"pubescent_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"similar"	"analysis"	"of"	"figure"	"for"	"the"	"boy"	"would"	"necessitate"	"quite"	"a"	"different"	"conclusion"	"the"	"predictive"	"value"	"of"	"onset"	"age"	"in"	"forecast"	"their"	"attainment"	"of"	"the"	"pubescent"	"stage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"and"	"love"	"all"	"love_the"	"the_and"	"and_all"	"he_love_the"	"love_the_and"	"the_and_all"	"and_all_those"	"PRP"	"VB"	"DT"	"NN"	"CC"	"DT"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"everyone"	"be"	"ambivalent"	"about"	"his"	"profession"	"if"	"he"	"has"	"practised"	"it"	"enough"	"but"	"there"	"be"	"still"	"moment"	"when"	"he"	"love"	"the"	"stage"	"and"	"all"	"those"	"unseen"	"people"	"out"	"there"	"who"	"might"	"cheer"	"you"	"or"	"boo"	"you"	"but"	"that"	"be"	"largely"	"though"	"not"	"entirely"	"up_to_you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"had"	"∅"	"be"	"∅_the"	"the_had"	"had_be"	"∅_∅_the"	"∅_the_had"	"the_had_be"	"had_be_empty"	"ε"	"ε"	"DT"	"NN"	"VBD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stage"	"had"	"be"	"empty"	"except"	"for"	"person"	"do"	"his"	"star"	"monologue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"and"	"on"	"get"	"on_the"	"the_and"	"and_get"	"up_on_the"	"on_the_and"	"the_and_get"	"and_get_the"	"RB"	"JJ"	"DT"	"NN"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"person"	"up"	"on"	"the"	"stage"	"and"	"get"	"the"	"actor"	"to"	"hoist"	"him"	"up"	"to"	"the"	"box"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"crowd"	"its"	"the"	"own"	"the_crowd"	"crowd_its"	"its_own"	"∅_the_crowd"	"the_crowd_its"	"crowd_its_own"	"its_own_mad"	"ε"	"DT"	"NN"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"crowd"	"stage"	"its"	"own"	"mad"	"scene"	"in"	"salvo"	"of"	"cheer"	"and"	"applause"	"and"	"finally"	"a"	"standing_ovation"	"as"	"person"	"take"	"curtain_call"	"after"	"curtain_call"	"following"	"a"	"fantastic"	"mad_scene"	"create"	"on_her_own"	"and"	"with"	"the"	"help"	"of"	"the"	"composer"	"and"	"the"	"performer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"''"	"by"	"tannhaeuser"	"person"	"tannhaeuser_''"	"''_by"	"by_person"	"``_tannhaeuser_''"	"tannhaeuser_''_by"	"''_by_person"	"by_person_,"	"ε"	"NNP"	"ε"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bayreuth_festival"	"open"	"july"	"with"	"a"	"production"	"of"	"tannhaeuser"	"stage"	"by"	"person"	"who"	"is"	"do"	"all"	"the"	"opera"	"this"	"time"	"and"	"conduct"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"have"	"a"	"once"	"pageant"	"once_have"	"have_a"	"a_pageant"	"might_once_have"	"once_have_a"	"have_a_pageant"	"a_pageant_for"	"MD"	"RB"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"want"	"to"	"own"	"a"	"junior-grade"	"castle"	"or"	"a"	"manor_house"	"some"	"modest"	"little"	"place"	"where"	"shakespeare"	"might"	"once"	"have"	"stage"	"a"	"pageant"	"for"	"person"	"and"	"all"	"her"	"bearded"	"courtier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"one"	"of"	"at"	"his"	"at_one"	"one_of"	"of_his"	"person_at_one"	"at_one_of"	"one_of_his"	"of_his_excavation"	"NNP"	"IN"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"many"	"be"	"that"	"person"	"ask"	"at"	"one"	"stage"	"of"	"his"	"excavation"	"project"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"on"	"suddenly"	"actor"	"begin"	"actor_on"	"on_suddenly"	"suddenly_begin"	"the_actor_on"	"actor_on_suddenly"	"on_suddenly_begin"	"suddenly_begin_turn_into"	"DT"	"NN"	"IN"	"NN"	"RB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"see"	"the"	"drama"	"called"	"rhinoceros"	"i"	"say"	"think_of"	"the"	"effect"	"it"	"would"	"on"	"an"	"audience"	"of"	"rhino"	"when"	"the"	"actor"	"on"	"stage"	"suddenly"	"begin"	"turn_into"	"a"	"rhinoceros"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"early"	","	"the"	"garden_fresh"	"the_early"	"early_,"	",_garden_fresh"	"in_the_early"	"the_early_,"	"early_,_garden_fresh"	",_garden_fresh_was"	"IN"	"DT"	"JJ"	"NN"	"ε"	"JJ"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"toy_with"	"her"	"in"	"the"	"early"	"stage"	"garden_fresh"	"was"	"ask"	"for"	"top"	"speed"	"only"	"in"	"the"	"stretch"	"by"	"jockey"	"person"	"and"	"win"	"by"	"a"	"length"	"and"	"a"	"half"	"in"	"for"	"the"	"furlong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"early"	","	"the"	"tire"	"the_early"	"early_,"	",_tire"	"in_the_early"	"the_early_,"	"early_,_tire"	",_tire_rapidly"	"IN"	"DT"	"JJ"	"NN"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"paget"	"which"	"have"	"what"	"seem"	"to"	"a"	"substantial"	"lead"	"in"	"the"	"early"	"stage"	"tire"	"rapidly"	"near"	"the"	"wire"	"and"	"be"	"able"	"to"	"save"	"place"	"money"	"only"	"a"	"head"	"in_front"	"of"	"person"	"milties_miss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"late"	"."	"the"	"∅"	"the_late"	"late_."	"._∅"	"in_the_late"	"the_late_."	"late_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"contribute"	"saving"	"play"	"on"	"the"	"aerial"	"thrust"	"in"	"the"	"late"	"stage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"earlier"	"foreign"	"an"	"expert"	"an_earlier"	"earlier_foreign"	"foreign_expert"	"at_an_earlier"	"an_earlier_foreign"	"earlier_foreign_expert"	"foreign_expert_assume"	"IN"	"DT"	"JJ"	"NN"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"technical"	"assistance"	"to"	"these"	"country"	"should"	"place"	"special"	"emphasis"	"on"	"induce"	"the"	"government"	"to"	"assume"	"the"	"role"	"of"	"advisor"	"and"	"guide"	"which"	"at"	"an"	"earlier"	"stage"	"foreign"	"expert"	"assume"	"in"	"deal"	"with"	"the"	"central"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
