"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:30:02::"	"that"	"to"	"something"	"them"	"something_that"	"that_to"	"to_them"	"of_something_that"	"something_that_to"	"that_to_them"	"to_them_or"	"IN"	"NN"	"IN"	"VB"	"VB"	"PRP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"do"	"n't"	"believe"	"that"	"autistic"	"become"	"autistic"	"because"	"of"	"something"	"that"	"happen"	"to"	"them"	"or"	"because"	"of"	"the"	"way"	"their"	"mother"	"treat"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"what"	"to"	"and"	"you"	"and_what"	"what_to"	"to_you"	"you_and_what"	"and_what_to"	"what_to_you"	"to_you_''"	"PRP"	"CC"	"WP"	"VB"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"who"	"be"	"and"	"what"	"happen"	"to"	"you"	"he"	"ask"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"not"	"in"	"did"	"counties"	"did_not"	"not_in"	"in_counties"	"this_did_not"	"did_not_in"	"not_in_counties"	"in_counties_of"	"DT"	"VBD"	"RB"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"not"	"happen"	"in"	"counties"	"of"	"north_georgia"	"where"	"the"	"rivers"	"run"	"and"	"make"	"rich"	"the"	"bottom"	"land"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"this"	"in"	"∅"	"decatur"	"∅_this"	"this_in"	"in_decatur"	"∅_∅_this"	"∅_this_in"	"this_in_decatur"	"in_decatur_,"	"ε"	"ε"	"DT"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"happen"	"in"	"decatur"	"dekalb_county"	"not"	"miles"	"from_the_heart"	"of"	"metropolitian"	"atlanta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	","	"likely"	"however"	"likely_to"	"to_,"	",_however"	"be_likely_to"	"likely_to_,"	"to_,_however"	",_however_,"	"VB"	"JJ"	"TO"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"that"	"likely"	"to"	"happen"	"however"	"should"	"prompt"	"the"	"sending"	"of"	"united_states"	"soldiers"	"for"	"instructional"	"missions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"had"	"in"	"it"	"1930"	"it_had"	"had_in"	"in_1930"	"much_as_it_had"	"it_had_in"	"had_in_1930"	"in_1930_,"	"RB"	"PRP"	"VBD"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"rickards"	"a"	"year-old"	"veteran"	"years"	"in_the_air"	"it"	"be"	"an"	"old"	"story"	"his"	"plane"	"being"	"hijack"	"in"	"mid-flight"	"again"	"much_as"	"it"	"had"	"happen"	"in"	"when"	"peruvian"	"rebels"	"make"	"him"	"land"	"a"	"ford"	"tri-motor"	"at"	"arequipa"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"had"	"until"	"what"	"they"	"what_had"	"had_until"	"until_they"	"know_what_had"	"what_had_until"	"had_until_they"	"until_they_get"	"VB"	"WP"	"VBD"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"passengers"	"did"	"know"	"what"	"had"	"happen"	"until"	"they"	"get"	"on"	"the"	"ground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"actually"	"at"	"what"	"their"	"what_actually"	"actually_at"	"at_their"	"about_what_actually"	"what_actually_at"	"actually_at_their"	"at_their_meetings"	"IN"	"WP"	"RB"	"VB"	"IN"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"board"	"of"	"county"	"commissioners"	"the"	"sanitary_commission"	"the"	"planning"	"and"	"zoning_board"	"and"	"county"	"official"	"bodies"	"recording_machines"	"for"	"all"	"public"	"business"	"in_order_to"	"prevent"	"law"	"suits"	"and"	"misunderstandings"	"about"	"what"	"actually"	"happen"	"at"	"their"	"meetings"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"was"	"in"	"what"	"russia"	"what_was"	"was_in"	"in_russia"	"about_what_was"	"what_was_in"	"was_in_russia"	"in_russia_was"	"IN"	"WP"	"VBD"	"VB"	"IN"	"NNP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"kennan"	"show"	"the"	"judgment"	"of"	"allied"	"governments"	"about"	"what"	"was"	"happen"	"in"	"russia"	"was"	"warp"	"by"	"the"	"obsession"	"of"	"defeat"	"germany"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"be"	"many"	"may"	"miles"	"may_be"	"be_many"	"many_miles"	"things_may_be"	"may_be_many"	"be_many_miles"	"many_miles_away"	"NNS"	"MD"	"VB"	"VB"	"JJ"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"may"	"be"	"happen"	"many"	"miles"	"away"	"from"	"us"	"but"	"really"	"they"	"be"	"right"	"next_door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"not"	"."	"would"	"∅"	"would_not"	"not_."	"._∅"	"things_would_not"	"would_not_."	"not_._∅"	"._∅_∅"	"NNS"	"MD"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"moralities"	"of"	"world"	"law"	"are"	"not"	"advance"	"by"	"steal"	"american"	"diplomatic"	"papers"	"and"	"planes"	"but"	"the"	"kennedy"	"administration"	"can"	"always"	"file"	"demurrer"	"to"	"the"	"effect"	"that"	"but"	"for"	"its"	"own"	"incompetence"	"protect"	"american"	"interests"	"these"	"things"	"would"	"not"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"much"	"in_this"	"∅"	"field"	"∅_much"	"much_in_this"	"in_this_field"	"∅_∅_much"	"∅_much_in_this"	"much_in_this_field"	"in_this_field_during"	"ε"	"ε"	"RB"	"VB"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"happen"	"in_this"	"field"	"during"	"the"	"past"	"months"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"could"	","	"this"	"the"	"this_could"	"could_,"	",_the"	"ways_this_could"	"this_could_,"	"could_,_the"	",_the_churchmen"	"NNS"	"DT"	"MD"	"VB"	"ε"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"ways"	"this"	"could"	"happen"	"the"	"churchmen"	"point_out"	"and"	"here"	"be"	"an"	"example"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"there"	"to"	"but"	"be"	"but_there"	"there_to"	"to_be"	",_but_there"	"but_there_to"	"there_to_be"	"to_be_eight"	"ε"	"CC"	"EX"	"VB"	"VB"	"VB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"directives"	"from"	"central"	"be"	"scarcely"	"cause"	"for"	"regret"	"but"	"there"	"happen"	"to"	"be"	"eight"	"guys"	"bite"	"their"	"fingernails"	"to"	"the"	"quick"	"just"	"wait"	"for"	"an"	"invitation"	"to"	"board"	"you"	"you"	"beautiful"	"thing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"'s"	"?"	"what"	"∅"	"what_'s"	"'s_?"	"?_∅"	"∅_what_'s"	"what_'s_?"	"'s_?_∅"	"?_∅_∅"	"ε"	"WP"	"POS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"n't"	"to"	"did"	"grow_up"	"did_n't"	"n't_to"	"to_grow_up"	"i_did_n't"	"did_n't_to"	"n't_to_grow_up"	"to_grow_up_in"	"PRP"	"VBD"	"RB"	"VB"	"VB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"i"	"say"	"i"	"did"	"happen"	"to"	"grow_up"	"in"	"illinois"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
