"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"
"2:32:01::"	"police"	"it"	"italian"	"in"	"italian_police"	"police_it"	"it_in"	"discreet_italian_police"	"italian_police_it"	"police_it_in"	"it_in_a"	"JJ"	"JJ"	"NN"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"discreet"	"police"	"describe"	"it"	"in"	"a"	"manner"	"typically"	"continental"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"days"	"it"	"roman"	"this"	"roman_days"	"days_it"	"it_this"	"the_roman_days"	"roman_days_it"	"days_it_this"	"it_this_way"	"DT"	"NNP"	"NNS"	"VB"	"PRP"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"close"	"friend"	"of"	"in"	"the"	"roman"	"days"	"describe"	"it"	"this"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"the"	"minister"	"attacks"	"minister_,"	",_the"	"the_attacks"	"the_minister_,"	"minister_,_the"	",_the_attacks"	"the_attacks_which"	"DT"	"NN"	"ε"	"VB"	"DT"	"NNS"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"describe"	"the"	"attacks"	"which"	"lead_up"	"to"	"the"	"appeal"	"say"	"that"	"communist_north"	"vietnamese"	"were"	"fight"	"royal"	"army"	"troops"	"on"	"one"	"front"	"near"	"thakhek"	"in"	"southern-central"	"laos"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"just"	"have"	"factors"	"been"	"factors_just"	"just_have"	"have_been"	"the_factors_just"	"factors_just_have"	"just_have_been"	"have_been_compute"	"DT"	"NNS"	"RB"	"VB"	"VBP"	"VBN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"factors"	"just"	"describe"	"have"	"been"	"compute"	"they"	"are"	"apply"	"the"	"following"	"formula"	"f"	"for"	"an"	"example"	"let"	"dream_up"	"an"	"engine"	"that"	"have"	"a"	"final"	"combustion"	"chamber"	"volume"	"of"	"cubic_inches"	"and"	"a"	"cylinder"	"volume"	"of"	"cubic_inches"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"as"	"in"	"united_states"	"subsection"	"united_states_as"	"as_in"	"in_subsection"	"the_united_states_as"	"united_states_as_in"	"as_in_subsection"	"in_subsection_("	"DT"	"NN"	"IN"	"VB"	"IN"	"NN"	"ε"	"hereby"	"create"	"in"	"the"	"treasury"	"of"	"the"	"united_states"	"a"	"special"	"fund"	"to"	"be"	"known"	"as"	"the"	"yugoslav_claims_fund"	"and"	"such"	"special"	"fund"	"as"	"may"	"in"	"the"	"discretion"	"of"	"the"	"secretary_of_the_treasury"	"be"	"required"	"each"	"to"	"be"	"a"	"claim"	"fund"	"to"	"be"	"known"	"by"	"the"	"name"	"of"	"the"	"foreign"	"government"	"which"	"has"	"enter"	"into"	"a"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"as"	"in"	"united_states"	"subsection"	"united_states_as"	"as_in"	"in_subsection"	"the_united_states_as"	"united_states_as_in"	"as_in_subsection"	"in_subsection_("	"DT"	"NN"	"IN"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"special"	"fund"	"create"	"for"	"that"	"purpose"	"pursuant"	"to"	"subsection"	"a"	"of_this"	"section"	"any"	"amount"	"hereafter"	"pay"	"in"	"united_states_dollar"	"by"	"foreign"	"government"	"which"	"has"	"enter"	"into"	"a"	"claim"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"describe"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"material"	"in"	"the"	"person"	"the_material"	"material_in"	"in_person"	"by_the_material"	"the_material_in"	"material_in_person"	"in_person_'"	"IN"	"DT"	"NN"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"explanation"	"suggest"	"by"	"the"	"material"	"describe"	"in"	"person"	"paper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"the"	"be"	"shift"	"be_to"	"to_the"	"the_shift"	"mimesis_be_to"	"be_to_the"	"to_the_shift"	"the_shift_from"	"NN"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"central"	"concern"	"of"	"person"	"volume"	"called"	"mimesis"	"be"	"to"	"describe"	"the"	"shift"	"from"	"a"	"classic"	"theory"	"of"	"imitation"	"based"	"upon"	"a"	"recognition"	"of"	"level"	"of"	"truth"	"to"	"a"	"christian"	"theory"	"of"	"imitation"	"in"	"which"	"the"	"level"	"are"	"dissolve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"will"	"it"	"we"	","	"we_will"	"will_it"	"it_,"	"as_we_will"	"we_will_it"	"will_it_,"	"it_,_consist_of"	"IN"	"PRP"	"MD"	"VB"	"PRP"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"text"	"lookup"	"we"	"will"	"describe"	"it"	"consist_of"	"three"	"step"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"housewife"	"by"	"long_island"	"a"	"long_island_housewife"	"housewife_by"	"by_a"	"suburban_long_island_housewife"	"long_island_housewife_by"	"housewife_by_a"	"by_a_marriage"	"JJ"	"NN"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"typical"	"be"	"the"	"of"	"a"	"suburban"	"long_island"	"housewife"	"describe"	"by"	"a"	"marriage"	"counselor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"by"	"wife"	"a"	"wife_,"	",_by"	"by_a"	"one_wife_,"	"wife_,_by"	",_by_a"	"by_a_new_york"	"JJ"	"NN"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"describe"	"by"	"a"	"new_york"	"psychologist"	"so"	"dominate"	"her"	"husband"	"that"	"she"	"actually"	"placed"	"their"	"sexual_relationship"	"on"	"a"	"schedule"	"write_down"	"it"	"down"	"right"	"between"	"the"	"weekly"	"group"	"meeting"	"and"	"the"	"thursday"	"night"	"neighborhood"	"card"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
