"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"3:01:00::"	"a"	"duty"	"be"	"."	"be_a"	"a_duty"	"duty_."	"to_be_a"	"be_a_duty"	"a_duty_."	"duty_._∅"	"TO"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"an"	"action"	"once"	"universally"	"condemn"	"by"	"all"	"christian_church"	"and"	"forbid"	"by"	"the"	"civil_law"	"is"	"now"	"not_only"	"approve"	"by"	"the"	"overwhelming"	"majority"	"of"	"protestant_denomination"	"but"	"also"	"deem"	"at"	"certain"	"time"	"to"	"a"	"religious"	"duty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"and"	"weakening"	"ethnic"	"weakening_of"	"of_and"	"and_ethnic"	"the_weakening_of"	"weakening_of_and"	"of_and_ethnic"	"and_ethnic_bond"	"DT"	"NN"	"IN"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"interview"	"with"	"teenager"	"confirm"	"portrait"	"of"	"the"	"weakening"	"of"	"religious"	"and"	"ethnic"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"with"	"activity"	"interfere"	"-"	"interfere_with"	"with_activity"	"activity_-"	"inconveniently_interfere_with"	"interfere_with_activity"	"with_activity_-"	"activity_-_at_least"	"RB"	"VB"	"VB"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"fourteen"	"year"	"old"	"girl"	"from"	"the"	"middle_west"	"observe"	"that"	"in"	"her"	"community"	"religion"	"inconveniently"	"interfere"	"with"	"religious"	"activity"	"at_least"	"with"	"the"	"peripheral"	"activity"	"that"	"many"	"middle-class"	"jew"	"now"	"regard_as"	"religious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"regard_as"	"."	"now"	"∅"	"now_regard_as"	"regard_as_."	"._∅"	"jew_now_regard_as"	"now_regard_as_."	"regard_as_._∅"	"._∅_∅"	"NN"	"RB"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"a"	"fourteen"	"year"	"old"	"girl"	"from"	"the"	"middle_west"	"observe"	"wryly"	"that"	"in"	"her"	"community"	"religion"	"inconveniently"	"interfere"	"with"	"religious"	"activity"	"at_least"	"with"	"the"	"peripheral"	"activity"	"that"	"middle-class"	"jew"	"now"	"regard_as"	"religious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"sphere"	"in"	"so"	"in_the"	"the_sphere"	"sphere_so"	"nothing_in_the"	"in_the_sphere"	"the_sphere_so"	"sphere_so_popularly"	"NN"	"IN"	"DT"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"again"	"in"	"in"	"england"	"there"	"perhaps"	"nothing"	"in"	"the"	"religious"	"sphere"	"so"	"popularly"	"discuss"	"as"	"christian"	"unity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"that"	"population_shift"	"and"	"have"	"and_that"	"that_population_shift"	"population_shift_have"	",_and_that"	"and_that_population_shift"	"that_population_shift_have"	"population_shift_have_empty"	"ε"	"CC"	"IN"	"JJ"	"NN"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"it"	"must"	"be"	"say"	"that"	"these"	"same"	"protestant"	"build"	"some"	"new"	"church"	"during"	"this"	"period"	"and"	"that"	"religious"	"population_shift"	"have"	"empty"	"church"	"a"	"principal"	"reason"	"for"	"this"	"phenomenon"	"of"	"redundancy"	"be"	"that"	"fewer"	"protestant"	"are"	"go_to"	"church"	
"3:01:00::"	"english"	"history"	"of"	"be"	"of_english"	"english_history"	"history_be"	"pattern_of_english"	"of_english_history"	"english_history_be"	"history_be_the"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"the"	"crowning"	"event"	"that"	"has"	"upset"	"the"	"traditional"	"pattern"	"of"	"english"	"religious"	"history"	"be"	"the"	"friendly"	"visit"	"pay"	"by"	"person"	"then"	"anglican"	"archbishop"	"of"	"location"	"to"	"the"	"vatican"	"last"	"december"	"0"	"0"	"0"	"0"	
"3:01:00::"	"and"	"pattern"	","	"into"	",_and"	"and_pattern"	"pattern_into"	"political_,_and"	",_and_pattern"	"and_pattern_into"	"pattern_into_late"	"JJ"	"ε"	"CC"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"same"	"conclusion"	"can"	"be"	"draw"	"from"	"the"	"physical"	"evidence"	"of"	"the"	"dark_ages"	"from"	"linguistic"	"distribution"	"and"	"from"	"the"	"of"	"early"	"social"	"political"	"and"	"religious"	"pattern"	"into"	"late"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"this"	"center"	"get_out"	"out_of"	"get_out_this"	"this_center"	"center_out_of"	"to_get_out_this"	"get_out_this_center"	"this_center_out_of"	"center_out_of_its"	"TO"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"stress"	"the"	"fact"	"that"	"clear"	"as"	"this"	"be"	"they"	"must"	"have"	"a"	"better"	"church"	"a"	"more"	"businesslike"	"conduct"	"of"	"the"	"church"	"organization"	"an"	"effort"	"to"	"get_out"	"this"	"religious"	"center"	"out_of"	"its"	"rut"	"of"	"wild"	"worship"	"into"	"a"	"modern"	"church"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"inhibition"	"fairyland"	","	"fairyland_of"	"of_inhibition"	"inhibition_,"	"that_fairyland_of"	"fairyland_of_inhibition"	"of_inhibition_,"	"inhibition_,_the"	"RB"	"NN"	"IN"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"like"	"medical_school"	"in"	"where"	"in"	"that"	"fairyland"	"of"	"religious"	"inhibition"	"the"	"dissection"	"of"	"dead_body"	"is"	"frown_upon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"."	"-"	"∅"	"-_the"	"the_."	"._∅"	"experience_-_the"	"-_the_."	"the_._∅"	"._∅_∅"	"NN"	"ε"	"DT"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_last_analysis"	"religion"	"be"	"the"	"means"	"of"	"induce"	"formulate"	"express"	"enhance"	"implement"	"and"	"man"	"deep"	"experience"	"the"	"religious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"system"	"that"	"provide"	"that_the"	"the_system"	"system_provide"	"fact_that_the"	"that_the_system"	"the_system_provide"	"system_provide_a"	"NN"	"IN"	"DT"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"closely"	"related"	"to"	"this"	"be"	"the"	"fact"	"that"	"the"	"religious"	"system"	"provide"	"a"	"body"	"of"	"ultimate"	"end"	"for"	"the"	"society"	"which"	"be"	"compatible"	"with"	"the"	"supreme"	"eternal"	"end"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"symbolism"	"∅"	","	"∅_the"	"the_symbolism"	"symbolism_,"	"∅_∅_the"	"∅_the_symbolism"	"the_symbolism_,"	"symbolism_,_and"	"ε"	"ε"	"DT"	"JJ"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"religious"	"symbolism"	"and"	"especially"	"the"	"closely"	"related"	"rite"	"and"	"worship"	"form"	"constitute"	"a"	"powerful"	"bond"	"for"	"the"	"member"	"of"	"the"	"particular"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"who"	"confuse"	"remain"	"confuse_the"	"the_who"	"who_remain"	"to_confuse_the"	"confuse_the_who"	"the_who_remain"	"who_remain_loyal"	"TO"	"VB"	"DT"	"JJ"	"WP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"are"	"to"	"be"	"accuse"	"arianism"	"to"	"confuse"	"the"	"religious"	"who"	"remain"	"loyal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"in"	"certainly"	"any"	"certainly_,"	",_in"	"in_any"	",_certainly_,"	"certainly_,_in"	",_in_any"	"in_any_conventional"	"ε"	"RB"	"ε"	"JJ"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"certainly"	"religious"	"in"	"any"	"conventional"	"sense"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
