"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"
"2:41:01::"	"to"	"excessive"	"and"	"luxury"	"and_to"	"to_excessive"	"excessive_luxury"	"investment_and_to"	"and_to_excessive"	"to_excessive_luxury"	"excessive_luxury_consumption"	"NN"	"CC"	"TO"	"VB"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"include"	"not_only"	"development"	"programing"	"but"	"also"	"establish"	"tax_policies"	"design"	"to"	"raise"	"equitably"	"resources"	"for"	"investment"	"fiscal"	"and"	"monetary"	"policies"	"design"	"to"	"prevent"	"serious"	"and"	"regulatory"	"policies"	"aim"	"to"	"attract"	"the"	"financial"	"and"	"managerial"	"resources"	"of"	"foreign"	"investment"	"and"	"to"	"prevent"	"excessive"	"luxury"	"consumption"	"by"	"a_few"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"friday"	"many"	"on"	"workouts"	"on_friday"	"friday_many"	"many_workouts"	"rain_on_friday"	"on_friday_many"	"friday_many_workouts"	"many_workouts_,"	"NNP"	"IN"	"NNP"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rain"	"friday"	"prevent"	"many"	"workouts"	"but"	"there"	"be"	"a_few"	"miles"	"of"	"note"	"on"	"thursday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"in_order_to"	"law"	"business"	"suits"	"business_in_order_to"	"in_order_to_law"	"law_suits"	"public_business_in_order_to"	"business_in_order_to_law"	"in_order_to_law_suits"	"law_suits_and"	"JJ"	"NN"	"RB"	"VB"	"NN"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"board"	"of"	"county"	"commissioners"	"the"	"sanitary_commission"	"the"	"planning"	"and"	"zoning_board"	"county"	"official"	"bodies"	"use"	"recording_machines"	"for"	"all"	"public"	"business"	"in_order_to"	"prevent"	"law"	"suits"	"and"	"misunderstandings"	"about"	"what"	"actually"	"happen"	"at"	"their"	"meetings"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"confusion"	"able"	"for"	"able_to"	"to_confusion"	"confusion_for"	"be_able_to"	"able_to_confusion"	"to_confusion_for"	"confusion_for_church"	"VB"	"JJ"	"VB"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interviews"	"with"	"several"	"church"	"leaders"	"have"	"disclose"	"that"	"this"	"development"	"raise"	"the"	"question"	"whether"	"the"	"peace_corps"	"will"	"be"	"able"	"to"	"prevent"	"confusion"	"for"	"church"	"and"	"state"	"over"	"methods"	"means"	"and"	"goals"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"not"	"sheet"	"did"	"erosion"	"did_not"	"not_sheet"	"sheet_erosion"	",_did_not"	"did_not_sheet"	"not_sheet_erosion"	"sheet_erosion_in"	"ε"	"VBD"	"RB"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._clark"	"find"	"that"	"orthodox"	"procedures"	"of"	"deep"	"plowing"	"use"	"of"	"chemical"	"fertilizers"	"and"	"insecticides"	"the"	"application"	"of"	"conservation"	"principles"	"of"	"rotation"	"and"	"contouring"	"did"	"not"	"prevent"	"sheet"	"erosion"	"in"	"the"	"potato"	"fields"	"and"	"depreciation"	"of"	"the"	"soil"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	":"	"the"	"objectiveness"	"distant"	"objectiveness_:"	":_the"	"the_distant"	"to_objectiveness_:"	"objectiveness_:_the"	":_the_distant"	"the_distant_sitter"	"TO"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"get_around"	"this"	"quite"	"difficult"	"corner"	"be"	"one"	"first_aid"	"to"	"objectiveness"	"prevent"	"the"	"distant"	"sitter"	"from"	"know"	"which"	"reading"	"be"	"for"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"integration"	"efforts"	"."	"efforts_to"	"to_integration"	"integration_."	"his_efforts_to"	"efforts_to_integration"	"to_integration_."	"integration_._∅"	"PRP$"	"NNS"	"TO"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"it"	"fail"	"to"	"pass"	"he"	"can"	"throw"	"up"	"his"	"hands"	"say"	"the"	"legislature"	"would"	"not"	"support"	"him"	"in"	"his"	"efforts"	"to"	"prevent"	"integration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"nothing"	"man"	"nothing_to"	"to_a"	"a_man"	"is_nothing_to"	"nothing_to_a"	"to_a_man"	"a_man_from"	"VB"	"NN"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"design"	"his"	"home"	"shelter"	"there"	"is"	"nothing"	"to"	"prevent"	"a"	"man"	"from"	"planning"	"to"	"shelter"	"that"	"home"	"occupants"	"plus-one"	"so"	"he"	"will"	"be"	"able"	"to"	"take_in"	"a"	"stranger"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"of"	"continued"	"method"	"soviet"	"method_of"	"of_continued"	"continued_soviet"	"effective_method_of"	"method_of_continued"	"of_continued_soviet"	"continued_soviet_armament"	"JJ"	"NN"	"IN"	"VB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"in"	"my"	"latest"	"newsletter"	"to"	"my"	"constituent"	"i"	"urge"	"the"	"of"	"a"	"naval_blockade"	"of"	"cuba"	"as"	"the"	"only"	"effective"	"method"	"of"	"prevent"	"continued"	"soviet"	"armament"	"from"	"come"	"into"	"the"	"western_hemisphere"	"in"	"violation"	"of"	"the"	"monroe_doctrine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"this"	"appropriate"	","	"appropriate_to"	"to_this"	"this_,"	"be_appropriate_to"	"appropriate_to_this"	"to_this_,"	"this_,_even"	"VB"	"JJ"	"TO"	"VB"	"DT"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"the"	"full"	"extent"	"of_this"	"russian"	"military"	"penetration"	"of"	"cuba"	"be"	"person"	"announce"	"we"	"would"	"take"	"whatever"	"action"	"be"	"appropriate"	"to"	"prevent"	"this"	"even"	"if"	"we"	"have"	"to"	"go"	"it"	"alone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	","	"all"	"the"	"partial"	"the_,"	",_all"	"all_partial"	"on_the_,"	"the_,_all"	",_all_partial"	"all_partial_or"	"IN"	"DT"	"ε"	"VB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"guard"	"against"	"the"	"tyranny"	"of"	"a"	"numerical"	"majority"	"person"	"develop"	"his"	"theory"	"of"	"concurrent"	"majority"	"he"	"say"	"by"	"give"	"to"	"each"	"portion"	"of"	"the"	"community"	"which"	"may"	"be"	"unequally"	"affected"	"by"	"action"	"of"	"government"	"a"	"negative"	"on"	"the"	"prevent"	"all"	"partial"	"or"	"local"	"legislation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"adjustment"	"allotment"	"adjustment_to"	"to_the"	"the_allotment"	"with_adjustment_to"	"adjustment_to_the"	"to_the_allotment"	"the_allotment_of"	"IN"	"NN"	"TO"	"VB"	"DT"	"NN"	"IN"	"recoup"	"by"	"reduction"	"in"	"item"	"above"	"are"	"use"	"first"	"to"	"increase"	"the"	"unadjusted"	"allotment"	"to"	"the"	"specified"	"minimum"	"in"	"those"	"state"	"where"	"the"	"unadjusted"	"allotment"	"be"	"less"	"than"	"the"	"minimum"	"allotment"	"item"	"above"	"and"	"second"	"to"	"increase"	"uniformly"	"the"	"allotment"	"to"	"those"	"state"	"whose"	"allotment"	"below"	"their"	"maximum"	"with"	"adjustment"	"to"	"prevent"	"allotment"	"of"	"any"	"state"	"from"	"thereby"	"exceed"	"its"	"maximum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	","	"or"	"shipping_fever"	"treat"	"shipping_fever_,"	",_or"	"or_treat"	"of_shipping_fever_,"	"shipping_fever_,_or"	",_or_treat"	"or_treat_bacterial"	"IN"	"NN"	"ε"	"VB"	"CC"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"increase"	"rate"	"of"	"gain"	"and"	"improve"	"feed"	"efficiency"	"aid"	"in"	"the"	"prevention"	"or"	"depending_on"	"level"	"feed"	"of"	"the"	"early"	"stage"	"of"	"shipping_fever"	"prevent"	"or"	"treat"	"bacterial"	"diarrhea"	"and"	"aid"	"in"	"reduce"	"incidence"	"of"	"bloat"	"and"	"liver"	"abscess"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
