"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"3:00:02::"	"slightly"	"salary"	"and"	"than"	"and_slightly"	"slightly_salary"	"salary_than"	"prestige_and_slightly"	"and_slightly_salary"	"slightly_salary_than"	"salary_than_typing"	"NN"	"CC"	"RB"	"JJ"	"NN"	"IN"	"NN"	"position"	"receptionist"	"was"	"open"	"in"	"a"	"large"	"office"	"and"	"an"	"announcement"	"was"	"made"	"to"	"the"	"girl"	"already"	"work"	"that"	"they"	"could"	"apply"	"for"	"this"	"job"	"which"	"have"	"high"	"prestige"	"high"	"salary"	"than"	"typing"	"and"	"clerking"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"∅"	"sensitivity"	"∅"	"in"	"∅_∅"	"∅_sensitivity"	"sensitivity_in"	"∅_∅_∅"	"∅_∅_sensitivity"	"∅_sensitivity_in"	"sensitivity_in_radio_telescope"	"ε"	"ε"	"ε"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sensitivity"	"in"	"radio_telescope"	"is"	"achieve"	"by"	"reduce"	"the"	"bandwidth"	"of"	"the"	"receiver"	"therefore"	"only"	"with"	"precise"	"foreknowledge"	"of"	"the"	"line"	"frequency"	"be"	"an"	"astronomical"	"search"	"for"	"the"	"radio_spectrum"	"of"	"these"	"molecule"	"feasible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"stabilized"	"current"	"wall"	"arc"	"wall_stabilized"	"stabilized_current"	"current_arc"	"a_wall_stabilized"	"wall_stabilized_current"	"stabilized_current_arc"	"current_arc_source"	"DT"	"NN"	"JJ"	"JJ"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"stabilized"	"high"	"current"	"arc"	"source"	"was"	"construct"	"and"	"use"	"to"	"study"	"transition"	"probability"	"of"	"atomic"	"hydrogen"	"and"	"oxygen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"shoulder"	"."	"hand"	"∅"	"hand_shoulder"	"shoulder_."	"._∅"	"his_hand_shoulder"	"hand_shoulder_."	"shoulder_._∅"	"._∅_∅"	"PRP$"	"NN"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"angry"	"enough"	"to"	"be"	"a_little"	"raise"	"his"	"hand"	"shoulder"	"high"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"pile"	"with"	"jump_seat"	"luggage"	"jump_seat_pile"	"pile_with"	"with_luggage"	"a_jump_seat_pile"	"jump_seat_pile_with"	"pile_with_luggage"	"with_luggage_person"	"DT"	"NN"	"VB"	"JJ"	"IN"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"rapidly"	"diminishing"	"of"	"a"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"person"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"or"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"must"	"still"	"be"	"stream"	"back"	"in"	"cool"	"oh"	"cool"	"wind"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	
"3:00:02::"	"somewhat"	"("	"come_out"	"as"	"come_out_somewhat"	"somewhat_("	"(_as"	"ratio_come_out_somewhat"	"come_out_somewhat_("	"somewhat_(_as"	"(_as_indeed"	"NN"	"VB"	"RB"	"JJ"	"ε"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"will"	"be"	"see"	"that"	"where"	"the"	"be"	"similar"	"the"	"athabascan"	"ratio"	"come_out"	"somewhat"	"high"	"as"	"indeed"	"they"	"ought"	"to"	"with"	"a"	"total"	"ratio"	"of"	"as"	"against"	"or"	"except"	"for"	"verb"	"where"	"alone"	"the"	"athabascan"	"ratio"	"be"	"low"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"as"	"an"	"show"	"empirical"	"show_as"	"as_an"	"an_empirical"	"form_show_as"	"show_as_an"	"as_an_empirical"	"an_empirical_retention"	"NN"	"NN"	"IN"	"JJ"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"would"	"propose"	"next"	"as"	"the"	"prime"	"requirement"	"for"	"constitution"	"of"	"basic"	"list"	"item"	"whose"	"form"	"show"	"as"	"high"	"an"	"empirical"	"retention"	"rate"	"as"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"compulsive"	"of"	"within"	"of_the"	"the_compulsive"	"compulsive_within"	"achievement_of_the"	"of_the_compulsive"	"the_compulsive_within"	"compulsive_within_the"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"had"	"expect"	"that"	"compulsive"	"child"	"in"	"the"	"unstructured"	"school"	"setting"	"would"	"have"	"difficulty"	"when"	"compare"	"to"	"those"	"in"	"the"	"structured"	"we"	"were"	"surprise"	"to"	"find"	"that"	"the"	"achievement"	"of"	"compulsive"	"within"	"the"	"school"	"where"	"the"	"whole-word_method"	"is"	"use"	"in"	"beginning"	"reading"	"compare"	"favorably"	"with"	"that"	"of"	"the"	"low"	"compulsive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"with"	"anxiety"	"individual"	"in"	"individual_with"	"with_anxiety"	"anxiety_in"	"the_individual_with"	"individual_with_anxiety"	"with_anxiety_in"	"anxiety_in_the"	"DT"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"with"	"high"	"anxiety"	"in"	"the"	"structured"	"classroom"	"may"	"approach"	"the"	"learning"	"task"	"with"	"the"	"same"	"increased"	"energy"	"and"	"lowered"	"power"	"of"	"discrimination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"as"	"as"	"almost"	"that"	"almost_as"	"as_as"	"as_that"	"be_almost_as"	"almost_as_as"	"as_as_that"	"as_that_of"	"VB"	"RB"	"RB"	"JJ"	"IN"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"percentage"	"of"	"jewish"	"girl"	"attend"	"college"	"be"	"almost"	"as"	"high"	"as"	"that"	"of"	"boy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"percentage"	"for"	"of"	"for_the"	"the_percentage"	"percentage_of"	"reason_for_the"	"for_the_percentage"	"the_percentage_of"	"percentage_of_jewish"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"reason"	"for"	"the"	"high"	"percentage"	"of"	"jewish"	"teenager"	"in"	"college"	"be"	"that"	"a"	"great"	"many"	"urban"	"jew"	"are"	"enable"	"to"	"attend"	"local"	"college"	"at"	"modest"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"moderately"	"molecular_weight"	"consist_of"	"and"	"consist_of_moderately"	"moderately_molecular_weight"	"molecular_weight_and"	"class_consist_of_moderately"	"consist_of_moderately_molecular_weight"	"moderately_molecular_weight_and"	"molecular_weight_and_highly"	"NN"	"VB"	"RB"	"JJ"	"NN"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_is"	"well_known"	"detergent"	"active"	"belong_to"	"chemical"	"class"	"consist_of"	"moderately"	"high"	"molecular_weight"	"and"	"highly"	"polar"	"molecule"	"which"	"exhibit"	"the"	"property"	"of"	"form"	"micelle"	"in"	"solution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"inch"	"stub"	"an"	"with"	"an_inch"	"inch_stub"	"stub_with"	"leave_an_inch"	"an_inch_stub"	"inch_stub_with"	"stub_with_just"	"VB"	"DT"	"NN"	"JJ"	"NN"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"and"	"also"	"good"	"practice"	"be"	"shear"	"off"	"the"	"top"	"leave"	"an"	"inch"	"high"	"stub"	"with"	"just"	"a"	"leaf"	"or"	"two"	"on"	"each"	"branch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"their"	"content"	"of"	"of"	"of_their"	"their_content"	"content_of"	"because_of_their"	"of_their_content"	"their_content_of"	"content_of_unsaturated"	"IN"	"IN"	"PRP$"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"group"	"location"	"florida"	"and"	"the"	"location"	"set_out"	"to"	"discover"	"avocado"	"because"	"of"	"their"	"high"	"content"	"of"	"unsaturated"	"fatty_acid"	"would"	"reduce"	"the"	"cholesterol"	"of"	"the"	"blood"	"in"	"select"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:superior:01"	"the"	"aristocracy"	"of"	"would"	"of_the"	"the_aristocracy"	"aristocracy_would"	"member_of_the"	"of_the_aristocracy"	"the_aristocracy_would"	"aristocracy_would_be"	"NN"	"IN"	"DT"	"JJ"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"see"	"him"	"in"	"that"	"condition"	"and"	"about"	"to"	"enter"	"the"	"hall"	"where"	"the"	"person"	"queen"	"the"	"whole"	"royal_family"	"and"	"all"	"member"	"of"	"the"	"high"	"aristocracy"	"would"	"be"	"present"	"person"	"and"	"the"	"person"	"and_others"	"try"	"to"	"stop"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"spot"	"of"	"of"	"of_the"	"the_spot"	"spot_of"	"one_of_the"	"of_the_spot"	"the_spot_of"	"spot_of_the"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"be"	"of"	"the"	"high"	"spot"	"of"	"the"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"each"	"note"	"∅"	"have"	"∅_each"	"each_note"	"note_have"	"∅_∅_each"	"∅_each_note"	"each_note_have"	"note_have_the"	"ε"	"ε"	"JJ"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"high"	"note"	"have"	"the"	"crowd"	"in"	"ecstasy"	"so"	"that"	"it"	"stop"	"the"	"show"	"midway"	"in"	"the"	"mad_scene"	"but"	"the"	"real"	"reason"	"be"	"a"	"realization"	"of"	"the"	"extraordinary"	"performance"	"unfold"	"at"	"the"	"moment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"chopper"	"beat_out"	"to"	"beat_out_a"	"a_chopper"	"chopper_to"	"person_beat_out_a"	"beat_out_a_chopper"	"a_chopper_to"	"chopper_to_third_base"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"tie"	"the"	"score"	"in"	"sixth"	"inning"	"when"	"person"	"beat_out"	"a"	"high"	"chopper"	"to"	"third_base"	"and"	"score"	"on"	"person"	"double"	"to"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
