"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"2:38:00::"	"come"	"from"	"calhoun"	"the"	"calhoun_come"	"come_from"	"from_the"	"and_calhoun_come"	"calhoun_come_from"	"come_from_the"	"from_the_."	"CC"	"NNP"	"VB"	"VB"	"IN"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"durkin"	"calhoun"	"come"	"run"	"from"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:06::"	"to"	"ahead"	"continue"	"of"	"continue_to"	"to_ahead"	"ahead_of"	"attendance_continue_to"	"continue_to_ahead"	"to_ahead_of"	"ahead_of_last"	"NN"	"VB"	"TO"	"VB"	"RB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attendance"	"to"	"run"	"ahead"	"of"	"last"	"year"	"during"	"the"	"five-day"	"show"	"with"	"clear"	"skies"	"help"	"attract"	"fairgoers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"monitors"	"twenty-four_hours"	"the"	"each_day"	"the_monitors"	"monitors_twenty-four_hours"	"twenty-four_hours_each_day"	"∅_the_monitors"	"the_monitors_twenty-four_hours"	"monitors_twenty-four_hours_each_day"	"twenty-four_hours_each_day_."	"ε"	"DT"	"NNS"	"VB"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"monitors"	"run"	"twenty-four_hours"	"each_day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"."	"dunk"	"∅"	"dunk_and"	"and_."	"._∅"	"only_dunk_and"	"dunk_and_."	"and_._∅"	"._∅_∅"	"RB"	"VB"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"bottle"	"pool"	"is"	"tolerate"	"bottle"	"pool"	"be"	"our"	"lingo"	"for"	"those"	"who"	"come"	"to"	"swim"	"sink"	"into"	"our"	"bar"	"while"	"protest"	"they"	"can"	"only"	"dunk"	"and"	"run"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"rivers"	"and"	"the"	"make"	"the_rivers"	"rivers_and"	"and_make"	"where_the_rivers"	"the_rivers_and"	"rivers_and_make"	"and_make_rich"	"WRB"	"DT"	"NNS"	"VB"	"CC"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"did"	"not"	"happen"	"in"	"of"	"north_georgia"	"where"	"the"	"rivers"	"run"	"and"	"make"	"rich"	"the"	"bottom"	"land"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"had"	"from"	"brother"	"the"	"brother_had"	"had_from"	"from_the"	"his_brother_had"	"brother_had_from"	"had_from_the"	"from_the_house"	"PRP$"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"younger"	"son"	"police"	"his"	"brother"	"had"	"run"	"from"	"the"	"house"	"after"	"the"	"shootings"	"and"	"had"	"drive"	"away"	"in"	"their"	"mother"	"car"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"play"	"a"	"the"	"bar"	"the_play"	"play_a"	"a_bar"	"of_the_play"	"the_play_a"	"play_a_bar"	"a_bar_and"	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"susan_johnson"	"as"	"the"	"widow"	"spend"	"first_half"	"of"	"the"	"play"	"run"	"a"	"bar"	"and"	"sing"	"about"	"the"	"unlamented"	"death"	"of"	"her"	"late"	"husband"	"and"	"the"	"second_half"	"try"	"to"	"acquire"	"a"	"new"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"well"	"from"	"motor"	"the"	"motor_well"	"well_from"	"from_the"	"the_motor_well"	"motor_well_from"	"well_from_the"	"from_the_bottom"	"DT"	"NN"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sides"	"the"	"motor"	"well"	"run"	"from"	"the"	"bottom"	"battens"	"to"	"the"	"top"	"and"	"from"	"frame"	"six"	"to"	"the"	"transom"	"form"	"a"	"real"	"strong"	"transom"	"brace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:06::"	"to"	"and"	"decide"	"want"	"decide_to"	"to_and"	"and_want"	"had_decide_to"	"decide_to_and"	"to_and_want"	"and_want_mr._screvane"	"VBD"	"VB"	"TO"	"VB"	"CC"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mayor"	"decline"	"in"	"two"	"interviews"	"with"	"reporters"	"yesterday"	"confirm"	"or"	"deny"	"the"	"reports"	"that"	"he"	"had"	"decide"	"to"	"run"	"and"	"want"	"mr._screvane"	"who"	"live"	"in"	"queens"	"to"	"replace"	"abe_stark"	"the"	"incumbent"	"as"	"the"	"candidate"	"for"	"president"	"of"	"the"	"city_council"	"and"	"mr._beame"	"who"	"live"	"in"	"brooklyn"	"to"	"replace"	"mr._gerosa"	"as"	"the"	"candidate"	"for"	"controller"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:04::"	"policy"	"counter"	"our"	"to_that"	"our_policy"	"policy_counter"	"counter_to_that"	"crisis_our_policy"	"our_policy_counter"	"policy_counter_to_that"	"counter_to_that_of"	"NN"	"PRP$"	"NN"	"VB"	"NN"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"moment"	"simultaneously"	"reveal"	"in"	"the"	"crisis"	"our"	"policy"	"run"	"counter"	"to_that"	"of"	"all"	"our"	"nato"	"allies"	"to"	"the"	"entire"	"western"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"which"	"horizontally"	"("	")"	"(_which"	"which_horizontally"	"horizontally_)"	"spacers_(_which"	"(_which_horizontally"	"which_horizontally_)"	"horizontally_)_."	"NNS"	"ε"	"WDT"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"cut"	"five"	"f"	"locking"	"spacers"	"which"	"run"	"horizontally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:07::"	"we"	"a"	"("	"survey"	"(_we"	"we_a"	"a_survey"	"gun_(_we"	"(_we_a"	"we_a_survey"	"a_survey_to"	"NN"	"ε"	"PRP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"average"	"reader"	"of_this"	"magazine"	"more_than"	"one"	"gun"	"we"	"run"	"a"	"survey"	"to"	"find_out"	"but"	"he"	"be"	"always"	"on"	"the"	"lookout"	"for"	"new"	"and"	"better"	"arms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:04::"	"and"	"in"	"warm_up"	"the"	"warm_up_and"	"and_in"	"in_the"	"waco_warm_up_and"	"warm_up_and_in"	"and_in_the"	"in_the_drafty"	"NNP"	"VB"	"CC"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"out"	"at"	"the"	"airport"	"each"	"morning"	"fogg"	"skilled"	"caleb_marston"	"would"	"have"	"the"	"waco"	"warm_up"	"and"	"run"	"in"	"the"	"drafty"	"hangar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"tracks"	"down"	"car"	"the"	"car_tracks"	"tracks_down"	"down_the"	"street_car_tracks"	"car_tracks_down"	"tracks_down_the"	"down_the_center"	"NNP"	"NN"	"NN"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"street"	"tracks"	"run"	"down"	"the"	"center"	"of"	"pennsylvania"	"power"	"with"	"lines"	"that"	"be"	"underground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"they"	"for"	"∅"	"three"	"∅_they"	"they_for"	"for_three"	"∅_∅_they"	"∅_they_for"	"they_for_three"	"for_three_hours"	"ε"	"ε"	"PRP"	"VB"	"VB"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"run"	"for"	"three"	"hours"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"had"	"naked"	"she"	"through"	"she_had"	"had_naked"	"naked_through"	"after_she_had"	"she_had_naked"	"had_naked_through"	"naked_through_its"	"IN"	"PRP"	"VBD"	"VB"	"JJ"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"climax"	"her"	"roman"	"revels"	"she"	"was"	"of"	"the"	"swanky"	"hotel_excelsior"	"after"	"she"	"had"	"run"	"naked"	"through"	"its"	"marble"	"halls"	"scream"	"for"	"help"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:06::"	"will"	"well"	"jones"	"ahead"	"jones_will"	"will_well"	"well_ahead"	"today_jones_will"	"jones_will_well"	"will_well_ahead"	"well_ahead_of"	"NN"	"NNP"	"MD"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sen._charles_w._sandman"	"r-cape_may"	"say"	"jones"	"will"	"run"	"well"	"ahead"	"of"	"his"	"gop"	"opponents"	"for"	"the"	"gubernatorial"	"nomination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
