"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"2:43:00::"	"to"	"."	"begin"	"∅"	"begin_to"	"to_."	"._∅"	"sprinkle_begin_to"	"begin_to_."	"to_._∅"	"._∅_∅"	"NN"	"VB"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"much"	"ado"	"turn"	"serious"	"while"	"the"	"insipid"	"claudio"	"reject"	"at"	"the"	"altar"	"a"	"sprinkle"	"begin"	"to"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"must"	"prey"	"that"	"either"	"that_must"	"must_prey"	"prey_either"	"states_that_must"	"that_must_prey"	"must_prey_either"	"prey_either_to"	"NNS"	"WDT"	"MD"	"VB"	"NN"	"DT"	"TO"	"0"	"0"	"0"	"lincoln"	"see"	"that"	"the"	"act"	"of"	"secession"	"make"	"the"	"issue"	"for"	"the"	"union"	"a"	"vital"	"one"	"whether"	"it"	"be"	"a"	"union"	"of"	"sovereign"	"citizens"	"that"	"should"	"continue"	"to"	"live"	"or"	"an"	"association"	"of"	"states"	"that"	"must"	"fall"	"prey"	"either"	"to"	"anarchy"	"or"	"despotism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"would"	"within"	"aircraft"	"this"	"aircraft_would"	"would_within"	"within_this"	"and_aircraft_would"	"aircraft_would_within"	"would_within_this"	"within_this_category"	"CC"	"NN"	"MD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"boats"	"aircraft"	"would"	"fall"	"within"	"this"	"category"	"as_well"	"as"	"motor_vehicles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"been"	"on"	"had"	"the"	"had_been"	"been_on"	"on_the"	"use_had_been"	"had_been_on"	"been_on_the"	"on_the_floor"	"VB"	"VBD"	"VBN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cleansing"	"tissue"	"she"	"been"	"use"	"had"	"been"	"fall"	"on"	"the"	"floor"	"and"	"he"	"get_up"	"and"	"pick_up"	"one"	"then"	"another"	"hope"	"she"	"would"	"notice"	"what"	"he"	"was"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:06::"	"may"	"far"	"production"	"below"	"production_may"	"may_far"	"far_below"	"∅_production_may"	"production_may_far"	"may_far_below"	"far_below_expectation"	"ε"	"NN"	"MD"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"may"	"fall"	"far"	"below"	"expectation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"both"	"heavily"	"∅"	"to"	"∅_both"	"both_heavily"	"heavily_to"	"∅_∅_both"	"∅_both_heavily"	"both_heavily_to"	"heavily_to_the"	"ε"	"ε"	"DT"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fall"	"heavily"	"to"	"the"	"ground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"to"	"still"	"bound"	"further"	"bound_to"	"to_still"	"still_further"	"is_bound_to"	"bound_to_still"	"to_still_further"	"still_further_behind"	"VBZ"	"JJ"	"JJ"	"VB"	"RB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"evidence"	"suggest"	"that"	"foreign"	"people"	"believe"	"the"	"united_states"	"weak"	"than"	"the"	"soviet_union"	"and"	"is"	"bound"	"to"	"fall"	"still"	"further"	"behind"	"in"	"the"	"year"	"ahead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"on"	"etc."	"saturday"	"etc._,"	",_on"	"on_saturday"	",_etc._,"	"etc._,_on"	",_on_saturday"	"on_saturday_,"	"ε"	"FW"	"ε"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"last"	"day"	"due_date"	"for"	"perform"	"any"	"act"	"for"	"tax"	"purpose"	"such_as"	"a"	"return"	"or"	"make"	"a"	"tax"	"payment"	"etc."	"fall"	"on"	"saturday"	"sunday"	"or"	"a"	"legal_holiday"	"you"	"may"	"perform"	"that"	"act"	"on"	"the"	"next"	"succeeding"	"day"	"which"	"be"	"not"	"a"	"saturday"	"sunday"	"or"	"legal_holiday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"in"	"1609"	"in_the"	"the_of"	"of_1609"	",_in_the"	"in_the_of"	"the_of_1609"	"of_1609_,"	"ε"	"IN"	"DT"	"NN"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"half_moon"	"put"	"in"	"location"	"england"	"in"	"the"	"fall"	"of"	"word"	"of"	"person"	"finding"	"leak_out"	"and"	"english"	"interest"	"in"	"him"	"revive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"hand"	"to"	"his"	"his"	"his_hand"	"hand_to"	"to_his"	"let_his_hand"	"his_hand_to"	"hand_to_his"	"to_his_side"	"VB"	"PRP$"	"NN"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"stare"	"at"	"him"	"answer"	"and"	"let"	"his"	"hand"	"fall"	"to"	"his"	"side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	","	"into"	"freedom"	"sin"	"freedom_,"	",_into"	"into_sin"	"the_freedom_,"	"freedom_,_into"	",_into_sin"	"into_sin_against"	"DT"	"NN"	"ε"	"VB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so_that"	"the"	"man"	"should"	"not"	"have"	"thought"	"of"	"grandeur"	"and"	"become"	"lift_up"	"as"	"if"	"he"	"have"	"no"	"lord"	"because"	"of"	"the"	"dominion"	"that"	"had"	"been"	"give"	"to"	"and"	"the"	"freedom"	"fall"	"into"	"sin"	"against"	"god"	"his"	"creator"	"overstep"	"his"	"bounds"	"and"	"take_up"	"an"	"attitude"	"of"	"self-conceited"	"arrogance"	"towards"	"god"	"a"	"law"	"was"	"give"	"him"	"by"	"god"	"that"	"he"	"might"	"know"	"that"	"he"	"have"	"for"	"lord"	"the"	"lord"	"of"	"all"	
"2:42:00::"	"horse"	"."	"his"	"∅"	"his_horse"	"horse_."	"._∅"	"as_his_horse"	"his_horse_."	"horse_._∅"	"._∅_∅"	"IN"	"PRP$"	"NN"	"VB"	"ε"	"ε"	"ε"	"first"	"report"	"person"	"horse"	"wheel"	"to"	"the"	"right"	"and"	"run"	"towards"	"the"	"building"	"while"	"person"	"follow"	"by"	"a"	"hail"	"of"	"bullet"	"race"	"towards"	"the"	"arroyo"	"of"	"location"	"immediately"	"in_front_of"	"him"	"just"	"reach"	"it"	"as"	"his"	"horse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"he"	"into"	","	"the"	",_he"	"he_into"	"into_the"	"him_,_he"	",_he_into"	"he_into_the"	"into_the_trapper"	"PRP"	"ε"	"PRP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"reach"	"the"	"house"	"as"	"person"	"surmise"	"dismount"	"but"	"just"	"as"	"old"	"trapper"	"open"	"the"	"door"	"to"	"receive"	"him"	"he"	"fall"	"into"	"the"	"trapper"	"arm"	"dead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"arm's_length"	"all"	"at"	"the"	"at_arm's_length"	"arm's_length_all"	"all_the"	"surface_at_arm's_length"	"at_arm's_length_all"	"arm's_length_all_the"	"all_the_more"	"NN"	"IN"	"NN"	"VB"	"DT"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"and"	"as"	"the"	"cubist"	"facet_plane"	"tendency"	"to"	"adhere"	"to"	"the"	"literal"	"surface"	"become"	"hard"	"and"	"hard"	"to"	"the"	"task"	"of"	"keep"	"the"	"surface"	"at"	"arm's_length"	"fall"	"all"	"the"	"more"	"to"	"eye-undeceiving"	"contrivance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"person"	"upon"	"since"	"evil"	"since_person"	"person_upon"	"upon_evil"	"have_since_person"	"since_person_upon"	"person_upon_evil"	"upon_evil_way"	"VB"	"IN"	"NNP"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"standpoint"	"of"	"the"	"army"	"of"	"duffer"	"however"	"this"	"be"	"the"	"most"	"heartening"	"exhibition"	"they"	"had"	"have"	"since"	"person"	"fall"	"upon"	"evil"	"way"	"during"	"his"	"heyday"	"and"	"score"	"an"	"in"	"the"	"texas_open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"have"	"out"	"i"	"of"	"i_have"	"have_out"	"out_of"	"and_i_have"	"i_have_out"	"have_out_of"	"out_of_literature"	"CC"	"PRP"	"VBP"	"VB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"and"	"have"	"fall"	"out"	"of"	"literature"	"into"	"politics"	"person"	"observe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::;1:04:01::"	"nasty"	"was"	"a"	"there"	"a_nasty"	"nasty_was"	"was_there"	"what_a_nasty"	"a_nasty_was"	"nasty_was_there"	"was_there_''"	"WP"	"DT"	"JJ"	"NN"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"nasty"	"fall"	"was"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"election"	"naturally"	"the"	"in"	"the_election"	"election_naturally"	"naturally_in"	"of_the_election"	"the_election_naturally"	"election_naturally_in"	"naturally_in_four"	"IN"	"DT"	"NN"	"VB"	"RB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"analysis"	"the"	"election"	"fall"	"naturally"	"in"	"four"	"part"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
