"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"
"1:18:00::"	"the"	"'s"	"whether"	"difficulty"	"whether_the"	"the_'s"	"'s_difficulty"	"consider_whether_the"	"whether_the_'s"	"the_'s_difficulty"	"'s_difficulty_in"	"VB"	"IN"	"DT"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"argument"	"is"	"accept"	"as"	"essentially"	"sound"	"up"	"to"	"point"	"it"	"remain"	"for"	"us"	"to"	"consider"	"whether"	"the"	"patient"	"difficulty"	"in"	"orient"	"himself"	"spatially"	"and"	"in"	"locate"	"object"	"in"	"space"	"with"	"the"	"sense_of_touch"	"can"	"be"	"explain"	"by"	"his"	"defective"	"visual"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"did"	"psychical"	"did_the"	"the_'s"	"'s_psychical"	",_did_the"	"did_the_'s"	"the_'s_psychical"	"'s_psychical_blindness"	"ε"	"VBD"	"DT"	"NN"	"POS"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"what"	"way"	"did"	"the"	"patient"	"psychical"	"blindness"	"manifest"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"himself"	"∅"	"deny"	"∅_the"	"the_himself"	"himself_deny"	"∅_∅_the"	"∅_the_himself"	"the_himself_deny"	"himself_deny_that"	"ε"	"ε"	"DT"	"NN"	"PRP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"patient"	"himself"	"deny"	"that"	"he"	"have"	"any"	"visual"	"imagery"	"at_all"	"and"	"there"	"be"	"ample"	"evidence"	"of"	"the"	"following"	"sort"	"to"	"corroborate"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"then"	"which"	"immediately"	"which_the"	"the_then"	"then_immediately"	",_which_the"	"which_the_then"	"the_then_immediately"	"then_immediately_could"	"ε"	"WDT"	"DT"	"NN"	"RB"	"RB"	"MD"	"would"	"surmise"	"the"	"procedure"	"however"	"could"	"be"	"repeat"	"with"	"the"	"same"	"object"	"or"	"with"	"the"	"same"	"type"	"of"	"object"	"often"	"enough"	"so"	"that"	"the"	"corresponding"	"visual"	"blot"	"and"	"the"	"mere"	"beginning"	"of"	"the"	"tracing"	"movement"	"would"	"provide"	"clue"	"as_to"	"the"	"actual"	"shape"	"which"	"the"	"patient"	"immediately"	"could"	"determine"	"by"	"a"	"kind"	"of"	"inference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"in"	"ability"	"in_the"	"the_'s"	"'s_ability"	"sensation_in_the"	"in_the_'s"	"the_'s_ability"	"'s_ability_to"	"NN"	"IN"	"DT"	"NN"	"POS"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"very"	"important"	"question"	"what"	"be"	"then"	"exactly"	"role"	"of"	"kinesthetic"	"sensation"	"in"	"the"	"patient"	"ability"	"to"	"recognize"	"form"	"and"	"shape"	"by"	"means"	"of"	"the"	"tracing"	"movement"	"when"	"he"	"is"	"actually"	"look"	"at"	"thing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"was"	"when"	"not"	"when_the"	"the_was"	"was_not"	"∅_when_the"	"when_the_was"	"the_was_not"	"was_not_allow"	"ε"	"WRB"	"DT"	"NN"	"VB"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"patient"	"was"	"not"	"allow"	"to"	"move"	"his"	"body"	"in"	"any"	"way"	"at_all"	"the"	"following"	"striking"	"result"	"occur"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"prospective"	"."	"a"	"∅"	"a_prospective"	"prospective_."	"._∅"	"as_a_prospective"	"a_prospective_."	"prospective_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"prove"	"a"	"man"	"of"	"prompt"	"action"	"when"	"person"	"accompany"	"by"	"a"	"friend"	"him"	"in"	"location"	"california"	"several"	"month"	"ago"	"as"	"a"	"prospective"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"this"	"be"	"∅"	"a"	"∅_this"	"this_be"	"be_a"	"∅_∅_this"	"∅_this_be"	"this_be_a"	"be_a_65"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"patient"	"be"	"a"	"year"	"old"	"white"	"male"	"accountant"	"who"	"enter"	"the"	"group"	"for"	"his"	"fourth"	"and"	"terminal"	"admission"	"on"	"june"	"because"	"of"	"disabling"	"weakness"	"and"	"general"	"debility"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"develop"	"1953"	"an"	"1953_the"	"the_develop"	"develop_an"	"in_1953_the"	"1953_the_develop"	"the_develop_an"	"develop_an_unexplained"	"IN"	"CD"	"DT"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"patient"	"develop"	"an"	"unexplained"	"anemia"	"for"	"which"	"blood_transfusion"	"were"	"give"	"over"	"a"	"period"	"of"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"suffer"	","	"a"	",_the"	"the_suffer"	"suffer_a"	"1958_,_the"	",_the_suffer"	"the_suffer_a"	"suffer_a_myocardial_infarction"	"CD"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"february"	"patient"	"suffer"	"a"	"myocardial_infarction"	"complicate"	"by"	"pulmonary"	"edema"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"neuropsychiatric"	"from"	"in"	"the"	"in_neuropsychiatric"	"neuropsychiatric_from"	"from_the"	"spontaneously_in_neuropsychiatric"	"in_neuropsychiatric_from"	"neuropsychiatric_from_the"	"from_the_application"	"RB"	"IN"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"assume"	"that"	"the"	"shift"	"autonomic"	"hypothalamic"	"balance"	"occur"	"spontaneously"	"in"	"neuropsychiatric"	"patient"	"from"	"the"	"application"	"of"	"certain"	"therapeutic"	"procedure"	"follow"	"the"	"pattern"	"know"	"from"	"the"	"sleep"	"wakefulness"	"cycle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
