"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"
"2:31:03::"	"and"	"under"	"previously"	"advisement"	"previously_and"	"and_under"	"under_advisement"	"hear_previously_and"	"previously_and_under"	"and_under_advisement"	"under_advisement_by"	"VB"	"RB"	"CC"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"case"	"of"	"the"	"judges"	"in"	"the"	"th"	"precinct"	"the"	"d"	"ward"	"had"	"been"	"hear"	"previously"	"and"	"take"	"under"	"advisement"	"by"	"karns"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:06::"	"should"	"at_least"	"session"	"two"	"session_should"	"should_at_least"	"at_least_two"	"fourth_session_should"	"session_should_at_least"	"should_at_least_two"	"at_least_two_hours"	"JJ"	"NN"	"MD"	"VB"	"RB"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"pastors"	"find"	"the"	"fourth"	"session"	"should"	"take"	"at_least"	"two"	"hours"	"and"	"therefore"	"hold"	"it"	"on"	"a"	"week"	"night"	"prior"	"to"	"reception"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"∅"	"a"	"∅"	"picture"	"∅_∅"	"∅_a"	"a_picture"	"∅_∅_∅"	"∅_∅_a"	"∅_a_picture"	"a_picture_of"	"ε"	"ε"	"ε"	"VB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"picture"	"of"	"the"	"group"	"of"	"new"	"members"	"to"	"be"	"put_in"	"the"	"church"	"paper"	"or"	"place"	"on"	"the"	"bulletin_board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"willing"	"full-time"	"willing_to"	"to_the"	"the_full-time"	"be_willing_to"	"willing_to_the"	"to_the_full-time"	"the_full-time_cd"	"VB"	"JJ"	"TO"	"VB"	"DT"	"JJ"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._hawksley"	"say"	"he"	"believe"	"there"	"be"	"a_number_of"	"city"	"residents"	"who"	"would"	"be"	"willing"	"to"	"take"	"the"	"full-time"	"cd"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:04::"	"be"	"at"	"may"	"monday"	"may_be"	"be_at"	"at_monday"	"police_station_may_be"	"may_be_at"	"be_at_monday"	"at_monday_'s"	"NN"	"MD"	"VB"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"action"	"on"	"a"	"new"	"ordinance"	"permit"	"motorists"	"who"	"plead"	"guilty"	"to"	"traffic"	"offenses"	"to"	"pay"	"fines"	"at"	"the"	"local"	"police_station"	"may"	"be"	"take"	"at"	"monday"	"special"	"north_providence_town_council"	"meeting"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:10::"	"be"	"to"	"must"	"sixth_district_court"	"must_be"	"be_to"	"to_sixth_district_court"	"offenses_must_be"	"must_be_to"	"be_to_sixth_district_court"	"to_sixth_district_court_for"	"NNS"	"MD"	"VB"	"VB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_present"	"all"	"must"	"be"	"take"	"to"	"sixth_district_court"	"for"	"disposition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"∅"	"the"	"∅"	"streetcar"	"∅_∅"	"∅_the"	"the_streetcar"	"∅_∅_∅"	"∅_∅_the"	"∅_the_streetcar"	"the_streetcar_back"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"streetcar"	"back"	"to"	"kaiser"	"fountain"	"i"	"walk"	"ahead"	"then"	"left"	"down"	"the"	"street"	"opposite"	"st._sophia"	"and"	"just"	"beyond"	"the"	"corner"	"come"	"to"	"a"	"small"	"one-story"	"building"	"with"	"a"	"red-tile"	"roof"	"which"	"be"	"the"	"entrance"	"to"	"the"	"sunken_palace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"∅"	"the"	"∅"	"path"	"∅_∅"	"∅_the"	"the_path"	"∅_∅_∅"	"∅_∅_the"	"∅_the_path"	"the_path_behind"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"path"	"behind"	"the"	"throne"	"room"	"to"	"the"	"building"	"directly"	"beyond"	"it"	"the"	"portrait"	"gallery"	"i"	"go"	"right"	"at"	"the"	"end"	"of_it"	"through"	"a"	"garden"	"to"	"a"	"small"	"building"	"at"	"the"	"back"	"a"	"sitting_room"	"furnished"	"with"	"low"	"blue"	"divans"	"its"	"floor"	"covered"	"with"	"carpets"	"its"	"ceiling"	"painted"	"with"	"gold"	"squares"	"and"	"floral"	"designs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:06::"	"'s"	"longer"	"it"	"to"	"it_'s"	"'s_longer"	"longer_to"	"maybe_it_'s"	"it_'s_longer"	"'s_longer_to"	"longer_to_get"	"RB"	"PRP"	"VBZ"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maybe"	"take"	"longer"	"to"	"get"	"things"	"square_away"	"than"	"the"	"bankers"	"expect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:09::"	"to"	"him"	"want"	"to"	"want_to"	"to_him"	"him_to"	"they_want_to"	"want_to_him"	"to_him_to"	"him_to_an"	"PRP"	"VB"	"VB"	"VB"	"PRP"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"richard"	"parents"	"tell"	"they"	"want"	"to"	"take"	"him"	"to"	"an"	"orthodontist"	"a"	"dentist"	"who"	"specialize"	"in"	"realign"	"teeth"	"and"	"jaws"	"their"	"young"	"son"	"be"	"interested"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:06::"	"this"	"?"	"will"	"∅"	"will_this"	"this_?"	"?_∅"	"long_will_this"	"will_this_?"	"this_?_∅"	"?_∅_∅"	"JJ"	"MD"	"DT"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"will"	"this"	"take"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"yet"	"you"	"''"	"you_to"	"to_yet"	"yet_''"	"for_you_to"	"you_to_yet"	"to_yet_''"	"yet_''_."	"IN"	"PRP"	"TO"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mercer"	"stammer"	"not"	"know"	"what"	"b"	"dikkat"	"mean"	"and"	"the"	"two-nosed"	"man"	"answer"	"for"	"him"	"i"	"think"	"he"	"a"	"nice"	"baby"	"head"	"but"	"it"	"be"	"n't"	"big"	"enough"	"for"	"you"	"to"	"take"	"yet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:07::"	"you"	"us"	"as"	"for"	"as_you"	"you_us"	"us_for"	"dumb_as_you"	"as_you_us"	"you_us_for"	"us_for_,"	"JJ"	"IN"	"PRP"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"even"	"if"	"we"	"be"	"dumb"	"as"	"you"	"take"	"us"	"for"	"we"	"could"	"still"	"find"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:06::"	"we"	"a"	"society"	"century"	"society_we"	"we_a"	"a_century"	"kind_of_society_we"	"society_we_a"	"we_a_century"	"a_century_to"	"RB"	"NN"	"PRP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"countries"	"are"	"try"	"to"	"build"	"a"	"decade"	"the"	"kind_of"	"society"	"we"	"take"	"a"	"century"	"to"	"build"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"a"	"monday"	"stand"	"monday_to"	"to_a"	"a_stand"	"ask_monday_to"	"monday_to_a"	"to_a_stand"	"a_stand_towards"	"VB"	"NNP"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"portland"	"school_board"	"ask"	"monday"	"to"	"take"	"a"	"stand"	"towards"	"develop"	"and"	"coordinate"	"with"	"portland"	"civil_defense"	"more"	"plans"	"for"	"the"	"city"	"schools"	"in"	"event"	"of"	"attack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:04::"	"they"	"would"	"planning"	"``"	"planning_they"	"they_would"	"would_``"	"of_planning_they"	"planning_they_would"	"they_would_``"	"would_``_be"	"IN"	"NN"	"PRP"	"VB"	"MD"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dr._melvin_w._barnes"	"superintendent"	"say"	"he"	"think"	"the"	"schools"	"were"	"wait"	"for"	"some"	"leadership"	"perhaps"	"on"	"national"	"level"	"to"	"make"	"sure"	"that"	"whatever"	"steps"	"of"	"planning"	"they"	"take"	"would"	"be"	"more"	"fruitful"	"and"	"that"	"he"	"had"	"find"	"that"	"school"	"districts"	"be"	"not"	"as"	"far"	"along"	"in"	"their"	"planning"	"as"	"this"	"district"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:15::"	"please"	"a"	"``"	"stand"	"``_please"	"please_a"	"a_stand"	"they_``_please"	"``_please_a"	"please_a_stand"	"a_stand_''"	"PRP"	"ε"	"VB"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._molvar"	"who"	"keep"	"reiterate"	"her"	"that"	"they"	"please"	"take"	"a"	"stand"	"say"	"we"	"must"	"have"	"faith"	"in"	"somebody"	"on"	"the"	"local"	"level"	"and"	"it"	"would"	"n't"	"be"	"for"	"everyone"	"to"	"rush"	"to"	"a"	"school"	"to"	"get"	"their"	"children"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:15::"	"in"	"a"	"join"	"stand"	"join_in"	"in_a"	"a_stand"	"board_join_in"	"join_in_a"	"in_a_stand"	"a_stand_in_keeping_with"	"NN"	"VB"	"IN"	"VB"	"VB"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._molvar"	"ask"	"again"	"the"	"board"	"join"	"in"	"take"	"a"	"stand"	"in_keeping_with"	"jack_lowe"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:15::"	"were"	"friday"	"future"	"by"	"future_were"	"were_friday"	"friday_by"	"their_future_were"	"future_were_friday"	"were_friday_by"	"friday_by_delegates"	"PRP$"	"NN"	"VBD"	"VB"	"NNP"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"stronger"	"stand"	"on"	"their"	"beliefs"	"a"	"firmer"	"grasp"	"on"	"their"	"future"	"were"	"take"	"friday"	"by"	"delegates"	"to"	"the"	"th"	"general"	"council"	"of"	"the"	"assemblies"	"of"	"god"	"in"	"session"	"at"	"the"	"memorial_coliseum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:06::"	"n't"	"judy_garland"	"did"	","	"did_n't"	"n't_judy_garland"	"judy_garland_,"	"it_did_n't"	"did_n't_judy_garland"	"n't_judy_garland_,"	"judy_garland_,_showman"	"PRP"	"VBD"	"RB"	"VB"	"NNP"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"did"	"n't"	"take"	"judy_garland"	"showman"	"long"	"to"	"realize"	"that"	"this"	"sort_of"	"thing"	"be"	"par"	"for"	"the"	"course"	"at"	"newport"	"and"	"that"	"you"	"have_to"	"learn"	"to"	"live"	"with_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
