"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"3:00:00::"	"a"	"antelope"	"cook"	"''"	"cook_a"	"a_antelope"	"antelope_''"	"``_cook_a"	"cook_a_antelope"	"a_antelope_''"	"antelope_''_?"	"ε"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cook"	"whole"	"antelope"	"she"	"exclaim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"royal_family"	","	"and"	",_the"	"the_royal_family"	"royal_family_and"	"queen_,_the"	",_the_royal_family"	"the_royal_family_and"	"royal_family_and_all"	"NN"	"ε"	"DT"	"JJ"	"NN"	"CC"	"PDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"see"	"him"	"in"	"that"	"condition"	"and"	"about"	"to"	"enter"	"hall"	"where"	"the"	"person"	"the"	"queen"	"the"	"whole"	"royal_family"	"and"	"all"	"the"	"member"	"of"	"the"	"high"	"aristocracy"	"would"	"be"	"present"	"person"	"and"	"the"	"person"	"and_others"	"try"	"to"	"stop"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"production"	"∅"	"this"	"∅_the"	"the_production"	"production_this"	"∅_∅_the"	"∅_the_production"	"the_production_this"	"production_this_week"	"ε"	"ε"	"DT"	"JJ"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whole"	"production"	"this"	"week"	"be"	"fresh"	"and"	"lively"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"goddam"	"in"	"world"	"in_the"	"the_goddam"	"goddam_world"	"free_in_the"	"in_the_goddam"	"the_goddam_world"	"goddam_world_''"	"JJ"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"free"	"the"	"whole"	"goddam"	"world"	"be"	"all"	"i"	"could"	"think_of"	"to"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"studio"	"and"	"be"	"and_the"	"the_studio"	"studio_be"	"draw_and_the"	"and_the_studio"	"the_studio_be"	"studio_be_as"	"VB"	"CC"	"DT"	"JJ"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"first"	"open"	"the"	"door"	"on_it"	"these"	"shade"	"were"	"tightly"	"draw"	"and"	"the"	"whole"	"studio"	"be"	"as"	"dark"	"as"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"land"	"from"	"as"	"from_the"	"the_land"	"land_as"	"slavery_from_the"	"from_the_land"	"the_land_as"	"land_as_speedily"	"NN"	"IN"	"DT"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"resolve"	"that"	"we"	"find"	"in"	"this"	"fearful"	"tragedy"	"at"	"location"	"a"	"reason"	"more"	"earnest"	"effort"	"to"	"remove"	"the"	"evil"	"of"	"slavery"	"from"	"the"	"whole"	"land"	"as"	"speedily"	"as"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"range"	"in"	"of"	"in_the"	"the_range"	"range_of"	"nothing_in_the"	"in_the_range"	"the_range_of"	"range_of_human"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"in"	"the"	"whole"	"range"	"of"	"human"	"experience"	"more"	"widely"	"know"	"and"	"universally"	"feel"	"than"	"spirit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"aviary"	","	"in"	",_the"	"the_aviary"	"aviary_in"	"aisle_,_the"	",_the_aviary"	"the_aviary_in"	"aviary_in_my"	"NN"	"ε"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"door"	"of"	"the"	"d"	"train"	"slide"	"shut"	"and"	"as"	"i"	"drop"	"into"	"seat"	"and"	"exhale"	"look"	"up"	"across"	"the"	"aisle"	"the"	"whole"	"aviary"	"in"	"my"	"head"	"burst"	"into"	"song"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"social_organization"	"into"	"and"	"into_the"	"the_social_organization"	"social_organization_and"	"fit_into_the"	"into_the_social_organization"	"the_social_organization_and"	"social_organization_and_function"	"VB"	"IN"	"DT"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"place"	"of"	"religion"	"in"	"the"	"simple"	"preliterate"	"society"	"be"	"definite"	"as"	"a"	"complex"	"it"	"fit"	"into"	"the"	"whole"	"social_organization"	"and"	"function"	"dominantly"	"in"	"every"	"part"	"of_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"form"	"as"	"a"	"as_a"	"a_form"	"form_a"	"apartment_as_a"	"as_a_form"	"a_form_a"	"form_a_triangle"	"NN"	"RB"	"RB"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"take"	"individually"	"the"	"big"	"room"	"be"	"or"	"seem"	"to"	"square"	"the"	"apartment"	"as"	"a"	"whole"	"form"	"a"	"triangle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"meal"	","	"on"	",_the"	"the_meal"	"meal_on"	"dining_room_,_the"	",_the_meal"	"the_meal_on"	"meal_on_a"	"NN"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"nephew"	"will"	"be"	"come_down"	"she"	"say"	"that"	"evening"	"as"	"bring"	"her"	"dinner"	"into"	"the"	"dining_room"	"the"	"whole"	"meal"	"on"	"a"	"vast"	"linen"	"covered"	"tray"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"work"	"serum"	"present"	"have"	"present_work"	"work_serum"	"serum_have"	"the_present_work"	"present_work_serum"	"work_serum_have"	"serum_have_been"	"DT"	"JJ"	"NN"	"JJ"	"NN"	"VBP"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"present"	"work"	"whole"	"serum"	"have"	"been"	"fractionate"	"by"	"chromatography"	"on"	"deae_cellulose"	"use"	"single"	"gradient"	"similar"	"to"	"those"	"describe"	"by"	"person"	"and"	"person"	"and"	"certain"	"chemical"	"and"	"serological"	"property"	"of"	"the"	"fraction"	"contain"	"antibody"	"of"	"the"	"abo"	"and"	"rh"	"system"	"have"	"been"	"describe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"serum"	"of"	"sample"	"of_a"	"a_serum"	"serum_sample"	"strip_of_a"	"of_a_serum"	"a_serum_sample"	"serum_sample_or"	"NN"	"IN"	"DT"	"JJ"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"paper_electrophoresis"	"was"	"to"	"be"	"use"	"preparation"	"eight"	"strip"	"of"	"a"	"whole"	"serum"	"sample"	"or"	"a"	"chromatographic"	"fraction"	"concentrated"	"by"	"negative"	"pressure"	"dialysis"	"were"	"run"	"chamber"	"under"	"the"	"condition"	"describe"	"above"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
