"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"
"4:02:00::"	"not"	"approachable"	"be"	"in"	"be_not"	"not_approachable"	"approachable_in"	"-_be_not"	"be_not_approachable"	"not_approachable_in"	"approachable_in_the"	"ε"	"VB"	"RB"	"RB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"condition"	"be"	"be"	"not"	"even"	"approachable"	"in"	"the"	"qualified"	"sense"	"i"	"have"	"indicate"	"without"	"the"	"prior"	"defeat"	"of"	"world"	"communism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"of"	"more"	"importance"	"searching"	"importance_of"	"of_more"	"more_searching"	"the_importance_of"	"importance_of_more"	"of_more_searching"	"more_searching_evaluation"	"DT"	"NN"	"IN"	"RB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"example"	"the"	"importance"	"of"	"even"	"more"	"searching"	"evaluation"	"of"	"new"	"major"	"development"	"program"	"and"	"even"	"more"	"penetrating"	"and"	"far"	"ranging"	"analysis"	"of"	"the"	"potentiality"	"of"	"future"	"technology"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"more"	"program"	"penetrating"	"program_and"	"and_more"	"more_penetrating"	"development_program_and"	"program_and_more"	"and_more_penetrating"	"more_penetrating_and"	"NN"	"NN"	"CC"	"RB"	"RB"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"example"	"underscore"	"the"	"importance"	"of"	"even"	"searching"	"evaluation"	"of"	"new"	"major"	"development"	"program"	"and"	"even"	"more"	"penetrating"	"and"	"far"	"ranging"	"analysis"	"of"	"the"	"potentiality"	"of"	"future"	"technology"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"dangerous"	"unhealthy"	"."	"unhealthy_and"	"and_dangerous"	"dangerous_."	"be_unhealthy_and"	"unhealthy_and_dangerous"	"and_dangerous_."	"dangerous_._∅"	"VB"	"JJ"	"CC"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"many"	"psychologist"	"and"	"marriage"	"counselor"	"agree"	"that"	"domination"	"of"	"sex"	"relationship"	"by"	"one"	"partner"	"or"	"the"	"other"	"be"	"unhealthy"	"and"	"even"	"dangerous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"fewer"	"sphere"	"in"	"sphere_and"	"and_fewer"	"fewer_in"	"domestic_sphere_and"	"sphere_and_fewer"	"and_fewer_in"	"fewer_in_the"	"JJ"	"NN"	"CC"	"RB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"those"	"day"	"a"	"wife"	"have"	"mighty"	"right"	"in"	"the"	"domestic"	"sphere"	"and"	"even"	"fewer"	"in"	"the"	"sexual"	"sphere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"n't"	"start"	"had"	"his"	"had_n't"	"n't_start"	"start_his"	"he_had_n't"	"had_n't_start"	"n't_start_his"	"start_his_workshop"	"PRP"	"VBD"	"RB"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"up-to-date"	"however"	"his"	"garden"	"be"	"still"	"more_or_less"	"a"	"mess"	"he"	"had"	"n't"	"even"	"start"	"his"	"workshop"	"and"	"if"	"there"	"was"	"a"	"meadow"	"pond"	"in"	"the"	"neighborhood"	"he"	"had"	"n't"	"find"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"n't"	"ask"	"did"	"the"	"did_n't"	"n't_ask"	"ask_the"	"he_did_n't"	"did_n't_ask"	"n't_ask_the"	"ask_the_cost"	"PRP"	"VBD"	"RB"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"n't"	"even"	"ask"	"the"	"cost"	"of"	"this"	"collection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"from"	"∅"	"where"	"∅_∅"	"∅_from"	"from_where"	"∅_∅_∅"	"∅_∅_from"	"∅_from_where"	"from_where_he"	"ε"	"ε"	"ε"	"RB"	"RB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"where"	"he"	"stand"	"he"	"could"	"see"	"the"	"neatly"	"folded"	"blanket"	"that"	"he"	"had"	"spread_over"	"person"	"the"	"pillow"	"the"	"sheet_of_paper"	"on"	"top"	"of"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"before"	"∅"	"his"	"∅_∅"	"∅_before"	"before_his"	"∅_∅_∅"	"∅_∅_before"	"∅_before_his"	"before_his_mind"	"ε"	"ε"	"ε"	"RB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"his"	"mind"	"had"	"round_out"	"the"	"idea"	"he"	"thrust"	"one"	"hand"	"into"	"his"	"trouser"	"pocket"	"and"	"pull_out"	"the"	"six"	"slug"	"he"	"had"	"take"	"from"	"the"	"revolver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"n't"	"want"	"would"	"it"	"would_n't"	"n't_want"	"want_it"	"i_would_n't"	"would_n't_want"	"n't_want_it"	"want_it_to"	"PRP"	"MD"	"RB"	"RB"	"VB"	"PRP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"n't"	"even"	"want"	"it"	"to"	"get_around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"for"	"long_time"	"the"	"long_time_and"	"and_for"	"for_the"	"a_long_time_and"	"long_time_and_for"	"and_for_the"	"for_the_whole"	"DT"	"NN"	"CC"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"declare"	"in"	"that"	"it"	"be"	"possible"	"be"	"exempt"	"from"	"normal"	"obligation"	"of"	"parenthood"	"for"	"a"	"long_time"	"and"	"even"	"for"	"the"	"whole"	"duration"	"of"	"married"	"life"	"if"	"there"	"be"	"serious"	"reason"	"such_as"	"those"	"often"	"mention"	"in"	"the"	"so-called"	"medical"	"eugenic"	"economic"	"and"	"social"	"indication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
