"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"2:42:00::"	"would"	"right"	"he"	"on"	"he_would"	"would_right"	"right_on"	"that_he_would"	"he_would_right"	"would_right_on"	"right_on_dislike"	"IN"	"PRP"	"MD"	"VB"	"RB"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"know"	"that"	"he"	"could"	"be"	"completely"	"wrong"	"all"	"this"	"but"	"also"	"know"	"that"	"he"	"would"	"go_on"	"right"	"on"	"dislike"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"he"	"to"	"∅"	"personal"	"∅_he"	"he_to"	"to_personal"	"∅_∅_he"	"∅_he_to"	"he_to_personal"	"to_personal_bequest"	"ε"	"ε"	"PRP"	"VB"	"TO"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go_on"	"to"	"personal"	"bequest"	"a"	"list"	"of"	"name"	"largely"	"unknown"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"to"	"∅"	"the"	"∅_he"	"he_to"	"to_the"	"∅_∅_he"	"∅_he_to"	"he_to_the"	"to_the_next"	"ε"	"ε"	"PRP"	"VB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go_on"	"to"	"the"	"next"	"building"	"and"	"find"	"what"	"he"	"expect"	"the"	"mingle"	"cooking"	"aroma"	"of"	"a"	"public"	"vestibule"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"controversy"	"now"	"a"	"for"	"a_controversy"	"controversy_now"	"now_for"	"of_a_controversy"	"a_controversy_now"	"controversy_now_for"	"now_for_some"	"IN"	"DT"	"NN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"say"	"this"	"of_course"	"be"	"to"	"take_up"	"position"	"one"	"side"	"of"	"a"	"controversy"	"go_on"	"now"	"for"	"some"	"two"	"hundred"	"year"	"or"	"at_any_rate"	"since"	"the"	"beginning"	"of"	"the"	"distinctively"	"modern"	"period"	"in"	"theological"	"thought"	
"2:30:00::"	"fight"	"''"	"the"	"!"	"the_fight"	"fight_''"	"''_!"	"with_the_fight"	"the_fight_''"	"fight_''_!"	"''_!_∅"	"IN"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"god's_name"	"what"	"be"	"you"	"to"	"rob"	"dead"	"with"	"the"	"fight"	"go_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"the"	"to"	"and"	"development"	"and_the"	"the_to"	"to_development"	";_and_the"	"and_the_to"	"the_to_development"	"to_development_of"	"ε"	"CC"	"DT"	"VB"	"TO"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"bump"	"one"	"say"	"the"	"go_on"	"to"	"development"	"of"	"the"	"idea"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"he"	"to"	"and"	"break"	"and_he"	"he_to"	"to_break"	",_and_he"	"and_he_to"	"he_to_break"	"to_break_some"	"ε"	"CC"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chicken"	"have"	"short"	"memory"	"the"	"doctor"	"remark"	"that"	"why"	"they"	"be"	"better"	"company"	"than"	"most"	"people"	"i"	"and"	"he"	"go_on"	"to"	"break"	"some"	"important"	"news"	"to"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"you"	"forget"	"could"	"that"	"could_you"	"you_forget"	"forget_that"	",_could_you"	"could_you_forget"	"you_forget_that"	"forget_that_you"	"ε"	"MD"	"PRP"	"VB"	"VB"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"then"	"as"	"you"	"go_into"	"the"	"house"	"oppressed"	"by"	"the"	"knowledge"	"that"	"something_is_cooking"	"and"	"that"	"your"	"house"	"pass"	"under"	"this"	"unaccountable"	"official"	"could"	"you"	"go_on"	"forget"	"that"	"you"	"still"	"have_on"	"that"	"ridiculous"	"hat"	"on"	"your"	"head"	"and"	"you"	"were"	"still"	"carry"	"that"	"childish"	"horn"	"in"	"your"	"hand"	"0"	
"2:42:00::"	"person"	"look"	","	"out"	",_person"	"person_look"	"look_out"	"away_,_person"	",_person_look"	"person_look_out"	"look_out_the"	"RB"	"ε"	"NNP"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"person"	"away"	"person"	"go_on"	"look"	"out"	"the"	"window"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"letter"	":"	"the"	"she"	"the_letter"	"letter_:"	":_she"	"but_the_letter"	"the_letter_:"	"letter_:_she"	":_she_had"	"CC"	"DT"	"NN"	"VB"	"ε"	"PRP"	"VBD"	"one"	"letter"	"person"	"inform"	"me"	"that"	"her"	"father"	"did"	"not"	"like"	"the"	"idea"	"of"	"her"	"go_out"	"alone"	"on"	"new_year's_eve"	"i"	"know"	"for"	"a"	"moment"	"an"	"immense"	"relief"	"but"	"letter"	"she"	"had"	"cry"	"she"	"had"	"implore"	"she"	"had"	"be"	"miserable"	"at"	"his"	"refusal"	"and"	"finally"	"he"	"had"	"relent"	"and"	"now"	"how"	"happy"	"she"	"be"	"how"	"expectant"	
"2:42:00::"	"and"	"kiss"	","	"."	",_and"	"and_kiss"	"kiss_."	"kiss_,_and"	",_and_kiss"	"and_kiss_."	"kiss_._∅"	"VB"	"ε"	"CC"	"VB"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mike"	"darling"	"they"	"kiss"	"go_on"	"kiss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"``"	"home"	"∅"	"''"	"∅_``"	"``_home"	"home_''"	"∅_∅_``"	"∅_``_home"	"``_home_''"	"home_''_!"	"ε"	"ε"	"ε"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"that"	"as_soon_as"	"motor"	"it"	"motor_that"	"that_as_soon_as"	"as_soon_as_it"	"small_motor_that"	"motor_that_as_soon_as"	"that_as_soon_as_it"	"as_soon_as_it_is"	"JJ"	"NN"	"RB"	"VB"	"RB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"unit"	"consist_of"	"small"	"motor"	"that"	"go_on"	"as_soon_as"	"it"	"is"	"plug_in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
