"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"2:41:00::"	"have"	"its"	"will"	"purpose"	"will_have"	"have_its"	"its_purpose"	"version_will_have"	"will_have_its"	"have_its_purpose"	"its_purpose_."	"NN"	"MD"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"time"	"of_course"	"will"	"testify"	"whether"	"new"	"version"	"will"	"have"	"achieve"	"its"	"purpose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"dominican_republic"	"free"	"the"	","	"the_dominican_republic"	"dominican_republic_free"	"free_,"	"if_the_dominican_republic"	"the_dominican_republic_free"	"dominican_republic_free_,"	"free_,_democratic"	"IN"	"DT"	"NN"	"VB"	"JJ"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"dominican_republic"	"achieve"	"free"	"democratic"	"government"	"it"	"will"	"be_due"	"in"	"large"	"part"	"to"	"the"	"u._s."	"show"	"of"	"force"	"that"	"enable"	"president_balaguer"	"to"	"prevent"	"a"	"threatened"	"restoration"	"of"	"trujillo"	"dictatorship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"of"	"limited"	"means"	"objectives"	"means_of"	"of_limited"	"limited_objectives"	"a_means_of"	"means_of_limited"	"of_limited_objectives"	"limited_objectives_in"	"DT"	"NN"	"IN"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"see"	"first_of_all"	"and"	"in_a_sense"	"as"	"the"	"source"	"of"	"all"	"ills"	"the"	"unshakeable"	"american"	"commitment"	"to"	"the"	"principle"	"of"	"unconditional"	"surrender"	"the"	"tendency"	"view"	"any"	"war"	"in_which"	"we"	"might"	"be"	"involved"	"as"	"a"	"means"	"of"	"achieve"	"limited"	"objectives"	"in"	"the"	"way"	"of"	"changes"	"in"	"a"	"given"	"status_quo"	"but"	"as"	"a"	"struggle"	"to"	"the"	"death"	"between"	"total"	"virtue"	"and"	"total"	"evil"	"with"	"the"	"result"	"that"	"the"	"war"	"had"	"absolutely"	"to"	"be"	"fight"	"to"	"the"	"complete"	"destruction"	"of"	"the"	"enemy"	"power"	"no_matter"	"what"	"disadvantages"	"or"	"complications"	"this"	"might"	"involve"	"for"	"the"	"more"	"distant"	"future"	
"2:41:00::"	"to"	"much"	"time"	"unity"	"time_to"	"to_much"	"much_unity"	"have_time_to"	"time_to_much"	"to_much_unity"	"much_unity_."	"VB"	"NN"	"TO"	"VB"	"JJ"	"NN"	"ε"	"0"	"evegeni_dubovskoi"	"conduct"	"an"	"exceptionally"	"large"	"orchestra"	"one"	"contain"	"excellent"	"soloists"	"the"	"violin"	"solos"	"by"	"the"	"concertmaster"	"guy_lumia"	"be"	"especially"	"fine"	"but"	"one"	"in_which"	"the"	"core"	"of"	"traveling"	"players"	"and"	"the"	"body"	"of"	"men"	"add"	"locally"	"had"	"not"	"have"	"time"	"achieve"	"much"	"unity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"velocity"	"in"	"higher"	"a"	"higher_velocity"	"velocity_in"	"in_a"	"the_higher_velocity"	"higher_velocity_in"	"velocity_in_a"	"in_a_long"	"DT"	"JJR"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ruger"	"learn"	"that"	"this"	"because"	"the"	"higher"	"velocity"	"achieve"	"in"	"a"	"long"	"barrel"	"was"	"upset"	"the"	"shape"	"of"	"the"	"unjacketed"	"revolver"	"bullet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	")"	"stardom"	"devotion"	","	"devotion_)"	")_stardom"	"stardom_,"	"and_devotion_)"	"devotion_)_stardom"	")_stardom_,"	"stardom_,_a"	"CC"	"NN"	"ε"	"VB"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"having"	"through"	"my"	"unflagging"	"and"	"devotion"	"achieve"	"stardom"	"a"	"fortune"	"and"	"a"	"world-renowned"	"wife"	"at"	"an"	"age"	"when"	"most"	"young_men"	"are"	"cast"	"their"	"first"	"vote"	"letch"	"proceed"	"to"	"neglect"	"them"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"way"	"christian"	"way_to"	"to_a"	"a_christian"	"the_way_to"	"way_to_a"	"to_a_christian"	"a_christian_home"	"DT"	"NN"	"TO"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"need"	"for"	"the"	"way"	"to"	"achieve"	"a"	"christian"	"home"	"will"	"be"	"stress"	"in"	"special"	"services"	"mark"	"national_christian_family_week"	"in"	"miami"	"area"	"churches"	"next"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"who"	"a"	","	"brilliant"	",_who"	"who_a"	"a_brilliant"	"person_,_who"	",_who_a"	"who_a_brilliant"	"a_brilliant_record"	"NNP"	"ε"	"WP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"civil_war"	"who"	"achieve"	"a"	"brilliant"	"record"	"was"	"make"	"brigadier_general"	"at"	"the"	"age"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"is"	"by"	"radio_telescope"	"reduce"	"radio_telescope_is"	"is_by"	"by_reduce"	"in_radio_telescope_is"	"radio_telescope_is_by"	"is_by_reduce"	"by_reduce_the"	"IN"	"NN"	"VBZ"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"high"	"sensitivity"	"radio_telescope"	"is"	"achieve"	"by"	"reduce"	"the"	"bandwidth"	"of"	"the"	"receiver"	"therefore"	"only"	"with"	"precise"	"foreknowledge"	"of"	"the"	"line"	"frequency"	"be"	"an"	"astronomical"	"search"	"for"	"the"	"radio_spectrum"	"of"	"these"	"molecule"	"feasible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"design"	"unified"	"design_to"	"to_a"	"a_unified"	"their_design_to"	"design_to_a"	"to_a_unified"	"a_unified_composition"	"PRP$"	"NN"	"TO"	"VB"	"DT"	"JJ"	"NN"	"paint"	"a"	"picture"	"be"	"valid"	"only"	"when"	"it"	"impart"	"spontaneity"	"and"	"crispness"	"but"	"unless"	"the"	"artist"	"have"	"lots"	"of"	"experience"	"so"	"that"	"he"	"can"	"control"	"rapid"	"execution"	"he"	"would"	"do_well"	"to"	"take"	"these"	"first"	"sketch"	"and"	"soberly"	"reorder"	"design"	"to"	"a"	"unified"	"composition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"is"	"."	"it"	"∅"	"it_is"	"is_."	"._∅"	"as_it_is"	"it_is_."	"is_._∅"	"._∅_∅"	"RB"	"RB"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"propose"	"first"	"an"	"abandonment"	"of"	"attempt"	"at"	"a"	"universal"	"lexical"	"list"	"intrinsically"	"unachievable"	"and"	"operationally"	"inadequate"	"in"	"proportion"	"as"	"it"	"is"	"achieve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"in"	"this"	"that"	"historical"	"that_in"	"in_this"	"this_historical"	"forget_that_in"	"that_in_this"	"in_this_historical"	"this_historical_feat"	"VB"	"IN"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"it"	"must_not"	"forget"	"that"	"in"	"achieve"	"this"	"historical"	"feat"	"person"	"have"	"the"	"vast"	"resource"	"of"	"his"	"people"	"behind"	"him"	"time"	"and"	"economic"	"security"	"symphony_orchestra"	"opera"	"and"	"ballet_company"	"chorus"	"chamber_music"	"ensemble"	"soloist"	"recording"	"broadcasting"	"television"	"large"	"and"	"eager"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	";"	"can"	"and"	"can_be"	"be_;"	";_and"	"kerygma_can_be"	"can_be_;"	"be_;_and"	";_and_that"	"NN"	"MD"	"VB"	"VB"	"ε"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"argue"	"in"	"this"	"way"	"we"	"are"	"obviously"	"take"	"for"	"that"	"a"	"demythologized"	"restatement"	"of"	"the"	"kerygma"	"can"	"be"	"achieve"	"and"	"that"	"we"	"firmly"	"believe"	"this"	"will"	"presently"	"become"	"evident"	"when"	"we"	"set_forth"	"reason"	"to"	"justify"	"such"	"a"	"conviction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
