"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"1:04:00::"	"similar"	","	"of"	"but"	"of_similar"	"similar_,"	",_but"	"make_up_of_similar"	"of_similar_,"	"similar_,_but"	",_but_this"	"VB"	"VB"	"JJ"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"super-set"	"no."	"is"	"of"	"similar"	"exercise"	"but"	"this"	"time"	"done"	"with"	"dumbbell"	"and"	"use"	"both"	"moon"	"and"	"flat_bench"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"''"	"in"	"pull"	"this"	"pull_''"	"''_in"	"in_this"	"``_pull_''"	"pull_''_in"	"''_in_this"	"in_this_super-set"	"ε"	"NN"	"ε"	"NN"	"RB"	"RB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"exercise"	"in"	"this"	"super-set"	"be"	"the"	"one"	"dumbbell"	"bent-arm_pullover"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"''"	"be"	"push"	"the"	"push_''"	"''_be"	"be_the"	"``_push_''"	"push_''_be"	"''_be_the"	"be_the_wide"	"ε"	"NN"	"ε"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"third"	"the"	"push"	"exercise"	"be"	"the"	"wide"	"grip"	"pushup_between_bars"	"while"	"the"	"pull"	"exercise"	"be"	"the"	"moon_bench_lateral_raise"	"with"	"bent"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"''"	"be"	"pull"	"the"	"pull_''"	"''_be"	"be_the"	"``_pull_''"	"pull_''_be"	"''_be_the"	"be_the_moon_bench_lateral_raise"	"ε"	"NN"	"ε"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"third"	"push-pull_super-set"	"the"	"push"	"exercise"	"be"	"the"	"grip"	"pushup_between_bars"	"while"	"the"	"pull"	"exercise"	"be"	"the"	"moon_bench_lateral_raise"	"with"	"bent"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"painful"	"at_all"	"a"	","	"a_painful"	"painful_at_all"	"at_all_,"	"not_a_painful"	"a_painful_at_all"	"painful_at_all_,"	"at_all_,_because"	"RB"	"DT"	"JJ"	"NN"	"RB"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"as"	"you"	"can"	"also"	"it"	"not"	"a"	"painful"	"exercise"	"at_all"	"because"	"person"	"the"	"happy"	"bodybuilder"	"look"	"as"	"though"	"he"	"were"	"have"	"the"	"time"	"of"	"his"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"last"	"of"	"the"	"person"	"the_last"	"last_of"	"of_person"	"∅_the_last"	"the_last_of"	"last_of_person"	"of_person_'s"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"exercise"	"of"	"person"	"prescribed"	"program"	"for"	"person"	"be"	"a"	"single"	"exercise"	"done"	"in"	"individual"	"set"	"with"	"a_bit"	"long"	"pause"	"between"	"set"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"single"	","	"a"	"done"	"a_single"	"single_,"	",_done"	"be_a_single"	"a_single_,"	"single_,_done"	",_done_in"	"VB"	"DT"	"JJ"	"NN"	"ε"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"last"	"exercise"	"of"	"person"	"prescribed"	"for"	"person"	"be"	"a"	"single"	"exercise"	"done"	"in"	"individual"	"set"	"with"	"a_bit"	"long"	"pause"	"between"	"set"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"these"	"work"	"often"	"well"	"often_these"	"these_work"	"work_well"	"∅_often_these"	"often_these_work"	"these_work_well"	"work_well_for"	"ε"	"RB"	"DT"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"exercise"	"work"	"well"	"for"	"some"	"bodybuilder"	"but"	"less"	"spectacularly"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"i"	"∅"	"shall"	"∅_the"	"the_i"	"i_shall"	"∅_∅_the"	"∅_the_i"	"the_i_shall"	"i_shall_discuss"	"ε"	"ε"	"DT"	"NN"	"PRP"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"exercise"	"i"	"shall"	"discuss"	"in"	"this"	"the"	"first"	"of"	"a"	"new"	"series"	"of"	"article"	"on"	"muscle"	"definition"	"specialization"	"of"	"a"	"particular"	"body_part"	"be"	"the"	"one_leg_lunge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"one"	"that"	"the"	"drastically"	"the_one"	"one_that"	"that_drastically"	"be_the_one"	"the_one_that"	"one_that_drastically"	"that_drastically_influence"	"VB"	"DT"	"JJ"	"NN"	"IN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"the"	"one"	"exercise"	"that"	"drastically"	"influence"	"the"	"definition"	"of"	"the"	"thigh"	"at"	"the"	"hipline"	"that"	"mark"	"of"	"the"	"champion"	"that"	"set"	"him"	"apart"	"from"	"all"	"bodybuilder"	"a"	"criterion"	"of"	"muscle"	"drama"	"that_is"	"unforgettable"	"to"	"judge"	"and"	"audience"	"alike"	"the"	"facet"	"of"	"muscular"	"development"	"that"	"win"	"prize"	
"1:04:00::"	"fine"	"should"	"this"	"not"	"this_fine"	"fine_should"	"should_not"	"why_this_fine"	"this_fine_should"	"fine_should_not"	"should_not_find_its_way"	"WRB"	"DT"	"JJ"	"NN"	"MD"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"really"	"there"	"be"	"reason"	"why"	"this"	"fine"	"exercise"	"should"	"not"	"find_its_way"	"into"	"your"	"leg"	"program"	"at"	"all"	"time"	"for"	"the"	"following"	"suggestion"	"show"	"why"	"it"	"be"	"so"	"effective"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"extension"	"."	"contraction"	"∅"	"contraction_extension"	"extension_."	"._∅"	"thigh_contraction_extension"	"contraction_extension_."	"extension_._∅"	"._∅_∅"	"NN"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"a"	"complete"	"contraction"	"extension"	"exercise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"is"	","	"leg"	"thus"	"leg_is"	"is_,"	",_thus"	"and_leg_is"	"leg_is_,"	"is_,_thus"	",_thus_enable"	"CC"	"NN"	"VBZ"	"VB"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"speed"	"muscle"	"growth"	"and"	"power"	"development"	"even"	"the"	"advanced"	"bodybuilder"	"because"	"each"	"hip"	"and"	"leg"	"is"	"exercise"	"thus"	"enable"	"a"	"massive"	"concentrated"	"effort"	"to"	"be"	"focus_on"	"each"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
