"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:31:01::"	"can"	"about"	"you"	"screens"	"you_can"	"can_about"	"about_screens"	"∅_you_can"	"you_can_about"	"can_about_screens"	"about_screens_,"	"ε"	"PRP"	"MD"	"VB"	"IN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"can"	"forget"	"about"	"screens"	"and"	"leave"	"the"	"storm_windows"	"up"	"all"	"year"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"ever"	"."	"will"	"∅"	"will_ever"	"ever_."	"._∅"	"it_will_ever"	"will_ever_."	"ever_._∅"	"._∅_∅"	"PRP"	"MD"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"player"	"attack"	"with"	"his"	"four-wood"	"and"	"hit"	"shot"	"that"	"few"	"who"	"see"	"it"	"will"	"ever"	"forget"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	","	"that"	"who"	"birds"	"who_,"	",_that"	"that_birds"	"farmers_who_,"	"who_,_that"	",_that_birds"	"that_birds_be"	"NNS"	"WP"	"ε"	"VB"	"IN"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"news"	"of"	"their"	"experiments"	"the"	"farmers"	"who"	"forget"	"that"	"birds"	"be"	"the_most"	"efficient"	"natural"	"enemies"	"of"	"insects"	"and"	"rodents"	"are"	"encourage"	"to"	"try"	"to"	"get_rid_of"	"all"	"birds"	"that"	"occasionally"	"peck"	"their"	"grapes"	"or"	"their"	"blueberries"	"buchheister"	"tell"	"the"	"delegates"	"0"	"0"	
"2:31:00::"	"i"	"''"	"``"	"!"	"``_i"	"i_''"	"''_!"	"∅_``_i"	"``_i_''"	"i_''_!"	"''_!_she"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"forget"	"she"	"yelp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"motive"	"try"	"for_the_moment"	"try_to"	"to_motive"	"motive_for_the_moment"	"∅_try_to"	"try_to_motive"	"to_motive_for_the_moment"	"motive_for_the_moment_."	"ε"	"VB"	"VB"	"VB"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"forget"	"motive"	"for_the_moment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"n't"	","	"do"	"there"	"do_n't"	"n't_,"	",_there"	"``_do_n't"	"do_n't_,"	"n't_,_there"	",_there_be"	"ε"	"VBP"	"RB"	"VB"	"ε"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"forget"	"there"	"be"	"the"	"hope"	"it"	"would"	"pass"	"for"	"a"	"natural"	"death"	"person"	"remind"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"must_not"	","	"we"	"to_be_sure"	"we_must_not"	"must_not_,"	",_to_be_sure"	"∅_we_must_not"	"we_must_not_,"	"must_not_,_to_be_sure"	",_to_be_sure_,"	"ε"	"PRP"	"VB"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"must_not"	"forget"	"to_be_sure"	"that"	"free"	"discussion"	"and"	"debate"	"have"	"produce"	"beneficial"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"can"	"about"	"you"	"person"	"you_can"	"can_about"	"about_person"	"``_you_can"	"you_can_about"	"can_about_person"	"about_person_,"	"ε"	"PRP"	"MD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"forget"	"about"	"person"	"too"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"be"	"that"	"must_not"	"in"	"must_not_be"	"be_that"	"that_in"	"it_must_not_be"	"must_not_be_that"	"be_that_in"	"that_in_achieve"	"PRP"	"VB"	"VB"	"VB"	"IN"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"it"	"be"	"forget"	"that"	"in"	"achieve"	"this"	"historical"	"feat"	"person"	"have"	"the"	"vast"	"resource"	"of"	"his"	"people"	"behind"	"him"	"time"	"and"	"economic"	"security"	"symphony_orchestra"	"opera"	"and"	"ballet_company"	"chorus"	"chamber_music"	"ensemble"	"soloist"	"recording"	"broadcasting"	"television"	"large"	"and"	"eager"	"audience"	
"2:31:01::"	"be"	","	"must_not"	"be"	"must_not_be"	"be_,"	",_be"	"it_must_not_be"	"must_not_be_,"	"be_,_be"	",_be_one"	"PRP"	"VB"	"VB"	"VB"	"ε"	"VB"	"NN"	"if"	"the"	"content"	"of"	"faith"	"is"	"to"	"be"	"present"	"today"	"in"	"a"	"form"	"that"	"can"	"be"	"understand"	"of"	"the"	"people"	"and"	"it"	"must_not"	"be"	"be"	"one"	"of"	"the"	"goal"	"of"	"the"	"perennial"	"theological"	"task"	"there"	"be"	"no"	"choice"	"but"	"to"	"abandon"	"completely"	"a"	"mythological"	"manner"	"of"	"representation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	","	"in"	"person"	"his"	"person_,"	",_in"	"in_his"	"say_person_,"	"person_,_in"	",_in_his"	"in_his_enthusiasm"	"VB"	"NNP"	"ε"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"it"	"had"	"find"	"a"	"planet"	"on"	"which"	"human_being"	"could"	"live"	"and"	"which"	"already"	"inhabit"	"by"	"sentient"	"being"	"person"	"forget"	"in"	"his"	"enthusiasm"	"that"	"he"	"had"	"not"	"been"	"ask"	"to"	"speak"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"'d"	"all"	"i"	"about"	"i_'d"	"'d_all"	"all_about"	"∅_i_'d"	"i_'d_all"	"'d_all_about"	"all_about_person"	"ε"	"PRP"	"MD"	"VB"	"DT"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"forget"	"all"	"about"	"person"	"and"	"the"	"kentucky_derby"	"and"	"how"	"it"	"was"	"person"	"fifty"	"dollar"	"i"	"was"	"spend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"go_on"	"that"	"you"	"you"	"you_go_on"	"go_on_that"	"that_you"	"could_you_go_on"	"you_go_on_that"	"go_on_that_you"	"that_you_still"	"MD"	"PRP"	"VB"	"VB"	"IN"	"PRP"	"RB"	"as"	"you"	"go_into"	"the"	"house"	"oppressed"	"by"	"the"	"knowledge"	"that"	"something_is_cooking"	"and"	"that"	"your"	"house"	"has"	"pass"	"under"	"this"	"unaccountable"	"official"	"control"	"you"	"go_on"	"that"	"you"	"still"	"have_on"	"that"	"ridiculous"	"hat"	"on"	"your"	"head"	"and"	"you"	"were"	"still"	"carry"	"that"	"childish"	"horn"	"in"	"your"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"'d"	"about"	"he"	"them"	"he_'d"	"'d_about"	"about_them"	"because_he_'d"	"he_'d_about"	"'d_about_them"	"about_them_,"	"IN"	"PRP"	"MD"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"person"	"was"	"still"	"wear"	"the"	"and"	"carry"	"the"	"horn"	"because"	"he"	"forget"	"about"	"them"	"he"	"now"	"remember"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"doubtless"	"the"	"'ve"	"circumstance"	"'ve_doubtless"	"doubtless_the"	"the_circumstance"	"you_'ve_doubtless"	"'ve_doubtless_the"	"doubtless_the_circumstance"	"the_circumstance_in"	"PRP"	"VBP"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"doubtless"	"forget"	"the"	"circumstance"	"in"	"the"	"press"	"of"	"more"	"recent"	"depredation"	"permit"	"me"	"to"	"recapitulate"	"them"	"briefly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"had"	","	"he"	"person"	"he_had"	"had_,"	",_person"	"something_he_had"	"he_had_,"	"had_,_person"	",_person_go_out"	"NN"	"PRP"	"VBD"	"VB"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"enough"	"time"	"had"	"elapse"	"so_that"	"there"	"be"	"likelihood"	"of"	"his"	"return"	"for"	"something"	"he"	"had"	"forget"	"person"	"go_out"	"into"	"the"	"hall"	"and"	"stand"	"look"	"into"	"one"	"room"	"after"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
