"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"4:02:01::"	"∅"	"the"	"∅"	"private_detective"	"∅_∅"	"∅_the"	"the_private_detective"	"∅_∅_∅"	"∅_∅_the"	"∅_the_private_detective"	"the_private_detective_will"	"ε"	"ε"	"ε"	"RB"	"DT"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"private_detective"	"will"	"also"	"investigate"	"insurance_claim"	"or"	"handle"	"divorce"	"case"	"but"	"his"	"primary"	"function"	"remain"	"what"	"it"	"has"	"always"	"be"	"to"	"assist"	"those"	"who"	"have"	"money"	"in"	"their"	"unending"	"struggle"	"with"	"those"	"who"	"have"	"not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"court"	"continue"	"the"	"in"	"the_court"	"court_continue"	"continue_in"	",_the_court"	"the_court_continue"	"court_continue_in"	"continue_in_the"	"ε"	"DT"	"NN"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"make"	"inroad"	"in"	"the"	"name"	"of"	"law_enforcement"	"into"	"the"	"protection"	"which"	"has"	"afford"	"to"	"the"	"marriage"	"relationship"	"the"	"court"	"today"	"continue"	"in"	"the"	"path"	"chart"	"by"	"the"	"recent"	"decision"	"in"	"wyatt_v._united_states"	"where"	"the"	"court"	"hold"	"that"	"under_the_circumstances"	"of"	"that"	"case"	"a"	"wife"	"could"	"be"	"compel"	"to"	"testify"	"against"	"her"	"husband"	"over"	"her"	"objection"	"0"	"0"	
"4:02:00::"	"memphis"	"for"	"in"	"the"	"in_memphis"	"memphis_for"	"for_the"	"be_in_memphis"	"in_memphis_for"	"memphis_for_the"	"for_the_wedding"	"VB"	"IN"	"NN"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"person"	"be"	"in"	"memphis"	"today"	"for"	"the"	"wedding"	"rehearsal"	"and"	"then"	"tomorrow"	"he"	"would"	"marry"	"just"	"like"	"everybody"	"know"	"he"	"would"	"just"	"like"	"everybody"	"know"	"all_along"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"in_vogue"	")"	"network"	"greater"	"network_in_vogue"	"in_vogue_)"	")_greater"	"the_network_in_vogue"	"network_in_vogue_)"	"in_vogue_)_greater"	")_greater_emphasis"	"DT"	"NN"	"JJ"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"will"	"readily"	"be"	"see"	"that"	"in"	"this"	"suggested"	"not"	"materially"	"different"	"from"	"some"	"of"	"the"	"network"	"in_vogue"	"today"	"greater"	"emphasis"	"on"	"monitor"	"is"	"imply"	"than"	"is"	"usually"	"put"	"into"	"practice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"market"	"for"	"the"	"detergent_builder"	"the_market"	"market_for"	"for_detergent_builder"	"∅_the_market"	"the_market_for"	"market_for_detergent_builder"	"for_detergent_builder_be"	"ε"	"DT"	"NN"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"market"	"today"	"for"	"detergent_builder"	"be"	"quite"	"diverse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"∅"	","	"∅"	"refrigerated"	"∅_∅"	"∅_,"	",_refrigerated"	"∅_∅_∅"	"∅_∅_,"	"∅_,_refrigerated"	",_refrigerated_carrier"	"ε"	"ε"	"ε"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"refrigerated"	"carrier"	"have"	"make"	"the"	"shipping"	"of"	"avocado"	"possible"	"any"	"place"	"in"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"present"	"in"	"be"	"a"	"be_present"	"present_in"	"in_a"	"to_be_present"	"be_present_in"	"present_in_a"	"in_a_form"	"TO"	"VB"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"content"	"of"	"is"	"to"	"be"	"present"	"today"	"in"	"a"	"form"	"that"	"can"	"be"	"understand"	"of"	"the"	"people"	"and"	"this"	"it"	"must_not"	"be"	"forget"	"be"	"one"	"of"	"the"	"goal"	"of"	"the"	"perennial"	"theological"	"task"	"there"	"be"	"no"	"choice"	"but"	"to"	"abandon"	"completely"	"a"	"mythological"	"manner"	"of"	"representation"	
"4:02:01::"	"that"	","	","	"in"	",_that"	"that_,"	",_in"	"then_,_that"	",_that_,"	"that_,_in"	",_in_our"	"RB"	"ε"	"IN"	"RB"	"ε"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"we"	"say"	"that"	"today"	"in"	"our"	"situation"	"the"	"demand"	"for"	"demythologization"	"must"	"be"	"accept"	"without"	"condition"	"we"	"are"	"simply"	"say"	"that"	"at_least"	"this"	"much"	"of"	"the"	"liberal"	"tradition"	"be"	"an"	"enduring"	"achievement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"favorable_position"	"than"	"more"	"in"	"more_favorable_position"	"favorable_position_than"	"than_in"	"a_more_favorable_position"	"more_favorable_position_than"	"favorable_position_than_in"	"than_in_1861"	"DT"	"JJ"	"NN"	"NN"	"IN"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"further"	"evidence"	"that"	"enjoy"	"a"	"more"	"favorable_position"	"today"	"than"	"in"	"be"	"the"	"respectful"	"attention"	"give"	"to_it"	"in"	"the"	"mass_media"	"of"	"england"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"in"	"'s"	"little"	"living"	"little_in"	"in_'s"	"'s_living"	"very_little_in"	"little_in_'s"	"in_'s_living"	"'s_living_provide"	"RB"	"NN"	"IN"	"RB"	"POS"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"very"	"in"	"today"	"living"	"provide"	"the"	"strength"	"we"	"need"	"and"	"nothing"	"provide"	"the"	"flexibility"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"of"	"."	"musician"	"∅"	"musician_of"	"of_."	"._∅"	"by_musician_of"	"musician_of_."	"of_._∅"	"._∅_∅"	"IN"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"script"	"big"	"problem"	"be"	"how"	"to"	"blend"	"picture"	"and"	"music"	"the"	"past"	"with"	"live"	"performance"	"by"	"musician"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"twice"	"be"	"it"	"full"	"it_twice"	"twice_be"	"be_full"	"repeat_it_twice"	"it_twice_be"	"twice_be_full"	"be_full_of"	"VB"	"PRP"	"RB"	"NN"	"VB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"company"	"which"	"perform"	"the"	"pulitzer_prize"	"musical"	"last"	"night"	"and"	"will"	"repeat"	"it"	"twice"	"today"	"be"	"full"	"of"	"bounce"	"the"	"politician"	"be"	"in"	"fine"	"voice"	"the"	"chorine"	"evoke"	"happy"	"memory"	"and"	"the"	"person"	"ride"	"to"	"break"	"a"	"lance"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"again"	"with"	"action"	"a"	"action_again"	"again_with"	"with_a"	"in_action_again"	"action_again_with"	"again_with_a"	"with_a_game"	"IN"	"NN"	"RB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"was"	"to"	"in"	"action"	"again"	"today"	"with"	"a"	"game"	"schedule"	"at"	"against"	"group"	"at"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"busy"	","	"very"	"not"	"very_busy"	"busy_,"	",_not"	"appear_very_busy"	"very_busy_,"	"busy_,_not"	",_not_busy"	"VB"	"RB"	"JJ"	"NN"	"ε"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"like"	"them"	"appear"	"very"	"busy"	"today"	"not"	"busy"	"exactly"	"but"	"joyous"	"exuberant"	"full_of_life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"of"	","	"world"	"have"	"world_of"	"of_,"	",_have"	"the_world_of"	"world_of_,"	"of_,_have"	",_have_a"	"DT"	"NN"	"IN"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"liberal"	"may"	"the"	"world"	"of"	"today"	"have"	"a"	"strong"	"case"	"but"	"he"	"present"	"it"	"publicly"	"so"	"enmesh"	"in"	"hypocrisy"	"that"	"it"	"be"	"not"	"an"	"honest"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"elevate"	"to"	"was"	"head"	"was_elevate"	"elevate_to"	"to_head"	",_was_elevate"	"was_elevate_to"	"elevate_to_head"	"to_head_coach"	"ε"	"VBD"	"VB"	"NN"	"TO"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"line_coach"	"for"	"the"	"champion"	"group"	"was"	"elevate"	"today"	"to"	"head"	"coach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"auspiciously"	"."	"job"	"∅"	"job_auspiciously"	"auspiciously_."	"._∅"	"new_job_auspiciously"	"job_auspiciously_."	"auspiciously_._∅"	"._∅_∅"	"JJ"	"NN"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"begin"	"new"	"job"	"auspiciously"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"group"	"."	"the"	"∅"	"the_group"	"group_."	"._∅"	"at_the_group"	"the_group_."	"group_._∅"	"._∅_∅"	"IN"	"DT"	"NNP"	"NN"	"ε"	"ε"	"ε"	"to"	"supply"	"player"	"for"	"the"	"new"	"group"	"and"	"the"	"problem"	"of"	"increase"	"the"	"schedule"	"to"	"fourteen"	"game"	"will"	"be"	"discuss"	"by"	"group"	"owner"	"at"	"a"	"meeting"	"at"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"of"	","	"pirate"	"of_course"	"pirate_of"	"of_,"	",_of_course"	"device_pirate_of"	"pirate_of_,"	"of_,_of_course"	",_of_course_,"	"NN"	"NN"	"IN"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"medical"	"pirate"	"of"	"today"	"of_course"	"be"	"a"	"far"	"more"	"sophisticated"	"operator"	"than"	"his"	"predecessor"	"of"	"yesteryear"	"the"	"gallus"	"snap"	"hawker"	"of"	"snake_oil"	"and"	"patent_medicine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"``"	"i"	"∅"	"go"	"∅_``"	"``_i"	"i_go"	"∅_∅_``"	"∅_``_i"	"``_i_go"	"i_go_see"	"ε"	"ε"	"ε"	"NN"	"PRP"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"go"	"see"	"the"	"horse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
