"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"	"A162"	"A163"	"A164"	"A165"	"A166"	"A167"	"A168"	"A169"	"A170"	"A171"	"A172"	"A173"	"A174"	"A175"	"A176"	"A177"	"A178"	"A179"	"A180"	"A181"
"1:21:00::"	"any"	"hereafter"	"section"	"pay"	"section_any"	"any_hereafter"	"hereafter_pay"	"of_this_section_any"	"section_any_hereafter"	"any_hereafter_pay"	"hereafter_pay_,"	"RB"	"NN"	"DT"	"NN"	"RB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"special"	"fund"	"create"	"for"	"that"	"purpose"	"to"	"subsection"	"a"	"of_this"	"section"	"any"	"amount"	"hereafter"	"pay"	"in"	"united_states_dollar"	"by"	"a"	"foreign"	"government"	"which"	"has"	"enter"	"into"	"a"	"claim"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"describe"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"principal"	","	"in"	"certified"	"in_principal"	"principal_,"	",_certified"	"1000_in_principal"	"in_principal_,"	"principal_,_certified"	",_certified_pursuant"	"JJ"	"IN"	"NN"	"NN"	"ε"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"payment"	"of"	"on"	"the"	"principal"	"of"	"award"	"of"	"more_than"	"in"	"principal"	"amount"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"principal"	"of"	"the"	"more_than"	"the_principal"	"principal_of"	"of_more_than"	"in_the_principal"	"the_principal_of"	"principal_of_more_than"	"of_more_than_$"	"IN"	"DT"	"NN"	"NN"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"additional"	"payment"	"of"	"not"	"to"	"exceed"	"per_centum"	"the"	"unpaid"	"principal"	"of"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"principal"	"of"	"the"	"more_than"	"the_principal"	"principal_of"	"of_more_than"	"in_the_principal"	"the_principal_of"	"principal_of_more_than"	"of_more_than_$"	"IN"	"DT"	"NN"	"NN"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"complete"	"the"	"payment"	"prescribe"	"by"	"paragraph"	"and"	"of_this"	"subsection"	"to"	"make"	"payment"	"from_time_to_time"	"in"	"ratable"	"proportion"	"the"	"unpaid"	"principal"	"of"	"all"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"according_to"	"the"	"proportion"	"which"	"the"	"unpaid"	"principal"	"of"	"such"	"award"	"bear"	"to"	"the"	"total"	"amount"	"in"	"the"	"fund"	"available"	"for"	"distribution"	"at"	"the"	"time"	"such"	"payment"	"are"	"make"	"and"	"after"	"payment"	"has"	"been"	"make"	"of"	"the"	"principal"	"amount"	"of"	"all"	"such"	"award"	"to"	"make"	"pro_rata"	"payment"	"on_account_of"	"accrued"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"total"	"in"	"the"	"the"	"the_total"	"total_in"	"in_the"	"to_the_total"	"the_total_in"	"total_in_the"	"in_the_fund"	"TO"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"complete"	"the"	"payment"	"prescribe"	"by"	"paragraph"	"and"	"of_this"	"subsection"	"to"	"make"	"payment"	"from_time_to_time"	"in"	"ratable"	"proportion"	"on_account_of"	"the"	"unpaid"	"principal"	"of"	"all"	"award"	"in"	"the"	"principal"	"of"	"more_than"	"according_to"	"the"	"proportion"	"which"	"the"	"unpaid"	"principal"	"of"	"such"	"award"	"bear"	"to"	"the"	"total"	"amount"	"in"	"the"	"fund"	"available"	"for"	"distribution"	"at"	"the"	"time"	"such"	"payment"	"are"	"make"	"and"	"after"	"payment"	"has"	"been"	"make"	"of"	"the"	"principal"	"amount"	"of"	"all"	"such"	"award"	"to"	"make"	"pro_rata"	"payment"	"on_account_of"	"accrued"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"principal"	"of"	"the"	"all"	"the_principal"	"principal_of"	"of_all"	"of_the_principal"	"the_principal_of"	"principal_of_all"	"of_all_such"	"IN"	"DT"	"NN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"complete"	"the"	"payment"	"prescribe"	"by"	"paragraph"	"and"	"of_this"	"subsection"	"to"	"make"	"payment"	"from_time_to_time"	"in"	"ratable"	"proportion"	"on_account_of"	"the"	"unpaid"	"principal"	"of"	"all"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"according_to"	"the"	"proportion"	"which"	"the"	"unpaid"	"principal"	"of"	"such"	"award"	"bear"	"to"	"the"	"total"	"amount"	"in"	"fund"	"available"	"for"	"distribution"	"at"	"the"	"time"	"such"	"payment"	"are"	"make"	"and"	"after"	"payment"	"has"	"been"	"of"	"the"	"principal"	"amount"	"of"	"all"	"such"	"award"	"to"	"make"	"pro_rata"	"payment"	"on_account_of"	"accrued"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"you"	"take_into_account"	"'ll"	"take_into_account_the"	"the_you"	"you_'ll"	",_take_into_account_the"	"take_into_account_the_you"	"the_you_'ll"	"you_'ll_need"	"ε"	"VB"	"DT"	"NN"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"how"	"much"	"you"	"want"	"take_into_account"	"the"	"amount"	"you"	"need"	"to"	"bring_in"	"the"	"income"	"you"	"expect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"compare"	"labor"	"compare_the"	"the_of"	"of_labor"	",_compare_the"	"compare_the_of"	"the_of_labor"	"of_labor_that"	"ε"	"VB"	"DT"	"NN"	"IN"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"on"	"the"	"enterprise"	"to"	"manage"	"by"	"family"	"labor"	"compare"	"the"	"amount"	"of"	"labor"	"that"	"can"	"be"	"supply"	"by"	"the"	"family"	"with"	"the"	"labor"	"need"	"of"	"various"	"enterprise"	"list"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"reduce"	"dictionary"	"reduce_the"	"the_of"	"of_dictionary"	"for_reduce_the"	"reduce_the_of"	"the_of_dictionary"	"of_dictionary_information"	"IN"	"VB"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"many"	"linguistic"	"for"	"reduce"	"the"	"amount"	"of"	"dictionary"	"information"	"that"	"have"	"been"	"propose"	"all"	"organize"	"the"	"dictionary"	"content"	"around"	"prefix"	"stem"	"suffix"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"in"	"information"	"in_the"	"the_of"	"of_information"	"reduction_in_the"	"in_the_of"	"the_of_information"	"of_information_require"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"all"	"form"	"of"	"a"	"paradigm"	"are"	"group"	"within"	"the"	"dictionary"	"a"	"considerable"	"reduction"	"in"	"the"	"amount"	"of"	"information"	"require"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"that"	"to"	"struggle"	"self"	"struggle_that"	"that_to"	"to_self"	"a_struggle_that"	"struggle_that_to"	"that_to_self"	"to_self_redefinition"	"DT"	"NN"	"IN"	"VB"	"VB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"i"	"be"	"here"	"to"	"do"	"be"	"to"	"report"	"the"	"gyration"	"of"	"the"	"struggle"	"a"	"struggle"	"that"	"amount"	"to"	"self"	"redefinition"	"to"	"see"	"if"	"we"	"can"	"predict"	"its"	"future"	"course"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"in"	"make_up"	"indifferent"	"make_up_the"	"the_in"	"in_indifferent"	"person_make_up_the"	"make_up_the_in"	"the_in_indifferent"	"in_indifferent_silence"	"NNP"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"amount"	"in"	"indifferent"	"silence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"maximum"	"of"	"the"	"payment"	"the_maximum"	"maximum_of"	"of_payment"	"∅_the_maximum"	"the_maximum_of"	"maximum_of_payment"	"of_payment_which"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maximum"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"pursuant"	"to"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	
"1:09:00::"	"maximum"	"of"	"the"	"such"	"the_maximum"	"maximum_of"	"of_such"	";_the_maximum"	"the_maximum_of"	"maximum_of_such"	"of_such_payment"	"ε"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"maximum"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"pursuant"	"to"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"maximum"	"of"	"the"	"such"	"the_maximum"	"maximum_of"	"of_such"	";_the_maximum"	"the_maximum_of"	"maximum_of_such"	"of_such_payment"	"ε"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"maximum"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"pursuant"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"maximum"	"of"	"the"	"such"	"the_maximum"	"maximum_of"	"of_such"	"and_the_maximum"	"the_maximum_of"	"maximum_of_such"	"of_such_payment"	"CC"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"pursuant"	"to"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
