"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"3:00:00::"	"for"	"national"	"create"	"purpose"	"create_for"	"for_national"	"national_purpose"	"to_create_for"	"create_for_national"	"for_national_purpose"	"national_purpose_."	"TO"	"VB"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"this"	"changed"	"world"	"person"	"settle"	"to"	"himself"	"and"	"to"	"create"	"for"	"large"	"national"	"purpose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	","	"where"	"dramatic"	"where_a"	"a_,"	",_dramatic"	",_where_a"	"where_a_,"	"a_,_dramatic"	",_dramatic_canvas"	"ε"	"WRB"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"should"	"be"	"note"	"that"	"the"	"polytonal"	"freedom"	"of"	"his"	"melody"	"and"	"harmonic"	"modulation"	"the"	"brilliant"	"orchestration"	"the"	"adroitness"	"for"	"evade"	"the"	"heaviness"	"of"	"figured_bass"	"the"	"skill"	"in"	"florid"	"counterpoint"	"be"	"not"	"lost"	"in"	"his"	"mature"	"output"	"even"	"in"	"the"	"spectacular"	"historical"	"drama"	"of"	"the"	"stage"	"cinema"	"where"	"a"	"large"	"canvas"	"of"	"sound"	"be"	"required"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"and"	"with"	"circumspect"	"with_a"	"a_and"	"and_circumspect"	"∅_with_a"	"with_a_and"	"a_and_circumspect"	"and_circumspect_20th"	"ε"	"IN"	"DT"	"JJ"	"CC"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"large"	"and"	"circumspect"	"century"	"technique"	"he"	"weave"	"the"	"material"	"of"	"national"	"hero"	"and"	"event"	"national"	"folklore"	"and"	"child"	"fairytale"	"slavic"	"dance"	"and"	"love"	"song"	"into"	"a"	"solid"	"musical"	"literature"	"which"	"serve"	"his"	"people"	"well"	"and"	"is"	"provide"	"much"	"enjoyment"	"to"	"the"	"world"	"at_large"	
"3:00:00::"	";"	"and"	"television"	"eager"	"television_;"	";_and"	"and_eager"	";_television_;"	"television_;_and"	";_and_eager"	"and_eager_audience"	"ε"	"NN"	"ε"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"it"	"must_not"	"be"	"forget"	"that"	"in"	"achieve"	"this"	"historical"	"feat"	"person"	"have"	"the"	"vast"	"resource"	"of"	"his"	"people"	"behind"	"him"	"time"	"and"	"economic"	"security"	"symphony_orchestra"	"opera"	"and"	"ballet_company"	"chorus"	"chamber_music"	"ensemble"	"soloist"	"recording"	"broadcasting"	"television"	"and"	"eager"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"this"	"group"	"about"	"of"	"about_this"	"this_group"	"group_of"	"noteworthy_about_this"	"about_this_group"	"this_group_of"	"group_of_teenager"	"JJ"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"about"	"this"	"large"	"group"	"of"	"teenager"	"be"	"that"	"although"	"their"	"attitude"	"hardly"	"differentiate"	"them"	"from"	"their"	"gentile"	"counterpart"	"they"	"actually"	"lead"	"their"	"life"	"in"	"a"	"vast"	"self-enclosed"	"jewish"	"cosmos"	"with"	"relatively"	"little"	"contact"	"with"	"the"	"non"	"jewish"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"old_woman"	","	","	",_a"	"a_old_woman"	"old_woman_,"	"there_,_a"	",_a_old_woman"	"a_old_woman_,"	"old_woman_,_smile"	"RB"	"ε"	"DT"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"stand"	"a"	"large"	"old_woman"	"smile"	"at"	"the"	"thing"	"she"	"would"	"say"	"to"	"him"	"in"	"the"	"morning"	"this"	"big"	"foolish"	"baby"	"of"	"a"	"son"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"and"	"city"	"dallas"	"get"	"dallas_and"	"and_city"	"city_get"	"help_dallas_and"	"dallas_and_city"	"and_city_get"	"city_get_money"	"VB"	"NN"	"CC"	"JJ"	"NN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"construe"	"this"	"as"	"a"	"veiled"	"by"	"person"	"to"	"help"	"dallas"	"and"	"large"	"city"	"get"	"money"	"which"	"person"	"feel"	"could"	"better"	"be"	"spend"	"provide"	"water"	"for"	"rural"	"texas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"in"	"part"	"due"	"to"	"due_in"	"in_part"	"part_to"	"be_due_in"	"due_in_part"	"in_part_to"	"part_to_their"	"VB"	"VB"	"IN"	"JJ"	"RB"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"explain"	"that"	"the"	"very"	"distinct"	"directional"	"in"	"the"	"phase"	"series"	"be"	"due"	"in"	"large"	"part"	"to"	"their"	"novel"	"method"	"of"	"microphoning"	"and"	"recording"	"the"	"music"	"on"	"a"	"number"	"of"	"tape"	"channel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"with"	","	"board"	"inept"	"board_with"	"with_,"	",_inept"	"a_board_with"	"board_with_,"	"with_,_inept"	",_inept_lettering"	"DT"	"NN"	"IN"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"door"	"a"	"board"	"with"	"large"	"inept"	"lettering"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"endothermic_reaction"	"and"	"at"	"and_a"	"a_endothermic_reaction"	"endothermic_reaction_at"	"c_and_a"	"and_a_endothermic_reaction"	"a_endothermic_reaction_at"	"endothermic_reaction_at_470"	"NN"	"CC"	"DT"	"JJ"	"NN"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"differential"	"thermal"	"analysis"	"show"	"a"	"very"	"endothermic_reaction"	"at"	"c"	"and"	"a"	"large"	"endothermic_reaction"	"at"	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"especially"	"anaconda"	"possible"	"will"	"possible_especially"	"especially_anaconda"	"anaconda_will"	"be_possible_especially"	"possible_especially_anaconda"	"especially_anaconda_will"	"anaconda_will_prove"	"VB"	"IN"	"RB"	"JJ"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"possible"	"especially"	"large"	"anaconda"	"will"	"prove"	"to"	"belong_to"	"subspecies"	"limit"	"to"	"a"	"small"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"compare"	"arc"	"with"	"arc_be"	"be_compare"	"compare_with"	"free_burning_arc_be"	"arc_be_compare"	"be_compare_with"	"compare_with_those"	"JJ"	"NN"	"VB"	"JJ"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"apparent"	"from"	"the"	"above"	"and"	"from"	"experimental"	"evidence"	"the"	"cooling"	"requirement"	"for"	"the"	"anode"	"of"	"free_burning"	"arc"	"be"	"large"	"compare"	"with"	"those"	"for"	"the"	"cathode"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"extent"	"to"	"empty"	"to_a"	"a_extent"	"extent_empty"	"have_to_a"	"to_a_extent"	"a_extent_empty"	"extent_empty_the"	"VB"	"VB"	"DT"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"progress"	"of"	"science"	"over"	"these"	"last"	"few"	"century"	"and"	"the"	"replacement"	"of"	"biblical"	"by"	"scientific"	"category"	"of"	"reality"	"have"	"to"	"a"	"large"	"extent"	"empty"	"the"	"spirit_world"	"of"	"the"	"entity"	"which"	"previously"	"populate"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"brass"	"position"	"figure"	"position_a"	"a_brass"	"brass_figure"	",_position_a"	"position_a_brass"	"a_brass_figure"	"brass_figure_of"	"ε"	"CC"	"DT"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first_of_all"	"the"	"six"	"figure"	"of"	"the"	"buddha"	"you"	"heist"	"four"	"siamese"	"head"	"black"	"obsidian"	"statuette"	"in"	"the"	"earth"	"touch"	"position"	"a"	"large"	"brass"	"figure"	"of"	"the"	"dying_buddha"	"on"	"a"	"teakwood"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"city"	"of"	"."	"of_a"	"a_city"	"city_."	"street_of_a"	"of_a_city"	"a_city_."	"city_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"think"	"that"	"we"	"are"	"here"	"also"	"talk_about"	"the"	"kind"	"of"	"fear"	"that"	"a"	"young"	"have"	"for"	"a"	"group"	"of"	"boy"	"who"	"are"	"approach"	"at"	"night"	"along"	"the"	"street"	"of"	"a"	"large"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
