"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"
"2:41:00::"	"were"	"yesterday"	"year"	"by"	"year_were"	"were_yesterday"	"yesterday_by"	"this_year_were"	"year_were_yesterday"	"were_yesterday_by"	"yesterday_by_their"	"DT"	"NN"	"VBD"	"VB"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fifteen"	"members"	"of"	"the"	"republican_state_committee"	"who"	"retire"	"voluntarily"	"this"	"year"	"were"	"honor"	"yesterday"	"by"	"their"	"colleagues"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"mrs._norman_chandler"	"beverly_hills"	","	"beverly_hills_to"	"to_mrs._norman_chandler"	"mrs._norman_chandler_,"	"in_beverly_hills_to"	"beverly_hills_to_mrs._norman_chandler"	"to_mrs._norman_chandler_,"	"mrs._norman_chandler_,_chairman"	"IN"	"NNP"	"TO"	"VB"	"NNP"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"and"	"mrs._joseph_r._bolker"	"will"	"give"	"a"	"dinner"	"friday"	"at"	"their"	"home"	"in"	"beverly_hills"	"to"	"honor"	"mrs._norman_chandler"	"chairman"	"of"	"the"	"music_center_building_fund_committee"	"and"	"mr._chandler"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"memorial_university"	"distinguished"	"at"	"sons"	"at_memorial_university"	"memorial_university_distinguished"	"distinguished_sons"	"ceremonies_at_memorial_university"	"at_memorial_university_distinguished"	"memorial_university_distinguished_sons"	"distinguished_sons_and"	"NNS"	"IN"	"NNP"	"VB"	"JJ"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hear"	"that"	"patricia_murphy"	"fly"	"up_to"	"st._john"	"newfoundland"	"next"	"sunday"	"attend"	"the"	"government"	"special"	"ceremonies"	"at"	"memorial_university"	"honor"	"distinguished"	"sons"	"and"	"daughters"	"of"	"the"	"island"	"province"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"at"	"will"	"a"	"will_be"	"be_at"	"at_a"	"mrs._george_treadwell_will_be"	"will_be_at"	"be_at_a"	"at_a_family_week"	"NNP"	"MD"	"VB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"and"	"will"	"be"	"honor"	"at"	"a"	"family_week"	"supper"	"and"	"program"	"at"	"p."	"m._sunday"	"at"	"trinity"	"methodist_church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"on"	"will"	"the"	"will_be"	"be_on"	"on_the"	"mr._sorrentino_will_be"	"will_be_on"	"be_on_the"	"on_the_evening"	"NNP"	"MD"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._sorrentino"	"be"	"honor"	"on"	"the"	"evening"	"of"	"dec."	"at"	"a"	"dinner"	"to"	"be"	"give"	"by"	"the"	"aurora_club"	"at"	"the"	"sheraton-biltmore_hotel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"highest"	"the"	"her"	"art"	"her_highest"	"highest_the"	"the_art"	",_her_highest"	"her_highest_the"	"highest_the_art"	"the_art_of"	"ε"	"PRP$"	"JJ"	"NN"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"more"	"like"	"person"	"the"	"eldest"	"person"	"girl"	"who"	"learn"	"that"	"woman"	"happy"	"kingdom"	"be"	"home"	"her"	"highest"	"honor"	"the"	"art"	"of"	"rule"	"it"	"not"	"as"	"a"	"queen"	"but"	"a"	"wise"	"wife"	"and"	"mother"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"his"	"person"	"70th"	"person_to"	"to_his"	"his_70th"	"write_about_person_to"	"person_to_his"	"to_his_70th"	"his_70th_anniversary"	"VB"	"NNP"	"TO"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"possible"	"invitation"	"write_about"	"person"	"to"	"honor"	"his"	"anniversary"	"for"	"the"	"april"	"issue"	"of"	"sovietskaya_muzyka"	"is"	"accept"	"with"	"pleasure"	"because"	"i"	"admire"	"the"	"music"	"of"	"person"	"and"	"with"	"sober"	"purpose"	"because"	"the"	"development"	"of"	"person"	"personify"	"in"	"many"	"way"	"the"	"course"	"of"	"music"	"in"	"the"	"union_of_soviet_socialist_republics"	
"2:41:00::"	"they"	"the"	"∅"	"battle"	"∅_they"	"they_the"	"the_battle"	"∅_∅_they"	"∅_they_the"	"they_the_battle"	"the_battle_group"	"ε"	"ε"	"PRP"	"VB"	"DT"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"honor"	"the"	"battle"	"group"	"last"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"most-valuable"	"were"	"the"	"introduce"	"the_most-valuable"	"most-valuable_were"	"were_introduce"	"share_the_most-valuable"	"the_most-valuable_were"	"most-valuable_were_introduce"	"were_introduce_by"	"VB"	"DT"	"JJ"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"trio"	"share"	"the"	"most-valuable"	"honor"	"were"	"introduce"	"by"	"person"	"sports_editor"	"of"	"the"	"post-dispatch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"those"	"at"	"among"	"the"	"among_those"	"those_at"	"at_the"	"be_among_those"	"among_those_at"	"those_at_the"	"at_the_national"	"VB"	"IN"	"DT"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"be"	"among"	"those"	"honor"	"at"	"the"	"national"	"award"	"dinner"	"of"	"the"	"group"	"tonight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"more"	"to"	"owe"	"person"	"owe_more"	"more_to"	"to_person"	"people_owe_more"	"owe_more_to"	"more_to_person"	"to_person_for"	"NN"	"VB"	"JJ"	"NN"	"TO"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"her"	"letter"	"to"	"person"	"person"	"the"	"quakeress"	"from"	"newport"	"had"	"that"	"the"	"american"	"people"	"owe"	"more"	"honor"	"to"	"person"	"for"	"seek"	"to"	"free"	"the"	"slave"	"than"	"they"	"did"	"to"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"."	"fail"	"∅"	"fail_to"	"to_."	"._∅"	"never_fail_to"	"fail_to_."	"to_._∅"	"._∅_∅"	"RB"	"VB"	"TO"	"VB"	"ε"	"ε"	"ε"	"while"	"we"	"most"	"decidedly"	"disapprove"	"the"	"method"	"he"	"adopt"	"to"	"accomplish"	"his"	"object"	"yet"	"in"	"his"	"willingness"	"to"	"die"	"in"	"aid"	"of"	"the"	"great"	"cause"	"of"	"human"	"freedom"	"we"	"still"	"recognize"	"the"	"quality"	"of"	"a"	"noble"	"nature"	"and"	"the"	"exercise"	"of"	"a"	"spirit"	"which"	"true"	"man"	"have"	"always"	"admire"	"and"	"which"	"history"	"fail"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
