"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"2:41:00::"	"it"	"maurice_f._tougas"	"when"	"as"	"when_it"	"it_maurice_f._tougas"	"maurice_f._tougas_as"	"err_when_it"	"when_it_maurice_f._tougas"	"it_maurice_f._tougas_as"	"maurice_f._tougas_as_coordinator"	"VB"	"WRB"	"PRP"	"VB"	"NNP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"its"	"ruling"	"the"	"state"	"board_of_education"	"uphold"	"dr._michael_f._walsh"	"state"	"commissioner"	"of"	"education"	"had"	"rule"	"previously"	"that"	"the"	"warwick"	"board"	"err"	"when"	"it"	"name"	"maurice_f._tougas"	"as"	"coordinator"	"of"	"audio-visual"	"education"	"without"	"first"	"find"	"that"	"the"	"school_superintendent"	"candidate"	"be"	"not"	"suitable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"was"	"chairman"	"judge_john_b._molinari"	"of"	"judge_john_b._molinari_was"	"was_chairman"	"chairman_of"	"∅_judge_john_b._molinari_was"	"judge_john_b._molinari_was_chairman"	"was_chairman_of"	"chairman_of_the"	"ε"	"NNP"	"VBD"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"name"	"chairman"	"of"	"the"	"executive"	"committee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"mean"	"-"	"one"	"-_the"	"the_mean"	"mean_one"	"person_-_the"	"-_the_mean"	"the_mean_one"	"mean_one_who"	"NNP"	"ε"	"DT"	"NN"	"VB"	"NN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"name"	"mean"	"one"	"who"	"have"	"a"	"boun"	"a"	"celebration"	"and"	"be"	"therefore"	"lucky"	"be"	"born"	"in"	"location"	"the"	"border"	"of"	"paradise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"of"	"by"	"the"	"by_the"	"the_of"	"of_the"	"known_by_the"	"by_the_of"	"the_of_the"	"of_the_foreign"	"JJ"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"hereby"	"create"	"in"	"the"	"treasury"	"of"	"the"	"united_states"	"a"	"special"	"fund"	"to"	"be"	"known"	"as"	"the"	"yugoslav_claims_fund"	"and"	"such"	"special"	"fund"	"as"	"may"	"in"	"the"	"discretion"	"of"	"the"	"secretary_of_the_treasury"	"be"	"required"	"each"	"to"	"a"	"claim"	"fund"	"to"	"be"	"known"	"by"	"the"	"of"	"the"	"foreign"	"government"	"which"	"has"	"enter"	"into"	"a"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"describe"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"her"	"-"	"be"	"had"	"be_her"	"her_-"	"-_had"	"person_be_her"	"be_her_-"	"her_-_had"	"-_had_previously"	"NNP"	"VB"	"PRP$"	"NN"	"ε"	"VBD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"lovely"	"caller"	"be"	"her"	"name"	"had"	"previously"	"do"	"three"	"filmed"	"commercial"	"for"	"zing"	"and"	"this_evening"	"the"	"fourth"	"a"	"super"	"production"	"had"	"been"	"film"	"at"	"the"	"home"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"of"	"by"	"location"	"by_the"	"the_of"	"of_location"	"suburb_by_the"	"by_the_of"	"the_of_location"	"of_location_,"	"NN"	"IN"	"DT"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"ireland"	"location"	"near"	"the"	"location"	"there"	"be"	"quiet"	"little"	"suburb"	"by"	"the"	"name"	"of"	"location"	"which"	"mean"	"garden"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"repeat"	","	"over_and_over"	",_the"	"the_repeat"	"repeat_over_and_over"	"god_,_the"	",_the_repeat"	"the_repeat_over_and_over"	"repeat_over_and_over_,"	"NN"	"ε"	"DT"	"NN"	"VB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"god"	"name"	"repeat"	"over_and_over"	"anybody"	"to"	"hear"	"not"	"be"	"a"	"fool"	"person"	"know"	"why"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::;2:40:00::"	"could"	"instance"	"they"	"where"	"they_could"	"could_instance"	"instance_where"	"if_they_could"	"they_could_instance"	"could_instance_where"	"instance_where_the"	"IN"	"PRP"	"MD"	"VB"	"NN"	"WRB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"was"	"have"	"lunch"	"not_long"	"ago"	"apology"	"to"	"person"	"with"	"three"	"distinguished"	"historian"	"one"	"specialize"	"in"	"the"	"european"	"middle_ages"	"one"	"in"	"american"	"history"	"and"	"one"	"in"	"the"	"far_east"	"i"	"ask"	"them"	"if"	"they"	"could"	"name"	"instance"	"where"	"the"	"general"	"mores"	"had"	"been"	"radically"	"change"	"with"	"deliberate"	"speed"	"majestic"	"instancy"	"person"	"words"	"for"	"the"	"hound_of_heaven"	"pursuit"	"by"	"judicial"	"fiat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"largely"	"list"	"unknown"	"list_of"	"of_largely"	"largely_unknown"	"a_list_of"	"list_of_largely"	"of_largely_unknown"	"largely_unknown_to"	"DT"	"NN"	"IN"	"NN"	"RB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"go_on"	"to"	"personal"	"a"	"list"	"of"	"name"	"largely"	"unknown"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"your"	"."	"find"	"∅"	"find_your"	"your_."	"._∅"	"not_find_your"	"find_your_."	"your_._∅"	"._∅_∅"	"RB"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"person"	"i"	"did"	"find"	"your"	"name"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:07::"	"and"	"an"	"bill"	"amount"	"bill_and"	"and_an"	"an_amount"	"the_bill_and"	"bill_and_an"	"and_an_amount"	"an_amount_it"	"DT"	"NN"	"CC"	"VB"	"DT"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"run_through"	"bill"	"and"	"name"	"an"	"amount"	"it"	"be"	"highly"	"unlikely"	"any"	"cowpuncher"	"would"	"come_by"	"honestly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	":"	"∅"	"person"	"∅_the"	"the_:"	":_person"	"∅_∅_the"	"∅_the_:"	"the_:_person"	":_person_."	"ε"	"ε"	"DT"	"NN"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"name"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"chemical"	"is"	"'s"	"list"	"'s_chemical"	"chemical_is"	"is_list"	"drug_'s_chemical"	"'s_chemical_is"	"chemical_is_list"	"is_list_,"	"NN"	"POS"	"JJ"	"NN"	"VBZ"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"chemical"	"name"	"is"	"list"	"since"	"most"	"state"	"require"	"feed"	"processor"	"to"	"use"	"this"	"name"	"instead"	"of"	"the"	"trade_name"	"on"	"the"	"feed"	"tag"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"this"	"instead"	"use"	"of"	"use_this"	"this_instead"	"instead_of"	"to_use_this"	"use_this_instead"	"this_instead_of"	"instead_of_the"	"TO"	"VB"	"DT"	"NN"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"drug"	"chemical"	"name"	"is"	"list"	"since"	"most"	"require"	"feed"	"processor"	"to"	"use"	"this"	"name"	"instead"	"of"	"the"	"trade_name"	"on"	"the"	"feed"	"tag"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
