"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"1:09:00::"	"higher"	","	"possibility"	"of"	"possibility_higher"	"higher_,"	",_of"	",_possibility_higher"	"possibility_higher_,"	"higher_,_of"	",_of_experience"	"ε"	"IN"	"JJ"	"NN"	"ε"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"also"	"possibility"	"higher"	"religion"	"of"	"experience"	"consistent"	"meaning"	"in"	"life"	"and"	"enjoy"	"guidance"	"and"	"expansiveness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"that"	"bind"	"at_the_same_time"	"the"	"at_the_same_time_that"	"that_bind"	"bind_the"	"∅_at_the_same_time_that"	"at_the_same_time_that_bind"	"that_bind_the"	"bind_the_individual"	"ε"	"JJ"	"IN"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"religion"	"bind"	"the"	"individual"	"helpfully"	"to"	"the"	"supernatural"	"and"	"give"	"him"	"cosmic"	"peace"	"and"	"a"	"sense"	"of"	"supreme"	"fulfillment"	"it"	"also"	"have"	"great"	"therapeutic"	"value"	"for"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	","	"undertake"	"function"	"in"	"function_,"	",_undertake"	"undertake_in"	"individual_function_,"	"function_,_undertake"	",_undertake_in"	"undertake_in_behalf"	"JJ"	"NN"	"ε"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"provide"	"for"	"inner"	"individual"	"function"	"religion"	"undertake"	"in"	"behalf"	"of"	"individual"	"peace_of_mind"	"and"	"well-being"	"service"	"for"	"which"	"there"	"be"	"no"	"institution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"of"	"within"	"function"	"man"	"function_of"	"of_within"	"within_man"	"the_function_of"	"function_of_within"	"of_within_man"	"within_man_,"	"DT"	"NN"	"IN"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"function"	"of"	"religion"	"within"	"man"	"there"	"have"	"always"	"be"	"the"	"outer"	"social"	"function"	"for"	"the"	"community"	"and"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"∅"	"integrate"	"∅"	"and"	"∅_∅"	"∅_integrate"	"integrate_and"	"∅_∅_∅"	"∅_∅_integrate"	"∅_integrate_and"	"integrate_and_unify"	"ε"	"ε"	"ε"	"NN"	"VB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"integrate"	"and"	"unify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"that"	"as"	"long_ago"	"``"	"long_ago_that"	"that_as"	"as_``"	"note_long_ago_that"	"long_ago_that_as"	"that_as_``"	"as_``_a"	"VB"	"RB"	"RB"	"NN"	"IN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"long_ago"	"that"	"religion"	"as"	"a"	"unified"	"system"	"of"	"belief"	"and"	"practice"	"relative"	"to"	"sacred"	"thing"	"unite"	"s"	"into"	"one"	"single"	"moral"	"community"	"all"	"those"	"who"	"adhere"	"to"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"of"	"is"	"effect"	"also"	"effect_of"	"of_is"	"is_also"	"unify_effect_of"	"effect_of_is"	"of_is_also"	"is_also_bring_out"	"VB"	"NN"	"IN"	"NN"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"effect"	"of"	"religion"	"is"	"also"	"bring_out"	"in"	"the"	"fact"	"that"	"historically"	"people"	"have"	"cling"	"together"	"as"	"more_or_less"	"cohesive"	"cultural"	"unit"	"with"	"religion"	"as"	"the"	"dominant"	"bond"	"even"	"though"	"spatially"	"dispersed"	"and"	"not"	"politically"	"organized"	
"1:09:00::"	"with"	"as"	","	"the"	",_with"	"with_as"	"as_the"	"unit_,_with"	",_with_as"	"with_as_the"	"as_the_dominant"	"NN"	"ε"	"RB"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"unify"	"effect"	"of"	"religion"	"is"	"also"	"bring_out"	"in"	"the"	"fact"	"historically"	"people"	"have"	"cling"	"together"	"as"	"more_or_less"	"cohesive"	"cultural"	"unit"	"with"	"religion"	"as"	"the"	"dominant"	"bond"	"even"	"though"	"spatially"	"dispersed"	"and"	"not"	"politically"	"organized"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"∅"	"usually"	"∅"	"exercise"	"∅_∅"	"∅_usually"	"usually_exercise"	"∅_∅_∅"	"∅_∅_usually"	"∅_usually_exercise"	"usually_exercise_a"	"ε"	"ε"	"ε"	"NN"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"usually"	"exercise"	"a"	"stabilizing"	"conserving"	"function"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"that"	"exercise"	"at_the_same_time"	"a"	"at_the_same_time_that"	"that_exercise"	"exercise_a"	"∅_at_the_same_time_that"	"at_the_same_time_that_exercise"	"that_exercise_a"	"exercise_a_conserving"	"ε"	"RB"	"IN"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"religion"	"exercise"	"a"	"conserving"	"influence"	"it"	"also"	"energize"	"and"	"motivate"	"both"	"individual"	"and"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"∅"	"usually"	"∅"	"act_as"	"∅_∅"	"∅_usually"	"usually_act_as"	"∅_∅_∅"	"∅_∅_usually"	"∅_usually_act_as"	"usually_act_as_a"	"ε"	"ε"	"ε"	"NN"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"usually"	"act_as"	"a"	"powerful"	"aid"	"in"	"social_control"	"enforce"	"what"	"man"	"should"	"or"	"should"	"not"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"of"	"or"	"path"	"a"	"path_of"	"of_or"	"or_a"	"a_path_of"	"path_of_or"	"of_or_a"	"or_a_path"	"DT"	"NN"	"IN"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"do"	"not"	"care"	"if"	"your"	"take"	"you"	"along"	"a"	"path"	"of"	"religion"	"or"	"a"	"path"	"of"	"labor"	"or"	"a"	"path"	"of"	"activism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
