"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"
"3:01:00::"	","	","	"political"	"economic"	"political_,"	",_,"	",_economic"	"-_political_,"	"political_,_,"	",_,_economic"	",_economic_,"	"ε"	"JJ"	"ε"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"problem"	"in"	"the"	"policy"	"officer"	"mind"	"thus"	"begin"	"to"	"as"	"a"	"galaxy"	"of"	"utterly"	"complicated"	"factor"	"political"	"military"	"economic"	"financial"	"legal"	"legislative"	"procedural"	"administrative"	"to"	"be"	"sort_out"	"and"	"handle"	"within"	"a"	"political_system"	"which"	"move"	"by"	"consent"	"in_relation_to"	"an"	"external"	"environment"	"which"	"cannot"	"be"	"under_control"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"∅"	"or"	"∅"	"naval"	"∅_∅"	"∅_or"	"or_naval"	"∅_∅_∅"	"∅_∅_or"	"∅_or_naval"	"or_naval_personnel"	"ε"	"ε"	"ε"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"or"	"naval"	"personnel"	"on_duty"	"in"	"alaska"	"or"	"outside"	"the"	"united_states"	"and"	"puerto_rico"	"are"	"also"	"allow"	"this"	"automatic"	"extension"	"of"	"time"	"for"	"file"	"their"	"return"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"for"	"electronics"	"go"	"."	"go_for"	"for_electronics"	"electronics_."	"expenditure_go_for"	"go_for_electronics"	"for_electronics_."	"electronics_._∅"	"NN"	"VB"	"VB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"taxpayer"	"be"	"well"	"aware"	"of"	"the"	"vast"	"size"	"of"	"our"	"annual"	"defense"	"budget"	"most"	"of"	"our"	"reader"	"also"	"realize"	"that"	"a"	"large"	"portion"	"of"	"these"	"expenditure"	"go"	"for"	"military"	"electronics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"for"	"communication"	"network"	"be"	"network_for"	"for_communication"	"communication_be"	"the_network_for"	"network_for_communication"	"for_communication_be"	"communication_be_one"	"DT"	"NN"	"IN"	"JJ"	"NN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"for"	"military"	"communication"	"be"	"one"	"of"	"the"	"best"	"example"	"of"	"network"	"which"	"not_only"	"must"	"be"	"change"	"with"	"the"	"change"	"in"	"objective"	"but"	"also"	"must"	"be"	"change"	"with"	"the"	"addition"	"of"	"new"	"machine"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	","	"organization"	"cocktail_party"	","	"cocktail_party_,"	",_organization"	"organization_,"	"to_cocktail_party_,"	"cocktail_party_,_organization"	",_organization_,"	"organization_,_even"	"TO"	"NN"	"ε"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"contrast"	"cocktail_party"	"military"	"organization"	"even"	"in"	"the"	"field"	"be"	"more"	"formal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"some"	"problem"	"are"	"of"	"are_some"	"some_problem"	"problem_of"	"here_are_some"	"are_some_problem"	"some_problem_of"	"problem_of_modern_times"	"RB"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"discuss"	"are"	"some"	"military"	"problem"	"of"	"modern_times"	"such_as"	"undersea"	"warfare"	"where"	"the"	"surveillance"	"sending"	"transmitting"	"and"	"receiving"	"be"	"all"	"so"	"inadequate"	"that"	"network"	"and"	"decision_making"	"be"	"not"	"the"	"bottleneck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"effectiveness"	"reduce"	"of"	"reduce_the"	"the_effectiveness"	"effectiveness_of"	"or_reduce_the"	"reduce_the_effectiveness"	"the_effectiveness_of"	"effectiveness_of_man"	"CC"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"biological_warfare"	"be"	"the"	"intentional"	"use"	"of"	"living"	"microorganism"	"or"	"toxic"	"product"	"for"	"the"	"purpose"	"of"	"destroy"	"or"	"reduce"	"the"	"military"	"effectiveness"	"of"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"specified"	"purpose"	"a"	"might"	"a_specified"	"specified_purpose"	"purpose_might"	"for_a_specified"	"a_specified_purpose"	"specified_purpose_might"	"purpose_might_be"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"broad"	"spectrum"	"of"	"from"	"which"	"selection"	"for"	"a"	"specified"	"military"	"purpose"	"might"	"be"	"make"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"overt"	"delivery"	"possibility"	"of"	"possibility_overt"	"overt_delivery"	"delivery_of"	"the_possibility_overt"	"possibility_overt_delivery"	"overt_delivery_of"	"delivery_of_biological"	"DT"	"IN"	"JJ"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"defensive"	"problem"	"concerned"	"with"	"the"	"possibility"	"overt"	"military"	"delivery"	"of"	"biological"	"agent"	"from"	"appropriate"	"disseminating"	"device"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"'s"	"training_program"	"group"	"and"	"group_'s"	"'s_training_program"	"training_program_and"	"the_group_'s"	"group_'s_training_program"	"'s_training_program_and"	"training_program_and_be"	"DT"	"NNP"	"POS"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"flavor"	"of"	"baltimore"	"group"	"news"	"ripen"	"considerably"	"late"	"today"	"when"	"the"	"were"	"advise"	"that"	"person"	"has"	"fulfill"	"his"	"obligation"	"under"	"the"	"group"	"military"	"training_program"	"and"	"be"	"ready"	"for"	"belated"	"spring_training"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"wintertime"	"course"	"accelerated"	","	"accelerated_wintertime"	"wintertime_course"	"course_,"	"'s_accelerated_wintertime"	"accelerated_wintertime_course"	"wintertime_course_,"	"course_,_also"	"POS"	"JJ"	"NN"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pitcher"	"person"	"join"	"the"	"club"	"one"	"week"	"ago"	"complete"	"his"	"hitch"	"under"	"the"	"group"	"accelerated"	"wintertime"	"military"	"course"	"also"	"at"	"location"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
