"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:06:00::"	"part-time"	"."	"a"	"∅"	"a_part-time"	"part-time_."	"._∅"	"select_a_part-time"	"a_part-time_."	"part-time_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"discuss"	"below"	"be"	"some"	"of"	"the"	"main"	"to"	"look_for"	"when"	"you"	"select"	"a"	"part-time"	"farm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"should"	"obviously"	"be"	"obviously_the"	"the_should"	"should_be"	"∅_obviously_the"	"obviously_the_should"	"the_should_be"	"should_be_on"	"ε"	"RB"	"DT"	"NN"	"MD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"farm"	"should"	"be"	"on"	"an"	"all"	"weather"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"in"	"look_for"	"a"	"look_for_a"	"a_in"	"in_a"	"∅_look_for_a"	"look_for_a_in"	"a_in_a"	"in_a_neighborhood"	"ε"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"farm"	"in"	"a"	"neighborhood"	"of"	"well-kept"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"part-time"	"you"	"any"	"are"	"any_part-time"	"part-time_you"	"you_are"	"on_any_part-time"	"any_part-time_you"	"part-time_you_are"	"you_are_consider"	"IN"	"DT"	"JJ"	"NN"	"PRP"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"will"	"the"	"on"	"any"	"part-time"	"farm"	"you"	"are"	"consider"	"make"	"a"	"satisfactory"	"full-time"	"residence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"earnings_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"next"	"estimate"	"the"	"value"	"earnings"	"of"	"the"	"farm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"net"	"income"	"estimated"	","	"estimated_net"	"net_income"	"income_,"	"find_estimated_net"	"estimated_net_income"	"net_income_,"	"income_,_subtract"	"VB"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"estimated"	"net"	"farm"	"income"	"subtract"	"estimated"	"annual"	"farming"	"expenditure"	"from"	"probable"	"gross"	"income"	"from"	"farming"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"in_terms_of"	"of"	"investment"	"of_the"	"the_in_terms_of"	"in_terms_of_investment"	"value_of_the"	"of_the_in_terms_of"	"the_in_terms_of_investment"	"in_terms_of_investment_income"	"NN"	"IN"	"DT"	"NN"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"figure"	"value"	"of"	"the"	"farm"	"in_terms_of"	"investment"	"income"	"divide"	"the"	"estimated"	"annual"	"net"	"farm"	"income"	"by"	"the"	"percentage"	"that"	"you"	"could"	"expect"	"to"	"get"	"in"	"interest"	"if"	"the"	"money"	"were"	"invest"	"in"	"some"	"way"	
"1:06:00::"	"net"	"income"	"annual"	"by"	"annual_net"	"net_income"	"income_by"	"estimated_annual_net"	"annual_net_income"	"net_income_by"	"income_by_the"	"JJ"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"figure"	"the"	"value"	"of"	"the"	"farm"	"investment"	"income"	"divide"	"the"	"estimated"	"annual"	"net"	"farm"	"income"	"by"	"the"	"percentage"	"that"	"you"	"could"	"expect"	"to"	"get"	"in"	"interest"	"if"	"the"	"money"	"were"	"invest"	"in"	"some"	"way"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"scene"	"on"	"-"	"on_a"	"a_scene"	"scene_-"	"rise_on_a"	"on_a_scene"	"a_scene_-"	"scene_-_the"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"a"	"busy"	"overture"	"the"	"rise"	"on"	"a"	"farm"	"scene"	"the"	"location"	"in"	"northern"	"maine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"of"	"and"	"their"	"and_a"	"a_of"	"of_their"	"house_and_a"	"and_a_of"	"a_of_their"	"of_their_own"	"NN"	"CC"	"DT"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"room"	"for"	"company"	"in"	"the"	"tiny"	"weaning_house"	"where"	"the"	"person"	"boy"	"always"	"take"	"bride"	"till"	"they"	"could"	"get"	"house"	"and"	"a"	"farm"	"of"	"their"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"market"	"product"	"and"	","	"and_market"	"market_product"	"product_,"	"process_and_market"	"and_market_product"	"market_product_,"	"product_,_purchase"	"VB"	"CC"	"VB"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"be"	"eligible"	"to"	"borrow"	"from"	"group"	"a"	"cooperative"	"must"	"be"	"an"	"association"	"in"	"farmer"	"act"	"together"	"in"	"process"	"and"	"market"	"farm"	"product"	"purchase"	"farm"	"supply"	"or"	"furnish"	"farm"	"business"	"services"	"and"	"must"	"meet"	"the"	"requirement"	"set_forth"	"in"	"the"	"farm_credit_act_of_1933"	"as"	"amend"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"purchase"	"supply"	","	","	",_purchase"	"purchase_supply"	"supply_,"	"product_,_purchase"	",_purchase_supply"	"purchase_supply_,"	"supply_,_or"	"NN"	"ε"	"VB"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"be"	"eligible"	"to"	"borrow"	"from"	"a"	"group"	"a"	"cooperative"	"must"	"be"	"an"	"association"	"in"	"which"	"farmer"	"act"	"together"	"in"	"process"	"and"	"farm"	"product"	"purchase"	"farm"	"supply"	"or"	"furnish"	"farm"	"business"	"services"	"and"	"must"	"meet"	"the"	"requirement"	"set_forth"	"in"	"the"	"farm_credit_act_of_1933"	"as"	"amend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"furnish"	"business"	"or"	"services"	"or_furnish"	"furnish_business"	"business_services"	",_or_furnish"	"or_furnish_business"	"furnish_business_services"	"business_services_,"	"ε"	"CC"	"VB"	"NN"	"NN"	"NN"	"ε"	"eligible"	"to"	"borrow"	"from"	"a"	"group"	"a"	"cooperative"	"must"	"be"	"an"	"association"	"in"	"which"	"farmer"	"act"	"together"	"in"	"process"	"and"	"market"	"farm"	"product"	"purchase"	"farm"	"supply"	"or"	"furnish"	"business"	"services"	"and"	"must"	"meet"	"the"	"requirement"	"set_forth"	"in"	"the"	"farm_credit_act_of_1933"	"as"	"amend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
