"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"1:04:00::"	"new"	"of"	"a"	"day"	"a_new"	"new_of"	"of_day"	"thus_a_new"	"a_new_of"	"new_of_day"	"of_day_begin"	"RB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thus"	"new"	"pattern"	"of"	"day"	"begin"	"to"	"develop"	"for"	"person"	"did"	"not"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"was"	"so"	"establish"	"so_the"	"the_was"	"was_establish"	"∅_so_the"	"so_the_was"	"the_was_establish"	"was_establish_."	"ε"	"RB"	"DT"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"pattern"	"was"	"establish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"traditional"	"of"	"the"	"english"	"the_traditional"	"traditional_of"	"of_english"	"upset_the_traditional"	"the_traditional_of"	"traditional_of_english"	"of_english_religious"	"VB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"the"	"crowning"	"event"	"that"	"dramatically"	"upset"	"the"	"traditional"	"pattern"	"of"	"english"	"religious"	"history"	"be"	"the"	"friendly"	"visit"	"pay"	"by"	"person"	"then"	"anglican"	"archbishop"	"of"	"location"	"to"	"the"	"vatican"	"last"	"december"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"religious"	"into"	"and"	"late"	"and_religious"	"religious_into"	"into_late"	",_and_religious"	"and_religious_into"	"religious_into_late"	"into_late_age"	"ε"	"CC"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"the"	"same"	"conclusion"	"can"	"be"	"draw"	"from"	"the"	"physical"	"evidence"	"of"	"the"	"dark_ages"	"from"	"linguistic"	"distribution"	"and"	"from"	"the"	"survival"	"of"	"early"	"social"	"political"	"and"	"religious"	"into"	"late"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"and"	","	"flow"	",_the"	"the_and"	"and_flow"	"true_,_the"	",_the_and"	"the_and_flow"	"and_flow_of"	"RB"	"ε"	"DT"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"true"	"pattern"	"and"	"flow"	"of"	"the"	"drama"	"have"	"strong"	"literary"	"quality"	"that"	"be"	"a_bit"	"wearisome"	"in"	"the"	"first_half"	"before"	"don_quixote"	"go"	"to"	"the"	"duke"	"court"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	":"	"fall_into"	"``"	"fall_into_a"	"a_:"	":_``"	"word_fall_into_a"	"fall_into_a_:"	"a_:_``"	":_``_person"	"NN"	"VB"	"DT"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"the"	"fall_into"	"a"	"pattern"	"person"	"is"	"scratch"	"her"	"nose"	"scratch"	"her"	"nose"	"in"	"the"	"rain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"would"	"∅"	"not"	"∅_the"	"the_would"	"would_not"	"∅_∅_the"	"∅_the_would"	"the_would_not"	"would_not_stop"	"ε"	"ε"	"DT"	"NN"	"MD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pattern"	"would"	"not"	"stop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"x-ray_diffraction"	"of"	"the"	"the"	"the_x-ray_diffraction"	"x-ray_diffraction_of"	"of_the"	"∅_the_x-ray_diffraction"	"the_x-ray_diffraction_of"	"x-ray_diffraction_of_the"	"of_the_material"	"ε"	"DT"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"x-ray_diffraction"	"pattern"	"of"	"the"	"material"	"take"	"with"	"cukla"	"radiation"	"indicate"	"the"	"presence"	"of"	"no"	"extra"	"line"	"and"	"be"	"in"	"good"	"agreement"	"with"	"the"	"pattern"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"the"	"of"	"with"	"person"	"with_the"	"the_of"	"of_person"	"agreement_with_the"	"with_the_of"	"the_of_person"	"of_person_."	"NN"	"IN"	"DT"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"x-ray_diffraction"	"pattern"	"of"	"the"	"material"	"take"	"with"	"cukla"	"radiation"	"indicate"	"the"	"presence"	"of"	"no"	"extra"	"line"	"and"	"be"	"good"	"agreement"	"with"	"the"	"pattern"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"exact"	"of"	"the"	"a"	"the_exact"	"exact_of"	"of_a"	"as_the_exact"	"the_exact_of"	"exact_of_a"	"of_a_previous"	"RB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"a"	"man"	"recognize"	"certain"	"experience"	"as"	"the"	"exact"	"pattern"	"of"	"a"	"previous"	"dream"	"we"	"have"	"an"	"instance"	"of"	"deja_vu"	"except"	"for"	"the"	"fact"	"that"	"he"	"know"	"just"	"why"	"the"	"experience"	"seem"	"familiar"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"exact"	"of"	"the"	"a"	"the_exact"	"exact_of"	"of_a"	"as_the_exact"	"the_exact_of"	"exact_of_a"	"of_a_previous"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"day"	"person"	"come_upon"	"with"	"a"	"friend"	"upon"	"event"	"which"	"he"	"recognize"	"as"	"the"	"exact"	"pattern"	"of"	"a"	"previous"	"dream"	"detail"	"the"	"ensuing"	"occurrence"	"in_advance"	"so"	"accurately"	"that"	"his"	"companion"	"was"	"completely"	"mystify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"irregular"	"of"	"the"	"the"	"the_irregular"	"irregular_of"	"of_the"	"to_the_irregular"	"the_irregular_of"	"irregular_of_the"	"of_the_rough"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"one"	"day"	"when"	"he"	"attend"	"a"	"war"	"memorial"	"ceremony"	"in"	"group"	"his"	"view"	"was"	"obstruct"	"by"	"a"	"stout"	"man"	"on"	"his"	"left"	"his"	"attention"	"turn"	"to"	"irregular"	"pattern"	"of"	"the"	"rough"	"slab"	"flooring"	"and"	"someone"	"clasp"	"him"	"by"	"the"	"arm"	"whisper"	"i"	"want"	"a"	"word"	"with"	"you"	"please"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"because"	"keep"	"behave"	"shift"	"behave_because"	"because_keep"	"keep_shift"	"girl_behave_because"	"behave_because_keep"	"because_keep_shift"	"keep_shift_-"	"NN"	"VB"	"IN"	"NN"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"could"	"n't"	"reconstruct"	"the"	"crime"	"the"	"way"	"the"	"girl"	"behave"	"because"	"pattern"	"keep"	"shift"	"abc"	"vs"	"d"	"then"	"bcd"	"vs"	"a"	"or"	"ab"	"vs"	"cd"	"or"	"ad"	"vs"	"cb"	"through"	"all"	"way"	"that"	"four"	"woman"	"can"	"gang_up"	"on"	"each"	
"1:09:00::"	"the"	"know"	"follow"	"from"	"follow_the"	"the_know"	"know_from"	"procedure_follow_the"	"follow_the_know"	"the_know_from"	"know_from_the"	"NN"	"VB"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"assume"	"that"	"the"	"shift"	"in"	"autonomic"	"hypothalamic"	"balance"	"occur"	"spontaneously"	"in"	"neuropsychiatric"	"patient"	"from"	"the"	"of"	"certain"	"therapeutic"	"procedure"	"follow"	"the"	"pattern"	"know"	"from"	"the"	"sleep"	"wakefulness"	"cycle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
