"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:28:00::"	"the"	"of"	"during"	"1891"	"during_the"	"the_of"	"of_1891"	"serious_during_the"	"during_the_of"	"the_of_1891"	"of_1891_,"	"JJ"	"IN"	"DT"	"NN"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cattle"	"steal"	"and"	"killing"	"serious"	"during"	"the"	"spring"	"of"	"place"	"the"	"land_grant"	"company"	"officer"	"in"	"a"	"perplexing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	";"	"in"	"there"	"in_the"	"the_;"	";_there"	"catkin_in_the"	"in_the_;"	"the_;_there"	";_there_be"	"NN"	"IN"	"DT"	"NN"	"ε"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"let"	"us"	"return"	"after"	"this"	"gruesome"	"to"	"our"	"willow"	"catkin"	"in"	"the"	"spring"	"there"	"be"	"wild"	"bee"	"that"	"command"	"our"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"straight"	"exhibition"	"sixth"	"decision"	"sixth_straight"	"straight_exhibition"	"exhibition_decision"	"their_sixth_straight"	"sixth_straight_exhibition"	"straight_exhibition_decision"	"exhibition_decision_,"	"PRP$"	"JJ"	"JJ"	"NN"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"tonight"	"retain"	"the"	"distinction"	"of"	"be"	"the"	"only"	"team"	"among"	"the"	"eighteen"	"major-league_club"	"as"	"they"	"drop"	"their"	"sixth"	"straight"	"spring"	"exhibition"	"decision"	"this"	"one"	"to"	"the"	"kansas_city"	"group"	"by"	"a"	"score"	"of"	"to"	
"1:28:00::"	"the"	","	"of"	"work"	"of_the"	"the_,"	",_work"	"team_of_the"	"of_the_,"	"the_,_work"	",_work_person"	"NN"	"IN"	"DT"	"NN"	"ε"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"perform"	"in"	"right"	"as"	"the"	"field"	"possibly"	"strong"	"team"	"of"	"the"	"spring"	"work"	"person"	"for"	"a"	"base_on_balls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"'"	"squad"	"group"	"at"	"group_'"	"'_squad"	"squad_at"	"the_group_'"	"group_'_squad"	"'_squad_at"	"squad_at_49"	"NN"	"NNP"	"ε"	"NN"	"NN"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"who"	"slug"	"the"	"group"	"high"	"of"	"homer"	"and"	"drive_in"	"run"	"on"	"freshman"	"average"	"complete"	"the"	"group"	"spring"	"squad"	"at"	"player"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"last"	"."	"reporting_weight"	"∅"	"reporting_weight_last"	"last_."	"._∅"	"his_reporting_weight_last"	"reporting_weight_last_."	"last_._∅"	"._∅_∅"	"PRP$"	"NN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"foot"	"inch"	"person"	"check_in"	"close_to"	"pound"	"pound"	"light"	"his"	"reporting_weight"	"last"	"spring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"when"	"in"	"the"	"in_the"	"the_when"	"when_the"	"pond_in_the"	"in_the_when"	"the_when_the"	"when_the_ice"	"NN"	"IN"	"DT"	"NN"	"WRB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"this"	"study"	"condition"	"develop"	"the"	"oxidation"	"pond"	"in"	"the"	"spring"	"when"	"the"	"ice"	"melt"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	","	","	"waterfall"	"etcetera"	"waterfall_,"	",_,"	",_etcetera"	",_waterfall_,"	"waterfall_,_,"	",_,_etcetera"	",_etcetera_with"	"ε"	"NN"	"ε"	"NN"	"ε"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"natural"	"feature"	"which"	"can"	"be"	"of"	"high"	"interest"	"be"	"the"	"forest"	"canyon"	"desert"	"seacoast"	"beach"	"sand_dune"	"waterfall"	"spring"	"etcetera"	"with"	"which"	"the"	"area"	"is"	"bless"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"until"	"1963"	"until_the"	"the_of"	"of_1963"	"office_until_the"	"until_the_of"	"the_of_1963"	"of_1963_,"	"NN"	"IN"	"DT"	"NN"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of_course"	"will"	"office"	"until"	"the"	"spring"	"of"	"when"	"person"	"term"	"would"	"have"	"come"	"to"	"an"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"in"	"1942"	"in_the"	"the_of"	"of_1942"	"∅_in_the"	"in_the_of"	"the_of_1942"	"of_1942_operation_reinhard"	"ε"	"IN"	"DT"	"NN"	"IN"	"CD"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"spring"	"of"	"operation_reinhard"	"begin"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
