"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:30:01::"	","	"us"	"''"	"with_nostalgia"	"''_,"	",_us"	"us_with_nostalgia"	"palace_car_''_,"	"''_,_us"	",_us_with_nostalgia"	"us_with_nostalgia_,"	"NN"	"ε"	"ε"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lucius_beebe"	"book"	"mr._pullman"	"elegant"	"palace_car"	"us"	"with_nostalgia"	"recall"	"days"	"when"	"private"	"cars"	"and"	"pullmans"	"be"	"extra"	"wonderful"	"with"	"fine"	"woodwork"	"craftsmanship"	"in"	"construction"	"deep"	"carpets"	"and"	"durable"	"upholstery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"who"	"the"	"persons"	"hall"	"persons_who"	"who_the"	"the_hall"	"2800_persons_who"	"persons_who_the"	"who_the_hall"	"the_hall_."	"CD"	"NNS"	"WP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"news"	"announce"	"by"	"jerome_toobin"	"the"	"orchestra"	"administrative"	"director"	"applause"	"from"	"the"	"persons"	"who"	"fill"	"the"	"hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"after"	"its"	","	"two"	",_after"	"after_its"	"its_two"	"it_,_after"	",_after_its"	"after_its_two"	"its_two_lanes"	"PRP"	"ε"	"IN"	"VB"	"PRP$"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"again"	"reverend_corder"	"save"	"the"	"bridge"	"when"	"soldiers"	"plan"	"to"	"destroy"	"it"	"after"	"fill"	"its"	"two"	"lanes"	"with"	"hay"	"and"	"straw"	"but"	"for"	"what"	"reason"	"is"	"not"	"record"	"nor"	"remember"	"certainly"	"not"	"because"	"of"	"pressure"	"from"	"an"	"opposing"	"confederate"	"force"	
"2:30:01::"	"forms"	"with"	"musical"	"keen"	"musical_forms"	"forms_with"	"with_keen"	"clear_musical_forms"	"musical_forms_with"	"forms_with_keen"	"with_keen_wit"	"JJ"	"JJ"	"NNS"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"couperin"	"and"	"rameau"	"give"	"titles"	"to"	"nearly"	"everything"	"they"	"write"	"not"	"in"	"the"	"later"	"sense"	"of"	"program"	"music"	"but"	"as"	"a"	"kind_of"	"nonmusical"	"reference"	"for"	"close"	"clear"	"musical"	"forms"	"fill"	"with"	"keen"	"wit"	"and"	"precise"	"utterance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"cockpit"	"higher"	"front"	"with"	"front_cockpit"	"cockpit_higher"	"higher_with"	"the_front_cockpit"	"front_cockpit_higher"	"cockpit_higher_with"	"higher_with_mail_pouches"	"DT"	"NN"	"NN"	"VB"	"JJR"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"trip"	"the"	"front"	"cockpit"	"fill"	"higher"	"with"	"mail_pouches"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"him"	"you"	"let"	"with"	"let_him"	"him_you"	"you_with"	"and_let_him"	"let_him_you"	"him_you_with"	"you_with_peace"	"CC"	"VB"	"PRP"	"VB"	"PRP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"why"	"not"	"open"	"your"	"heart"	"to"	"the"	"lord"	"jesus_christ"	"accept"	"him"	"as"	"your"	"saviour"	"and"	"let"	"him"	"fill"	"you"	"with"	"peace"	"that"	"only"	"he"	"can"	"give"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"are"	"outer_space"	"we"	"with"	"we_are"	"are_outer_space"	"outer_space_with"	"while_we_are"	"we_are_outer_space"	"are_outer_space_with"	"outer_space_with_scientific"	"IN"	"PRP"	"VBP"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"are"	"fill"	"outer_space"	"with"	"scientific"	"successes"	"for"	"many"	"the"	"inner"	"space"	"of"	"their"	"soul"	"be"	"an"	"aching"	"void"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"audience"	"all"	"the"	"the"	"the_audience"	"audience_all"	"all_the"	"∅_the_audience"	"the_audience_all"	"audience_all_the"	"all_the_seats"	"ε"	"DT"	"NN"	"VB"	"PDT"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"audience"	"fill"	"all"	"the"	"seats"	"inside"	"the"	"wollman"	"enclosure"	"and"	"overflow"	"onto"	"the"	"lawns"	"outside"	"the"	"fence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"be"	"with"	"have_to"	"concrete"	"have_to_be"	"be_with"	"with_concrete"	"would_have_to_be"	"have_to_be_with"	"be_with_concrete"	"with_concrete_to"	"MD"	"VB"	"VB"	"VB"	"IN"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"solid"	"block"	"are"	"recommend"	"hollow"	"block"	"would"	"have_to"	"be"	"fill"	"with"	"concrete"	"to"	"give"	"effective"	"protection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:02::"	"be"	"."	"can"	"∅"	"can_be"	"be_."	"._∅"	"need_can_be"	"can_be_."	"be_._∅"	"._∅_∅"	"NN"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"existence"	"of"	"a"	"public_school"	"vocational"	"training_program"	"in"	"trade"	"industry"	"provide"	"a"	"base"	"from"	"which"	"such"	"need"	"can"	"be"	"fill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"so"	"be"	"∅"	"person"	"∅_so"	"so_be"	"be_person"	"∅_∅_so"	"∅_so_be"	"so_be_person"	"be_person_with"	"ε"	"ε"	"RB"	"VB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fill"	"be"	"person"	"with"	"the"	"spirit"	"of"	"location"	"that"	"after"	"korea"	"be"	"over"	"he"	"take_on"	"the"	"job"	"of"	"write"	"the"	"complete"	"history"	"of"	"the"	"regiment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:02::"	"should"	"the"	"charity"	"same"	"charity_should"	"should_the"	"the_same"	"and_charity_should"	"charity_should_the"	"should_the_same"	"the_same_need"	"CC"	"NN"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"perplexing"	"question"	"still"	"remain"	"as"	"to"	"why"	"the"	"middle_class"	"turn_to"	"the"	"as"	"a"	"vehicle"	"of"	"social"	"identity"	"when"	"their"	"club"	"and"	"charity"	"should"	"fill"	"the"	"same"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"and"	"the"	"owner"	"bag"	"owner_and"	"and_the"	"the_bag"	"the_owner_and"	"owner_and_the"	"and_the_bag"	"the_bag_to"	"DT"	"NN"	"CC"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"person"	"platonist"	"idealist"	"doctrinaire"	"sound_off"	"a"	"high"	"transcendental"	"note"	"in"	"his"	"boston_hymn"	"deliver"	"in"	"in"	"the"	"boston"	"location"	"amidst"	"thundering"	"applause"	"pay"	"ransom"	"to"	"the"	"and"	"fill"	"the"	"bag"	"to"	"the"	"brim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"had"	"it"	"person"	"with"	"person_had"	"had_it"	"it_with"	"that_person_had"	"person_had_it"	"had_it_with"	"it_with_opium"	"IN"	"NNP"	"VBD"	"VB"	"PRP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"be"	"deeply"	"horribly"	"that"	"person"	"had"	"fill"	"it"	"with"	"opium"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"she"	"a"	"∅"	"big"	"∅_she"	"she_a"	"a_big"	"∅_∅_she"	"∅_she_a"	"she_a_big"	"a_big_pitcher"	"ε"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fill"	"a"	"big"	"pitcher"	"and"	"set"	"it"	"with"	"glass"	"on"	"a"	"tray"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"laugh"	"his"	"person"	"mind"	"person_laugh"	"laugh_his"	"his_mind"	"of_person_laugh"	"person_laugh_his"	"laugh_his_mind"	"his_mind_-"	"IN"	"NNP"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"time"	"play"	"an"	"essential"	"part"	"in"	"our"	"mortality"	"and"	"suddenly"	"for"	"no"	"he"	"could"	"imagine"	"or"	"admit"	"the"	"image"	"of"	"person"	"laugh"	"fill"	"his"	"mind"	"so"	"desirable"	"so"	"lusty"	"so"	"full"	"of"	"nuance"	"of"	"pleasure"	"and"	"joy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"by"	"plan"	"appointment"	"plan_to"	"to_by"	"by_appointment"	"a_plan_to"	"plan_to_by"	"to_by_appointment"	"by_appointment_future"	"DT"	"NN"	"TO"	"VB"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"former"	"chairman"	"of"	"group"	"suggest"	"a"	"plan"	"to"	"fill"	"by"	"appointment"	"future"	"vacancy"	"in"	"the"	"group"	"and"	"group"	"eliminate"	"the"	"need"	"for"	"costly"	"special"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"mouth"	"without"	"his"	"any"	"his_mouth"	"mouth_without"	"without_any"	"but_his_mouth"	"his_mouth_without"	"mouth_without_any"	"without_any_get"	"CC"	"PRP$"	"NN"	"VB"	"IN"	"DT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"begin"	"pour"	"whisky"	"in"	"kid"	"mouth"	"but"	"his"	"mouth"	"fill"	"without"	"any"	"get"	"down"	"his"	"throat"	"and"	"in"	"a"	"second"	"it"	"was"	"drip"	"from"	"his"	"chin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"and"	"his"	"team"	"pipe"	"team_and"	"and_his"	"his_pipe"	"the_team_and"	"team_and_his"	"and_his_pipe"	"his_pipe_and"	"DT"	"NN"	"CC"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"finish"	"the"	"team"	"and"	"fill"	"his"	"pipe"	"and"	"stand"	"look"	"about"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"pencil"	"with"	"a"	"barium"	"a_pencil"	"pencil_with"	"with_barium"	"of_a_pencil"	"a_pencil_with"	"pencil_with_barium"	"with_barium_chloride"	"IN"	"DT"	"NN"	"VB"	"IN"	"NN"	"NN"	"some"	"time"	"ago"	"person"	"age"	"a"	"diabetic"	"since"	"he"	"be"	"six"	"stop"	"use"	"insulin"	"because"	"he"	"had"	"buy"	"a"	"magic"	"spike"	"glass"	"tube"	"about"	"the"	"size"	"of"	"a"	"pencil"	"with"	"barium"	"chloride"	"worth"	"a"	"small"	"fraction"	"of"	"a"	"cent"	"sell"	"by"	"the"	"group"	"of"	"location"	"for"	"as"	"a"	"cure-all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"and"	"it"	"cup"	"with"	"cup_and"	"and_it"	"it_with"	"his_cup_and"	"cup_and_it"	"and_it_with"	"it_with_hot"	"PRP$"	"NN"	"CC"	"VB"	"PRP"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"put"	"a"	"teaspoonful"	"of"	"coffee"	"in"	"his"	"cup"	"and"	"fill"	"it"	"with"	"hot"	"water"	"and"	"then"	"stir"	"he"	"sit_back"	"in"	"his"	"chair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"was"	"with"	"which"	"line"	"which_was"	"was_with"	"with_line"	",_which_was"	"which_was_with"	"was_with_line"	"with_line_of"	"ε"	"WDT"	"VBD"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"late"	"afternoon"	"the"	"train"	"inch"	"into"	"the"	"yard"	"in"	"the"	"railhead"	"at"	"location"	"which"	"was"	"fill"	"with"	"line"	"of"	"car"	"poised"	"to"	"pour"	"the"	"tool"	"of"	"war"	"to"	"the"	"russian"	"front"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
