"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"
"3:00:00::"	"in"	"part"	"ground_water"	"of"	"ground_water_in"	"in_part"	"part_of"	"and_ground_water_in"	"ground_water_in_part"	"in_part_of"	"part_of_the"	"CC"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_view_of"	"the"	"increasing"	"shortage"	"usable"	"surface"	"and"	"ground_water"	"in"	"many"	"part"	"of"	"the"	"nation"	"and"	"the"	"importance"	"of"	"find"	"new"	"source"	"of"	"supply"	"to"	"meet"	"its"	"present"	"and"	"future"	"water"	"need"	"it"	"be"	"the"	"policy"	"of"	"the"	"congress"	"to"	"provide_for"	"the"	"development"	"of"	"practicable"	"low-cost"	"means"	"for"	"the"	"large-scale"	"production"	"of"	"water"	"of"	"a"	"quality"	"suitable"	"for"	"municipal"	"industrial"	"agricultural"	"and"	"beneficial"	"consumptive"	"use"	"from"	"saline"	"water"	"and"	"for"	"study"	"and"	"research"	"related"	"thereto"	
"3:00:00::"	"and"	","	","	"include"	",_and"	"and_,"	",_include"	"activity_,_and"	",_and_,"	"and_,_include"	",_include_assist"	"NN"	"ε"	"CC"	"JJ"	"ε"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"the"	"effort"	"of"	"group"	"shooting"	"program"	"these"	"shooting"	"activity"	"and"	"many"	"include"	"assist"	"in"	"the"	"development"	"of"	"public"	"and"	"privately"	"financed"	"shoot"	"park"	"trap"	"and"	"skeet"	"league"	"rifle"	"and"	"pistol"	"marksmanship"	"program"	"have"	"been"	"promote"	"to"	"mention"	"only"	"a_few"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"how"	"vacation"	"think_about"	"they"	"think_about_how"	"how_vacation"	"vacation_they"	"now_think_about_how"	"think_about_how_vacation"	"how_vacation_they"	"vacation_they_can"	"RB"	"VB"	"WRB"	"JJ"	"NN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"american"	"used_to"	"think_of"	"a"	"single"	"each"	"summer"	"they"	"now"	"think_about"	"how"	"many"	"vacation"	"they"	"can"	"have"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"remain"	"``"	"there"	"old-fashioned"	"there_remain"	"remain_``"	"``_old-fashioned"	",_there_remain"	"there_remain_``"	"remain_``_old-fashioned"	"``_old-fashioned_''"	"ε"	"EX"	"VB"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"remain"	"many"	"old-fashioned"	"marriage"	"in"	"which"	"the"	"husband"	"maintain"	"his"	"supremacy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"to"	"expert"	"∅"	","	"∅_to"	"to_expert"	"expert_,"	"∅_∅_to"	"∅_to_expert"	"to_expert_,"	"expert_,_this"	"ε"	"ε"	"TO"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"expert"	"this"	"trend"	"be"	"inevitable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"yet"	"psychologist"	"∅"	"and"	"∅_yet"	"yet_psychologist"	"psychologist_and"	"∅_∅_yet"	"∅_yet_psychologist"	"yet_psychologist_and"	"psychologist_and_marriage"	"ε"	"ε"	"RB"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"psychologist"	"and"	"marriage"	"counselor"	"agree"	"that"	"domination"	"of"	"the"	"sex"	"relationship"	"by"	"one"	"partner"	"or"	"the"	"other"	"be"	"unhealthy"	"and"	"even"	"dangerous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"wife"	"person"	"despise"	"person_,"	",_wife"	"wife_despise"	"to_person_,"	"person_,_wife"	",_wife_despise"	"wife_despise_their"	"TO"	"NNP"	"ε"	"JJ"	"NN"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"paradoxically"	"according"	"person"	"many"	"wife"	"despise"	"their"	"husband"	"for"	"not"	"stand_up"	"to"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"too"	"husband"	"∅"	","	"∅_too"	"too_husband"	"husband_,"	"∅_∅_too"	"∅_too_husband"	"too_husband_,"	"husband_,_person"	"ε"	"ε"	"RB"	"JJ"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"husband"	"person"	"continue"	"worry"	"about"	"how"	"well"	"they"	"do"	"and"	"fear"	"that"	"their"	"success"	"depend_on"	"some"	"trick"	"or"	"technique"	"of"	"sexual"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"so"	"wakeful"	"him"	"hour"	"him_so"	"so_wakeful"	"wakeful_hour"	"cause_him_so"	"him_so_wakeful"	"so_wakeful_hour"	"wakeful_hour_come"	"VB"	"PRP"	"RB"	"JJ"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old"	"nightmare"	"had"	"cause"	"him"	"so"	"many"	"wakeful"	"hour"	"come"	"charge"	"in"	"on"	"him"	"once_more"	"only"	"this"	"time"	"he"	"could"	"n't"	"pacify"	"it"	"with"	"a"	"sleeping_pill"	"and"	"send"	"it"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"time"	"been"	"."	"been_,"	",_time"	"time_."	"has_been_,"	"been_,_time"	",_time_."	"time_._∅"	"VBZ"	"VBN"	"ε"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"moreover"	"the"	"law"	"of"	"the"	"land"	"be"	"not"	"irrevocable"	"can"	"be"	"change"	"it"	"has"	"been"	"many"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"spend"	"year"	"has"	"in"	"has_spend"	"spend_year"	"year_in"	"and_has_spend"	"has_spend_year"	"spend_year_in"	"year_in_new_england"	"CC"	"VBZ"	"VB"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"dear"	"respected"	"friend"	"of"	"mine"	"who"	"like"	"grow_up"	"in"	"the"	"south"	"and"	"has"	"spend"	"many"	"year"	"in"	"new_england"	"say"	"to"	"me"	"not_long"	"ago"	"i"	"can"	"n't"	"forgive"	"new_england"	"for"	"reject"	"all"	"complicity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	","	"typical"	"dramatize"	"typical_of"	"of_,"	",_dramatize"	",_typical_of"	"typical_of_,"	"of_,_dramatize"	",_dramatize_the"	"ε"	"JJ"	"IN"	"JJ"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"incident"	"of"	"many"	"dramatize"	"the"	"distressing"	"fact"	"that"	"no"	"controversy"	"during"	"the"	"last"	"several"	"decade"	"has"	"cause"	"more"	"tension"	"rancor"	"and"	"strife"	"among"	"religious"	"group"	"in"	"this"	"country"	"than"	"the"	"birth_control"	"issue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
