"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:32:00::"	"to"	"that"	"willing"	"forgiveness"	"willing_to"	"to_that"	"that_forgiveness"	"be_willing_to"	"willing_to_that"	"to_that_forgiveness"	"that_forgiveness_come"	"VB"	"JJ"	"TO"	"VB"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most_of"	"us"	"be"	"willing"	"to"	"admit"	"that"	"forgiveness"	"come"	"hard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"were"	"to"	","	"the"	",_were"	"were_to"	"to_the"	"months_,_were"	",_were_to"	"were_to_the"	"to_the_hospital"	"NNS"	"ε"	"VBD"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"sister"	"and"	"brother"	"marie_louise"	"and"	"john_raymond"	"jr."	"months"	"were"	"to"	"the"	"hospital"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"that"	"∅"	"main_streets"	"∅_∅"	"∅_that"	"that_main_streets"	"∅_∅_∅"	"∅_∅_that"	"∅_that_main_streets"	"that_main_streets_and"	"ε"	"ε"	"ε"	"VB"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"main_streets"	"and"	"the"	"central"	"business_district"	"should"	"have"	"priority"	"the"	"councilman"	"say"	"it"	"be"	"also"	"essential"	"that"	"small"	"shopping"	"areas"	"not"	"be"	"overlook"	"if"	"our"	"small"	"merchants"	"are"	"to"	"survive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"''"	"for"	"tentatively"	"next"	"tentatively_''"	"''_for"	"for_next"	"``_tentatively_''"	"tentatively_''_for"	"''_for_next"	"for_next_fall"	"ε"	"RB"	"ε"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"charlayne"	"was"	"admit"	"for"	"next"	"fall"	"after"	"state"	"investigators"	"question"	"her"	"white"	"roommate"	"at"	"wayne_state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"been"	"had"	"have"	"it"	"have_been"	"been_had"	"had_it"	"already_have_been"	"have_been_had"	"been_had_it"	"had_it_not"	"RB"	"VB"	"VBN"	"VB"	"VBN"	"PRP"	"RB"	"0"	"0"	"0"	"judge_bootle"	"decision"	"the"	"two"	"plaintiffs"	"be"	"qualified"	"for"	"admission"	"to"	"university"	"and"	"would"	"already"	"been"	"admit"	"had"	"it"	"not"	"be"	"for"	"their"	"race"	"and"	"color"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"be"	"or"	"students"	"reject"	"students_be"	"be_or"	"or_reject"	"that_students_be"	"students_be_or"	"be_or_reject"	"or_reject_on"	"IN"	"NNS"	"VBP"	"VB"	"CC"	"VB"	"IN"	"be"	"not"	"now"	"nor"	"has"	"there"	"ever"	"be"	"in"	"emory_university"	"charter"	"or"	"by-laws"	"any"	"requirement"	"students"	"be"	"or"	"reject"	"on"	"the"	"basis"	"of"	"race"	"color"	"or"	"creed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"that"	"fair"	"any"	"fair_to"	"to_that"	"that_any"	"be_fair_to"	"fair_to_that"	"to_that_any"	"that_any_fraternity"	"VB"	"JJ"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"furthermore"	"as"	"an"	"encouragement"	"to"	"revisionist"	"it"	"manifestly"	"be"	"fair"	"to"	"admit"	"that"	"any"	"fraternity"	"have"	"a"	"constitutional"	"right"	"to"	"refuse"	"to"	"accept"	"persons"	"it"	"dislike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"also"	"kill"	"he"	"mrs._hengesbach"	"he_also"	"also_kill"	"kill_mrs._hengesbach"	"∅_he_also"	"he_also_kill"	"also_kill_mrs._hengesbach"	"kill_mrs._hengesbach_."	"ε"	"PRP"	"RB"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"also"	"admit"	"kill"	"mrs._hengesbach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"mrs._dunkel"	"the"	"∅"	"slaying"	"∅_mrs._dunkel"	"mrs._dunkel_the"	"the_slaying"	"∅_∅_mrs._dunkel"	"∅_mrs._dunkel_the"	"mrs._dunkel_the_slaying"	"the_slaying_and"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"admit"	"the"	"slaying"	"and"	"say"	"that"	"the"	"son-in-law"	"become"	"her"	"lover"	"after"	"the"	"death"	"of"	"her"	"daughter"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"was"	"to"	","	"roger_williams_hospital"	",_was"	"was_to"	"to_roger_williams_hospital"	"cranston_,_was"	",_was_to"	"was_to_roger_williams_hospital"	"to_roger_williams_hospital_shortly"	"NNP"	"ε"	"VBD"	"VB"	"TO"	"NNP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bernard_parrillo"	"of"	"fletcher_ave."	"cranston"	"was"	"to"	"roger_williams_hospital"	"shortly"	"before"	"a."	"m."	"yesterday"	"after"	"a"	"hunting"	"accident"	"in_which"	"a"	"shotgun"	"he"	"was"	"carry"	"discharge"	"against"	"his"	"heel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"to"	"lake_shore_dr."	"reporters"	"lake_shore_dr._,"	",_to"	"to_reporters"	"3300_lake_shore_dr._,"	"lake_shore_dr._,_to"	",_to_reporters"	"to_reporters_that"	"CD"	"NNP"	"ε"	"VB"	"TO"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"testify"	"for"	"minutes"	"stein"	"who"	"live"	"lake_shore_dr."	"admit"	"to"	"reporters"	"that"	"he"	"have"	"a"	"wide"	"acquaintance"	"with"	"crime"	"syndicate"	"hoodlums"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"the"	"first"	"great"	"first_to"	"to_the"	"the_great"	"the_first_to"	"first_to_the"	"to_the_great"	"the_great_falling_off"	"VB"	"JJ"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"protestant"	"themselves"	"the"	"first"	"to"	"admit"	"the"	"great"	"falling_off"	"in"	"effective"	"membership"	"in"	"their"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"had_to"	"that"	"person"	"though"	"person_had_to"	"had_to_that"	"that_though"	"∅_person_had_to"	"person_had_to_that"	"had_to_that_though"	"that_though_he"	"ε"	"NNP"	"VB"	"VB"	"IN"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had_to"	"admit"	"that"	"though"	"he"	"could"	"n't"	"agree"	"to"	"a"	"public"	"performance"	"he"	"would"	"indeed"	"just"	"for"	"his"	"own"	"private"	"satisfaction"	"dearly"	"love"	"to"	"know"	"how"	"his"	"work"	"would"	"sound"	"when"	"do"	"by"	"professional"	"musician"	"and"	"by"	"trained"	"voice"	
"2:41:01::"	"or"	")"	"("	"the"	"(_or"	"or_)"	")_the"	"imagine_(_or"	"(_or_)"	"or_)_the"	")_the_image"	"VB"	"ε"	"CC"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"time"	"play"	"an"	"essential"	"part"	"in"	"our"	"mortality"	"and"	"suddenly"	"for"	"reason"	"he"	"could"	"or"	"admit"	"the"	"image"	"of"	"person"	"laugh"	"fill"	"his"	"mind"	"so"	"desirable"	"so"	"lusty"	"so"	"full"	"of"	"nuance"	"of"	"pleasure"	"and"	"joy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"i"	"."	","	"∅"	",_i"	"i_."	"._∅"	"''_,_i"	",_i_."	"i_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"wrong"	"admit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
