"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"1:10:02::"	","	"of"	"1609"	"person"	"1609_,"	",_of"	"of_person"	"of_1609_,"	"1609_,_of"	",_of_person"	"of_person_'s"	"IN"	"CD"	"ε"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"half_moon"	"put"	"in"	"at"	"location"	"in"	"the"	"fall"	"of"	"word"	"of"	"person"	"finding"	"leak_out"	"and"	"english"	"interest"	"in"	"him"	"revive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"this"	"have"	"yet"	"such"	"yet_this"	"this_have"	"have_such"	",_yet_this"	"yet_this_have"	"this_have_such"	"have_such_a"	"ε"	"RB"	"DT"	"NN"	"VB"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"analyze"	"the"	"watercolor"	"of"	"person"	"the"	"first"	"thing"	"come_to_mind"	"be"	"their"	"essential"	"decorativeness"	"yet"	"this"	"word"	"have"	"such"	"a"	"varied"	"connotation"	"that"	"it"	"need"	"some"	"elaboration"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"one"	"emerge"	"only"	"with"	"only_one"	"one_emerge"	"emerge_with"	"which_only_one"	"only_one_emerge"	"one_emerge_with"	"emerge_with_clarity"	"RB"	"JJ"	"JJ"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suddenly"	"the"	"spanish"	"become"	"english"	"in"	"which"	"only"	"one"	"word"	"emerge"	"with"	"clarity"	"and"	"precision"	"son_of_a_bitch"	"sometimes"	"hyphenated"	"by"	"vicious"	"jab"	"of"	"a"	"beer_bottle"	"into"	"person"	"quivering"	"rib"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"represent"	"when"	"a"	"when_a"	"a_represent"	"represent_a"	"∅_when_a"	"when_a_represent"	"a_represent_a"	"represent_a_larger"	"ε"	"WRB"	"DT"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"word"	"represent"	"a"	"larger"	"construction"	"of"	"which"	"it"	"be"	"the"	"only"	"expressed"	"part"	"it"	"normally"	"have"	"more"	"stress"	"than"	"it"	"would"	"have"	"in"	"fully"	"express"	"construction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"big"	","	"many"	"person"	"many_big"	"big_,"	",_person"	"so_many_big"	"many_big_,"	"big_,_person"	",_person_''"	"RB"	"JJ"	"JJ"	"NN"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"did"	"n't"	"think"	"know"	"so"	"many"	"big"	"word"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"a"	"of"	"as"	"caution"	"as_a"	"a_of"	"of_caution"	"∅_as_a"	"as_a_of"	"a_of_caution"	"of_caution_,"	"ε"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"word"	"of"	"caution"	"we"	"should"	"be"	"aware"	"that"	"in"	"actual"	"practice"	"no"	"message"	"be"	"purely"	"one"	"of"	"the"	"four"	"type"	"question"	"command"	"statement"	"or"	"exclamation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"100"	"basic"	"revised"	"glottochronological"	"revised_100"	"100_basic"	"basic_glottochronological"	"his_revised_100"	"revised_100_basic"	"100_basic_glottochronological"	"basic_glottochronological_list"	"PRP$"	"JJ"	"NN"	"NN"	"JJ"	"JJ"	"NN"	"person"	"publish"	"basic"	"vocabulary"	"in"	"some"	"mon-khmer"	"language"	"al"	"no."	"pp."	"which"	"compare"	"mon-khmer"	"language"	"with"	"the"	"i-e"	"language"	"data"	"on"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	","	"meaning"	"meaning"	","	"meaning_,"	",_meaning"	"meaning_,"	"paragraph_meaning_,"	"meaning_,_meaning"	",_meaning_,"	"meaning_,_spelling"	"NN"	"NN"	"ε"	"NN"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"stanford_achievement_test"	"form_j"	"was"	"administer"	"by"	"classroom"	"teacher"	"consist_of"	"a"	"of"	"six"	"sub-test"	"paragraph"	"meaning"	"word"	"meaning"	"spelling"	"language"	"arithmetic"	"computation"	"and"	"arithmetic"	"reasoning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	":"	"in"	"``"	"in_the"	"the_:"	":_``"	"express_in_the"	"in_the_:"	"the_:_``"	":_``_so"	"VB"	"IN"	"DT"	"NN"	"ε"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"biblical"	"symbol"	"for"	"affirmation"	"is"	"express"	"in"	"the"	"word"	"so"	"god"	"create"	"man"	"in"	"his"	"own"	"image"	"in"	"the"	"similitude"	"of"	"god"	"he"	"create"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"his"	"."	"as_good_as"	"∅"	"as_good_as_his"	"his_."	"._∅"	"be_as_good_as_his"	"as_good_as_his_."	"his_._∅"	"._∅_∅"	"VB"	"JJ"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rider"	"from"	"be"	"as_good_as"	"his"	"word"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"∅"	"reach"	"∅"	"the"	"∅_∅"	"∅_reach"	"reach_the"	"∅_∅_∅"	"∅_∅_reach"	"∅_reach_the"	"reach_the_company"	"ε"	"ε"	"ε"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reach"	"the"	"company"	"that"	"the"	"man"	"behind"	"these"	"depredation"	"be"	"person"	"a"	"man"	"with"	"many"	"follower"	"include"	"a"	"number"	"who"	"were"	"keep"	"in"	"line"	"through"	"fear"	"of"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"of"	"believe"	"it"	"believe_a"	"a_of"	"of_it"	"not_believe_a"	"believe_a_of"	"a_of_it"	"of_it_)"	"RB"	"VB"	"DT"	"NN"	"RB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"person"	"how"	"often"	"had"	"he"	"had_to"	"play"	"part"	"who"	"did"	"not"	"believe"	"a"	"word"	"of"	"it"	"he"	"raise"	"his"	"arm"	"and"	"declaim"	"where"	"be"	"my"	"honour"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"``"	"include"	"percussion"	"include_the"	"the_``"	"``_percussion"	"title_include_the"	"include_the_``"	"the_``_percussion"	"``_percussion_''"	"NN"	"VB"	"DT"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"clue"	"to"	"the"	"character"	"of"	"group"	"approach"	"in"	"these"	"disc"	"may"	"be"	"immediately"	"from"	"the"	"fact"	"that"	"ten"	"of"	"the"	"title"	"include"	"the"	"word"	"percussion"	"or"	"percussive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"ran"	"∅"	"crazily"	"∅_the"	"the_ran"	"ran_crazily"	"∅_∅_the"	"∅_the_ran"	"the_ran_crazily"	"ran_crazily_in"	"ε"	"ε"	"DT"	"NN"	"VBD"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"word"	"ran"	"crazily"	"in"	"his"	"head"	"person"	"is"	"scratch"	"her"	"nose"	"in"	"the"	"rain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"fall_into"	"then"	"a"	"then_the"	"the_fall_into"	"fall_into_a"	"∅_then_the"	"then_the_fall_into"	"the_fall_into_a"	"fall_into_a_pattern"	"ε"	"RB"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"word"	"fall_into"	"a"	"pattern"	"person"	"is"	"scratch"	"her"	"nose"	"scratch"	"her"	"nose"	"in"	"the"	"rain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"a"	"should"	"∅"	"be"	"∅_a"	"a_should"	"should_be"	"∅_∅_a"	"∅_a_should"	"a_should_be"	"should_be_say"	"ε"	"ε"	"DT"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"word"	"should"	"be"	"say"	"for"	"person"	"a"	"broadway"	"youngster"	"who"	"as"	"the"	"adopted"	"son"	"make"	"life"	"miserable"	"for"	"nearly"	"everybody"	"and"	"person"	"in"	"particular"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"first"	"from"	"the"	"person"	"the_first"	"first_from"	"from_person"	"was_the_first"	"the_first_from"	"first_from_person"	"from_person_on"	"VB"	"VB"	"JJ"	"NN"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"the"	"first"	"word"	"from"	"person"	"on"	"his"	"sudden"	"walkout"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"official"	"to"	"an"	"anybody"	"an_official"	"official_to"	"to_anybody"	"without_an_official"	"an_official_to"	"official_to_anybody"	"to_anybody_,"	"IN"	"DT"	"JJ"	"NN"	"TO"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"take"	"a"	"midnight"	"train"	"out"	"cleveland"	"saturday"	"without"	"an"	"official"	"word"	"to"	"anybody"	"and"	"has"	"stay"	"away"	"from"	"newsman"	"on"	"his"	"train"	"trip"	"across_the_nation"	"to"	"location"	"location"	"where"	"his"	"wife"	"former"	"olympic"	"diving"	"champion"	"person"	"await"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
