"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"1:06:03::"	"the"	","	"along"	"head"	"along_the"	"the_,"	",_head"	"prance_along_the"	"along_the_,"	"the_,_head"	",_head_for"	"VB"	"IN"	"DT"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"was"	"along"	"the"	"hall"	"head"	"for"	"the"	"next"	"flight_of_stairs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:05::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"out_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"IN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"person"	"out"	"in"	"the"	"hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:05::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"ready_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"the"	"big"	"basket"	"ready"	"in"	"the"	"hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"from"	"down"	"the"	"down_the"	"the_from"	"from_the"	"run_down_the"	"down_the_from"	"the_from_the"	"from_the_kitchen"	"VB"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"landing"	"she"	"see"	"person"	"her"	"face"	"flush"	"pink"	"with"	"run"	"down"	"the"	"hall"	"from"	"the"	"kitchen"	"to"	"the"	"front_door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"to"	"across"	"the"	"across_the"	"the_to"	"to_the"	"go_across_the"	"across_the_to"	"the_to_the"	"to_the_kitchen"	"VB"	"IN"	"DT"	"NN"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"in"	"the"	"dim"	"underwater"	"light"	"they"	"dress"	"and"	"straighten"	"up"	"the"	"room"	"and"	"then"	"they"	"across"	"the"	"hall"	"to"	"the"	"kitchen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"to"	"down"	"the"	"down_the"	"the_to"	"to_the"	"walk_down_the"	"down_the_to"	"the_to_the"	"to_the_front"	"VB"	"RB"	"DT"	"NN"	"TO"	"DT"	"NN"	"0"	"he"	"did"	"n't"	"but"	"it"	"be"	"not"	"really"	"a"	"question"	"and"	"so"	"he"	"leave"	"the"	"room"	"walk"	"down"	"hall"	"to"	"the"	"front"	"of"	"the"	"apartment"	"hesitate"	"and"	"then"	"knock"	"lightly"	"on"	"the"	"closed"	"door"	"of"	"the"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"."	"into"	"∅"	"into_the"	"the_."	"._∅"	"out_into_the"	"into_the_."	"the_._∅"	"._∅_∅"	"IN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"shrill"	"ring"	"of"	"telephone"	"bring"	"person"	"out"	"into"	"the"	"hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"and"	"into"	"stand"	"into_the"	"the_and"	"and_stand"	"go_out_into_the"	"into_the_and"	"the_and_stand"	"and_stand_look"	"VB"	"IN"	"DT"	"NN"	"CC"	"VB"	"VB"	"time"	"had"	"elapse"	"so_that"	"there"	"be"	"little"	"likelihood"	"of"	"his"	"return"	"for"	"something"	"he"	"had"	"forget"	"person"	"go_out"	"into"	"and"	"stand"	"look"	"into"	"one"	"room"	"after"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"to"	"down"	"person"	"down_the"	"the_to"	"to_person"	"go_down_the"	"down_the_to"	"the_to_person"	"to_person_'s"	"VB"	"VB"	"DT"	"NN"	"TO"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"down"	"the"	"hall"	"to"	"person"	"bathroom"	"to"	"turn_on"	"the"	"hot-water_heater"	"and"	"on"	"the"	"side"	"of"	"the"	"tub"	"he"	"see"	"a"	"pair"	"of"	"blue"	"wool"	"swimming_trunks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:05::"	"the"	"table"	"on"	"for"	"on_the"	"the_table"	"table_for"	"them_on_the"	"on_the_table"	"the_table_for"	"table_for_person"	"PRP"	"IN"	"DT"	"NN"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"sign"	"the"	"letter"	"quickly"	"stamp"	"and"	"place"	"them"	"on"	"the"	"hall"	"table"	"for"	"person"	"to"	"mail"	"in"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
