"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"	"A162"	"A163"	"A164"	"A165"	"A166"	"A167"	"A168"	"A169"	"A170"	"A171"	"A172"	"A173"	"A174"	"A175"	"A176"	"A177"	"A178"	"A179"	"A180"	"A181"	"A182"
"1:04:00::"	"the"	"occur"	"in_which"	"as"	"in_which_the"	"the_occur"	"occur_as"	"month_in_which_the"	"in_which_the_occur"	"the_occur_as"	"occur_as_determine"	"NN"	"RB"	"DT"	"NN"	"VB"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"payment"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"producer"	"of"	"zinc"	"as_long_as"	"the"	"market_price"	"for"	"prime"	"western"	"zinc"	"at"	"location"	"illinois"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"market_price"	"for"	"the"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"on_account_of"	"of"	"act"	"newly"	"act_on_account_of"	"on_account_of_of"	"of_newly"	"this_act_on_account_of"	"act_on_account_of_of"	"on_account_of_of_newly"	"of_newly_mine"	"DT"	"NN"	"IN"	"NN"	"IN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"maximum"	"amount"	"of"	"payment"	"which"	"be"	"make"	"pursuant"	"to"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	
"1:04:00::"	"such"	"make"	"on_account_of"	"during"	"on_account_of_such"	"such_make"	"make_during"	"made_on_account_of_such"	"on_account_of_such_make"	"such_make_during"	"make_during_the"	"VB"	"IN"	"JJ"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"maximum"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"pursuant"	"to"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"such"	"make"	"on_account_of"	"during"	"on_account_of_such"	"such_make"	"make_during"	"make_on_account_of_such"	"on_account_of_such_make"	"such_make_during"	"make_during_the"	"VB"	"IN"	"JJ"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"maximum"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"pursuant"	"to"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"such"	"make"	"on_account_of"	"during"	"on_account_of_such"	"such_make"	"make_during"	"make_on_account_of_such"	"on_account_of_such_make"	"such_make_during"	"make_during_the"	"VB"	"IN"	"JJ"	"NN"	"VB"	"IN"	"DT"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"pursuant"	"to"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"on"	"or"	"losses"	"exchange"	"losses_on"	"on_or"	"or_exchange"	"deductible_losses_on"	"losses_on_or"	"on_or_exchange"	"or_exchange_of"	"JJ"	"NN"	"IN"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"deductible"	"on"	"sale"	"or"	"exchange"	"of"	"property"	"be"	"allowable"	"in"	"determine"	"your"	"adjusted_gross_income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"during"	","	"and"	"and"	"and_during"	"during_,"	",_and"	"saturday_and_during"	"and_during_,"	"during_,_and"	",_and_there"	"NN"	"CC"	"IN"	"NN"	"ε"	"CC"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"the"	"hours"	"be"	"six-thirty"	"in"	"the"	"until"	"eleven"	"at"	"night"	"on"	"saturday"	"and"	"during"	"sale"	"and"	"there"	"were"	"no"	"chair"	"and"	"you"	"could"	"n't"	"smoke"	"and"	"the"	"cooling"	"was"	"overhead"	"fan"	"and"	"there"	"was"	"no"	"porter"	"or"	"janitor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"property"	"assistance"	"the"	"program"	"the_property"	"property_assistance"	"assistance_program"	"∅_the_property"	"the_property_assistance"	"property_assistance_program"	"assistance_program_is"	"ε"	"DT"	"NN"	"NN"	"NN"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"property"	"sale"	"assistance"	"program"	"is"	"design"	"to"	"assist"	"small"	"business_concern"	"that"	"may"	"wish"	"to"	"buy"	"property"	"offer"	"for"	"sale"	"by"	"the"	"federal_government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"for"	"by"	"offer"	"the"	"offer_for"	"for_by"	"by_the"	"property_offer_for"	"offer_for_by"	"for_by_the"	"by_the_federal_government"	"NN"	"VB"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"property"	"sale"	"assistance"	"program"	"is"	"design"	"to"	"assist"	"business_concern"	"that"	"may"	"wish"	"to"	"buy"	"property"	"offer"	"for"	"sale"	"by"	"the"	"federal_government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"proposed"	"program"	"review"	"and"	"review_proposed"	"proposed_program"	"program_and"	"in_review_proposed"	"review_proposed_program"	"proposed_program_and"	"program_and_identify"	"IN"	"VB"	"JJ"	"NN"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sba"	"work"	"closely"	"with"	"the"	"principal"	"property"	"installation"	"of"	"the"	"federal_government"	"in"	"review"	"proposed"	"sale"	"program"	"and"	"identify"	"those"	"type"	"of"	"property"	"that"	"small"	"business_concern"	"be"	"most"	"likely"	"to"	"be"	"interested"	"in"	"purchase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"will"	"and_then"	"begin"	"and_then_the"	"the_will"	"will_begin"	",_and_then_the"	"and_then_the_will"	"the_will_begin"	"will_begin_and"	"ε"	"RB"	"DT"	"NN"	"MD"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bond"	"issue"	"will"	"go"	"to"	"the"	"state"	"court"	"for"	"a"	"test_suit"	"to"	"test"	"the"	"validity"	"of"	"the"	"act"	"and_then"	"the"	"sale"	"will"	"begin"	"and"	"contract"	"let"	"for"	"repair"	"work"	"on"	"some"	"of"	"georgia"	"most"	"heavily"	"traveled"	"highway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"in"	"for"	"office"	"the"	"office_in"	"in_for"	"for_the"	"agency_office_in"	"office_in_for"	"in_for_the"	"for_the_year"	"NN"	"NN"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"agent"	"and"	"chief"	"operator"	"who"	"was"	"to"	"retire"	"in"	"with"	"year"	"service"	"lead"	"agency"	"office"	"in"	"sale"	"for"	"the"	"year"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
