"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:41:00::"	"in"	"the"	"that"	"freedom"	"that_in"	"in_the"	"the_freedom"	"court_that_in"	"that_in_the"	"in_the_freedom"	"the_freedom_fighters"	"NN"	"IN"	"IN"	"VB"	"DT"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"trial"	"in"	"jakarta"	"for"	"having"	"fly"	"for"	"the"	"indonesian"	"anti-communist"	"insurgents"	"u._s."	"alan_lawrence_pope"	"boldly"	"tell"	"the"	"court"	"that"	"in"	"support"	"the"	"freedom"	"fighters"	"he"	"was"	"actually"	"defend"	"the"	"sovereignty"	"and"	"independence"	"of"	"indonesia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"heavily"	"by"	","	"troops"	",_heavily"	"heavily_by"	"by_troops"	"launch_,_heavily"	",_heavily_by"	"heavily_by_troops"	"by_troops_from"	"VB"	"ε"	"RB"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"laos"	"government"	"say"	"four"	"major"	"rebel"	"attacks"	"had"	"been"	"launch"	"heavily"	"support"	"by"	"troops"	"from"	"communist_north"	"viet_nam"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"the"	"chamber"	"head"	"chamber_and"	"and_the"	"the_head"	"the_chamber_and"	"chamber_and_the"	"and_the_head"	"the_head_so_that"	"DT"	"NN"	"CC"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"measure"	"the"	"volume"	"of"	"of"	"the"	"combustion"	"chambers"	"in"	"the"	"cylinder_head"	"install"	"valves"	"and"	"spark_plug"	"in"	"the"	"chamber"	"and"	"support"	"the"	"head"	"so_that"	"its"	"gasket"	"surface"	"be"	"level"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"their"	"sufficient"	"own"	"sufficient_to"	"to_their"	"their_own"	"be_sufficient_to"	"sufficient_to_their"	"to_their_own"	"their_own_operations"	"VB"	"JJ"	"TO"	"VB"	"PRP$"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"time"	"some"	"years"	"ago"	"when"	"taxation"	"by"	"the"	"cities"	"and"	"towns"	"be"	"sufficient"	"to"	"support"	"their"	"own"	"operations"	"and"	"a"	"part"	"of"	"the"	"cost"	"of"	"the"	"state_government"	"as_well"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	","	"million"	"on"	"million_to"	"to_,"	",_on"	"7_million_to"	"million_to_,"	"to_,_on"	",_on_a"	"JJ"	"JJ"	"TO"	"VB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"the"	"present"	"federal"	"program"	"of"	"vocational"	"education"	"begin"	"in"	"with"	"the"	"passage"	"of"	"the"	"smith-hughes_act"	"which"	"provide"	"a"	"continuing"	"annual"	"appropriation"	"of"	"to"	"support"	"on"	"a"	"match"	"basis"	"state"	"administer"	"program"	"of"	"vocational"	"education"	"in"	"agriculture"	"trade"	"industrial"	"skill"	"and"	"home_economics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"armed"	"in"	"for"	"the"	"for_armed"	"armed_in"	"in_the"	"exchange_for_armed"	"for_armed_in"	"armed_in_the"	"in_the_april"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"part"	"of"	"the"	"same"	"arrangement"	"person"	"had"	"in"	"the"	"spirit"	"of"	"peace"	"and"	"and"	"in"	"exchange"	"for"	"armed"	"support"	"in"	"the"	"april"	"election"	"campaign"	"bestow"	"upon"	"person"	"a"	"third"	"share"	"in"	"the"	"group"	"proceeds"	"and"	"a"	"cut"	"in"	"the"	"person"	"beer"	"trade"	
"2:40:00::"	"vocational_program"	"by"	"organized"	"federal"	"organized_vocational_program"	"vocational_program_by"	"by_federal"	"formally_organized_vocational_program"	"organized_vocational_program_by"	"vocational_program_by_federal"	"by_federal_funds"	"RB"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"formally"	"vocational_program"	"support"	"by"	"federal"	"funds"	"allow"	"high_school"	"student"	"to"	"gain"	"experience"	"in"	"a"	"field"	"of"	"work"	"which"	"be"	"likely"	"to"	"lead"	"to"	"a"	"full-time"	"job"	"on"	"graduation"	"0"	"0"	
"1:04:00::"	"continued"	"of"	"the"	"our"	"the_continued"	"continued_of"	"of_our"	"for_the_continued"	"the_continued_of"	"continued_of_our"	"of_our_force"	"IN"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"budget"	"will"	"provide_for"	"in"	"fiscal_year"	"for"	"the"	"continued"	"support"	"of"	"our"	"force"	"at"	"approximately"	"the"	"present"	"level"	"a"	"year-end"	"strength"	"of"	"man"	"and"	"woman"	"in"	"the"	"active"	"force"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"the"	"refueling"	"with"	"tanker"	"with_the"	"the_refueling"	"refueling_tanker"	"together_with_the"	"with_the_refueling"	"the_refueling_tanker"	"refueling_tanker_in"	"RB"	"RB"	"DT"	"VB"	"NN"	"NN"	"IN"	"recommend"	"additional"	"acquisition"	"of"	"the"	"improved"	"version"	"of"	"the"	"b-52"	"the"	"b-52_h"	"with"	"the"	"new"	"turbofan_engine"	"and"	"procurement"	"of"	"the"	"b-58"	"supersonic"	"medium"	"bomber"	"together"	"with"	"the"	"refueling"	"tanker"	"in"	"each"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:04::"	"basic"	";"	")"	"("	")_basic"	"basic_;"	";_("	"1_)_basic"	")_basic_;"	"basic_;_("	";_(_2"	"JJ"	"ε"	"JJ"	"NN"	"ε"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"amendment"	"completely"	"change"	"the"	"financing"	"of"	"the"	"vocational_rehabilitation_program"	"provide_for"	"a"	"three"	"part"	"structure"	"for"	"basic"	"support"	"extension"	"and"	"improvement"	"and"	"research"	"demonstration"	"training"	"and"	"traineeship"	"for"	"vocational_rehabilitation"	"and"	"in_addition"	"for"	"short-term"	"training"	"and"	"instruction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:04::"	"for"	"of"	"state"	"such"	"state_for"	"for_of"	"of_such"	"to_state_for"	"state_for_of"	"for_of_such"	"of_such_services"	"TO"	"NN"	"IN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_order"	"to"	"assist"	"the"	"state"	"maintain"	"basic"	"vocational_rehabilitation"	"services"	"section"	"of"	"the"	"amended"	"provide"	"that"	"allotment"	"to"	"state"	"for"	"support"	"of"	"such"	"services"	"be"	"base"	"on"	"need"	"as"	"measure"	"by"	"a"	"state"	"population"	"and"	"fiscal"	"capacity"	"as"	"measure"	"by"	"its"	"per_capita"	"income"	
"1:04:04::"	"for"	"of"	"provision"	"vocational"	"provision_for"	"for_of"	"of_vocational"	"allotment_provision_for"	"provision_for_of"	"for_of_vocational"	"of_vocational_rehabilitation"	"NN"	"NN"	"IN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"be"	"the"	"case"	"the"	"allotment"	"provision"	"for"	"support"	"of"	"vocational"	"rehabilitation"	"services"	"the"	"match"	"requirement"	"are"	"also"	"base"	"on"	"a"	"statutory"	"formula"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"public"	","	"win"	"first"	"win_public"	"public_,"	",_first"	"to_win_public"	"win_public_,"	"public_,_first"	",_first_in"	"TO"	"VB"	"JJ"	"NN"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"type"	"of"	"action"	"hope"	"to"	"win"	"public"	"support"	"first"	"in"	"this"	"country"	"and"	"then"	"abroad"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"deserve"	"every"	"deserve_the"	"the_of"	"of_every"	"which_deserve_the"	"deserve_the_of"	"the_of_every"	"of_every_person"	"WDT"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"all"	"been"	"done"	"in"	"superb"	"style"	"the"	"result"	"be"	"a"	"show"	"which"	"deserve"	"the"	"support"	"of"	"every"	"person"	"hereabouts"	"who"	"enjoy"	"good"	"musical_theater"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"the"	"∅"	"man"	"∅_person"	"person_the"	"the_man"	"∅_∅_person"	"∅_person_the"	"person_the_man"	"the_man_to"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"support"	"the"	"man"	"to"	"the"	"edge"	"of"	"the"	"bank"	"and"	"pass"	"the"	"frail"	"figure"	"over"	"the"	"bow"	"of"	"the"	"near"	"skiff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:04::"	"the"	"needed"	"exactly"	"for"	"exactly_the"	"the_needed"	"needed_for"	"provide_exactly_the"	"exactly_the_needed"	"the_needed_for"	"needed_for_such"	"VB"	"RB"	"DT"	"NN"	"JJ"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"engineering"	"exactly"	"the"	"support"	"needed"	"for"	"such"	"a"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"him"	"there"	"."	"there_to"	"to_him"	"him_."	"be_there_to"	"there_to_him"	"to_him_."	"him_._∅"	"VB"	"RB"	"TO"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"there"	"to"	"support"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:04::"	"federal"	"for"	"increased"	"public"	"increased_federal"	"federal_for"	"for_public"	"endorse_increased_federal"	"increased_federal_for"	"federal_for_public"	"for_public_education"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"group"	"is"	"ask"	"the"	"group"	"a"	"privilege"	"resolution"	"to"	"endorse"	"increased"	"federal"	"support"	"for"	"public"	"education"	"provided_that"	"such"	"fund"	"be"	"receive"	"and"	"expend"	"as"	"state"	"funds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"logical"	"."	"no"	"∅"	"no_logical"	"logical_."	"._∅"	"find_no_logical"	"no_logical_."	"logical_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"entire"	"concept"	"of"	"cerebral"	"imagery"	"as"	"the"	"basis"	"of"	"a"	"mental_image"	"can"	"find"	"no"	"logical"	"support"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"whose"	"be"	"component"	"the"	"component_whose"	"whose_be"	"be_the"	"one_component_whose"	"component_whose_be"	"whose_be_the"	"be_the_entire"	"JJ"	"NN"	"WP$"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"graph"	"of"	"f"	"at_least"	"one"	"component"	"whose"	"support"	"be"	"the"	"entire"	"interval"	"t"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:04::"	"financial"	"of"	"and"	"foreign_policy"	"and_financial"	"financial_of"	"of_foreign_policy"	"legislative_and_financial"	"and_financial_of"	"financial_of_foreign_policy"	"of_foreign_policy_,"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"condition"	"affect"	"not_only"	"the"	"but"	"also"	"the"	"legislative"	"and"	"financial"	"support"	"of"	"foreign_policy"	"especially"	"in"	"the"	"context"	"of"	"economic"	"aid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
