"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"
"1:18:00::"	"pathogenic"	"introject"	"a"	"begin"	"a_pathogenic"	"pathogenic_introject"	"introject_begin"	"when_a_pathogenic"	"a_pathogenic_introject"	"pathogenic_introject_begin"	"introject_begin_to"	"WRB"	"DT"	"JJ"	"NN"	"NN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"another"	"phase"	"in"	"therapy"	"when"	"a"	"pathogenic"	"mother"	"introject"	"begin"	"to"	"emerge"	"more_and_more"	"upon"	"the"	"investigative"	"scene"	"she"	"mutter"	"in"	"a"	"low"	"but"	"intense"	"voice"	"to"	"herself"	"i"	"hate"	"that"	"woman"	"inside"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"behind"	"leave_behind"	"be"	"leave_behind_his"	"his_behind"	"behind_be"	"and_leave_behind_his"	"leave_behind_his_behind"	"his_behind_be"	"behind_be_not"	"CC"	"VB"	"PRP$"	"NN"	"IN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"to"	"take"	"and"	"leave_behind"	"his"	"mother"	"behind"	"be"	"not"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"of"	"virgin_mary"	"god"	"virgin_mary_,"	",_of"	"of_god"	"blessed_virgin_mary_,"	"virgin_mary_,_of"	",_of_god"	"of_god_and"	"JJ"	"NN"	"ε"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"o"	"blessed"	"mother"	"of"	"god"	"and"	"our"	"most"	"gentle"	"queen"	"and"	"mother"	"look"	"down"	"in"	"mercy"	"upon"	"england"	"thy"	"dowry"	"and"	"upon"	"us"	"all"	"who"	"greatly"	"hope"	"and"	"trust"	"in"	"thee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"and"	","	"queen"	"look"	"queen_and"	"and_,"	",_look"	"gentle_queen_and"	"queen_and_,"	"and_,_look"	",_look_down"	"JJ"	"NN"	"CC"	"NN"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"o"	"blessed"	"virgin_mary"	"mother"	"of"	"god"	"our"	"most"	"gentle"	"queen"	"and"	"mother"	"look"	"down"	"in"	"mercy"	"upon"	"england"	"thy"	"dowry"	"and"	"upon"	"us"	"all"	"who"	"greatly"	"hope"	"and"	"trust"	"in"	"thee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"my"	"constitute"	"∅"	"herself"	"∅_my"	"my_constitute"	"constitute_herself"	"∅_∅_my"	"∅_my_constitute"	"my_constitute_herself"	"constitute_herself_the"	"ε"	"ε"	"PRP$"	"NN"	"VB"	"PRP"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mother"	"constitute"	"herself"	"the"	"voice"	"of"	"all_of"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"my"	"agree"	","	"."	",_my"	"my_agree"	"agree_."	"''_,_my"	",_my_agree"	"my_agree_."	"agree_._∅"	"ε"	"ε"	"PRP$"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"really"	"be"	"a"	"dear"	"thing"	"my"	"mother"	"agree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"my"	"blush"	","	"at"	",_my"	"my_blush"	"blush_at"	"then_,_my"	",_my_blush"	"my_blush_at"	"blush_at_this"	"RB"	"ε"	"PRP$"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"mother"	"blush"	"at"	"this"	"small"	"lie"	"for"	"she"	"know"	"and"	"we"	"know"	"that"	"it"	"be"	"cowardice"	"that"	"had"	"make"	"one"	"more"	"radish"	"that"	"night"	"just"	"too"	"impossible"	"a"	"strain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"my"	"advise"	","	"the"	",_my"	"my_advise"	"advise_the"	"''_,_my"	",_my_advise"	"my_advise_the"	"advise_the_child"	"ε"	"ε"	"PRP$"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tell"	"person"	"what"	"you"	"do"	"day"	"my"	"mother"	"advise"	"the"	"child"	"ceremonially"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"my"	"be"	"∅"	"beside_herself"	"∅_my"	"my_be"	"be_beside_herself"	"∅_∅_my"	"∅_my_be"	"my_be_beside_herself"	"be_beside_herself_with"	"ε"	"ε"	"PRP$"	"NN"	"VB"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mother"	"be"	"beside_herself"	"with"	"curiosity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	"more"	"as"	"protective"	"as_a"	"a_more"	"more_protective"	",_as_a"	"as_a_more"	"a_more_protective"	"more_protective_and"	"ε"	"IN"	"DT"	"NN"	"JJ"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"also"	"fine"	"be"	"as"	"a"	"mother"	"more"	"protective"	"and"	"belligerent"	"than"	"a"	"female"	"spider"	"and"	"just"	"as"	"destructive"	"person"	"as"	"her"	"scratchy"	"spouse"	"and"	"person"	"as"	"a"	"vegetable"	"in"	"human"	"form"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"be_born"	"-"	"in"	"-_his"	"his_be_born"	"be_born_in"	"critic_-_his"	"-_his_be_born"	"his_be_born_in"	"be_born_in_ohio"	"NN"	"ε"	"PRP$"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"call"	"the"	"afternoon"	"on"	"my"	"old"	"friend"	"the"	"anglo-american"	"literary"	"critic"	"his"	"mother"	"be_born"	"in"	"ohio"	"who"	"live"	"alone"	"in"	"a"	"fairytale"	"cottage"	"on"	"the"	"location"	"raise_hell"	"and"	"peacock"	"the"	"former"	"only"	"when"	"the"	"venerable"	"gentleman"	"become"	"an"	"angry"	"old_man"	"about"	"the"	"state"	"of"	"literature"	"or"	"something"	"else"	"that"	"is"	"dwindle"	"and"	"diminish"	"such_as"	"human"	"stature"	"hope"	"and"	"humor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	"and"	"create"	"son"	"create_a"	"a_and"	"and_son"	"to_create_a"	"create_a_and"	"a_and_son"	"and_son_alone"	"TO"	"VB"	"DT"	"NN"	"CC"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"first"	"desire"	"to"	"create"	"a"	"mother"	"and"	"son"	"alone"	"in"	"the"	"universe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
