"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"
"1:08:00::"	"their"	"."	"blink"	"∅"	"blink_their"	"their_."	"._∅"	"to_blink_their"	"blink_their_."	"their_._∅"	"._∅_∅"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"might"	"be"	"that"	"certain"	"people"	"be_born"	"with"	"a"	"compulsion"	"to"	"complicate"	"their"	"life"	"while"	"could"	"live"	"blissfully"	"motionless"	"almost"	"like"	"lizard"	"in"	"the"	"sun"	"too"	"indolent"	"to"	"blink"	"their"	"eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"'s"	"were"	"girl"	"softly"	"girl_'s"	"'s_were"	"were_softly"	"the_girl_'s"	"girl_'s_were"	"'s_were_softly"	"were_softly_shine"	"DT"	"NN"	"POS"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"eye"	"were"	"softly"	"shine"	"as"	"she"	"reach_out"	"and"	"touch"	"person"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"'s"	"."	"inspector"	"∅"	"inspector_'s"	"'s_."	"._∅"	"the_inspector_'s"	"inspector_'s_."	"'s_._∅"	"._∅_∅"	"DT"	"NN"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"date"	"october"	"immediately"	"catch"	"the"	"eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"human"	","	"a"	"together"	"a_human"	"human_,"	",_together"	"of_a_human"	"a_human_,"	"human_,_together"	",_together_with"	"IN"	"DT"	"JJ"	"NN"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"typical"	"sonogram"	"a"	"human"	"eye"	"together"	"with"	"a"	"description"	"of"	"the"	"anatomical"	"part"	"is"	"show"	"in"	"fig"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"omniscient"	"to"	"an"	"select"	"an_omniscient"	"omniscient_to"	"to_select"	"require_an_omniscient"	"an_omniscient_to"	"omniscient_to_select"	"to_select_those"	"VB"	"DT"	"JJ"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"it"	"an"	"omniscient"	"eye"	"to"	"select"	"those"	"if"	"any"	"on"	"whom"	"we"	"can"	"now"	"rely_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"hazel"	"meet"	"the"	"person"	"the_hazel"	"hazel_meet"	"meet_person"	"∅_the_hazel"	"the_hazel_meet"	"hazel_meet_person"	"meet_person_'s"	"ε"	"DT"	"JJ"	"NN"	"VB"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hazel"	"eye"	"meet"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"was"	"the"	"person"	"chicken"	"person_was"	"was_the"	"the_chicken"	"where_person_was"	"person_was_the"	"was_the_chicken"	"the_chicken_dismally"	"WRB"	"NNP"	"VBD"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pause"	"at"	"the"	"kitchen"	"door"	"catch_one's_breath"	"her"	"breath"	"tell"	"herself"	"firmly"	"that"	"the"	"opium"	"be"	"an"	"attempt"	"to"	"frighten"	"her"	"and"	"go_into"	"the"	"kitchen"	"where"	"person"	"was"	"eye"	"the"	"chicken"	"dismally"	"and"	"person"	"was"	"clean"	"lamp_chimney"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"be"	"but"	"cold"	"but_his"	"his_be"	"be_cold"	",_but_his"	"but_his_be"	"his_be_cold"	"be_cold_."	"ε"	"CC"	"PRP$"	"NN"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"continue"	"to"	"but"	"his"	"eye"	"be"	"cold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"physical"	"be"	"'s"	"half"	"'s_physical"	"physical_be"	"be_half"	"person_'s_physical"	"'s_physical_be"	"physical_be_half"	"be_half_closed"	"NNP"	"POS"	"JJ"	"NN"	"VB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"paint"	"physical"	"eye"	"be"	"half"	"closed"	"while"	"his"	"mind's_eye"	"be"	"wide-open"	"and"	"this"	"circumstance"	"account_for"	"in"	"part"	"for"	"the"	"impression"	"he"	"wish"	"to"	"convey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"pale"	"reflect"	"powdery"	"all"	"powdery_pale"	"pale_reflect"	"reflect_all"	"with_powdery_pale"	"powdery_pale_reflect"	"pale_reflect_all"	"reflect_all_the"	"IN"	"JJ"	"JJ"	"NN"	"VB"	"PDT"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"glance"	"at"	"the"	"man"	"nod"	"beside"	"her"	"a"	"man"	"with"	"crack"	"furrow"	"into"	"his"	"lean"	"cheek"	"with"	"powdery"	"pale"	"eye"	"reflect"	"all"	"the"	"drought"	"he"	"had"	"see"	"reflect"	"the"	"sky"	"and"	"the"	"drought"	"which"	"must"	"follow"	"now"	"in"	"august"	"yes"	"with"	"eye"	"predict"	"the"	"drought"	"and"	"here"	"it"	"was"	"only"	"june"	"only"	"festival"	"time"	"again"	"and"	"thought"	"of"	"person"	"would"	"not"	"leave"	"her"	
"1:08:00::"	"with"	"predict"	","	"the"	",_with"	"with_predict"	"predict_the"	"yes_,_with"	",_with_predict"	"with_predict_the"	"predict_the_drought"	"UH"	"ε"	"IN"	"NN"	"VB"	"DT"	"NN"	"at"	"the"	"man"	"nod"	"beside"	"her"	"a"	"man"	"with"	"weather"	"crack"	"furrow"	"into"	"his"	"lean"	"cheek"	"with"	"powdery"	"pale"	"eye"	"reflect"	"all"	"the"	"drought"	"he"	"had"	"see"	"reflect"	"the"	"sky"	"and"	"the"	"drought"	"which"	"must"	"follow"	"now"	"in"	"august"	"yes"	"with"	"eye"	"the"	"drought"	"and"	"here"	"it"	"was"	"only"	"june"	"only"	"festival"	"time"	"again"	"and"	"thought"	"of"	"person"	"would"	"not"	"leave"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"red-rimmed"	"."	"through"	"∅"	"through_red-rimmed"	"red-rimmed_."	"._∅"	"suspiciously_through_red-rimmed"	"through_red-rimmed_."	"red-rimmed_._∅"	"._∅_∅"	"RB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"look"	"at"	"suspiciously"	"through"	"red-rimmed"	"eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"black"	"glitter"	"his"	"behind"	"his_black"	"black_glitter"	"glitter_behind"	",_his_black"	"his_black_glitter"	"black_glitter_behind"	"glitter_behind_dull"	"ε"	"PRP$"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tee-wah"	"the"	"driver"	"cackle"	"black"	"eye"	"glitter"	"behind"	"dull"	"silver"	"chicken"	"fencing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"at"	"level"	","	","	",_at"	"at_level"	"level_,"	"window_,_at"	",_at_level"	"at_level_,"	"level_,_in"	"NN"	"ε"	"IN"	"NN"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"window"	"at"	"eye"	"level"	"in"	"smaller"	"print"	"but"	"also"	"in"	"gold"	"be"	"person"	"prop."	"and"	"under_that"	"se_habla_espanol"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
