"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:38:00::"	","	"left"	"st._sophia"	"at"	"st._sophia_,"	",_left"	"left_at"	"to_st._sophia_,"	"st._sophia_,_left"	",_left_at"	"left_at_the"	"TO"	"NNP"	"ε"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"i"	"walk"	"past"	"entrance"	"to"	"st._sophia"	"turn"	"left"	"at"	"the"	"end"	"of_it"	"and"	"continue"	"toward"	"a"	"gate"	"in"	"the"	"wall"	"ahead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"back"	"to"	"dusty"	"mercer"	"dusty_back"	"back_to"	"to_mercer"	"pink_dusty_back"	"dusty_back_to"	"back_to_mercer"	"to_mercer_,"	"JJ"	"JJ"	"RB"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"mercer"	"look_on"	"helplessly"	"the"	"half-man"	"twist"	"over"	"his"	"side"	"his"	"pink"	"dusty"	"back"	"turn"	"to"	"mercer"	"and"	"weep"	"hoarsely"	"and"	"quietly"	"to"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"she"	"to"	"slowly"	"face"	"slowly_she"	"she_to"	"to_face"	"∅_slowly_she"	"slowly_she_to"	"she_to_face"	"to_face_the"	"ε"	"RB"	"PRP"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"turn"	"to"	"face"	"the"	"men"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"from"	"∅"	"the"	"∅_he"	"he_from"	"from_the"	"∅_∅_he"	"∅_he_from"	"he_from_the"	"from_the_phone"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"from"	"the"	"phone"	"and"	"stride"	"to"	"the"	"front"	"of"	"the"	"restaurant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"she"	"her"	"will"	"mind"	"will_she"	"she_her"	"her_mind"	"of_will_she"	"will_she_her"	"she_her_mind"	"her_mind_away"	"IN"	"MD"	"PRP"	"VB"	"PRP$"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"sturdy"	"of"	"will"	"she"	"turn"	"her"	"mind"	"away"	"from"	"herself"	"as"	"long"	"as"	"she"	"could"	"do"	"nothing"	"constructive"	"about"	"the"	"situation"	"she"	"be"	"in"	"she"	"would"	"think_about"	"something"	"else"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"to"	"∅"	"susan"	"∅_he"	"he_to"	"to_susan"	"∅_∅_he"	"∅_he_to"	"he_to_susan"	"to_susan_and"	"ε"	"ε"	"PRP"	"VB"	"VB"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"to"	"susan"	"and"	"kiss"	"her"	"on"	"the"	"cheek"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"dean"	"from"	"∅"	"susan"	"∅_dean"	"dean_from"	"from_susan"	"∅_∅_dean"	"∅_dean_from"	"dean_from_susan"	"from_susan_and"	"ε"	"ε"	"NNP"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"from"	"susan"	"and"	"take"	"julia_fortune"	"in"	"his"	"arms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"finally"	"∅"	"to"	"∅_i"	"i_finally"	"finally_to"	"∅_∅_i"	"∅_i_finally"	"i_finally_to"	"finally_to_several"	"ε"	"ε"	"PRP"	"VB"	"RB"	"TO"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"finally"	"to"	"several"	"theological"	"developments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"pamela"	"the"	","	"wheel"	",_pamela"	"pamela_the"	"the_wheel"	"house_,_pamela"	",_pamela_the"	"pamela_the_wheel"	"the_wheel_,"	"NN"	"ε"	"NNP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"station_wagon"	"draw"	"abreast_of"	"the"	"dusty"	"dirt"	"road"	"that"	"up"	"to"	"the"	"porch"	"of"	"the"	"culver"	"house"	"pamela"	"turn"	"the"	"wheel"	"guide"	"the"	"car"	"to"	"its"	"familiar"	"parking"	"spot"	"close_to"	"the"	"house"	"and"	"stop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"sergeant"	"to"	"the"	"the"	"the_sergeant"	"sergeant_to"	"to_the"	"∅_the_sergeant"	"the_sergeant_to"	"sergeant_to_the"	"to_the_door"	"ε"	"DT"	"NN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sergeant"	"turn"	"to"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"deep"	"halt"	"into"	"halt_,"	",_deep"	"deep_into"	"they_halt_,"	"halt_,_deep"	",_deep_into"	"deep_into_the"	"PRP"	"VB"	"ε"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"small"	"grove"	"the"	"river"	"they"	"halt"	"turn"	"deep"	"into"	"the"	"protection"	"of"	"the"	"trees"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	"will"	"your"	"temperature"	"pool"	"temperature_will"	"will_your"	"your_pool"	"in_temperature_will"	"temperature_will_your"	"will_your_pool"	"your_pool_poison"	"IN"	"NN"	"MD"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"sudden"	"high"	"in"	"temperature"	"will"	"turn"	"your"	"pool"	"poison"	"green"	"overnight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"has"	"the"	"joshua_logan"	"stage"	"joshua_logan_has"	"has_the"	"the_stage"	"because_joshua_logan_has"	"joshua_logan_has_the"	"has_the_stage"	"the_stage_show"	"IN"	"NNP"	"VBZ"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"can"	"all"	"breathe"	"more"	"easily"	"this"	"morning"	"more"	"and"	"joyously"	"too"	"because"	"joshua_logan"	"has"	"turn"	"the"	"stage"	"show"	"fanny"	"into"	"a"	"delightful"	"and"	"heart-warming"	"film"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	"for"	"the"	"criticism"	"comedy"	"criticism_for"	"for_the"	"the_comedy"	"draw_criticism_for"	"criticism_for_the"	"for_the_comedy"	"the_comedy_into"	"VB"	"NN"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"accordingly"	"at"	"the"	"comedie"	"last"	"year"	"jean_meyer"	"play"	"sympathetic"	"arnolphe"	"and"	"draw"	"criticism"	"for"	"turn"	"the"	"comedy"	"into"	"a"	"tragedy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	"busily"	"his"	"is"	"own"	"is_busily"	"busily_his"	"his_own"	"and_is_busily"	"is_busily_his"	"busily_his_own"	"his_own_country"	"CC"	"VBZ"	"RB"	"VB"	"PRP$"	"JJ"	"NN"	"very"	"week"	"of"	"our"	"war"	"against"	"katanga"	"we"	"make"	"a"	"million"	"grant"	"to"	"kwame_nkrumah"	"who"	"has"	"just"	"declare"	"his"	"solidarity"	"with"	"the"	"communist"	"bloc"	"and"	"is"	"busily"	"his"	"own"	"country"	"into"	"a"	"totalitarian"	"dictatorship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"to"	"∅"	"look"	"∅_i"	"i_to"	"to_look"	"∅_∅_i"	"∅_i_to"	"i_to_look"	"to_look_at"	"ε"	"ε"	"PRP"	"VB"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"to"	"look"	"at"	"the"	"lubra"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"has"	"her"	","	"critical"	",_has"	"has_her"	"her_critical"	"trade_,_has"	",_has_her"	"has_her_critical"	"her_critical_eye"	"NN"	"ε"	"VBZ"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"virgilia_peterson"	"a"	"critic"	"trade"	"has"	"turn"	"her"	"critical"	"eye"	"pitilessly"	"and"	"honestly"	"on"	"herself"	"in"	"an"	"autobiography"	"more"	"of"	"the"	"mind"	"and"	"heart"	"than"	"of"	"specific"	"events"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"''"	"serious"	"ado"	"while"	"ado_''"	"''_serious"	"serious_while"	"much_ado_''"	"ado_''_serious"	"''_serious_while"	"serious_while_the"	"RB"	"NNP"	"ε"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"much"	"turn"	"serious"	"while"	"the"	"insipid"	"claudio"	"reject"	"hero"	"at"	"the"	"altar"	"a"	"sprinkle"	"begin"	"to"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"down"	","	"the"	",_and"	"and_down"	"down_the"	"dock_,_and"	",_and_down"	"and_down_the"	"down_the_wide"	"NN"	"ε"	"CC"	"VB"	"RB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"throw"	"a"	"smart"	"salute"	"at"	"the"	"go"	"up"	"the"	"dock"	"and"	"turn"	"down"	"the"	"wide"	"street"	"in_front"	"of"	"the"	"petty_officers"	"club"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"then"	"and"	","	"walk"	",_then"	"then_and"	"and_walk"	"say_,_then"	",_then_and"	"then_and_walk"	"and_walk_away"	"VB"	"ε"	"RB"	"VB"	"CC"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"like"	"to"	"dance"	"she"	"then"	"turn"	"and"	"walk"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"bus"	"into"	"the"	"the"	"the_bus"	"bus_into"	"into_the"	"as_the_bus"	"the_bus_into"	"bus_into_the"	"into_the_main"	"IN"	"DT"	"NN"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"bus"	"turn"	"into"	"the"	"main"	"highway"	"and"	"head"	"toward"	"hanover"	"i"	"settle"	"back"	"in"	"my"	"seat"	"and"	"close"	"my"	"eyes"	"think_over"	"the"	"events"	"of"	"the"	"past"	"two_weeks"	"try"	"to"	"put"	"the"	"pieces"	"in_order"	"0"	"0"	
"2:38:00::"	"can"	"it"	"he"	"inward"	"he_can"	"can_it"	"it_inward"	",_he_can"	"he_can_it"	"can_it_inward"	"it_inward_to"	"ε"	"PRP"	"MD"	"VB"	"PRP"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not_only"	"can"	"man"	"project"	"his"	"imagination"	"out"	"into"	"his"	"environment"	"concrete"	"forms"	"but"	"even"	"more"	"importantly"	"he"	"can"	"turn"	"it"	"inward"	"to"	"help"	"create"	"new"	"and"	"better"	"forms"	"of"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"she"	"on"	"∅"	"her"	"∅_she"	"she_on"	"on_her"	"∅_∅_she"	"∅_she_on"	"she_on_her"	"on_her_side"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn"	"on"	"her"	"side"	"find"	"the"	"idea"	"oppressive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"could"	"north"	"stickney"	"in"	"stickney_could"	"could_north"	"north_in"	"before_stickney_could"	"stickney_could_north"	"could_north_in"	"north_in_prairie"	"IN"	"NNP"	"MD"	"VB"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"car"	"spin"	"around"	"again"	"say"	"before"	"stickney"	"could"	"turn"	"north"	"in"	"prairie"	"avenue"	"and_then"	"violate"	"two"	"stop"	"lights"	"as"	"he"	"travel"	"north"	"into"	"wilmette"	"in"	"prairie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
