"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:30:00::"	"n't"	"below"	"did"	"three"	"did_n't"	"n't_below"	"below_three"	"unemployment_did_n't"	"did_n't_below"	"n't_below_three"	"below_three_million"	"NN"	"VBD"	"RB"	"VB"	"IN"	"CD"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"james_p._mitchell"	"when"	"he"	"be"	"the"	"head"	"of"	"the"	"department"	"to"	"eat"	"his"	"hat"	"if"	"unemployment"	"did"	"n't"	"drop"	"below"	"three"	"million"	"a_couple_of"	"years"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"to"	"resistance"	"the"	"resistance_,"	",_to"	"to_the"	"surface_resistance_,"	"resistance_,_to"	",_to_the"	"to_the_ground"	"NN"	"NN"	"ε"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"ignore"	"ladder"	"down"	"to"	"the"	"planet"	"surface"	"and"	"with"	"only"	"a"	"at"	"the"	"seismological"	"gauge"	"to"	"judge"	"surface"	"resistance"	"drop"	"to"	"the"	"ground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"controller_lawrence_e._gerosa"	"assent"	","	"assent_to"	"to_controller_lawrence_e._gerosa"	"controller_lawrence_e._gerosa_,"	"'s_assent_to"	"assent_to_controller_lawrence_e._gerosa"	"to_controller_lawrence_e._gerosa_,"	"controller_lawrence_e._gerosa_,_who"	"POS"	"NN"	"TO"	"VB"	"NNP"	"ε"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"talks"	"with"	"mr._buckley"	"last"	"week"	"in"	"washington"	"mayor"	"apparently"	"receive"	"the_bronx"	"leader"	"assent"	"to"	"drop"	"controller_lawrence_e._gerosa"	"who"	"live"	"in"	"the_bronx"	"from"	"this"	"year"	"ticket"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	","	"them"	"pieces"	"into"	"pieces_,"	",_them"	"them_into"	"in_pieces_,"	"pieces_,_them"	",_them_into"	"them_into_it"	"IN"	"NNS"	"ε"	"VB"	"PRP"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reach"	"for"	"an"	"old"	"clay"	"pot"	"relic"	"of"	"pioneer"	"he"	"tear"	"the"	"envelope"	"in"	"pieces"	"drop"	"them"	"into"	"it"	"touch"	"the"	"little"	"pyre"	"to"	"flame"	"watch"	"it"	"curl"	"the"	"red"	"sealing_wax"	"melt"	"and"	"bubble"	"in"	"the"	"feathery"	"ash"	
"2:32:00::"	"names"	"as"	"mention"	"do"	"mention_names"	"names_as"	"as_do"	"not_mention_names"	"mention_names_as"	"names_as_do"	"as_do_the"	"RB"	"VB"	"NN"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"advance"	"publicity"	"on"	"the"	"blue_book"	"does"	"not"	"mention"	"names"	"drop"	"as"	"do"	"the"	"notices"	"for"	"the"	"new_york"	"social_register"	"which"	"make"	"news"	"last"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"could"	"their"	"bombers"	"h-bombs"	"bombers_could"	"could_their"	"their_h-bombs"	"b-52_bombers_could"	"bombers_could_their"	"could_their_h-bombs"	"their_h-bombs_."	"NNP"	"NNS"	"MD"	"VB"	"PRP$"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"us"	"look"	"in"	"on"	"one"	"of"	"these"	"nerve_centers"	"sac"	"at"	"omaha"	"and"	"see"	"what"	"must"	"still"	"happen"	"a"	"wing"	"of"	"b-52"	"bombers"	"could"	"drop"	"their"	"h-bombs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"truck"	"them"	"the"	"off"	"the_truck"	"truck_them"	"them_off"	"∅_the_truck"	"the_truck_them"	"truck_them_off"	"them_off_at"	"ε"	"DT"	"NN"	"VB"	"PRP"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"truck"	"drop"	"them"	"off"	"at"	"the"	"various"	"revetment"	"spread"	"through"	"the"	"jungle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"he"	"the"	"as"	"strap"	"as_he"	"he_the"	"the_strap"	",_as_he"	"as_he_the"	"he_the_strap"	"the_strap_of"	"ε"	"IN"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"get"	"her"	"as"	"neat"	"as"	"i"	"can"	"say"	"as"	"he"	"drop"	"the"	"strap"	"of"	"the"	"seton"	"harness"	"over"	"person"	"shoulder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"person"	"a"	"∅"	"chicken"	"∅_person"	"person_a"	"a_chicken"	"∅_∅_person"	"∅_person_a"	"person_a_chicken"	"a_chicken_and"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"drop"	"a"	"chicken"	"and"	"a"	"flurry"	"of"	"feather"	"and"	"go"	"with"	"her"	"through"	"the"	"drizzle"	"to"	"the"	"storehouse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"a"	"when"	"double"	"when_person"	"person_a"	"a_double"	"fifth_when_person"	"when_person_a"	"person_a_double"	"a_double_into"	"JJ"	"WRB"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"add"	"two"	"in"	"the"	"fifth"	"when"	"person"	"drop"	"a"	"double"	"into"	"the"	"leftfield"	"corner"	"person"	"double"	"down"	"the"	"rightfield"	"line"	"and"	"person"	"single"	"off"	"person"	"glove"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"one"	"be"	"way"	"be_to"	"to_one"	"one_way"	"would_be_to"	"be_to_one"	"to_one_way"	"one_way_up"	"MD"	"VB"	"TO"	"VB"	"JJ"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"know"	"it"	"all_along"	"confess"	"person"	"with"	"a"	"grin"	"but"	"i"	"just"	"happen"	"to"	"think"	"how"	"nice"	"it"	"would"	"be"	"to"	"drop"	"one"	"way"	"up"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"the"	","	"paper"	",_person"	"person_the"	"the_paper"	"sigh_,_person"	",_person_the"	"person_the_paper"	"the_paper_and"	"VB"	"ε"	"NNP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sigh"	"drop"	"the"	"paper"	"and"	"stand_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"had"	"it"	"he"	"and"	"he_had"	"had_it"	"it_and"	"where_he_had"	"he_had_it"	"had_it_and"	"it_and_carry"	"WRB"	"PRP"	"VBD"	"VB"	"PRP"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"find"	"the"	"where"	"he"	"had"	"drop"	"it"	"and"	"carry"	"it"	"back"	"down"	"to"	"the"	"stream"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"suspended"	"of"	"the"	"low"	"the_suspended"	"suspended_of"	"of_low"	"of_the_suspended"	"the_suspended_of"	"suspended_of_low"	"of_low_viscosity"	"IN"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"another"	"means"	"which"	"should"	"show"	"the"	"direction"	"and"	"relative"	"value"	"of"	"the"	"stress"	"in"	"viscoelastic"	"fluid"	"that"	"is"	"not"	"mention"	"as_such"	"in"	"the"	"literature"	"and"	"that"	"be"	"the"	"shape"	"of"	"the"	"suspended"	"of"	"low"	"viscosity"	"fluid"	"in"	"shear"	"field"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"viscosity"	"to"	"low"	"confirm"	"low_viscosity"	"viscosity_to"	"to_confirm"	"of_low_viscosity"	"low_viscosity_to"	"viscosity_to_confirm"	"to_confirm_the"	"IN"	"JJ"	"NN"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"data"	"publish"	"in"	"literature"	"on"	"the"	"shape"	"of"	"low"	"viscosity"	"drop"	"to"	"confirm"	"the"	"above"	"formula"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:05::"	"i"	"into"	"as"	"a"	"as_i"	"i_into"	"into_a"	"and_as_i"	"as_i_into"	"i_into_a"	"into_a_seat"	"CC"	"IN"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"door"	"of"	"the"	"d"	"slide"	"shut"	"and"	"as"	"i"	"drop"	"into"	"a"	"seat"	"and"	"exhale"	"look"	"up"	"across"	"the"	"aisle"	"the"	"whole"	"aviary"	"in"	"my"	"head"	"burst"	"into"	"song"	"0"	"0"	"0"	"0"	
"2:33:00::"	"they"	"their"	"as"	"sixth"	"as_they"	"they_their"	"their_sixth"	"major-league_club_as_they"	"as_they_their"	"they_their_sixth"	"their_sixth_straight"	"NN"	"IN"	"PRP"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"tonight"	"retain"	"the"	"distinction"	"of"	"be"	"only"	"winless"	"team"	"among"	"the"	"eighteen"	"major-league_club"	"as"	"they"	"drop"	"their"	"sixth"	"straight"	"spring"	"exhibition"	"decision"	"this"	"one"	"to"	"the"	"kansas_city"	"group"	"by"	"a"	"score"	"of"	"to"	"0"	"0"	
"2:30:00::"	"had"	"to"	"weight"	"180"	"weight_had"	"had_to"	"to_180"	"'s_weight_had"	"weight_had_to"	"had_to_180"	"to_180_-"	"POS"	"NN"	"VBD"	"VB"	"TO"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"was"	"induct"	"into"	"the"	"group"	"location"	"location"	"person"	"weight"	"had"	"drop"	"to"	"too"	"light"	"for"	"me"	"to"	"be"	"at"	"my"	"best"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"would"	"from"	"they"	"her"	"they_would"	"would_from"	"from_her"	"as_they_would"	"they_would_from"	"would_from_her"	"from_her_own"	"IN"	"PRP"	"MD"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"her"	"trembling"	"hand"	"with"	"the"	"pen"	"grasp"	"tight"	"in"	"it"	"was"	"press"	"against"	"the"	"paper"	"word"	"come"	"sharply"	"smoothly"	"as"	"authoritatively"	"they"	"would"	"drop"	"from"	"her"	"own"	"lip"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"being"	"on"	"not"	"enemy"	"not_being"	"being_on"	"on_enemy"	"are_not_being"	"not_being_on"	"being_on_enemy"	"on_enemy_target"	"VBP"	"RB"	"VBG"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nuclear"	"war"	"is"	"already"	"being"	"fight"	"that"	"the"	"bomb"	"are"	"not"	"being"	"drop"	"on"	"enemy"	"target"	"not_yet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
