"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"3:00:00::"	"be"	"."	"they"	"∅"	"they_be"	"be_."	"._∅"	"-_they_be"	"they_be_."	"be_._∅"	"._∅_∅"	"ε"	"PRP"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"russian"	"gymnast"	"beat_the_tar_out_of"	"the"	"american"	"gymnast"	"in"	"olympics"	"for"	"one"	"reason"	"they"	"be"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"the"	"begin"	"result"	"begin_the"	"the_the"	"the_result"	"soon_begin_the"	"begin_the_the"	"the_the_result"	"the_result_."	"RB"	"VB"	"DT"	"JJ"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"backbend"	"be"	"of"	"extreme"	"importance"	"to"	"any"	"form"	"of"	"free"	"and"	"as"	"with"	"all"	"acrobatics"	"the"	"soon"	"begin"	"the"	"better"	"the"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"could"	"be"	"feel"	"spend"	"feel_could"	"could_be"	"be_spend"	"person_feel_could"	"feel_could_be"	"could_be_spend"	"be_spend_provide"	"NNP"	"VB"	"MD"	"RB"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"construe"	"this"	"as"	"a"	"veiled"	"effort"	"by"	"person"	"to"	"dallas"	"and"	"large"	"city"	"get"	"money"	"which"	"person"	"feel"	"could"	"better"	"be"	"spend"	"provide"	"water"	"for"	"rural"	"texas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:advisable:00"	"``"	"cancel"	":"	"the"	":_``"	"``_cancel"	"cancel_the"	"say_:_``"	":_``_cancel"	"``_cancel_the"	"cancel_the_group"	"VB"	"ε"	"ε"	"JJ"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"query"	"about"	"the"	"impasse"	"say"	"better"	"cancel"	"the"	"group"	"for_the_time_being"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"perhaps"	"."	"and"	"∅"	"and_perhaps"	"perhaps_."	"._∅"	",_and_perhaps"	"and_perhaps_."	"perhaps_._∅"	"._∅_∅"	"ε"	"CC"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"see"	"fiorello"	"perform"	"in"	"new_york"	"by"	"the"	"original"	"cast"	"and"	"i"	"this"	"company"	"be"	"every_bit"	"as"	"good"	"and"	"perhaps"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"even"	"than"	"''"	"it"	"''_even"	"even_than"	"than_it"	"little_tin_box_''_even"	"''_even_than"	"even_than_it"	"than_it_was"	"NNP"	"ε"	"RB"	"JJ"	"IN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"fascinating"	"novelty"	"in"	"the"	"score"	"as"	"the"	"fugal"	"treatment"	"of"	"on_the_side_of_the_angels"	"and"	"politics_and_poker"	"were"	"handle"	"splendidly"	"and"	"i"	"think"	"person"	"and"	"his"	"band"	"tuneful"	"ward-heeler"	"make"	"little_tin_box"	"even"	"better"	"than"	"it"	"was"	"do"	"by"	"the"	"new_york"	"cast"	"all"	"the"	"words"	"of"	"its"	"clever"	"lyric"	"come_through"	"with"	"perfect"	"clarity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"company"	"they"	"than"	"they_be"	"be_company"	"company_than"	"why_they_be"	"they_be_company"	"be_company_than"	"company_than_most"	"WRB"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chicken"	"have"	"short"	"memory"	"the"	"doctor"	"remark"	"that"	"they"	"be"	"better"	"company"	"than"	"most"	"people"	"i"	"know"	"and"	"he"	"go_on"	"to"	"break"	"some"	"important"	"news"	"to"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"person"	"and"	"home"	"and_the"	"the_person"	"person_home"	"church_and_the"	"and_the_person"	"the_person_home"	"person_home_might"	"NN"	"CC"	"DT"	"JJ"	"NNP"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"look"	"about"	"a_bit"	"person"	"discover"	"beyond"	"location"	"across"	"the"	"river"	"far"	"removed"	"from"	"the"	"white"	"city"	"a"	"considerable"	"tract"	"of"	"land"	"and"	"occur"	"to"	"him"	"that"	"the"	"church"	"and"	"the"	"better"	"person"	"home"	"might"	"gradually"	"be"	"move"	"to"	"this"	"plot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"church"	"have"	","	"have_a"	"a_church"	"church_,"	"must_have_a"	"have_a_church"	"a_church_,"	"church_,_a"	"MD"	"VB"	"DT"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"stress"	"the"	"fact"	"that"	"clear"	"this"	"be"	"they"	"must"	"have"	"a"	"better"	"church"	"a"	"more"	"businesslike"	"conduct"	"of"	"the"	"church"	"organization"	"and"	"an"	"effort"	"to"	"get_out"	"this"	"religious"	"center"	"out_of"	"its"	"rut"	"of"	"wild"	"worship"	"into"	"a"	"modern"	"church"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"``"	"."	":"	"∅"	":_``"	"``_."	"._∅"	"reply_:_``"	":_``_."	"``_._∅"	"._∅_∅"	"NN"	"ε"	"ε"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"person"	"or"	"person"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"."	"common"	"∅"	"common_the"	"the_."	"._∅"	"and_common_the"	"common_the_."	"the_._∅"	"._∅_∅"	"CC"	"JJ"	"DT"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"us"	"work_through"	"an"	"example"	"the"	"simple"	"and"	"common"	"the"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"know"	"than"	"he"	"to"	"he_know"	"know_than"	"than_to"	"but_he_know"	"he_know_than"	"know_than_to"	"than_to_do"	"CC"	"PRP"	"VB"	"RB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go"	"downstairs"	"with"	"the"	"tray"	"person"	"wish"	"he"	"have"	"give_in"	"to"	"person"	"but"	"he"	"know"	"better"	"than"	"to"	"do"	"what"	"she"	"say"	"when"	"she"	"have"	"that"	"little"	"girl"	"look"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	"look"	"get"	"at"	"get_a"	"a_look"	"look_at"	"could_get_a"	"get_a_look"	"a_look_at"	"look_at_his"	"VB"	"VB"	"DT"	"JJ"	"NN"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"show"	"her"	"surprise"	"by"	"tighten"	"the"	"rein"	"and"	"the"	"gelding"	"around"	"so"	"that"	"she"	"could"	"get"	"a"	"better"	"look"	"at"	"his"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"no"	"answer"	"be"	"to"	"be_no"	"no_answer"	"answer_to"	"there_be_no"	"be_no_answer"	"no_answer_to"	"answer_to_give"	"EX"	"VB"	"DT"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"one"	"ask"	"about"	"this"	"play"	"what"	"it"	"be"	"that"	"come_upon"	"this"	"and"	"work"	"within"	"it"	"with"	"such"	"terrible"	"power"	"there"	"be"	"no"	"better"	"answer"	"to"	"give"	"than"	"spirit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"move"	"carry"	"'ll"	"a_little"	"'ll_move"	"move_carry"	"carry_a_little"	"i_'ll_move"	"'ll_move_carry"	"move_carry_a_little"	"carry_a_little_less"	"PRP"	"MD"	"VB"	"RB"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"feel"	"good"	"physically"	"person"	"add"	"but"	"i"	"i"	"move"	"better"	"carry"	"a_little"	"less"	"weight"	"than"	"i'm"	"carry"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"a"	"job"	"do"	"with"	"do_a"	"a_job"	"job_with"	"can_do_a"	"do_a_job"	"a_job_with"	"job_with_the"	"MD"	"VB"	"DT"	"RB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"think"	"i"	"do"	"a"	"better"	"job"	"with"	"the"	"glove"	"now"	"that"	"i"	"know"	"the"	"hitter"	"around"	"the"	"league"	"a_little"	"better"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
