"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"4:02:00::"	"up"	"spy"	"him"	"on"	"him_up"	"up_spy"	"spy_on"	"want_him_up"	"him_up_spy"	"up_spy_on"	"spy_on_what"	"VB"	"PRP"	"IN"	"RB"	"VB"	"IN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"on_earth"	"be"	"in"	"person"	"mind"	"she"	"want"	"him"	"up"	"there"	"spy"	"on"	"what"	"the"	"cop"	"were"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"comfortable"	","	"more"	"person"	"more_comfortable"	"comfortable_,"	",_person"	"sight_more_comfortable"	"more_comfortable_,"	"comfortable_,_person"	",_person_''"	"NN"	"RB"	"JJ"	"RB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"be"	"a"	"darn"	"more"	"comfortable"	"there"	"person"	"person"	"say"	"laugh"	"and"	"they"	"all"	"laugh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"stand"	"and"	"have"	"die"	"have_stand"	"stand_and"	"and_die"	"would_have_stand"	"have_stand_and"	"stand_and_die"	"and_die_there"	"MD"	"VB"	"VB"	"RB"	"CC"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"stand"	"there"	"and"	"die"	"there"	"if"	"leave"	"to"	"myself"	"but"	"person"	"grab"	"my"	"arm"	"in"	"his"	"viselike"	"grip"	"and"	"fairly"	"pluck"	"me"	"out"	"of"	"there"	"and_then"	"i"	"come_to"	"some"	"sanity"	"and"	"plunge"	"away"	"with"	"such"	"extraordinary"	"speed"	"that"	"i"	"outdistance"	"person"	"by_far"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"die"	"if"	"and"	"leave"	"and_die"	"die_if"	"if_leave"	"there_and_die"	"and_die_if"	"die_if_leave"	"if_leave_to"	"RB"	"CC"	"VB"	"RB"	"IN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"have"	"there"	"and"	"die"	"there"	"if"	"leave"	"to"	"myself"	"but"	"person"	"grab"	"my"	"arm"	"in"	"his"	"viselike"	"grip"	"and"	"fairly"	"pluck"	"me"	"out"	"of"	"there"	"and_then"	"i"	"come_to"	"some"	"sanity"	"and"	"plunge"	"away"	"with"	"such"	"extraordinary"	"speed"	"that"	"i"	"outdistance"	"person"	"by_far"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"of"	";"	"out"	"and_then"	"out_of"	"of_;"	";_and_then"	"me_out_of"	"out_of_;"	"of_;_and_then"	";_and_then_i"	"PRP"	"IN"	"IN"	"RB"	"ε"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"have"	"stand"	"there"	"and"	"die"	"there"	"if"	"leave"	"to"	"myself"	"but"	"grab"	"my"	"arm"	"in"	"his"	"viselike"	"grip"	"and"	"fairly"	"pluck"	"me"	"out"	"of"	"there"	"and_then"	"i"	"come_to"	"some"	"sanity"	"and"	"plunge"	"away"	"with"	"such"	"extraordinary"	"speed"	"that"	"i"	"outdistance"	"person"	"by_far"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"stand"	"and"	","	"argue"	",_stand"	"stand_and"	"and_argue"	"hypocrite_,_stand"	",_stand_and"	"stand_and_argue"	"and_argue_that"	"NN"	"ε"	"VB"	"RB"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"aware"	"that"	"he"	"seem"	"like"	"a"	"hypocrite"	"stand"	"there"	"and"	"argue"	"that"	"he"	"could"	"not"	"permit"	"a"	"public"	"performance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"stand"	","	"she"	"a"	"she_stand"	"stand_,"	",_a"	"∅_she_stand"	"she_stand_,"	"stand_,_a"	",_a_large"	"ε"	"PRP"	"VB"	"RB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stand"	"there"	"a"	"large"	"old_woman"	"smile"	"at"	"the"	"thing"	"she"	"would"	"say"	"to"	"him"	"in"	"the"	"morning"	"this"	"big"	"foolish"	"baby"	"of"	"a"	"son"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"stand"	"angrily"	"somebody"	"in"	"somebody_stand"	"stand_angrily"	"angrily_in"	"run_into_somebody_stand"	"somebody_stand_angrily"	"stand_angrily_in"	"angrily_in_a"	"VB"	"NN"	"VB"	"RB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"top"	"of"	"stairs"	"he"	"run_into"	"somebody"	"stand"	"there"	"angrily"	"in"	"a"	"dressing_gown"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"out"	","	"people"	"who"	"people_out"	"out_,"	",_who"	"unseen_people_out"	"people_out_,"	"out_,_who"	",_who_might"	"JJ"	"NN"	"IN"	"RB"	"ε"	"WP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"everyone"	"be"	"ambivalent"	"about"	"his"	"profession"	"if"	"he"	"has"	"practised"	"it"	"long"	"enough"	"but"	"there"	"still"	"moment"	"when"	"he"	"love"	"the"	"stage"	"and"	"all"	"those"	"unseen"	"people"	"out"	"there"	"who"	"might"	"cheer"	"you"	"or"	"boo"	"you"	"but"	"that"	"be"	"largely"	"though"	"not"	"entirely"	"up_to_you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"in"	"in"	"lie"	"the"	"lie_in"	"in_in"	"in_the"	"person_lie_in"	"lie_in_in"	"in_in_the"	"in_the_gloom"	"NNP"	"VB"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"person"	"in"	"the"	"gray"	"light"	"of"	"afternoon"	"stare"	"across"	"at"	"the"	"opposite"	"his"	"tent"	"and"	"think_of"	"person"	"lie"	"in"	"there"	"in"	"the"	"gloom"	"snore"	"on"	"his"	"bunk"	"with"	"the"	"fumes"	"of"	"whisky"	"choke"	"the"	"air"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"stand"	","	"was"	"he"	"was_stand"	"stand_,"	",_he"	"he_was_stand"	"was_stand_,"	"stand_,_he"	",_he_think"	"PRP"	"VB"	"VB"	"RB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"stand"	"there"	"he"	"think"	"in"	"virginia"	"in"	"the"	"thickening"	"dusk"	"in"	"a"	"costly"	"greatcoat"	"that"	"had"	"belong_to"	"another"	"jew"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"right"	"."	"me"	"∅"	"me_right"	"right_."	"._∅"	"get_me_right"	"me_right_."	"right_._∅"	"._∅_∅"	"VB"	"PRP"	"RB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"that"	"he"	"take"	"my"	"and"	"get"	"me"	"right"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	","	"be"	"they"	"be_not"	"not_,"	",_they"	"he_be_not"	"be_not_,"	"not_,_they"	",_they_would"	"PRP"	"VB"	"RB"	"RB"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"if"	"be"	"not"	"there"	"they"	"would"	"have"	"miss"	"him"	"as"	"they"	"would"	"have"	"miss"	"the"	"sound"	"of"	"bee"	"buzz"	"against"	"the"	"screen_door"	"in"	"early"	"june"	"or"	"the"	"smell"	"of"	"thick"	"tomato_paste"	"the"	"ripe"	"smell"	"that"	"be"	"both"	"sweet"	"and"	"sour"	"rise_up"	"from"	"aluminum"	"tray"	"wrapped"	"in"	"fly"	"dotted"	"cheesecloth"	
"4:02:00::"	"sit"	"with"	"he"	"his"	"he_sit"	"sit_with"	"with_his"	"way_he_sit"	"he_sit_with"	"sit_with_his"	"with_his_eye"	"NN"	"PRP"	"VB"	"RB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"seem"	"to"	"be"	"a"	"purpose"	"in"	"the"	"way"	"he"	"sit"	"there"	"with"	"his"	"eye"	"glue"	"to"	"location"	"and"	"his"	"back"	"in_opposition"	"to"	"the"	"church"	"behind"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"the"	","	"memory"	",_and"	"and_the"	"the_memory"	"flowering_,_and"	",_and_the"	"and_the_memory"	"the_memory_be"	"NN"	"ε"	"CC"	"RB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"long"	"settled"	"area"	"of"	"state"	"like"	"virginia"	"and"	"develop"	"the"	"antebellum"	"culture"	"to"	"its"	"rich"	"flowering"	"and"	"there"	"the"	"memory"	"be"	"more"	"precious"	"and"	"the"	"consciousness"	"of"	"loss"	"the"	"great"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"up"	"''"	"way"	"."	"way_up"	"up_''"	"''_."	"one_way_up"	"way_up_''"	"up_''_."	"''_._∅"	"JJ"	"RB"	"RB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"know"	"it"	"all_along"	"confess"	"person"	"with"	"a"	"grin"	"but"	"i"	"just"	"happen"	"to"	"think"	"much"	"nice"	"it"	"would"	"be"	"to"	"drop"	"one"	"way"	"up"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
