"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"1:04:00::"	"binomial"	"result"	"n-trial"	"in"	"n-trial_binomial"	"binomial_result"	"result_in"	"an_n-trial_binomial"	"n-trial_binomial_result"	"binomial_result_in"	"result_in_some"	"DT"	"NN"	"JJ"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"performance"	"an"	"n-trial"	"binomial"	"experiment"	"result"	"in"	"some"	"whole_number"	"from"	"through"	"n"	"as"	"the"	"value"	"of"	"the"	"random_variable"	"x"	"where"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"binomial"	"consist_of"	"a"	"*"	"a_binomial"	"binomial_consist_of"	"consist_of_*"	"∅_a_binomial"	"a_binomial_consist_of"	"binomial_consist_of_*"	"consist_of_*_*"	"ε"	"DT"	"JJ"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"binomial"	"experiment"	"consist_of"	"f"	"independent"	"binomial"	"trial"	"all"	"with"	"the"	"same"	"probability"	"f"	"of"	"yield"	"a"	"success"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"binomial"	"produce"	"a"	"either"	"a_binomial"	"binomial_produce"	"produce_either"	"of_a_binomial"	"a_binomial_produce"	"binomial_produce_either"	"produce_either_0"	"IN"	"DT"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"binomial"	"of"	"a"	"binomial"	"experiment"	"produce"	"either"	"or"	"success"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"ideal"	"in"	"an"	"which"	"an_ideal"	"ideal_in"	"in_which"	"thus_an_ideal"	"an_ideal_in"	"ideal_in_which"	"in_which_we"	"RB"	"DT"	"JJ"	"NN"	"RB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"argument"	"thus"	"an"	"ideal"	"experiment"	"in"	"which"	"we"	"use"	"the"	"method"	"of"	"difference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"∅"	"were"	"∅"	"make"	"∅_∅"	"∅_were"	"were_make"	"∅_∅_∅"	"∅_∅_were"	"∅_were_make"	"were_make_on"	"ε"	"ε"	"ε"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"were"	"make"	"on"	"an"	"electric"	"arc"	"apply"	"a"	"porous"	"graphite"	"anode"	"cool"	"by"	"a"	"transpiring"	"gas"	"argon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"is"	"in"	"show"	"in_the"	"the_is"	"is_show"	"use_in_the"	"in_the_is"	"the_is_show"	"is_show_in"	"VB"	"IN"	"DT"	"NN"	"VB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"anode"	"use"	"in"	"the"	"experiment"	"is"	"show"	"in"	"figure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"these"	"can"	"∅"	"be"	"∅_these"	"these_can"	"can_be"	"∅_∅_these"	"∅_these_can"	"these_can_be"	"can_be_consider"	"ε"	"ε"	"DT"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"experiment"	"can"	"be"	"consider"	"exploratory"	"only"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"few"	"*"	"first"	"*"	"first_few"	"few_*"	"*_*"	"the_first_few"	"first_few_*"	"few_*_*"	"*_*_f"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"first"	"few"	"experiment"	"f"	"was"	"pass_through"	"dowex-2-chloride"	"twice"	"and"	"absorb"	"twice"	"with"	"mg"	"sweet_clover"	"tissue"	"powder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"later"	","	"in"	"*"	"in_later"	"later_,"	",_*"	"∅_in_later"	"in_later_,"	"later_,_*"	",_*_*"	"ε"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"later"	"experiment"	"f"	"and"	"f"	"were"	"prepare"	"by"	"conjugate"	"mg"	"of"	"fitc"	"per"	"gram"	"of"	"globulin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"first"	"in"	"'s"	"recorded"	"'s_first"	"first_in"	"in_recorded"	"person_'s_first"	"'s_first_in"	"first_in_recorded"	"in_recorded_sound"	"NNP"	"POS"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"reading"	"and"	"instruction"	"to"	"be"	"hear"	"on"	"disc"	"than"	"ever"	"before"	"although"	"the"	"spoken"	"rather_than"	"the"	"sung"	"word"	"be"	"as"	"old"	"as"	"person"	"first"	"in"	"recorded"	"sound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"some"	"with"	"make"	"the"	"make_some"	"some_with"	"with_the"	"n't_make_some"	"make_some_with"	"some_with_the"	"with_the_bar"	"RB"	"VB"	"DT"	"NN"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"i"	"suggest"	"that"	"you"	"hold"	"the"	"bar"	"at"	"the"	"back"	"of"	"the"	"neck"	"no"	"reason"	"why"	"you"	"n't"	"make"	"some"	"experiment"	"with"	"the"	"bar"	"hold"	"in_front_of"	"the"	"neck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"'s"	"and"	"person"	"therapeutic"	"person_'s"	"'s_and"	"and_therapeutic"	"∅_person_'s"	"person_'s_and"	"'s_and_therapeutic"	"and_therapeutic_work"	"ε"	"NNP"	"POS"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"experiment"	"and"	"therapeutic"	"work"	"lie_in"	"this"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
