"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"3:00:00::"	"the"	"example"	"of"	"of"	"of_the"	"the_example"	"example_of"	"one_of_the"	"of_the_example"	"the_example_of"	"example_of_network"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"network"	"for"	"military"	"be"	"one"	"of"	"the"	"best"	"example"	"of"	"network"	"which"	"not_only"	"must"	"be"	"change"	"with"	"the"	"change"	"in"	"objective"	"but"	"also"	"must"	"be"	"change"	"with"	"the"	"addition"	"of"	"new"	"machine"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"in"	"of"	"the"	"of_the"	"the_in"	"in_the"	"one_of_the"	"of_the_in"	"the_in_the"	"in_the_film"	"NN"	"IN"	"DT"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"episode"	"in"	"which"	"person"	"conclude"	"the"	"joke"	"that"	"is"	"play"	"on"	"him"	"when"	"be"	"facetiously"	"put"	"in"	"command"	"of"	"an"	"island"	"be"	"one"	"of"	"the"	"best"	"in"	"the"	"film"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"very"	"gibson_girl"	"the"	"manner"	"the_very"	"very_gibson_girl"	"gibson_girl_manner"	"in_the_very"	"the_very_gibson_girl"	"very_gibson_girl_manner"	"gibson_girl_manner_."	"IN"	"DT"	"RB"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sparrow"	"size"	"person"	"with"	"sparkling"	"blue"	"eye"	"and"	"a"	"cheerful"	"smile"	"make"	"a"	"suitably"	"perky"	"person"	"while"	"person"	"as"	"real"	"aunt"	"be"	"monumental"	"in"	"the"	"very"	"best"	"gibson_girl"	"manner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"home_run"	"not_only"	"hitter"	"not_only_the"	"the_home_run"	"home_run_hitter"	"be_not_only_the"	"not_only_the_home_run"	"the_home_run_hitter"	"home_run_hitter_,"	"VB"	"RB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"possibility"	"the"	"speed"	"and"	"power"	"of"	"the"	"body"	"beautiful"	"he"	"before"	"him"	"person"	"want"	"no."	"to"	"be"	"not_only"	"the"	"best"	"home_run"	"hitter"	"but"	"also"	"the"	"best"	"bunter"	"base_runner"	"and"	"outfielder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"bunter"	"also"	","	"also_the"	"the_bunter"	"bunter_,"	"but_also_the"	"also_the_bunter"	"the_bunter_,"	"bunter_,_base_runner"	"CC"	"RB"	"DT"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"possibility"	"the"	"speed"	"and"	"power"	"of"	"the"	"body"	"beautiful"	"he"	"see"	"before"	"him"	"person"	"no."	"to"	"be"	"not_only"	"the"	"best"	"home_run"	"hitter"	"but"	"also"	"the"	"best"	"bunter"	"base_runner"	"and"	"outfielder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"'d"	"get"	"you"	"that"	"you_'d"	"'d_get"	"get_that"	"``_you_'d"	"you_'d_get"	"'d_get_that"	"get_that_whisky"	"ε"	"PRP"	"MD"	"RB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"get"	"that"	"whisky"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"way"	"be"	"."	"be_the"	"the_way"	"way_."	"this_be_the"	"be_the_way"	"the_way_."	"way_._∅"	"DT"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"he"	"tell"	"himself"	"be"	"the"	"best"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"interest"	"to"	"of"	"to_the"	"the_interest"	"interest_of"	"inure_to_the"	"to_the_interest"	"the_interest_of"	"interest_of_both"	"VB"	"TO"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"grand_jury"	"comment"	"on"	"a"	"number"	"of"	"topic"	"among"	"them"	"the"	"atlanta"	"and"	"location"	"purchasing_department"	"which"	"it"	"say"	"be"	"operate"	"and"	"follow"	"generally"	"accepted"	"practice"	"which"	"inure"	"to"	"the"	"best"	"interest"	"of"	"both"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"their"	"to"	"try"	"fulfill"	"try_their"	"their_to"	"to_fulfill"	"art_school_try_their"	"try_their_to"	"their_to_fulfill"	"to_fulfill_their"	"NN"	"VB"	"PRP$"	"JJ"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old"	"established"	"art_school"	"try"	"their"	"best"	"to"	"fulfill"	"their"	"obligation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"procedure"	"work"	"for"	"work_the"	"the_procedure"	"procedure_for"	"our_work_the"	"work_the_procedure"	"the_procedure_for"	"procedure_for_remove"	"PRP$"	"NN"	"DT"	"JJ"	"NN"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"work"	"the"	"best"	"procedure"	"for"	"remove"	"substance"	"cause"	"nonspecific"	"staining"	"in_order"	"to"	"obtain"	"specific"	"conjugate"	"was"	"to"	"pass_through"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"column"	"and"	"in"	"some"	"case"	"to"	"absorb"	"the"	"first"	"and"	"second"	"milliliter"	"fraction"	"with"	"sweet_clover"	"tissue"	"powder"	
"1:04:00::"	"my"	"''"	"at"	"he"	"at_my"	"my_''"	"''_he"	"be_at_my"	"at_my_''"	"my_''_he"	"''_he_say"	"VB"	"RB"	"PRP$"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"was"	"induct"	"into"	"the"	"group"	"at"	"location"	"location"	"person"	"weight"	"had"	"to"	"too"	"light"	"for"	"me"	"to"	"be"	"at"	"my"	"best"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"work"	"for"	"exercise"	"them"	"exercise_work"	"work_for"	"for_them"	"what_exercise_work"	"exercise_work_for"	"work_for_them"	"for_them_and"	"WP"	"NN"	"VB"	"RB"	"IN"	"PRP"	"CC"	"they"	"could"	"n't"	"have"	"entrust"	"person"	"to"	"better"	"hands"	"because"	"le_professeur"	"know"	"his"	"muscle"	"from"	"the"	"sternocleido_mastoideus"	"of"	"the"	"neck"	"right"	"down"	"to"	"the"	"tibialis_anticus"	"of"	"the"	"leg"	"and"	"better"	"still"	"he"	"know"	"just"	"what"	"work"	"best"	"for"	"them"	"and"	"what"	"person"	"principle"	"to"	"combine"	"them"	"with"	"for"	"fast"	"fast"	"muscle"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"of"	"not"	"which"	"not_the"	"the_of"	"of_which"	"be_not_the"	"not_the_of"	"the_of_which"	"of_which_he"	"VB"	"RB"	"DT"	"JJ"	"RB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"it"	"not"	"the"	"best"	"of"	"which"	"he"	"be"	"capable"	"say"	"person"	"as"	"he"	"close"	"the"	"book"	"it"	"be"	"still"	"poetry"	"of"	"a"	"high"	"order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"defensive"	"have"	"record"	"have_the"	"the_defensive"	"defensive_record"	"group_have_the"	"have_the_defensive"	"the_defensive_record"	"defensive_record_("	"NNP"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"lead"	"in"	"per"	"game"	"rushing"	"average"	"yard"	"and"	"passing"	"to"	"group"	"idle"	"group"	"have"	"the"	"best"	"defensive"	"record"	"yard"	"per"	"game"	"to"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"to"	"it"	"have"	"it_be"	"be_to"	"to_have"	",_it_be"	"it_be_to"	"be_to_have"	"to_have_a"	"ε"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"site"	"planning"	"it"	"be"	"best"	"to"	"have"	"a"	"qualified"	"and"	"experienced"	"park"	"planner"	"to"	"carry_through"	"the"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"site"	"look_for"	"available"	"look_for_the"	"the_site"	"site_available"	"in_look_for_the"	"look_for_the_site"	"the_site_available"	"site_available_that"	"IN"	"VB"	"DT"	"JJ"	"NN"	"JJ"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"best"	"site"	"available"	"that"	"meet"	"the"	"requirement"	"you"	"need"	"information"	"to"	"compare"	"the"	"site"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
