"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"
"1:10:00::"	"22"	")"	","	","	",_22"	"22_)"	")_,"	"9_,_22"	",_22_)"	"22_)_,"	")_,_ratio"	"NN"	"ε"	"NN"	"NN"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"have"	"left"	"as"	"reasonably"	"comparable"	"be"	"four"	"class"	"body_part"	"and"	"product"	"which"	"with"	"a"	"proportionally"	"nearly"	"even"	"representation"	"term"	"out"	"of"	"out"	"of"	"come_out"	"with"	"nearly"	"even"	"ratio"	"and"	"nature"	"term"	"against"	"ratio"	"versus"	"adjective"	"term"	"ratio"	"versus"	"verb"	"term"	"ratio"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"or"	"of"	"form"	"language"	"form_or"	"or_of"	"of_language"	"particular_form_or"	"form_or_of"	"or_of_language"	"of_language_can"	"JJ"	"NN"	"CC"	"NN"	"IN"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"practical"	"operational"	"problem"	"of"	"lexicostatistics"	"be"	"the"	"establishment"	"of"	"a"	"list"	"of"	"item"	"of"	"meaning"	"against"	"which"	"the"	"particular"	"form"	"or"	"term"	"of"	"language"	"can"	"be"	"match"	"as"	"the"	"medium"	"of"	"comparison"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"unusual"	"use"	"highly"	"in"	"highly_unusual"	"unusual_use"	"use_in"	"of_highly_unusual"	"highly_unusual_use"	"unusual_use_in"	"use_in_connection"	"IN"	"RB"	"JJ"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dharma_dictionary"	"a"	"of"	"highly"	"unusual"	"term"	"use"	"in"	"connection"	"with"	"eurasian"	"proto-senility"	"cult"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"glowing"	"of"	"most"	"the"	"most_glowing"	"glowing_of"	"of_the"	"the_most_glowing"	"most_glowing_of"	"glowing_of_the"	"of_the_promise"	"RB"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"titillating"	"it"	"be"	"to"	"go"	"among"	"people"	"who"	"did"	"not"	"him"	"as"	"the"	"composer"	"but"	"who"	"talk"	"in"	"the"	"most"	"glowing"	"term"	"of"	"the"	"promise"	"of"	"the"	"piece"	"after"	"having"	"hear"	"the"	"first"	"rehearsal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	"``"	"∅"	"extremely"	"∅_person"	"person_``"	"``_extremely"	"∅_∅_person"	"∅_person_``"	"person_``_extremely"	"``_extremely_conservative"	"ε"	"ε"	"NNP"	"VB"	"ε"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"term"	"extremely"	"conservative"	"his"	"estimate"	"that"	"it"	"would"	"produce"	"million"	"dollar"	"to"	"help"	"erase"	"an"	"anticipated"	"deficit"	"of"	"million"	"dollar"	"at"	"the"	"end"	"of"	"the"	"current"	"fiscal_year"	"next"	"aug"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"reasonable"	"."	"on"	"∅"	"on_reasonable"	"reasonable_."	"._∅"	"source_on_reasonable"	"on_reasonable_."	"reasonable_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sba"	"makes"	"loan"	"to"	"individual"	"small"	"business_firm"	"provide"	"them"	"with"	"financing"	"it"	"be"	"not"	"available"	"through"	"private"	"lending"	"source"	"on"	"reasonable"	"term"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"reasonable"	")"	"on"	","	"on_reasonable"	"reasonable_)"	")_,"	"them_on_reasonable"	"on_reasonable_)"	"reasonable_)_,"	")_,_be"	"PRP"	"IN"	"JJ"	"NN"	"ε"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sba"	"loan"	"which"	"may"	"be"	"made"	"to"	"small"	"manufacturer"	"small"	"business"	"pool"	"wholesaler"	"retailer"	"service"	"establishment"	"small"	"business"	"when"	"financing"	"be"	"not"	"available"	"to"	"them"	"on"	"reasonable"	"term"	"be"	"to"	"finance"	"business"	"construction"	"conversion"	"or"	"expansion"	"the"	"purchase"	"of"	"equipment"	"facility"	"machinery"	"supply"	"or"	"material"	"or"	"to"	"supply"	"working_capital"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"reasonable"	"."	"on"	"∅"	"on_reasonable"	"reasonable_."	"._∅"	"source_on_reasonable"	"on_reasonable_."	"reasonable_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"help"	"is"	"offer"	"to"	"applicant"	"who"	"ordinarily"	"would"	"not"	"undertake"	"the"	"exploration"	"under"	"present"	"condition"	"circumstance"	"at"	"their"	"sole"	"expense"	"and"	"who"	"be"	"unable"	"to"	"obtain"	"funds"	"from"	"commercial"	"source"	"on"	"reasonable"	"term"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"in"	"end"	"say"	"presentment"	"say_in"	"in_end"	"end_presentment"	"far_say_in"	"say_in_end"	"in_end_presentment"	"end_presentment_that"	"RB"	"VB"	"IN"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jury"	"say"	"in"	"term"	"end"	"presentment"	"that"	"the"	"group"	"which"	"have"	"overall"	"charge"	"of"	"the"	"election"	"deserve"	"the"	"praise"	"and"	"thanks"	"of"	"the"	"location"	"for"	"the"	"manner"	"in"	"which"	"the"	"election"	"was"	"conduct"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"october"	"jury"	"september"	"had"	"september_october"	"october_jury"	"jury_had"	"the_september_october"	"september_october_jury"	"october_jury_had"	"jury_had_been"	"DT"	"NN"	"NN"	"NN"	"NN"	"VBD"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"october"	"term"	"jury"	"had"	"been"	"charge"	"by"	"location"	"person"	"to"	"investigate"	"report"	"of"	"irregularity"	"in"	"the"	"hard-fought"	"primary"	"which"	"was"	"win"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"more"	"to"	"one"	"make"	"one_more"	"more_to"	"to_make"	"wait_one_more"	"one_more_to"	"more_to_make"	"to_make_the"	"VB"	"JJ"	"JJ"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"crowd"	"was"	"ask"	"it"	"want"	"to"	"wait"	"one"	"more"	"term"	"to"	"make"	"the"	"race"	"it"	"vote"	"no"	"and"	"there"	"be"	"no"	"dissent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"basic"	"employ"	"the"	"."	"the_basic"	"basic_employ"	"employ_."	"of_the_basic"	"the_basic_employ"	"basic_employ_."	"employ_._∅"	"IN"	"DT"	"JJ"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"result"	"although"	"we"	"still"	"make"	"use"	"of"	"this"	"distinction"	"be"	"much"	"confusion"	"as_to"	"the"	"meaning"	"of"	"the"	"basic"	"term"	"employ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"'s"	"would"	"person"	"have"	"person_'s"	"'s_would"	"would_have"	"when_person_'s"	"person_'s_would"	"'s_would_have"	"would_have_come"	"WRB"	"NNP"	"POS"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of_course"	"will"	"hold"	"office"	"until"	"the"	"of"	"when"	"person"	"term"	"would"	"have"	"come"	"to"	"an"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
