"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"3:00:00::"	"so"	"of"	","	"nuance"	",_so"	"so_of"	"of_nuance"	"lusty_,_so"	",_so_of"	"so_of_nuance"	"of_nuance_of"	"JJ"	"ε"	"RB"	"JJ"	"IN"	"NN"	"IN"	"time"	"play"	"an"	"essential"	"part"	"in"	"our"	"mortality"	"and"	"suddenly"	"for"	"no"	"reason"	"he"	"could"	"imagine"	"or"	"admit"	"the"	"image"	"of"	"person"	"laugh"	"fill"	"his"	"mind"	"so"	"desirable"	"so"	"lusty"	"so"	"full"	"nuance"	"of"	"pleasure"	"and"	"joy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"of"	"today"	"bounce"	"today_be"	"be_of"	"of_bounce"	"twice_today_be"	"today_be_of"	"be_of_bounce"	"of_bounce_,"	"RB"	"NN"	"VB"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"company"	"which"	"perform"	"the"	"pulitzer_prize"	"musical"	"here"	"night"	"and"	"will"	"repeat"	"it"	"twice"	"today"	"be"	"full"	"of"	"bounce"	"the"	"politician"	"be"	"in"	"fine"	"voice"	"the"	"chorine"	"evoke"	"happy"	"memory"	"and"	"the"	"person"	"ride"	"to"	"break"	"a"	"lance"	"again"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"of"	"they"	"charm"	"they_be"	"be_of"	"of_charm"	",_they_be"	"they_be_of"	"be_of_charm"	"of_charm_,"	"ε"	"PRP"	"VB"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"for"	"the"	"they"	"be"	"full"	"of"	"charm"	"and"	"sincerity"	"and"	"deep"	"and"	"abiding"	"affection"	"for"	"this"	"hurrying"	"driving"	"honest"	"little"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"of"	"ledger"	"most"	"ledger_be"	"be_of"	"of_most"	"the_ledger_be"	"ledger_be_of"	"be_of_most"	"of_most_precise"	"DT"	"NN"	"VB"	"JJ"	"JJ"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"full"	"of"	"most"	"precise"	"information"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"still"	"of"	","	"ill_will"	",_still"	"still_of"	"of_ill_will"	"depart_,_still"	",_still_of"	"still_of_ill_will"	"of_ill_will_."	"VB"	"ε"	"RB"	"JJ"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"person"	"still"	"full"	"of"	"ill_will"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"a"	"minute"	"for"	","	"for_a"	"a_minute"	"minute_,"	"brood_for_a"	"for_a_minute"	"a_minute_,"	"minute_,_during"	"VB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"sit"	"for"	"a"	"full"	"minute"	"during"	"which"	"i"	"make"	"each"	"of"	"us"	"a"	"new"	"drink"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"to"	"and"	"raise"	"complete"	"raise_to"	"to_and"	"and_complete"	"be_raise_to"	"raise_to_and"	"to_and_complete"	"and_complete_membership"	"VB"	"VB"	"TO"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"participation"	"for"	"the"	"educator"	"in"	"this"	"case"	"would"	"have_to"	"be"	"raise"	"to"	"full"	"and"	"complete"	"membership"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"system"	"of"	"a"	"arsenic"	"a_system"	"system_of"	"of_arsenic"	"be_a_system"	"a_system_of"	"system_of_arsenic"	"of_arsenic_and"	"VB"	"DT"	"NN"	"JJ"	"IN"	"NN"	"CC"	"be"	"the"	"case"	"of"	"person"	"a"	"machinist"	"who"	"was"	"refer"	"by"	"a"	"friend"	"to"	"a"	"health"	"machine"	"quack"	"who"	"treat"	"him"	"with"	"a"	"so-called"	"diagnostic"	"machine"	"for"	"what"	"person"	"say"	"be"	"system"	"of"	"arsenic"	"and"	"strychnine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"tool_around"	"of"	"'re"	"gage"	"'re_tool_around"	"tool_around_of"	"of_gage"	"you_'re_tool_around"	"'re_tool_around_of"	"tool_around_of_gage"	"of_gage_in"	"PRP"	"VBP"	"VB"	"JJ"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"you"	"no_doubt"	"regard"	"the"	"preceding"	"pap"	"you"	"tool_around"	"full"	"of"	"gage"	"in"	"your"	"hot_rod"	"gorge"	"yourselves"	"on"	"pizza"	"and"	"play"	"pinball"	"in"	"the"	"tavern"	"and"	"generally"	"behave"	"like"	"ubermensch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:whole:00"	"the"	"potential"	"explore"	"of"	"explore_the"	"the_potential"	"potential_of"	"to_explore_the"	"explore_the_potential"	"the_potential_of"	"potential_of_the"	"TO"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"still"	"remain"	"the"	"need"	"for"	"great"	"film"	"artist"	"to"	"explore"	"the"	"full"	"potential"	"of"	"the"	"new"	"form"	"and"	"to"	"make"	"it"	"an"	"art"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
