"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"
"2:31:02::"	"communism"	"its"	"if"	"power"	"if_communism"	"communism_its"	"its_power"	"unhappy_if_communism"	"if_communism_its"	"communism_its_power"	"its_power_in"	"JJ"	"IN"	"NN"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cambodia"	"chief_of_state"	"who"	"has"	"been"	"accuse"	"of"	"harbor"	"communist"	"marauders"	"and"	"make"	"life"	"miserable"	"for"	"south"	"viet_nam"	"and"	"thailand"	"insist"	"he"	"would"	"be"	"very"	"unhappy"	"if"	"communism"	"establish"	"its"	"power"	"in"	"southeast_asia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"by"	"as"	"responsibility"	"conditions"	"responsibility_by"	"by_as"	"as_conditions"	"encourage_responsibility_by"	"responsibility_by_as"	"by_as_conditions"	"as_conditions_for"	"VB"	"NN"	"RB"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first"	"we"	"can"	"responsibility"	"by"	"establish"	"as"	"conditions"	"for"	"assistance"	"on"	"a"	"substantial"	"and"	"sustained"	"scale"	"the"	"definition"	"of"	"objectives"	"and"	"the"	"assessment"	"of"	"costs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"in"	"conditions"	"∅"	"of"	"∅_in"	"in_conditions"	"conditions_of"	"∅_∅_in"	"∅_in_conditions"	"in_conditions_of"	"conditions_of_self-help"	"ε"	"ε"	"IN"	"VB"	"NNS"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"establish"	"conditions"	"of"	"self-help"	"it"	"be"	"important"	"that"	"we"	"not"	"expect"	"countries"	"to"	"remake"	"themselves"	"in"	"our"	"image"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"also"	"tax_policies"	"but"	"design"	"but_also"	"also_tax_policies"	"tax_policies_design"	",_but_also"	"but_also_tax_policies"	"also_tax_policies_design"	"tax_policies_design_to"	"ε"	"CC"	"RB"	"VB"	"NN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"include"	"not_only"	"programing"	"but"	"also"	"establish"	"tax_policies"	"design"	"to"	"raise"	"equitably"	"resources"	"for"	"investment"	"fiscal"	"and"	"monetary"	"policies"	"design"	"to"	"prevent"	"serious"	"inflation"	"and"	"regulatory"	"policies"	"aim"	"to"	"attract"	"the"	"financial"	"and"	"managerial"	"resources"	"of"	"foreign"	"investment"	"and"	"to"	"prevent"	"excessive"	"luxury"	"consumption"	"by"	"a_few"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"was"	","	"principle"	"the"	"principle_was"	"was_,"	",_the"	"the_principle_was"	"principle_was_,"	"was_,_the"	",_the_increase"	"DT"	"NN"	"VBD"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"principle"	"was"	"establish"	"the"	"increase"	"in"	"state-owned"	"vehicles"	"come"	"rapidly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"he"	"a"	"today"	"record"	"today_he"	"he_a"	"a_record"	"because_today_he"	"today_he_a"	"he_a_record"	"a_record_of"	"IN"	"NN"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"pay"	"my"	"personal"	"tribute"	"to"	"sam_rayburn"	"stalwart"	"and"	"great"	"american"	"not_only"	"because"	"today"	"he"	"establish"	"a"	"record"	"of"	"having"	"serve"	"as"	"speaker"	"of"	"the"	"house_of_representatives"	"more_than"	"twice_as"	"long"	"as"	"henry_clay"	"but"	"because"	"of"	"the"	"contributions"	"he"	"has"	"make"	"to"	"the"	"welfare"	"of"	"the"	"people"	"of"	"the"	"nation"	"during"	"his"	"almost"	"half"	"century"	"of"	"service"	"as"	"a"	"member"	"of"	"congress"	
"2:31:02::"	"been"	"by"	"had"	"the"	"had_been"	"been_by"	"by_the"	"that_had_been"	"had_been_by"	"been_by_the"	"by_the_belgians"	"WDT"	"VBD"	"VBN"	"VB"	"IN"	"DT"	"NNPS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"final"	"factor"	"which"	"contribute"	"greatly"	"to"	"the"	"fragmentation"	"of"	"the"	"immediately"	"after"	"independence"	"be"	"the"	"provincial"	"structure"	"that"	"had"	"been"	"establish"	"by"	"the"	"belgians"	"for"	"convenience"	"in"	"administration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"for"	"meaningful"	"reasons"	"intergovernmental"	"reasons_for"	"for_meaningful"	"meaningful_intergovernmental"	"important_reasons_for"	"reasons_for_meaningful"	"for_meaningful_intergovernmental"	"meaningful_intergovernmental_reporting"	"JJ"	"NNS"	"IN"	"VB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"should"	"be"	"note"	"that"	"are"	"and"	"equally"	"important"	"reasons"	"for"	"establish"	"meaningful"	"intergovernmental"	"reporting"	"bases"	"on"	"a"	"uniform"	"fiscal_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"plans"	"uniform"	"plans_to"	"to_a"	"a_uniform"	"some_plans_to"	"plans_to_a"	"to_a_uniform"	"a_uniform_and"	"DT"	"NNS"	"TO"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"twelve"	"cities"	"and"	"towns"	"in"	"presently"	"indicate"	"some"	"plans"	"to"	"establish"	"a"	"uniform"	"and"	"or"	"coordinated"	"fiscal-tax"	"year"	"calendar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"need"	"uniform"	"need_to"	"to_a"	"a_uniform"	"adjustments_need_to"	"need_to_a"	"to_a_uniform"	"a_uniform_and"	"NNS"	"VB"	"VB"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"need"	"to"	"establish"	"a"	"uniform"	"and"	"coordinated"	"fiscal-tax"	"collection"	"year"	"calendar"	"throughout"	"rhode_island"	"base"	"on"	"a"	"july_1"	"june"	"year"	"are"	"show"	"below"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"uniformity"	"calendar"	"."	"calendar_to"	"to_uniformity"	"uniformity_."	"year_calendar_to"	"calendar_to_uniformity"	"to_uniformity_."	"uniformity_._∅"	"NN"	"NN"	"TO"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"six"	"cities"	"and"	"towns"	"be"	"now"	"on"	"a"	"july_1"	"june"	"fiscal_year"	"will"	"need"	"only"	"to"	"adjust"	"their"	"tax_collection"	"year"	"calendar"	"to"	"establish"	"uniformity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"institutions"	"for"	"to"	"white"	"to_institutions"	"institutions_for"	"for_white"	"endowments_to_institutions"	"to_institutions_for"	"institutions_for_white"	"for_white_people"	"NNS"	"TO"	"NNS"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"georgia_constitution"	"give"	"the"	"legislature"	"the"	"power"	"to"	"exempt"	"colleges"	"from"	"taxation"	"if"	"among"	"criteria"	"all"	"endowments"	"to"	"institutions"	"establish"	"for"	"white"	"people"	"shall"	"be"	"limit"	"to"	"white"	"people"	"and"	"all"	"endowments"	"to"	"institutions"	"establish"	"for"	"colored"	"people"	"shall"	"be"	"limit"	"to"	"colored"	"people"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
