"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"
"2:32:00::"	"has"	"courageously"	"montgomery"	"and"	"montgomery_has"	"has_courageously"	"courageously_and"	",_montgomery_has"	"montgomery_has_courageously"	"has_courageously_and"	"courageously_and_wisely"	"ε"	"NNP"	"VBZ"	"VB"	"RB"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nevertheless"	"has"	"state"	"courageously"	"and"	"wisely"	"the"	"crisis"	"of"	"the"	"western"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"by"	"that"	"legislation"	"human"	"legislation_by"	"by_that"	"that_human"	"anti-trust_legislation_by"	"legislation_by_that"	"by_that_human"	"that_human_labor"	"JJ"	"NN"	"IN"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"clayton_act"	"attempt"	"to"	"take_out"	"labor"	"from"	"under"	"the"	"anti-trust"	"legislation"	"by"	"state"	"that"	"human"	"labor"	"was"	"not"	"to"	"be"	"consider"	"a"	"commodity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"that"	"remember"	"it"	"remember_,"	",_that"	"that_it"	"had_remember_,"	"remember_,_that"	",_that_it"	"that_it_had"	"VBD"	"VB"	"ε"	"VB"	"IN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"tell"	"him"	"little"	"mrs._calhoun"	"had"	"remember"	"state"	"that"	"it"	"had"	"be"	"a"	"small"	"modest"	"wedding"	"compare"	"to"	"some"	"of"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"henry_l._bowden"	"."	"chairman"	"∅"	"chairman_henry_l._bowden"	"henry_l._bowden_."	"._∅"	"board_chairman_henry_l._bowden"	"chairman_henry_l._bowden_."	"henry_l._bowden_._∅"	"._∅_∅"	"NN"	"NN"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"emory_university"	"charter"	"and"	"by-laws"	"have"	"never"	"require"	"admission"	"or"	"rejection"	"of"	"on"	"the"	"basis"	"of"	"race"	"board"	"chairman"	"henry_l._bowden"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"friday"	"that"	"group"	"``"	"group_friday"	"friday_that"	"that_``"	"student_group_friday"	"group_friday_that"	"friday_that_``"	"that_``_extensive"	"NN"	"NN"	"NNP"	"VB"	"IN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"prepared"	"statement"	"release"	"the"	"student"	"group"	"friday"	"state"	"that"	"extensive"	"research"	"by"	"coahr"	"into"	"techniques"	"and"	"methods"	"of"	"theater"	"integration"	"in"	"cities"	"indicate"	"that"	"the"	"presence"	"of"	"picket_lines"	"and"	"stand-ins"	"before"	"segregated"	"theaters"	"cause"	"a"	"drop"	"in"	"profits"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"as_follows"	"may"	":"	"may_be"	"be_as_follows"	"as_follows_:"	"truth_may_be"	"may_be_as_follows"	"be_as_follows_:"	"as_follows_:_∅"	"NN"	"MD"	"VB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"prime"	"element"	"the"	"truth"	"may"	"be"	"state"	"as_follows"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"fully"	"∅"	"what"	"∅_to"	"to_fully"	"fully_what"	"∅_∅_to"	"∅_to_fully"	"to_fully_what"	"fully_what_the"	"ε"	"ε"	"TO"	"VB"	"RB"	"WP"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"fully"	"what"	"the"	"bible"	"mean"	"as"	"my"	"daily"	"spiritual"	"food"	"be"	"as"	"intimate"	"and"	"difficult"	"as"	"to"	"formulate"	"the"	"reasons"	"for"	"love"	"my"	"nearest"	"and"	"dearest"	"relatives"	"and"	"friends"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"to"	"as"	"time"	"mr._wesker"	"time_to"	"to_as"	"as_mr._wesker"	"so_much_time_to"	"time_to_as"	"to_as_mr._wesker"	"as_mr._wesker_dedicate"	"RB"	"NN"	"TO"	"VB"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"this"	"be"	"a"	"theme"	"does"	"not"	"take"	"so_much"	"time"	"to"	"state"	"as"	"mr._wesker"	"dedicate"	"to_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"that"	"satisfied"	"complete"	"satisfied_and"	"and_that"	"that_complete"	"apparently_satisfied_and"	"satisfied_and_that"	"and_that_complete"	"that_complete_agreement"	"RB"	"JJ"	"CC"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"party"	"leaders"	"come_out"	"of"	"final"	"meeting"	"apparently"	"satisfied"	"and"	"state"	"that"	"complete"	"agreement"	"had"	"been"	"reach"	"on"	"a"	"solution"	"to"	"the"	"crisis"	"create"	"by"	"the"	"elections"	"which"	"leave"	"no"	"party"	"with"	"enough"	"strength"	"to"	"form"	"a"	"government"	"on"	"its"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"the"	"wish"	"side"	"wish_to"	"to_the"	"the_side"	"i_wish_to"	"wish_to_the"	"to_the_side"	"the_side_of"	"PRP"	"VB"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_reply"	"to"	"a"	"letter"	"in"	"today"	"voice"	"urge"	"the"	"sale"	"of"	"after"	"p."	"m."	"i"	"wish"	"to"	"state"	"the"	"side"	"of"	"the"	"story"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"while"	"those"	"falsehoods"	"``"	"falsehoods_while"	"while_those"	"those_``"	"supposed_falsehoods_while"	"falsehoods_while_those"	"while_those_``"	"those_``_falsehoods"	"JJ"	"NNS"	"IN"	"VB"	"DT"	"ε"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sir_robert_watson-watt"	"rebuttal"	"of"	"sir_charles_snow"	"godkin"	"lectures"	"is"	"mar"	"throughout"	"by"	"too"	"forceful"	"a"	"desire"	"defend"	"lindemann"	"and"	"apparently"	"himself"	"from"	"sir_charles"	"supposed"	"falsehoods"	"while"	"state"	"those"	"falsehoods"	"in"	"an"	"unclear"	"incoherent"	"argument"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
