"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"1:28:02::"	"the"	"."	"over"	"∅"	"over_the"	"the_."	"._∅"	"even_over_the"	"over_the_."	"the_._∅"	"._∅_∅"	"JJ"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"jump_off"	"to"	"an"	"start"	"by"	"may"	"last"	"year"	"when"	"the"	"group"	"as_well_as"	"the"	"group"	"hold"	"even"	"over"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"the"	"for"	"of"	"the"	"of_the"	"the_for"	"for_the"	"first_of_the"	"of_the_for"	"the_for_the"	"for_the_group"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"victory"	"be"	"first"	"of"	"the"	"season"	"for"	"the"	"group"	"after"	"nine"	"defeat"	"and"	"a"	"tie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"early"	"than"	"this"	"at"	"this_early"	"early_than"	"than_at"	"so_far_this_early"	"this_early_than"	"early_than_at"	"than_at_any"	"RB"	"DT"	"JJ"	"NN"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"two"	"top"	"talent"	"of"	"the"	"time"	"person"	"and"	"person"	"have"	"hit"	"the"	"ball"	"and"	"more"	"successfully"	"so_far"	"this"	"early"	"season"	"than"	"at"	"any"	"period"	"in"	"career"	"which"	"to"	"be"	"frank"	"about"	"it"	"never"	"have"	"quite"	"reach"	"expectation"	"0"	"0"	"0"	
"1:28:02::"	"have"	"that"	"has"	"would"	"has_have"	"have_that"	"that_would"	",_has_have"	"has_have_that"	"have_that_would"	"that_would_be"	"ε"	"VBZ"	"VB"	"NN"	"WDT"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"like"	"the"	"group"	"slugger"	"person"	"the"	"terror"	"the"	"group"	"has"	"have"	"season"	"that"	"would"	"be"	"consider"	"the"	"ultimate"	"by"	"most"	"player"	"but"	"not"	"by"	"or"	"for"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"new"	"and"	"the"	"run"	"the_new"	"new_and"	"and_run"	"of_the_new"	"the_new_and"	"new_and_run"	"and_run_the"	"IN"	"DT"	"JJ"	"NN"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"person"	"third"	"victory"	"of"	"the"	"new"	"season"	"and"	"run"	"the"	"group"	"winning"	"streak"	"to"	"four"	"straight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"previous"	"person"	"nine"	"hit"	"nine_previous"	"previous_person"	"person_hit"	"his_nine_previous"	"nine_previous_person"	"previous_person_hit"	"person_hit_as_many_as"	"PRP$"	"JJ"	"JJ"	"NN"	"NNP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"four"	"his"	"nine"	"previous"	"season"	"person"	"hit"	"as_many_as"	"home_run"	"and"	"steal"	"as_many_as"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"1948"	"."	"the"	"∅"	"the_1948"	"1948_."	"._∅"	"after_the_1948"	"the_1948_."	"1948_._∅"	"._∅_∅"	"IN"	"DT"	"CD"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"injury"	"force"	"person"	"quit"	"after"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"early"	"conflict"	"an"	"in"	"an_early"	"early_conflict"	"conflict_in"	"face_an_early"	"an_early_conflict"	"early_conflict_in"	"conflict_in_date"	"VB"	"DT"	"JJ"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nine"	"of"	"the"	"league"	"team"	"play"	"in"	"park"	"and"	"therefore"	"face"	"an"	"early"	"season"	"conflict"	"in"	"date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"the"	","	"of"	"get"	"of_the"	"the_,"	",_get"	"meet_of_the"	"of_the_,"	"the_,_get"	",_get_a"	"NN"	"IN"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"crowd"	"at"	"the"	"twenty-first"	"annual"	"final"	"indoor"	"meet"	"of"	"the"	"season"	"get"	"a"	"thrill"	"a_few"	"minute"	"earlier"	"when"	"a"	"slender"	"bespectacled"	"woman"	"break"	"the"	"one"	"week"	"old"	"world_record"	"in"	"the"	"half_mile"	"run"	
"1:28:02::"	"1960"	"."	"the"	"∅"	"the_1960"	"1960_."	"._∅"	"of_the_1960"	"the_1960_."	"1960_._∅"	"._∅_∅"	"IN"	"DT"	"CD"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"injure"	"his"	"left"	"knee"	"the"	"last"	"game"	"of"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
