"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"3:00:01::"	"use"	"garden"	"i"	"soil"	"i_use"	"use_garden"	"garden_soil"	"seedbed_i_use"	"i_use_garden"	"use_garden_soil"	"garden_soil_with"	"NN"	"PRP"	"VB"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"my"	"i"	"use"	"good"	"garden"	"soil"	"with"	"a"	"little"	"sand"	"added"	"to"	"encourage"	"rooting"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"also"	"practice"	"and"	"be"	"and_also"	"also_practice"	"practice_be"	"second_and_also"	"and_also_practice"	"also_practice_be"	"practice_be_to"	"JJ"	"CC"	"RB"	"JJ"	"NN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"and"	"also"	"good"	"practice"	"be"	"to"	"shear"	"off"	"the"	"top"	"leave"	"an"	"inch"	"high"	"stub"	"with"	"just"	"a"	"leaf"	"or"	"two"	"on"	"each"	"branch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"∅"	"taste"	"∅"	"and"	"∅_∅"	"∅_taste"	"taste_and"	"∅_∅_∅"	"∅_∅_taste"	"∅_taste_and"	"taste_and_versatility"	"ε"	"ε"	"ε"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"taste"	"and"	"versatility"	"plus"	"safety"	"from"	"spray"	"poison"	"would"	"be"	"enough"	"to"	"recommend"	"the"	"frequent"	"use"	"of"	"such"	"a"	"fruit"	"even"	"if"	"its"	"nutritional"	"value"	"be"	"limited"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"dinner"	"before"	"."	"before_a"	"a_dinner"	"dinner_."	"down_before_a"	"before_a_dinner"	"a_dinner_."	"dinner_._∅"	"RB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"voltaire"	"surprise"	"however"	"their"	"host"	"give"	"them"	"fresh"	"clothes"	"to"	"put_on"	"open"	"his"	"to"	"lend"	"them"	"money"	"and"	"sit_down"	"them"	"down"	"before"	"a"	"good"	"dinner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"too"	"to"	"be"	"be"	"be_too"	"too_to"	"to_be"	"it_be_too"	"be_too_to"	"too_to_be"	"to_be_lost"	"PRP"	"VB"	"RB"	"JJ"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"then"	"after"	"the"	"little"	"operetta"	"had"	"been"	"give"	"its"	"amateur"	"rendering"	"everyone"	"insist"	"that"	"it"	"be"	"too"	"good"	"to"	"be"	"lost"	"forever"	"and"	"that"	"the"	"group"	"must"	"now"	"have"	"the"	"manuscript"	"in_order"	"to"	"give"	"it"	"the"	"really"	"first-rate"	"performance"	"it"	"merit"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"english"	"take_out"	"razor"	"take_out_a"	"a_english"	"english_razor"	"person_take_out_a"	"take_out_a_english"	"a_english_razor"	"english_razor_,"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"saddlebag"	"hang_on"	"a"	"person"	"take_out"	"a"	"good"	"english"	"razor"	"a"	"present"	"from"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"of"	","	"symbol"	"move"	"symbol_of"	"of_,"	",_move"	"gracious_symbol_of"	"symbol_of_,"	"of_,_move"	",_move_soberly"	"JJ"	"NN"	"IN"	"JJ"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"his"	"addlebrained"	"knight-errant"	"self"	"appointed"	"to"	"the"	"ridiculous"	"position"	"an"	"age"	"when"	"armor"	"had"	"already"	"been"	"relegate"	"to"	"museum"	"and"	"the"	"chivalrous"	"code"	"of"	"knight_errantry"	"had"	"become"	"a"	"joke"	"be"	"as"	"person"	"no_doubt"	"intend"	"a"	"gaunt"	"gracious"	"symbol"	"of"	"good"	"move"	"soberly"	"and"	"sincerely"	"in"	"a"	"world"	"of"	"cynic"	"hypocrite"	"and"	"rogue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"representation"	"there"	"of"	"there_be"	"be_representation"	"representation_of"	"∅_there_be"	"there_be_representation"	"be_representation_of"	"representation_of_peasant"	"ε"	"EX"	"VB"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"good"	"representation"	"of"	"peasant"	"and"	"people"	"of"	"the"	"court"	"by"	"actor"	"who"	"are"	"finely"	"costume"	"and"	"magnificently"	"photograph"	"in"	"this"	"last"	"of"	"the"	"russian"	"film"	"to"	"reach"	"this"	"country"	"in"	"the"	"program"	"of"	"joint"	"cultural"	"exchange"	
"3:00:01::"	"as"	","	"every_bit"	"and"	"every_bit_as"	"as_,"	",_and"	"be_every_bit_as"	"every_bit_as_,"	"as_,_and"	",_and_perhaps"	"VB"	"RB"	"RB"	"JJ"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"see"	"fiorello"	"perform"	"in"	"new_york"	"by"	"the"	"original"	"cast"	"i"	"think"	"this"	"company"	"be"	"every_bit"	"as"	"good"	"and"	"perhaps"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"enjoy"	"musical_theater"	"who"	"."	"who_enjoy"	"enjoy_musical_theater"	"musical_theater_."	"hereabouts_who_enjoy"	"who_enjoy_musical_theater"	"enjoy_musical_theater_."	"musical_theater_._∅"	"RB"	"WP"	"VB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"all"	"been"	"done"	"in"	"superb"	"style"	"and"	"the"	"result"	"be"	"show"	"which"	"deserve"	"the"	"support"	"of"	"every"	"person"	"hereabouts"	"who"	"enjoy"	"good"	"musical_theater"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"look"	"''"	"he"	","	"he_look"	"look_''"	"''_,"	"and_he_look"	"he_look_''"	"look_''_,"	"''_,_person"	"CC"	"PRP"	"VB"	"JJ"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"throw"	"bat"	"practice"	"about"	"and"	"he"	"look"	"good"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"pitch"	"''"	"been"	","	"been_pitch"	"pitch_''"	"''_,"	"has_been_pitch"	"been_pitch_''"	"pitch_''_,"	"''_,_person"	"VBZ"	"VBN"	"VB"	"RB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"get"	"person"	"some"	"run"	"for"	"a"	"and"	"he"	"has"	"been"	"pitch"	"good"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
