"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"1:18:00::"	"particular"	","	"the"	"and"	"the_particular"	"particular_,"	",_and"	"for_the_particular"	"the_particular_,"	"particular_,_and"	",_and_when"	"IN"	"DT"	"JJ"	"NN"	"ε"	"CC"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"eight"	"of"	"these"	"eighteen"	"statement"	"which"	"receive"	"at_least"	"one-half"	"of"	"vote"	"were"	"duplicate"	"to"	"form"	"an"	"analysis"	"checklist"	"for"	"the"	"particular"	"manager"	"and"	"when"	"this"	"particular"	"manager"	"roleplay"	"in"	"situation"	"the"	"member"	"check"	"any"	"item"	"that"	"appear"	
"1:18:00::"	"particular"	"roleplay"	"this"	"in"	"this_particular"	"particular_roleplay"	"roleplay_in"	"when_this_particular"	"this_particular_roleplay"	"particular_roleplay_in"	"roleplay_in_situation"	"WRB"	"DT"	"JJ"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"eight"	"of"	"eighteen"	"statement"	"which"	"receive"	"at_least"	"one-half"	"of"	"the"	"vote"	"were"	"duplicate"	"to"	"form"	"analysis"	"checklist"	"for"	"the"	"particular"	"manager"	"and"	"when"	"this"	"particular"	"manager"	"roleplay"	"in"	"situation"	"the"	"member"	"check"	"any"	"item"	"that"	"appear"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"act_as"	"for"	"student"	"a"	"student_act_as"	"act_as_for"	"for_a"	"ten_student_act_as"	"student_act_as_for"	"act_as_for_a"	"for_a_high_school"	"JJ"	"NN"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ten"	"act_as"	"manager"	"for"	"a"	"high_school"	"football_team"	"and"	"of"	"these"	"manager"	"a"	"proportion"	"p"	"be"	"licensed"	"driver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"these"	"a"	"of"	"proportion"	"of_these"	"these_a"	"a_proportion"	"and_of_these"	"of_these_a"	"these_a_proportion"	"a_proportion_p"	"CC"	"IN"	"DT"	"NN"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ten"	"student"	"act_as"	"manager"	"for"	"high_school"	"football_team"	"and"	"of"	"these"	"manager"	"a"	"proportion"	"p"	"be"	"licensed"	"driver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"new"	","	"under"	"person"	"under_new"	"new_,"	",_person"	"happy_under_new"	"under_new_,"	"new_,_person"	",_person_and"	"JJ"	"IN"	"JJ"	"NN"	"ε"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"apparently"	"under"	"new"	"manager"	"person"	"and"	"person"	"the"	"perfect"	"player"	"are"	"behave"	"as"	"though"	"they"	"going_to"	"pass"	"those"	"previous"	"peak"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"veteran"	"see"	"the"	"as"	"the_veteran"	"veteran_see"	"see_as"	"perfection_the_veteran"	"the_veteran_see"	"veteran_see_as"	"see_as_a"	"NN"	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"it"	"apparent"	"resent"	"person"	"attempt"	"to"	"push"	"and"	"him"	"into"	"the"	"perfection"	"the"	"veteran"	"manager"	"see"	"as"	"a"	"thrilling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"a"	"."	"as"	"∅"	"as_a"	"a_."	"._∅"	"year_as_a"	"as_a_."	"a_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"triumph"	"make"	"person"	"only"	"the"	"third"	"man"	"to"	"lead"	"a"	"team"	"both"	"a"	"pennant"	"and"	"a"	"world_series"	"victory"	"in"	"his"	"first"	"year"	"as"	"a"	"manager"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"former"	"of"	"the"	"the"	"the_former"	"former_of"	"of_the"	",_the_former"	"the_former_of"	"former_of_the"	"of_the_group"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"chairman"	"of"	"group"	"will"	"be"	"join"	"on"	"the"	"dais"	"by"	"person"	"the"	"southpaw"	"pitching"	"ace"	"of"	"the"	"group"	"person"	"the"	"group"	"sport"	"columnist"	"person"	"the"	"world_series"	"hero"	"the"	"group"	"and"	"person"	"the"	"former"	"manager"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"as"	"person"	"reduce"	"and"	"reduce_as"	"as_person"	"person_and"	"be_reduce_as"	"reduce_as_person"	"as_person_and"	"person_and_his"	"VB"	"VB"	"IN"	"NN"	"NNP"	"CC"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"baltimore"	"bulky"	"spring_training"	"contingent"	"now"	"will"	"be"	"reduce"	"as"	"manager"	"person"	"and"	"his"	"coach"	"seek"	"to"	"trim_down"	"it"	"down"	"to"	"a"	"more"	"streamlined"	"and"	"workable"	"unit"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"of"	"∅"	"a"	"∅_the"	"the_of"	"of_a"	"∅_∅_the"	"∅_the_of"	"the_of_a"	"of_a_movie_theater"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"manager"	"of"	"a"	"movie_theater"	"receive"	"a"	"telephone_call"	"from"	"a"	"woman"	"who"	"be"	"equally"	"indefinite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"of"	"person"	"the"	"person_,"	",_of"	"of_the"	"1871_person_,"	"person_,_of"	",_of_the"	"of_the_``"	"CD"	"NNP"	"ε"	"NN"	"IN"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"manager"	"of"	"the"	"group"	"express"	"willingness"	"to"	"send"	"emergency"	"telegram"	"on"	"sunday"	"from"	"his"	"village"	"drugstore"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"be"	"of"	"person"	"group"	"person_be"	"be_of"	"of_group"	"1910_person_be"	"person_be_of"	"be_of_group"	"of_group_at"	"CD"	"NNP"	"VB"	"NN"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"until"	"be"	"manager"	"of"	"group"	"at"	"the"	"location"	"in"	"the"	"drugstore"	"he"	"purchase"	"from"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"be"	"of"	")"	"the"	")_be"	"be_of"	"of_the"	"person_)_be"	")_be_of"	"be_of_the"	"of_the_group"	"NNP"	"ε"	"VB"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old"	"morse"	"system"	"was"	"replace"	"locally"	"by"	"the"	"simplex"	"automatic"	"method"	"in"	"when"	"person"	"person"	"be"	"manager"	"of"	"the"	"group"	"office"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
