"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"4:02:00::"	","	"after"	"when"	"the"	"when_,"	",_after"	"after_the"	"himself_when_,"	"when_,_after"	",_after_the"	"after_the_furor"	"PRP"	"WRB"	"ε"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"for_example"	"could"	"a"	"voltaire"	"understand"	"the"	"strange"	"predicament"	"in"	"which"	"a"	"would"	"find"	"himself"	"when"	"soon"	"after"	"the"	"furor"	"of"	"his"	"first"	"discourse"	"he"	"acquire"	"still"	"another"	"title"	"to"	"fame"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"parimutuel"	"between"	"horse_race"	"person"	"horse_race_parimutuel"	"parimutuel_between"	"between_person"	"on_horse_race_parimutuel"	"horse_race_parimutuel_between"	"parimutuel_between_person"	"between_person_and"	"IN"	"NN"	"NN"	"RB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dallas"	"may"	"get_to"	"hear"	"debate"	"on"	"horse_race"	"parimutuel"	"soon"	"between"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"as"	"as"	"project"	"possible"	"project_as"	"as_as"	"as_possible"	"research_project_as"	"project_as_as"	"as_as_possible"	"as_possible_the"	"NN"	"NN"	"RB"	"RB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"as"	"soon"	"as"	"possible"	"the"	"cause"	"and"	"prevention"	"of"	"dependency"	"and"	"illegitimacy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"have"	"however"	"the"	"however_,"	",_have"	"have_the"	",_however_,"	"however_,_have"	",_have_the"	"have_the_effect"	"ε"	"RB"	"ε"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"accumulation"	"of"	"device"	"however"	"soon"	"have"	"the"	"effect"	"of"	"telescope"	"even"	"while"	"surface"	"and"	"depth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"so"	","	"happen"	"but"	"happen_so"	"so_,"	",_but"	"it_happen_so"	"happen_so_,"	"so_,_but"	",_but_i"	"PRP"	"VB"	"RB"	"RB"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"first"	"thought"	"be"	"had"	"it"	"happen"	"so"	"soon"	"but"	"i"	"count"	"back"	"on"	"my"	"finger"	"and"	"sure_enough"	"we"	"been"	"live"	"together"	"six"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"they"	"∅"	"were"	"∅_∅"	"∅_they"	"they_were"	"∅_∅_∅"	"∅_∅_they"	"∅_they_were"	"they_were_pick"	"ε"	"ε"	"ε"	"RB"	"PRP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"were"	"pick"	"their"	"way"	"along"	"the"	"edge"	"of"	"the"	"stream"	"which"	"glow"	"in"	"the"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"engulf"	"power"	"the"	"power_and"	"and_engulf"	"engulf_the"	"gather_power_and"	"power_and_engulf"	"and_engulf_the"	"engulf_the_community"	"VB"	"NN"	"CC"	"RB"	"VB"	"DT"	"NN"	"play"	"unfold"	"however"	"the"	"audience"	"is"	"subtly"	"bring"	"into"	"the"	"grip"	"of"	"an"	"awful"	"evil"	"which"	"grow"	"with"	"ominously"	"gather"	"power"	"and"	"engulf"	"the"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"he"	"∅"	"be"	"∅_∅"	"∅_he"	"he_be"	"∅_∅_∅"	"∅_∅_he"	"∅_he_be"	"he_be_ready"	"ε"	"ε"	"ε"	"RB"	"PRP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"ready"	"to"	"go"	"into"	"a"	"three-dimensional_figure"	"in"	"clay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"may"	"take"	")"	"its"	")_may"	"may_take"	"take_its"	"broxodent_)_may"	")_may_take"	"may_take_its"	"take_its_place"	"NNP"	"ε"	"VB"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"electric_toothbrush"	"may"	"soon"	"take"	"its"	"place"	"next"	"to"	"the"	"electric_razor"	"in"	"the"	"american"	"bathroom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"they"	"give_way"	"but"	"to"	"but_they"	"they_give_way"	"give_way_to"	",_but_they"	"but_they_give_way"	"they_give_way_to"	"give_way_to_the"	"ε"	"CC"	"PRP"	"RB"	"VB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"initially"	"the"	"flagellated_protozoan"	"but"	"they"	"soon"	"give_way"	"to"	"the"	"free-swimming"	"ciliated_protozoan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"that"	"manchester"	"prospect"	"may"	"prospect_that"	"that_manchester"	"manchester_may"	"the_prospect_that"	"prospect_that_manchester"	"that_manchester_may"	"manchester_may_be"	"DT"	"NN"	"IN"	"RB"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"the"	"matter"	"with"	"the"	"prospect"	"that"	"soon"	"manchester"	"may"	"be"	"remove"	"from"	"the"	"roster"	"of"	"town"	"contribute"	"raw"	"sewage"	"to"	"its"	"main"	"stream"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
